   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.148214	78.5036    	11036.3    	0.0337825	688.936    	1.44518	4  	1  	0.637545
1  	0.151065	25.3848    	3518.98    	0.0337825	207.067    	1.4702 	4  	1  	0.659198
2  	0.154694	19.8877    	1887.89    	0.0337825	116.704    	1.58086	5  	1  	0.78721 
3  	0.154039	7.65215    	280.773    	0.0337825	24.0909    	1.54934	5  	1  	0.75494 
4  	0.159924	inf        	inf        	0.0337825	nan        	1.65246	5  	1  	0.903836
5  	0.159046	inf        	inf        	0.0337825	nan        	1.60131	5  	1  	0.895449
6  	0.156696	inf        	inf        	0.0337825	nan        	1.58958	5  	1  	0.866094
7  	0.151061	inf        	inf        	0.0337825	nan        	1.51623	5  	1  	0.779025
8  	0.148177	35.1799    	7119.4     	0.0337825	408.713    	1.45631	4  	1  	0.729987
9  	0.148388	11.852     	754.981    	0.0337825	81.2459    	1.44839	4  	1  	0.741999
10 	0.144387	198.91     	36093.6    	0.0337825	2335.72    	1.39228	5  	1  	0.704011
11 	0.143247	inf        	inf        	0.0337825	nan        	1.34936	5  	1  	0.64281 
12 	0.148885	8.04874    	981.405    	0.0337825	58.9028    	1.4345 	5  	1  	0.747536
13 	0.149274	inf        	inf        	0.0337825	nan        	1.41401	5  	1  	0.778244
14 	0.152301	53317.9    	1.67931e+07	0.0337825	944682     	1.3746 	5  	1  	0.694186
15 	0.145661	68.9834    	17271.1    	0.0337825	977.672    	1.3481 	4  	1  	0.697438
16 	0.151635	104.349    	24093.2    	0.0337825	1385.71    	1.46372	5  	1  	0.799907
17 	0.152429	33.8082    	4235.26    	0.0337825	320.717    	1.44025	4  	1  	0.761422
18 	0.156184	929.205    	286825     	0.0337825	16037      	1.52978	5  	1  	0.778768
19 	0.156267	4.13622    	296.095    	0.0337825	21.7481    	1.5375 	5  	1  	0.78968 
20 	0.155371	29.4727    	5387.8     	0.0337825	310.115    	1.5296 	5  	1  	0.765227
21 	0.159736	inf        	inf        	0.0337825	nan        	1.54348	5  	1  	0.767935
22 	0.154197	inf        	inf        	0.0337825	nan        	1.57276	5  	1  	0.796743
23 	0.15975 	inf        	inf        	0.0337825	nan        	1.58333	5  	1  	0.787146
24 	0.155699	10.1837    	832.249    	0.0337825	68.6389    	1.51692	5  	1  	0.778869
25 	0.156183	inf        	inf        	0.0337825	nan        	1.46012	5  	1  	0.749195
26 	0.153715	4.63908    	526.064    	0.0337825	32.5329    	1.43119	5  	1  	0.73406 
27 	0.150241	inf        	inf        	0.0337825	nan        	1.29268	3  	1  	0.562828
28 	0.152941	inf        	inf        	0.0337825	nan        	1.31611	3  	1  	0.596659
29 	0.155278	inf        	inf        	0.0337825	nan        	1.37273	5  	1  	0.654019
30 	0.152473	10.0653    	995.68     	0.0337825	70.1235    	1.35045	5  	1  	0.625122
31 	0.158445	11.5216    	1502.51    	0.0337825	96.1433    	1.42771	5  	1  	0.730706
32 	0.154532	32.4847    	8989.78    	0.0337825	492.378    	1.38438	4  	1  	0.645611
33 	0.15765 	750.087    	242353     	0.0337825	13242.5    	1.40419	5  	1  	0.710136
34 	0.157269	inf        	inf        	0.0337825	nan        	1.37015	4  	1  	0.655861
35 	0.158808	inf        	inf        	0.0337825	nan        	1.37798	4  	1  	0.629146
36 	0.159319	18.3797    	2556.91    	0.0337825	151.512    	1.43027	4  	1  	0.664066
37 	0.164912	inf        	inf        	0.0337825	nan        	1.48521	4  	1  	0.667119
38 	0.166974	27.7815    	2171.14    	0.0337825	200.316    	1.55752	5  	1  	0.790109
39 	0.163471	3392.82    	1.14723e+06	0.0337825	62125.1    	1.52941	5  	1  	0.76448 
40 	0.165317	58.1781    	9475.15    	0.0337825	578.262    	1.55718	4  	1  	0.718696
41 	0.165863	7.04576    	566.548    	0.0337825	41.7687    	1.58187	4  	1  	0.7438  
42 	0.168288	11.2207    	2076.22    	0.0337825	115.584    	1.61224	4  	1  	0.80347 
43 	0.171201	8.08168    	528.459    	0.0337825	42.7638    	1.68023	5  	1  	0.815592
44 	0.171965	10.0058    	1119.58    	0.0337825	69.7228    	1.64928	5  	1  	0.806787
45 	0.169048	inf        	inf        	0.0337825	nan        	1.63295	5  	1  	0.805301
46 	0.170408	23.1073    	4314.06    	0.0337825	256.881    	1.63112	4  	1  	0.760676
47 	0.171697	inf        	inf        	0.0337825	nan        	1.64655	4  	1  	0.790616
48 	0.174231	inf        	inf        	0.0337825	nan        	1.66476	5  	1  	0.869371
49 	0.170678	4.93725    	581.485    	0.0337825	37.6729    	1.6    	5  	1  	0.85857 
50 	0.174382	inf        	inf        	0.0337825	nan        	1.61254	5  	1  	0.846149
51 	0.176953	inf        	inf        	0.0337825	nan        	1.65057	5  	1  	0.885521
52 	0.174012	inf        	inf        	0.0337825	nan        	1.6034 	5  	1  	0.808026
53 	0.172806	2.82486e+27	1e+30      	0.0337825	5.30743e+28	1.59605	5  	1  	0.855746
54 	0.174406	817.57     	286821     	0.0337825	15201      	1.58028	5  	1  	0.805722
55 	0.175035	50.5495    	7607.37    	0.0337825	524.465    	1.59831	4  	1  	0.820316
56 	0.1736  	20.6355    	5387.8     	0.0337825	290.036    	1.56583	4  	1  	0.751661
57 	0.176371	14.57      	1821.64    	0.0337825	127.323    	1.60335	4  	1  	0.768943
58 	0.181339	inf        	inf        	0.0337825	nan        	1.64345	5  	1  	0.848335
59 	0.177498	inf        	inf        	0.0337825	nan        	1.60556	5  	1  	0.763742
60 	0.175617	2.4524     	222.897    	0.0337825	15.3199    	1.62604	5  	1  	0.826358
