   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max    	min      	std        	avg    	max	min	std     
0  	0.15973 	249.631    	51593.8	0.0409254	3107.79    	1.52159	4  	1  	0.684692
1  	0.162126	22.3378    	2684.37	0.0409254	213.086    	1.62252	4  	1  	0.761157
2  	0.158844	7.45535    	1224.44	0.0409254	72.4621    	1.66337	5  	1  	0.807685
3  	0.15805 	6.51628    	1510.89	0.0409254	87.0784    	1.72039	5  	1  	0.879656
4  	0.161122	324.199    	98276.4	0.0369146	5617.96    	1.86885	5  	1  	0.928164
5  	0.166964	2.29165    	164.162	0.0369146	14.4516    	2.18627	5  	1  	1.08221 
6  	0.172524	inf        	inf    	0.0369146	nan        	2.38436	7  	1  	1.1926  
7  	0.179757	12.7657    	3287.38	0.0366285	187.605    	2.67857	6  	1  	1.12119 
8  	0.185434	3.79559    	474.806	0.0365013	32.8835    	3.01942	7  	1  	1.2971  
9  	0.196557	3.22581e+57	1e+60  	0.0365013	5.67045e+58	3.53226	9  	1  	1.57928 
10 	0.209772	0.503392   	71.4882	0.0365013	4.35572    	4.1672 	9  	1  	1.68529 
11 	0.22095 	0.235298   	14.5962	0.0365013	1.03154    	4.53526	10 	1  	1.72241 
12 	0.227186	3.19489e+57	1e+60  	0.0365013	5.6433e+58 	4.78275	12 	1  	2.10372 
13 	0.22944 	0.589006   	118.239	0.0365013	6.75488    	5.06688	11 	1  	2.05001 
14 	0.22879 	3.1746e+57 	1e+60  	0.0365013	5.62541e+58	4.99683	13 	1  	2.18436 
15 	0.229384	3.16456e+57	1e+60  	0.0365013	5.61653e+58	5.08544	12 	1  	2.10837 
16 	0.235543	3.15457e+57	1e+60  	0.0365013	5.60769e+58	5.22082	13 	1  	2.24981 
17 	0.241448	0.330089   	22.8242	0.0365013	1.76987    	5.10377	12 	1  	2.35896 
18 	0.234667	3.1348e+57 	1e+60  	0.0365013	5.59014e+58	5.38871	14 	1  	2.46975 
19 	0.234131	0.584074   	59.6819	0.0365013	4.04231    	5.4625 	14 	1  	2.6608  
20 	0.237725	2.41033    	514.111	0.0365013	29.6773    	5.55763	15 	1  	2.77684 
21 	0.238582	2.48344    	273.86 	0.0365013	20.5971    	5.61491	15 	1  	2.53806 
22 	0.241448	3.23062    	805.039	0.0365013	45.3457    	5.58824	14 	1  	2.43824 
