   	       	                          fitness                          	              size              
   	       	-----------------------------------------------------------	--------------------------------
gen	time   	avg        	max        	min      	std        	avg    	max	min	std     
0  	1.92639	2.08092e+12	6.26358e+14	0.040511 	3.60427e+13	1.52824	4  	1  	0.689287
1  	1.93836	290.609    	69460.3    	0.040511 	4048.41    	1.62914	4  	1  	0.760062
2  	1.91784	5.14912    	408.282    	0.040511 	29.8525    	1.66667	5  	1  	0.786296
3  	1.84823	14.8989    	3803.08    	0.040511 	218.095    	1.61184	5  	1  	0.765621
4  	1.90465	2.24041    	182.484    	0.040511 	13.3417    	1.81639	4  	1  	0.763336
5  	1.96737	7.86554    	986.435    	0.0392813	63.2923    	2.08824	5  	1  	0.912186
6  	2.14215	inf        	inf        	0.0392813	nan        	2.50163	6  	1  	1.09    
7  	2.24133	219.019    	64708.7    	0.0380368	3682.99    	2.86039	8  	1  	1.28553 
8  	2.37757	1.50433    	164.811    	0.0380368	12.6222    	3.30744	8  	1  	1.47886 
9  	2.48565	3.22581e+57	1e+60      	0.0380368	5.67045e+58	3.75806	10 	1  	1.8394  
10 	2.57732	1.00735    	141.58     	0.0380368	9.41348    	4.26045	10 	1  	2.05229 
11 	2.70759	5389.22    	1.67535e+06	0.0380368	94695.2    	4.96795	14 	1  	2.44535 
12 	2.79016	3.19489e+57	1e+60      	0.0380319	5.6433e+58 	5.47604	15 	1  	2.73194 
13 	2.81671	0.759005   	144.441    	0.0380205	8.41544    	5.87898	13 	1  	2.71784 
14 	2.90214	1.51758    	194.588    	0.0380201	13.7918    	6.31111	17 	1  	3.00872 
15 	3.03086	3.16456e+57	1e+60      	0.0380201	5.61653e+58	6.55696	16 	1  	2.95535 
16 	3.03773	1.86976    	257.405    	0.0380201	16.9111    	6.63091	18 	1  	3.43475 
17 	3.12203	inf        	inf        	0.0380201	nan        	6.98113	19 	1  	3.45041 
18 	3.11008	3.1348e+57 	1e+60      	0.0380201	5.59014e+58	6.99687	17 	1  	3.16277 
19 	3.03078	0.223939   	15.927     	0.0380201	1.11455    	6.81875	17 	1  	3.21689 
20 	3.11427	0.492188   	80.5542    	0.0380201	5.06343    	7.22118	19 	1  	3.41761 
21 	3.12149	1.31258    	157.224    	0.03802  	11.0288    	7.2236 	23 	1  	3.62698 
22 	3.19499	3.53533    	961.942    	0.03802  	53.9126    	7.4613 	21 	1  	3.90454 
23 	3.45369	1.42601    	145.838    	0.03802  	11.7838    	7.77469	24 	1  	4.42445 
24 	3.64081	1.39165    	252.58     	0.03802  	16.0864    	8.69846	26 	1  	5.061   
25 	3.85012	389.857    	126998     	0.03802  	7022.94    	9.38344	31 	1  	5.53213 
26 	4.15185	0.553834   	142.111    	0.03802  	7.84301    	10.2232	34 	1  	6.15416 
27 	4.34334	0.640158   	74.3085    	0.03802  	5.28368    	10.7561	33 	1  	6.20889 
28 	4.74685	0.236943   	39.3379    	0.03802  	2.1911     	12.0365	33 	1  	6.76159 
29 	5.02399	3.0303e+57 	1e+60      	0.03802  	5.49647e+58	12.6818	41 	1  	7.55417 
30 	5.39846	0.401211   	55.9155    	0.03802  	3.43782    	13.7402	36 	1  	7.62601 
31 	6.074  	3.01205e+57	1e+60      	0.03802  	5.47994e+58	15.3735	45 	1  	8.83887 
32 	6.6705 	0.114081   	1.27031    	0.03802  	0.210178   	17.4955	57 	1  	10.3595 
33 	7.56607	0.682691   	137.111    	0.03802  	7.7489     	19.9641	64 	1  	12.3003 
34 	8.7738 	0.293494   	23.2176    	0.03802  	1.58394    	23.003 	67 	1  	14.6722 
35 	9.93539	0.149066   	1.331      	0.03802  	0.25209    	25.9613	68 	1  	15.28   
36 	11.1586	0.934477   	257.713    	0.0377238	14.0351    	29.3234	68 	1  	16.2073 
37 	11.6083	0.139499   	9.72909    	0.0377238	0.560134   	31.1272	68 	1  	16.8236 
38 	13.1618	2.94985e+57	1e+60      	0.0367861	5.42324e+58	34.1209	68 	1  	18.6046 
39 	14.6496	0.13812    	1.25025    	0.0367861	0.238329   	37.1382	68 	1  	18.8202 
40 	16.4135	0.125031   	1.2622     	0.0363554	0.239456   	41.6891	68 	1  	17.1112 
