   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.0781498	13.0356    	403.039    	0.383454 	48.2462    	1.50498	4  	1  	0.624107
1  	0.0688322	718.387    	189563     	0.262863 	10955.6    	1.56954	5  	1  	0.71881 
2  	0.068336 	1459.11    	438096     	0.215697 	25125.9    	1.56436	4  	1  	0.741275
3  	0.0684254	8.32917    	603.204    	0.215697 	48.8973    	1.53289	4  	1  	0.701669
4  	0.0673137	13.4696    	2610.05    	0.210373 	149.868    	1.51475	5  	1  	0.724701
5  	0.068363 	16.7844    	2642.22    	0.210373 	161.972    	1.53922	5  	1  	0.690811
6  	0.0693235	6441.95    	1.91402e+06	0.204458 	109103     	1.59283	4  	1  	0.699242
7  	0.0688508	71.1583    	11882      	0.204458 	773.859    	1.67208	6  	1  	0.781025
8  	0.0719891	inf        	inf        	0.204458 	nan        	1.88026	6  	1  	0.801636
9  	0.0738454	46.311     	10377.5    	0.204458 	593.157    	2.12581	5  	1  	0.922992
10 	0.0764203	11.1275    	1669.37    	0.204458 	101.832    	2.32154	6  	1  	1.06967 
11 	0.0755205	4.00042    	446.234    	0.204458 	26.0142    	2.52885	7  	1  	1.09448 
12 	0.0786545	2556       	797831     	0.204458 	45023.6    	2.66454	6  	1  	1.08692 
13 	0.0800984	3.18471e+57	1e+60      	0.204458 	5.63433e+58	2.76433	8  	1  	1.02292 
14 	0.0828102	18.4824    	2335.88    	0.204458 	166.063    	2.76508	6  	1  	1.01202 
15 	0.0820203	3.17231e+06	1.00245e+09	0.204458 	5.63027e+07	2.91772	6  	1  	1.01859 
16 	0.0826828	5.99959    	522.252    	0.204458 	34.4188    	2.95268	6  	1  	1.10389 
17 	0.0811152	3.22028    	113.227    	0.204458 	11.2279    	2.93396	7  	1  	1.17577 
18 	0.0819471	8.17559    	543.955    	0.204458 	45.2642    	2.8558 	6  	1  	1.13005 
19 	0.0831852	5.31212    	543.955    	0.204458 	32.6988    	3.06562	8  	1  	1.34817 
20 	0.0829241	6.76516    	522.252    	0.204458 	39.8708    	3.04984	8  	1  	1.35251 
21 	0.0852556	7.7968     	646.424    	0.204458 	52.8564    	3.29814	9  	1  	1.54174 
22 	0.087718 	inf        	inf        	0.204458 	nan        	3.35294	8  	1  	1.43568 
23 	0.0846741	54.4789    	13341.1    	0.204458 	747.409    	3.20062	9  	1  	1.41635 
24 	0.0854065	inf        	inf        	0.204458 	nan        	3.20308	8  	1  	1.52779 
25 	0.0861764	6.69461    	616.775    	0.204458 	43.9837    	3.31595	10 	1  	1.68579 
26 	0.0861413	9.03226    	2139       	0.204458 	118.296    	3.34862	10 	1  	1.65924 
27 	0.0880566	13.346     	2615.01    	0.204458 	148.243    	3.47866	11 	1  	1.73544 
28 	0.0885768	6.11137    	528.467    	0.204458 	38.7072    	3.3921 	10 	1  	1.58106 
29 	0.0877841	10.2762    	1567.41    	0.204458 	90.6165    	3.26364	10 	1  	1.52759 
30 	0.0866458	2.86478    	147.079    	0.204458 	12.0607    	3.26586	10 	1  	1.45279 
31 	0.0867934	3.01205e+57	1e+60      	0.204458 	5.47994e+58	3.09639	9  	1  	1.43422 
32 	0.0862663	7.09674    	1112.26    	0.204458 	64.2064    	3.08709	8  	1  	1.33387 
33 	0.0861933	2.99401e+27	1e+30      	0.204458 	5.46356e+28	3.00898	8  	1  	1.20251 
34 	0.0857158	8.01666    	822.79     	0.204458 	55.545     	3.03284	8  	1  	1.21758 
35 	0.0868342	19.2581    	4167.68    	0.204458 	231.104    	3.0625 	9  	1  	1.24605 
36 	0.0869868	3.37747    	344.709    	0.204458 	20.096     	3.05341	10 	1  	1.24819 
37 	0.086947 	inf        	inf        	0.204458 	nan        	2.9142 	7  	1  	1.1312  
38 	0.0864508	198.104    	65740.8    	0.204458 	3565.18    	3.0354 	7  	1  	1.08567 
39 	0.0892715	543.587    	146248     	0.204458 	8157.01    	3.02059	8  	1  	1.16424 
40 	0.0872135	6.99368    	675.666    	0.204458 	51.0482    	3.02053	7  	1  	1.16505 
41 	0.0877378	42.3556    	10655.6    	0.204458 	583.393    	2.9386 	7  	1  	1.20636 
42 	0.086755 	inf        	inf        	0.204458 	nan        	2.91545	7  	1  	1.239   
43 	0.0883353	6.84886    	493.623    	0.204458 	37.4007    	2.98256	7  	1  	1.20548 
44 	0.0887113	7.55274    	538.741    	0.204458 	49.4021    	3.03768	9  	1  	1.27916 
45 	0.0884221	inf        	inf        	0.204458 	nan        	3.02023	10 	1  	1.29791 
46 	0.0895851	15.0705    	2531.82    	0.204458 	148.945    	3.0317 	8  	1  	1.20356 
47 	0.0886497	27.868     	8596.51    	0.204458 	460.257    	2.92816	7  	1  	1.12853 
48 	0.0896358	2.22506    	147.079    	0.204458 	8.88156    	2.97421	8  	1  	1.15151 
49 	0.0887957	350.176    	120391     	0.204458 	6425.76    	2.96   	7  	1  	1.21824 
50 	0.0901225	15.7949    	1598.15    	0.204458 	126.39     	2.98006	7  	1  	1.20642 
51 	0.089922 	inf        	inf        	0.204458 	nan        	3.0142 	8  	1  	1.23965 
52 	0.0907156	83.238     	23937      	0.204458 	1279.03    	3.02266	8  	1  	1.2228  
53 	0.0907509	16.8905    	4414.86    	0.204458 	236.114    	3.03955	11 	1  	1.29476 
54 	0.0919006	inf        	inf        	0.204458 	nan        	2.90423	9  	1  	1.17814 
55 	0.0906858	8.43023    	551.812    	0.204458 	57.8569    	2.98315	7  	1  	1.22463 
56 	0.0897696	4.27658    	652.349    	0.204458 	35.904     	2.98599	7  	1  	1.18692 
57 	0.0915389	7.42066    	1597.65    	0.204458 	85.068     	3.02793	9  	1  	1.29213 
58 	0.0921974	7.31572    	1103.31    	0.204458 	60.6699    	3.01114	8  	1  	1.33096 
59 	0.0916591	4.6086     	220.424    	0.204458 	18.7648    	2.98611	9  	1  	1.29414 
60 	0.0935495	5.65315    	344.709    	0.204458 	28.4955    	3.01662	7  	1  	1.22293 
61 	0.0936673	6.65633    	522.252    	0.204458 	36.1887    	3.01105	7  	1  	1.15385 
62 	0.0932412	6.06764    	616.775    	0.204458 	40.2747    	3.05785	8  	1  	1.2058  
63 	0.0928609	8.29485    	678.101    	0.204458 	54.5214    	2.99725	8  	1  	1.26339 
64 	0.092243 	5.29818    	526.867    	0.204458 	31.013     	2.95616	8  	1  	1.17427 
65 	0.093755 	3.11415    	147.079    	0.204458 	12.0844    	2.96721	7  	1  	1.15896 
66 	0.0930226	5.46552    	873.209    	0.204458 	47.9248    	3.03542	7  	1  	1.17483 
67 	0.0938034	9.08046    	2089.57    	0.204458 	109.36     	2.92935	7  	1  	1.16349 
68 	0.094239 	8.23805    	1276.44    	0.204458 	69.7565    	2.88618	6  	1  	1.12525 
69 	0.0947969	4.8844     	493.623    	0.204458 	28.3368    	2.97838	6  	1  	1.14352 
70 	0.0946226	3.1795     	474.414    	0.204458 	24.9777    	3.01617	8  	1  	1.23941 
71 	0.0954523	246.792    	83126.3    	0.204458 	4310.06    	2.91398	10 	1  	1.2283  
72 	0.0949359	4.26814    	371        	0.204458 	22.8779    	2.88204	7  	1  	1.1471  
73 	0.0946071	22.7498    	6408.66    	0.204458 	334.059    	2.8877 	7  	1  	1.14379 
74 	0.096513 	6.18098    	548.051    	0.204458 	36.8802    	3.01067	10 	1  	1.2961  
75 	0.0963497	12.944     	2696.31    	0.204458 	144.596    	3.05319	8  	1  	1.27469 
76 	0.0978806	222.396    	78183.1    	0.204458 	4022.42    	3.01061	7  	1  	1.10935 
77 	0.0984414	inf        	inf        	0.204458 	nan        	2.98942	7  	1  	1.15923 
78 	0.0976326	5.43489    	313.417    	0.204458 	23.0629    	3.00528	8  	1  	1.19364 
