   	         	                      fitness                      	              size              
   	         	---------------------------------------------------	--------------------------------
gen	time     	avg        	max    	min      	std        	avg    	max	min	std     
0  	0.0637102	8.43715    	585.658	0.350772 	39.1297    	1.51163	3  	1  	0.602347
1  	0.0539222	32.8864    	8487.01	0.296684 	487.416    	1.59934	5  	1  	0.691768
2  	0.047992 	3.41201    	113.122	0.296684 	10.5518    	1.60396	4  	1  	0.727751
3  	0.0495026	2.91699    	220.426	0.29395  	13.8521    	1.59868	5  	1  	0.833192
4  	0.0483294	2.75786    	76.0724	0.296684 	8.15977    	1.63607	6  	1  	0.917236
5  	0.0503473	inf        	inf    	0.296684 	nan        	1.71242	6  	1  	1.00439 
6  	0.0519345	18.1842    	4362.06	0.288306 	248.899    	2.01954	7  	1  	1.1611  
7  	0.0527706	inf        	inf    	0.288306 	nan        	2.15909	7  	1  	1.12412 
8  	0.0543003	3.25753    	191.028	0.288305 	14.0654    	2.43366	7  	1  	1.25913 
9  	0.0558181	365.497    	112103 	0.288305 	6356.51    	2.79677	7  	1  	1.35622 
10 	0.0605712	inf        	inf    	0.288305 	nan        	3.27331	9  	1  	1.58952 
11 	0.0596306	21.786     	5824.74	0.288305 	329.544    	3.77244	11 	1  	1.79283 
12 	0.0657046	8.33403    	480.912	0.288305 	43.3741    	4.2492 	11 	1  	1.95031 
13 	0.0671587	3.18471e+57	1e+60  	0.288305 	5.63433e+58	4.70064	12 	1  	2.26989 
14 	0.068228 	inf        	inf    	0.288305 	nan        	4.84762	13 	1  	2.29885 
15 	0.069006 	47.4933    	6865.44	0.288305 	506.677    	5.11709	15 	1  	2.61971 
16 	0.0691764	inf        	inf    	0.288305 	nan        	5.4795 	16 	1  	3.0137  
17 	0.0720732	53.9948    	12333.4	0.288305 	731.648    	5.91195	17 	1  	3.29452 
18 	0.0781043	20.7859    	3610.98	0.288305 	235.579    	6.93103	17 	1  	3.82718 
19 	0.0809014	2.93048    	482.352	0.288305 	27.2172    	7.57812	17 	1  	4.09117 
20 	0.084157 	2.55488    	321.982	0.288305 	19.1573    	8.27414	17 	1  	4.23966 
21 	0.0899849	4.48833    	801.418	0.288305 	46.0773    	8.93168	17 	1  	4.32043 
22 	0.0916293	3.09598e+57	1e+60  	0.288305 	5.55553e+58	9.42415	17 	1  	4.44049 
23 	0.0949068	inf        	inf    	0.288305 	nan        	9.69444	17 	1  	4.54224 
24 	0.0969303	0.712124   	28.4439	0.288305 	2.00528    	9.88615	17 	1  	4.44411 
25 	0.099968 	inf        	inf    	0.288305 	nan        	10.2331	17 	1  	4.59671 
26 	0.104972 	6.56477    	1885.78	0.288305 	104.124    	10.9021	17 	1  	4.57251 
27 	0.108605 	0.561057   	24.8499	0.270223 	1.63399    	11.4268	17 	1  	4.31258 
28 	0.118677 	36.9411    	11253.1	0.270223 	619.905    	12.0456	17 	1  	4.27984 
29 	0.117957 	3.0303e+57 	1e+60  	0.270223 	5.49647e+58	12.0485	17 	1  	4.2101  
30 	0.117167 	6.0423e+57 	1e+60  	0.270223 	7.7497e+58 	11.858 	17 	1  	4.56319 
31 	0.120494 	6.0241e+57 	1e+60  	0.270223 	7.73809e+58	12.3705	17 	1  	4.1229  
32 	0.124784 	3.003e+57  	1e+60  	0.224179 	5.47173e+58	12.2252	17 	1  	4.44996 
33 	0.126987 	1.18238    	47.4647	0.224179 	4.75254    	11.9521	17 	1  	4.57382 
34 	0.127853 	0.785443   	22.1175	0.206551 	2.16749    	12.203 	17 	1  	4.36205 
35 	0.138053 	0.95468    	35.7338	0.206551 	3.18826    	12.3929	17 	1  	4.36577 
36 	0.131662 	2.96736e+27	1e+30  	0.206551 	5.43926e+28	11.8368	17 	1  	4.76138 
37 	0.137861 	0.740734   	73.8165	0.206551 	4.02261    	12.3639	17 	1  	4.30777 
38 	0.140147 	2.94985e+57	1e+60  	0.206551 	5.42324e+58	12.3481	17 	1  	4.40733 
39 	0.143394 	5.88235e+57	1e+60  	0.206551 	7.64706e+58	12.3706	17 	1  	4.49945 
40 	0.143972 	5.8651e+57 	1e+60  	0.198813 	7.6359e+58 	12.4457	17 	1  	4.29289 
41 	0.142131 	2.92398e+57	1e+60  	0.185908 	5.39947e+58	11.9532	17 	1  	4.5226  
42 	0.142529 	0.618364   	16.4253	0.185908 	1.36214    	11.8659	17 	1  	4.45313 
43 	0.147575 	5.81395e+57	1e+60  	0.182133 	7.60273e+58	11.7703	17 	1  	4.28724 
44 	0.143646 	2.89855e+57	1e+60  	0.138614 	5.37601e+58	11.2029	17 	1  	4.73096 
45 	0.142845 	5.78035e+57	1e+60  	0.138614 	7.58085e+58	10.896 	17 	1  	4.62472 
46 	0.148008 	5.76369e+57	1e+60  	0.138614 	7.56999e+58	11.3458	17 	1  	4.5076  
47 	0.154341 	2.87356e+57	1e+60  	0.136118 	5.35286e+58	11.7385	17 	1  	4.46609 
48 	0.158642 	2.86533e+57	1e+60  	0.136118 	5.3452e+58 	11.7249	17 	1  	4.5671  
49 	0.160294 	1.11331    	91.0653	0.136118 	5.26041    	11.7314	17 	1  	4.51624 
50 	0.170273 	2.849e+57  	1e+60  	0.137357 	5.33e+58   	11.9088	17 	1  	4.58633 
51 	0.168154 	5.68182e+57	1e+60  	0.133289 	7.51634e+58	12.125 	17 	1  	4.37662 
52 	0.172424 	2.83286e+57	1e+60  	0.122222 	5.31492e+58	12.153 	17 	1  	4.47649 
53 	0.177418 	2.82486e+57	1e+60  	0.122222 	5.30743e+58	12.4068	17 	1  	4.28287 
