   	         	                      fitness                      	              size              
   	         	---------------------------------------------------	--------------------------------
gen	time     	avg    	max        	min      	std        	avg    	max	min	std     
0  	0.0687101	485.992	138405     	0.235326 	7963.62    	1.52824	4  	1  	0.64445 
1  	0.0580044	29.538 	1446.04    	0.235326 	122.008    	1.68874	4  	1  	0.786352
2  	0.0511796	594.142	174113     	0.235326 	9985.23    	1.67327	5  	1  	0.789062
3  	0.0513275	inf    	inf        	0.235326 	nan        	1.60197	5  	1  	0.779758
4  	0.0487263	3.84388	226.239    	0.235326 	16.2162    	1.49836	5  	1  	0.71115 
5  	0.0501001	5.41875	226.239    	0.235326 	21.7892    	1.50654	4  	1  	0.677575
6  	0.0501759	7.86208	485.091    	0.235326 	39.2135    	1.60912	4  	1  	0.746533
7  	0.0524056	inf    	inf        	0.235326 	nan        	1.68182	5  	1  	0.823396
8  	0.0515759	179.739	53317.6    	0.235326 	3028.38    	1.72492	5  	1  	0.811762
9  	0.0527217	19.8071	4215.99    	0.235326 	240.54     	1.85806	5  	1  	0.841954
10 	0.0545619	4.52032	344.317    	0.235326 	27.0798    	2.04502	6  	1  	0.934115
11 	0.0556118	inf    	inf        	0.235326 	nan        	2.3109 	6  	1  	0.981957
12 	0.0569224	inf    	inf        	0.235326 	nan        	2.48562	6  	1  	1.06676 
13 	0.0581386	inf    	inf        	0.235326 	nan        	2.5414 	7  	1  	1.11727 
14 	0.0600712	950.85 	296828     	0.235326 	16697.7    	2.68889	9  	1  	1.13461 
15 	0.0601981	9.8715 	1825.98    	0.235326 	104.905    	2.81013	6  	1  	1.18349 
16 	0.0618298	inf    	inf        	0.235326 	nan        	2.82019	8  	1  	1.16298 
17 	0.0590103	2.25276	55.0095    	0.235326 	6.95733    	2.71384	8  	1  	1.22726 
18 	0.0617261	inf    	inf        	0.235326 	nan        	2.85266	8  	1  	1.29634 
19 	0.0636771	47.2169	13391.8    	0.235326 	748.641    	3.00625	8  	1  	1.4274  
20 	0.0627072	5.96662	888.278    	0.235326 	57.0407    	2.95016	9  	1  	1.48848 
21 	0.0661232	4.99231	272.458    	0.235326 	23.264     	3.10559	9  	1  	1.47906 
22 	0.0651858	1630.56	297074     	0.235326 	20310      	3.10836	9  	1  	1.53313 
23 	0.0671916	inf    	inf        	0.235326 	nan        	3.2037 	9  	1  	1.61642 
24 	0.0687382	916.097	296605     	0.235326 	16427.2    	3.44308	11 	1  	1.81633 
25 	0.0702593	3.75035	544.564    	0.235326 	32.8533    	3.74847	11 	1  	1.95295 
26 	0.0712025	7.70099	1280.02    	0.235326 	72.0937    	3.87156	11 	1  	2.0293  
27 	0.0731595	inf    	inf        	0.235326 	nan        	3.8811 	12 	1  	2.00636 
28 	0.0742168	4.51962	296.757    	0.235326 	22.7255    	4.04863	12 	1  	2.03706 
29 	0.0769875	228.411	74299.6    	0.235326 	4083.71    	4.17576	13 	1  	2.19352 
30 	0.0754442	inf    	inf        	0.235326 	nan        	4.13595	13 	1  	1.90791 
31 	0.0770974	43.4869	13334.4    	0.235326 	730.699    	4.23193	9  	1  	1.86853 
32 	0.0790448	inf    	inf        	0.235326 	nan        	4.44444	11 	1  	1.94537 
33 	0.0798476	inf    	inf        	0.235326 	nan        	4.40719	11 	1  	2.13091 
34 	0.0810671	894.872	297074     	0.235326 	16206.5    	4.62388	14 	1  	2.36934 
35 	0.0822179	3.79558	223.461    	0.235326 	19.1058    	4.75893	13 	1  	2.44065 
36 	0.08548  	inf    	inf        	0.235326 	nan        	4.77448	13 	1  	2.49561 
37 	0.0866258	inf    	inf        	0.235326 	nan        	5.09172	14 	1  	2.53272 
38 	0.0876589	inf    	inf        	0.235326 	nan        	5.16224	13 	1  	2.41069 
39 	0.0890689	4.13902	635.821    	0.235326 	37.1004    	5.31471	13 	1  	2.72964 
