   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.0742803	17125.5    	1.15217e+06	0.372022 	121706     	1.53488	4  	1  	0.62846 
1  	0.0616586	2.28403e+11	6.89776e+13	0.372022 	3.96264e+12	1.69205	5  	1  	0.793936
2  	0.0574706	inf        	inf        	0.372022 	nan        	1.64686	4  	1  	0.773348
3  	0.0576563	1963.84    	370194     	0.372022 	22480      	1.67434	5  	1  	0.771106
4  	0.0578828	11809.8    	1.15247e+06	0.372022 	99817.5    	1.69836	5  	1  	0.830266
5  	0.0566545	inf        	inf        	0.372022 	nan        	1.58824	5  	1  	0.788226
6  	0.0582402	5572.07    	1.15113e+06	0.372022 	69192.1    	1.67101	6  	1  	0.933928
7  	0.0586696	204842     	5.73297e+07	0.372022 	3.27145e+06	1.57792	5  	1  	0.787751
8  	0.0584056	2277.19    	370531     	0.372022 	24897      	1.61489	6  	1  	0.782436
9  	0.0588307	5841.49    	1.15188e+06	0.372022 	69075      	1.72903	5  	1  	0.844792
10 	0.0607998	10353.7    	1.48178e+06	0.372022 	108242     	1.87781	5  	1  	0.895428
11 	0.0610576	4179.21    	1.15159e+06	0.372022 	65308.1    	1.96154	5  	1  	0.92601 
12 	0.0618062	22.5952    	5787.57    	0.372022 	328.396    	2.07348	6  	1  	0.964729
13 	0.0660434	inf        	inf        	0.372022 	nan        	2.43631	7  	1  	1.17189 
14 	0.0682716	3970.18    	1.15293e+06	0.372022 	65049      	2.58095	6  	1  	1.18011 
15 	0.0701923	inf        	inf        	0.372022 	nan        	2.81329	7  	1  	1.30236 
16 	0.0713663	1.40519e+09	4.45447e+11	0.372022 	2.49793e+10	2.90536	7  	1  	1.3138  
17 	0.069984 	inf        	inf        	0.372022 	nan        	2.83019	9  	1  	1.28223 
18 	0.0717454	inf        	inf        	0.372022 	nan        	3.00313	9  	1  	1.33555 
19 	0.0742598	2028.64    	370362     	0.372022 	22470.7    	3.1875 	8  	1  	1.42385 
20 	0.0734839	inf        	inf        	0.372022 	nan        	3.05919	7  	1  	1.2303  
21 	0.0720189	8742.66    	1.15173e+06	0.372022 	92845.9    	3.05901	7  	1  	1.24097 
22 	0.0736122	inf        	inf        	0.372022 	nan        	3.09598	9  	1  	1.36296 
23 	0.073221 	8617.56    	1.15188e+06	0.372022 	92557.2    	3.0679 	8  	1  	1.38612 
24 	0.0748901	1.39816e+09	4.45447e+11	0.372022 	2.46743e+10	3.10462	8  	1  	1.37051 
25 	0.0759509	inf        	inf        	0.372022 	nan        	3.10123	8  	1  	1.39418 
26 	0.0742002	107977     	3.5192e+07 	0.372022 	1.94313e+06	3.14985	9  	1  	1.43318 
27 	0.0772312	inf        	inf        	0.372022 	nan        	3.29268	9  	1  	1.51406 
28 	0.0800304	2070.82    	370299     	0.332635 	25798.5    	3.45593	10 	1  	1.52548 
29 	0.0802672	1135.77    	370362     	0.332635 	20356.5    	3.40606	10 	1  	1.48894 
30 	0.0813565	inf        	inf        	0.332635 	nan        	3.53776	10 	1  	1.48739 
31 	0.0842443	565.821    	92676.7    	0.332635 	7168.22    	3.68072	9  	1  	1.71647 
32 	0.0859616	inf        	inf        	0.307714 	nan        	3.78378	11 	1  	1.77439 
33 	0.0923417	inf        	inf        	0.307714 	nan        	4.03293	10 	1  	1.91327 
34 	0.0988202	inf        	inf        	0.208541 	nan        	4.51642	11 	1  	2.16737 
35 	0.108984 	inf        	inf        	0.208541 	nan        	4.93155	11 	1  	2.29611 
36 	0.119445 	inf        	inf        	0.208541 	nan        	5.38279	14 	1  	2.5209  
37 	0.129779 	inf        	inf        	0.208541 	nan        	6.01775	14 	1  	2.80421 
38 	0.137089 	inf        	inf        	0.20678  	nan        	6.41298	13 	1  	2.93397 
39 	0.14592  	inf        	inf        	0.20678  	nan        	7.04118	17 	1  	2.99186 
40 	0.15666  	inf        	inf        	0.20678  	nan        	7.5044 	17 	1  	3.12367 
41 	0.165472 	inf        	inf        	0.20678  	nan        	7.86842	18 	1  	3.04982 
42 	0.171733 	inf        	inf        	0.205167 	nan        	8.09913	19 	1  	3.08888 
43 	0.183388 	inf        	inf        	0.187968 	nan        	8.625  	20 	1  	3.39572 
44 	0.188962 	inf        	inf        	0.187968 	nan        	9.04638	28 	1  	3.75915 
45 	0.202882 	inf        	inf        	0.187968 	nan        	9.56936	28 	1  	4.19842 
46 	0.206693 	inf        	inf        	0.187968 	nan        	9.91643	29 	1  	3.95675 
47 	0.216701 	inf        	inf        	0.187968 	nan        	10.5431	33 	1  	4.63258 
48 	0.219015 	inf        	inf        	0.187968 	nan        	10.8166	33 	1  	4.33162 
49 	0.226643 	inf        	inf        	0.168092 	nan        	11.1486	33 	1  	4.51229 
50 	0.230716 	inf        	inf        	0.168092 	nan        	11.3789	33 	1  	5.19604 
51 	0.24615  	inf        	inf        	0.168092 	nan        	12.1307	29 	1  	5.19123 
52 	0.260466 	inf        	inf        	0.168092 	nan        	12.6516	29 	2  	5.26309 
53 	0.271236 	inf        	inf        	0.168092 	nan        	13.3079	31 	2  	5.16875 
54 	0.285948 	5076.24    	370360     	0.168092 	38133.7    	13.7155	33 	1  	5.4391  
55 	0.300581 	inf        	inf        	0.168092 	nan        	14.1657	34 	1  	6.12263 
56 	0.318205 	inf        	inf        	0.168092 	nan        	14.6779	33 	2  	6.15303 
57 	0.339704 	inf        	inf        	0.168092 	nan        	15.4218	33 	1  	5.947   
58 	0.342198 	inf        	inf        	0.168092 	nan        	15.6602	31 	1  	6.00245 
59 	0.357977 	inf        	inf        	0.163272 	nan        	16.5111	34 	1  	5.96284 
60 	0.366204 	27861.6    	8.63104e+06	0.154383 	454575     	16.4875	34 	2  	6.47094 
61 	0.376311 	inf        	inf        	0.154383 	nan        	16.9862	34 	1  	6.55089 
62 	0.405212 	inf        	inf        	0.154383 	nan        	17.7906	34 	2  	6.11688 
63 	0.420337 	inf        	inf        	0.154383 	nan        	17.6566	34 	1  	6.21238 
64 	0.421745 	1.2204e+09 	4.45447e+11	0.148912 	2.32838e+10	17.6274	32 	2  	6.27658 
65 	0.434923 	1.84706e+08	6.76018e+10	0.148912 	3.52877e+09	18.2049	32 	2  	5.85285 
66 	0.435212 	inf        	inf        	0.148912 	nan        	18.1935	34 	2  	5.72324 
67 	0.453866 	inf        	inf        	0.148912 	nan        	18.9185	34 	2  	5.53093 
68 	0.463335 	inf        	inf        	0.148912 	nan        	18.9539	34 	1  	5.88973 
69 	0.490242 	inf        	inf        	0.148912 	nan        	19.627 	34 	2  	5.84543 
70 	0.479947 	inf        	inf        	0.148912 	nan        	19.159 	34 	2  	6.24556 
71 	0.491434 	inf        	inf        	0.148912 	nan        	19.6747	34 	2  	5.72855 
