   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max     	min       	std        	avg    	max	min	std     
0  	0.0828469	15.9869    	582.892 	0.400776  	64.7704    	1.50831	4  	1  	0.613333
1  	0.0702887	3.31126e+57	1e+60   	0.235777  	5.74482e+58	1.58278	6  	1  	0.749018
2  	0.0694704	inf        	inf     	0.235777  	nan        	1.62376	4  	1  	0.747071
3  	0.0702126	29.5603    	3917.02 	0.235777  	238.678    	1.66447	5  	1  	0.747312
4  	0.0687175	33.8767    	4661.8  	0.232044  	315.583    	1.65574	4  	1  	0.748446
5  	0.0709972	6.79885    	408.107 	0.232044  	30.2816    	1.78431	6  	1  	0.823996
6  	0.0725005	inf        	inf     	0.225449  	nan        	1.84039	5  	1  	0.80951 
7  	0.0741138	inf        	inf     	0.225449  	nan        	2.06818	5  	1  	0.932056
8  	0.0767989	18.7807    	1845.17 	0.225449  	126.204    	2.39806	7  	1  	1.10609 
9  	0.0805414	9.36477    	466.534 	0.225449  	47.0843    	2.81935	8  	1  	1.1721  
10 	0.0843384	18.1016    	2127.75 	0.225449  	162.467    	3.01286	9  	1  	1.33702 
11 	0.0835376	3.20513e+57	1e+60   	0.225449  	5.65231e+58	3.16026	9  	1  	1.31801 
12 	0.0871167	16.1167    	1849.21 	0.225449  	117.432    	3.29393	9  	1  	1.36707 
13 	0.0887446	inf        	inf     	0.225449  	nan        	3.37261	10 	1  	1.38854 
14 	0.0909278	3.1746e+57 	1e+60   	0.225449  	5.62541e+58	3.68571	11 	1  	1.74927 
15 	0.0928824	5.80677    	470.995 	0.225449  	34.1004    	3.73418	10 	1  	1.51748 
16 	0.0900152	3.5744     	470.995 	0.225449  	28.153     	3.73502	8  	1  	1.50262 
17 	0.0918727	inf        	inf     	0.225449  	nan        	3.78302	12 	1  	1.56014 
18 	0.0938258	3.46184    	303.461 	0.225449  	19.8251    	3.89342	11 	1  	1.67442 
19 	0.096278 	10.1673    	1857.81 	0.22544   	108.389    	4.0125 	11 	1  	1.75352 
20 	0.09582  	77.8407    	20656.8 	0.225449  	1157.07    	4.081  	12 	1  	1.65186 
21 	0.0961964	26.7694    	5119.95 	0.22544   	306.482    	3.96273	11 	1  	1.65273 
22 	0.101406 	3.09598e+57	1e+60   	0.22544   	5.55553e+58	4.20124	11 	1  	1.79086 
23 	0.100513 	1.67306    	140     	0.203232  	8.51913    	4.32099	13 	1  	2.01278 
24 	0.108211 	inf        	inf     	0.1977    	nan        	4.90462	14 	1  	2.45829 
25 	0.113662 	15.9659    	4604.74 	0.177106  	254.687    	5.48466	18 	1  	2.97093 
26 	0.121183 	1667.86    	543395  	0.177106  	30003.6    	6.34862	18 	1  	3.23412 
27 	0.130561 	0.962373   	34.2035 	0.157252  	3.11112    	7.21037	19 	1  	3.58626 
28 	0.141354 	2.73876    	372.327 	0.157252  	22.6544    	7.96353	23 	1  	3.88809 
29 	0.154723 	3.0303e+57 	1e+60   	0.123061  	5.49647e+58	9.00606	27 	1  	4.70138 
30 	0.167954 	2.99298    	466.078 	0.122174  	26.9631    	9.7432 	31 	1  	5.35822 
31 	0.184475 	0.793762   	35.39   	0.110816  	2.66735    	10.5452	30 	1  	5.37125 
32 	0.191339 	6.48379    	1131.48 	0.0786564 	69.6612    	10.3904	30 	1  	5.06156 
33 	0.204812 	0.719281   	34.785  	0.0786564 	2.51517    	11.024 	30 	1  	5.36506 
34 	0.22477  	0.64599    	16.349  	0.0786564 	1.76208    	12.3134	38 	1  	6.10507 
35 	0.234282 	inf        	inf     	0.0642695 	nan        	12.506 	38 	2  	6.25404 
36 	0.263705 	1.62277    	401.15  	0.0642695 	21.8424    	14.1751	44 	1  	6.90518 
37 	0.275922 	0.785299   	35.5731 	0.0642695 	3.08799    	14.8254	44 	1  	7.51541 
38 	0.314535 	2.94985e+57	1e+60   	0.0568699 	5.42324e+58	16.6077	66 	2  	8.62917 
39 	0.361768 	0.744713   	128.475 	0.0568699 	7.01216    	18.4059	66 	1  	8.93374 
40 	0.378446 	0.363961   	18.6304 	0.0568699 	1.3533     	19.8094	66 	1  	10.3661 
41 	0.397486 	1.4901     	401.15  	0.0563419 	21.662     	20.6111	66 	2  	11.4735 
42 	0.434456 	2.91545e+57	1e+60   	0.0563133 	5.39162e+58	22.5423	66 	1  	13.487  
43 	0.459801 	0.252196   	8.94599 	0.0557143 	0.663634   	22.9419	66 	2  	12.1069 
44 	0.504102 	0.302812   	14.8982 	0.0556952 	1.06664    	24.0203	66 	1  	12.2153 
45 	0.57342  	2.89017e+57	1e+60   	0.0556835 	5.36826e+58	26.5029	62 	2  	12.0121 
46 	0.595803 	0.24602    	13.0509 	0.0428995 	1.01026    	27.928 	68 	2  	11.8676 
47 	0.602607 	0.592802   	105.505 	0.0428995 	5.94807    	28.0546	68 	1  	11.7561 
48 	0.639654 	0.463567   	80.3537 	0.0428995 	4.34491    	29.6762	66 	4  	11.8472 
49 	0.688216 	0.266911   	13.3734 	0.0428437 	1.01744    	31.5629	66 	1  	13.2372 
50 	0.774829 	0.138751   	2.30358 	0.0427638 	0.263388   	35.3162	67 	7  	14.2381 
