   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min       	std        	avg    	max	min	std     
0  	0.0759871	inf        	inf        	0.21336   	nan        	1.52824	4  	1  	0.64445 
1  	0.0714152	inf        	inf        	0.21336   	nan        	1.60596	4  	1  	0.709699
2  	0.0586035	inf        	inf        	0.21336   	nan        	1.57756	4  	1  	0.712749
3  	0.0622556	inf        	inf        	0.21336   	nan        	1.63158	4  	1  	0.792101
4  	0.0630329	inf        	inf        	0.21336   	nan        	1.63934	4  	1  	0.794093
5  	0.0607436	13.0069    	2492.63    	0.21336   	143.517    	1.60784	5  	1  	0.764706
6  	0.0590613	18.2461    	2993.21    	0.21336   	177.343    	1.6873 	6  	1  	0.82308 
7  	0.0593898	inf        	inf        	0.21336   	nan        	1.7987 	5  	1  	0.874456
8  	0.0602431	inf        	inf        	0.21336   	nan        	1.80583	5  	1  	0.852086
9  	0.0592518	6.85267    	619.179    	0.21336   	47.681     	1.86129	5  	1  	0.836728
10 	0.0604253	inf        	inf        	0.21336   	nan        	1.91961	5  	1  	0.835295
11 	0.0617216	13.204     	1265.51    	0.205266  	105.979    	2.02244	7  	1  	0.882237
12 	0.0624349	inf        	inf        	0.205266  	nan        	2.1278 	5  	1  	0.880909
13 	0.0653026	inf        	inf        	0.194075  	nan        	2.31529	5  	1  	0.930356
14 	0.0646205	5.13036    	943.435    	0.194075  	53.3809    	2.33016	6  	1  	1.03228 
15 	0.0674458	inf        	inf        	0.194075  	nan        	2.43038	7  	1  	1.12152 
16 	0.0685658	172.444    	39141.7    	0.193688  	2296.54    	2.67508	9  	1  	1.3821  
17 	0.0708704	13.1341    	2434.07    	0.193688  	140.39     	2.87736	8  	1  	1.42993 
18 	0.0695682	inf        	inf        	0.193688  	nan        	2.92476	8  	1  	1.49837 
19 	0.0717051	9.74027    	2434.07    	0.193688  	136.076    	3.19375	8  	1  	1.57915 
20 	0.0746231	28.5295    	5491.33    	0.193688  	348.346    	3.23053	9  	1  	1.4756  
21 	0.0764823	inf        	inf        	0.193688  	nan        	3.43478	10 	1  	1.65234 
22 	0.0814998	inf        	inf        	0.193688  	nan        	3.85449	10 	1  	1.84051 
23 	0.0845327	inf        	inf        	0.193688  	nan        	4.39815	16 	1  	2.09617 
24 	0.0864818	inf        	inf        	0.193688  	nan        	4.64308	16 	1  	2.38753 
25 	0.091615 	inf        	inf        	0.193688  	nan        	5.07669	13 	1  	2.46763 
26 	0.0924089	20.2203    	3022.69    	0.193688  	235.031    	5.44648	14 	1  	2.70395 
27 	0.0948126	12.4127    	2446       	0.193431  	139.212    	5.6189 	15 	1  	2.7538  
