   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min        	std        	avg    	max	min	std     
0  	0.543181	185.93     	46249.1    	0.168889   	2674.79    	1.62458	4  	1  	0.683401
1  	0.54788 	inf        	inf        	0.0580763  	nan        	1.60927	4  	1  	0.736679
2  	0.554761	inf        	inf        	0.0141966  	nan        	1.60066	4  	1  	0.750533
3  	0.556996	3.19899    	446.25     	0.0141966  	26.3222    	1.53947	4  	1  	0.728928
4  	0.555971	50.8914    	11556.4    	0.00822331 	680.781    	1.57377	4  	1  	0.725621
5  	0.571345	inf        	inf        	0.00822331 	nan        	1.56209	5  	1  	0.811116
6  	0.571102	inf        	inf        	0.00822331 	nan        	1.57003	5  	1  	0.829513
7  	0.576478	292.799    	60861.8    	0.0038465  	3763.53    	1.6526 	5  	1  	0.867576
8  	0.5791  	inf        	inf        	0.0038465  	nan        	1.68285	5  	1  	0.960244
9  	0.583352	1.49122    	109.502    	0.0038465  	8.92407    	1.75161	5  	1  	0.966994
10 	0.611473	inf        	inf        	0.0038465  	nan        	1.97749	5  	1  	1.1037  
11 	0.627073	inf        	inf        	0.00328661 	nan        	2.15385	7  	1  	1.3712  
12 	0.670224	inf        	inf        	0.00328661 	nan        	2.48562	8  	1  	1.58486 
13 	0.698768	inf        	inf        	0.00328661 	nan        	2.74841	10 	1  	1.73125 
14 	0.752886	inf        	inf        	0.00200888 	nan        	3.4127 	10 	1  	2.09182 
15 	0.827887	inf        	inf        	0.00143119 	nan        	4.19937	10 	1  	2.20503 
16 	0.904673	inf        	inf        	0.00137168 	nan        	4.71924	10 	1  	2.25504 
17 	0.985675	inf        	inf        	0.00137168 	nan        	5.30818	10 	1  	2.21899 
18 	0.971415	inf        	inf        	0.00137168 	nan        	5.57053	10 	1  	2.42516 
19 	1.0237  	inf        	inf        	0.00133277 	nan        	6.075  	10 	1  	2.39283 
20 	1.0333  	inf        	inf        	0.00133277 	nan        	6.25545	10 	1  	2.53883 
21 	1.05325 	inf        	inf        	0.0010366  	nan        	6.40373	10 	1  	2.54861 
22 	1.05817 	inf        	inf        	0.000739965	nan        	6.39628	10 	1  	2.46416 
23 	1.10177 	inf        	inf        	0.000739965	nan        	6.6142 	10 	1  	2.52688 
24 	1.07958 	134.053    	15229.5    	0.000739965	1049.59    	6.34154	10 	1  	2.66665 
25 	1.07536 	inf        	inf        	0.000739965	nan        	6.56748	10 	1  	2.52595 
26 	1.0759  	inf        	inf        	0.000739965	nan        	6.56269	10 	1  	2.4585  
27 	1.07941 	inf        	inf        	0.000219855	nan        	6.39329	10 	1  	2.50625 
28 	1.11173 	inf        	inf        	0.000219855	nan        	6.80547	10 	1  	2.47391 
29 	1.13751 	inf        	inf        	0.000219855	nan        	6.93636	10 	1  	2.50434 
30 	1.14455 	inf        	inf        	6.96684e-05	nan        	6.87613	10 	1  	2.59672 
31 	1.1531  	1.25057e+07	4.15186e+09	6.96684e-05	2.2752e+08 	6.90964	10 	1  	2.68041 
32 	1.19428 	inf        	inf        	6.96684e-05	nan        	7.07508	10 	1  	2.52264 
33 	1.21477 	inf        	inf        	6.96684e-05	nan        	7.11377	10 	1  	2.6114  
34 	1.20345 	48.2257    	15229.5    	6.96684e-05	830.954    	7.21194	10 	1  	2.62931 
35 	1.23239 	inf        	inf        	6.96684e-05	nan        	7.14881	10 	1  	2.72038 
36 	1.24918 	inf        	inf        	6.96684e-05	nan        	7.41543	10 	1  	2.58381 
37 	1.31277 	5.75687e+06	1.94579e+09	6.96684e-05	1.05681e+08	7.57692	10 	1  	2.451   
38 	1.30512 	95.1139    	26015.2    	6.96684e-05	1422.19    	7.66667	10 	1  	2.35327 
39 	1.32277 	5349.32    	1.69947e+06	3.1485e-05 	92186.7    	7.75   	10 	1  	2.36628 
40 	1.31637 	inf        	inf        	3.1485e-05 	nan        	7.78592	10 	1  	2.38235 
41 	1.29688 	inf        	inf        	3.1485e-05 	nan        	7.94737	10 	1  	2.40677 
42 	1.2616  	inf        	inf        	3.1485e-05 	nan        	8.03207	10 	1  	2.27718 
43 	1.24993 	128.281    	15262      	3.1485e-05 	1203.24    	8.03779	10 	1  	2.31935 
44 	1.21252 	7970.25    	1.72454e+06	3.1485e-05 	107223     	7.63188	10 	1  	2.52193 
45 	1.19453 	inf        	inf        	3.1485e-05 	nan        	7.58382	10 	1  	2.47652 
46 	1.17374 	inf        	inf        	3.1485e-05 	nan        	7.62824	10 	1  	2.44657 
47 	1.21628 	inf        	inf        	3.1485e-05 	nan        	7.87931	10 	1  	2.40027 
48 	1.1732  	inf        	inf        	3.1485e-05 	nan        	7.59599	10 	1  	2.48896 
49 	1.1839  	inf        	inf        	3.1485e-05 	nan        	7.62571	10 	1  	2.42132 
50 	1.15394 	inf        	inf        	3.1485e-05 	nan        	7.41026	10 	1  	2.61321 
51 	1.18081 	2665.55    	875567     	3.1485e-05 	46676.4    	7.54545	10 	1  	2.3314  
52 	1.17902 	inf        	inf        	2.15978e-05	nan        	7.33994	10 	1  	2.49941 
53 	1.18097 	347.783    	118294     	2.15978e-05	6278.11    	7.46328	10 	1  	2.41583 
54 	1.1952  	inf        	inf        	2.15978e-05	nan        	7.55493	10 	1  	2.4813  
55 	1.20519 	20.6559    	2893.55    	2.15978e-05	218.318    	7.57584	10 	1  	2.57852 
56 	1.20589 	inf        	inf        	2.15978e-05	nan        	7.69188	10 	1  	2.48249 
57 	1.21483 	25.8741    	2891.65    	2.11378e-05	190.081    	7.77654	10 	1  	2.34826 
58 	1.23569 	inf        	inf        	2.11378e-05	nan        	7.74095	10 	1  	2.59467 
59 	1.26663 	inf        	inf        	2.11378e-05	nan        	7.925  	10 	1  	2.53365 
60 	1.26932 	5.37508e+06	1.9404e+09 	2.11378e-05	1.01985e+08	8.04709	10 	1  	2.47771 
61 	1.27076 	328.877    	118069     	2.11378e-05	6196.93    	7.91713	10 	1  	2.55736 
62 	1.27563 	7.96152    	722.27     	2.11378e-05	58.1432    	7.98072	10 	1  	2.53399 
63 	1.26369 	4679.89    	1.67462e+06	2.11378e-05	87653.5    	7.78571	10 	1  	2.76223 
64 	1.29211 	inf        	inf        	2.11378e-05	nan        	7.96986	10 	1  	2.75615 
65 	1.29028 	48.0671    	5817.12    	2.11378e-05	414.355    	8.13661	10 	1  	2.63497 
66 	1.31814 	inf        	inf        	2.11378e-05	nan        	8.26975	10 	1  	2.54993 
67 	1.33982 	252.625    	60924.7    	2.11378e-05	3324.18    	8.10326	10 	1  	2.7446  
68 	1.32779 	inf        	inf        	2.11378e-05	nan        	8.40379	10 	1  	2.47198 
69 	1.30612 	4823.8     	1.67463e+06	2.11378e-05	87052.7    	8.13243	10 	1  	2.7066  
70 	1.30715 	inf        	inf        	2.11378e-05	nan        	8.14016	10 	1  	2.69206 
71 	1.33768 	41.9974    	6783.27    	2.11378e-05	497.586    	8.37903	10 	1  	2.53553 
72 	1.33706 	inf        	inf        	2.11378e-05	nan        	8.40483	10 	1  	2.43845 
73 	1.37451 	6214.57    	1.69924e+06	2.11378e-05	93015.3    	8.36364	10 	1  	2.48662 
74 	1.33379 	inf        	inf        	2.11378e-05	nan        	8.04   	10 	1  	2.79161 
75 	1.37564 	1225.27    	432571     	2.11378e-05	22290.7    	8.03457	10 	1  	2.79082 
76 	1.3586  	inf        	inf        	2.11378e-05	nan        	8.19098	10 	1  	2.68321 
77 	1.34652 	inf        	inf        	2.11378e-05	nan        	8.09524	10 	1  	2.80144 
78 	1.33795 	inf        	inf        	2.11378e-05	nan        	8.11346	10 	1  	2.61017 
79 	1.33463 	inf        	inf        	2.11378e-05	nan        	8.05526	10 	1  	2.63171 
80 	1.34172 	inf        	inf        	2.11378e-05	nan        	8.17585	10 	1  	2.60588 
81 	1.34492 	5.09416e+06	1.94579e+09	2.11378e-05	9.94251e+07	8.04188	10 	1  	2.7654  
82 	1.35856 	5.06636e+06	1.9404e+09 	2.11378e-05	9.90204e+07	8.29243	10 	1  	2.58901 
83 	1.37505 	inf        	inf        	2.11378e-05	nan        	7.97917	10 	1  	2.88758 
84 	1.35426 	46.8041    	15262      	2.11378e-05	781.722    	7.94805	10 	1  	2.89063 
85 	1.37847 	inf        	inf        	2.11378e-05	nan        	8.2513 	10 	1  	2.60958 
86 	1.39796 	5.0281e+06 	1.94579e+09	2.11378e-05	9.87824e+07	8.29457	10 	1  	2.62783 
87 	1.42382 	6.90766    	449.922    	2.11378e-05	46.606     	8.47938	10 	1  	2.48648 
88 	1.39223 	inf        	inf        	1.43473e-05	nan        	8.20566	10 	1  	2.74426 
89 	1.4287  	36.1915    	4271.62    	1.43473e-05	315.641    	8.31538	10 	1  	2.6642  
90 	1.42136 	4.96268e+06	1.9404e+09 	1.43473e-05	9.80048e+07	8.37084	10 	1  	2.58326 
91 	1.42039 	4336.39    	1.69924e+06	1.43473e-05	85714.8    	8.33673	10 	1  	2.57517 
92 	1.42625 	inf        	inf        	1.43473e-05	nan        	8.257  	10 	1  	2.65825 
93 	1.44475 	inf        	inf        	1.43473e-05	nan        	8.30457	10 	1  	2.66841 
94 	1.48293 	inf        	inf        	1.43473e-05	nan        	8.42532	10 	1  	2.44564 
95 	1.47189 	inf        	inf        	1.43473e-05	nan        	8.38131	10 	1  	2.64165 
96 	1.48453 	inf        	inf        	1.43473e-05	nan        	8.29723	10 	1  	2.63904 
97 	1.48976 	4120.89    	1.63821e+06	1.43473e-05	82012.7    	8.28894	10 	1  	2.66928 
98 	1.49719 	87.9801    	23740.7    	1.43473e-05	1242.27    	8.27569	10 	1  	2.73274 
99 	1.528   	18.7248    	2889.43    	1.4213e-05 	164.376    	8.4    	10 	1  	2.55049 
100	1.53622 	20980.1    	6.68693e+06	1.4213e-05 	343905     	8.52618	10 	1  	2.47983 
101	1.55713 	inf        	inf        	1.4213e-05 	nan        	8.50498	10 	1  	2.60524 
102	1.55216 	inf        	inf        	1.4213e-05 	nan        	8.3201 	10 	1  	2.70268 
103	1.57756 	27.4423    	3097.02    	1.4213e-05 	251.712    	8.57921	10 	1  	2.50764 
104	1.6273  	inf        	inf        	1.4213e-05 	nan        	8.6716 	10 	1  	2.39306 
105	1.57917 	inf        	inf        	1.4213e-05 	nan        	8.43596	10 	1  	2.55859 
106	1.62524 	1540.4     	599522     	1.4213e-05 	29700.9    	8.57494	10 	1  	2.51163 
107	1.61242 	11.2402    	2891.65    	1.4213e-05 	147.432    	8.44853	10 	1  	2.66464 
108	1.58541 	1.64746    	245.935    	1.4213e-05 	14.4725    	8.29829	10 	1  	2.79696 
109	1.60901 	104680     	4.12048e+07	1.4213e-05 	2.034e+06  	8.31707	10 	1  	2.65715 
110	1.58752 	inf        	inf        	1.4213e-05 	nan        	8.21655	10 	1  	2.64884 
111	1.59046 	4.71385e+06	1.9404e+09 	1.4213e-05 	9.54805e+07	8.32524	10 	1  	2.58281 
112	1.6056  	inf        	inf        	1.4213e-05 	nan        	8.37772	10 	1  	2.62465 
113	1.64678 	inf        	inf        	1.4213e-05 	nan        	8.51932	10 	1  	2.52492 
114	1.59804 	inf        	inf        	1.4213e-05 	nan        	8.28675	10 	1  	2.72378 
115	1.63335 	inf        	inf        	1.4213e-05 	nan        	8.35096	10 	1  	2.68756 
116	1.64766 	inf        	inf        	1.4213e-05 	nan        	8.47962	10 	1  	2.5913  
117	1.60746 	44.3963    	9580.08    	1.4213e-05 	548.669    	8.51435	10 	1  	2.48749 
118	1.5864  	47.784     	14388.1    	1.4213e-05 	712.641    	8.36277	10 	1  	2.61301 
119	1.58094 	15884.3    	6.63255e+06	1.4213e-05 	323247     	8.25476	10 	1  	2.69821 
120	1.61035 	inf        	inf        	1.4213e-05 	nan        	8.19715	10 	1  	2.72171 
121	1.59805 	inf        	inf        	1.4213e-05 	nan        	8.2109 	10 	1  	2.76155 
122	1.65082 	inf        	inf        	1.4213e-05 	nan        	8.56738	10 	1  	2.49815 
123	1.64392 	inf        	inf        	1.4213e-05 	nan        	8.57075	10 	1  	2.481   
124	1.63841 	inf        	inf        	1.4213e-05 	nan        	8.41176	10 	1  	2.60088 
125	1.60541 	21.5427    	7781.97    	1.4213e-05 	377.722    	8.33333	10 	1  	2.6848  
126	1.621   	2441.44    	952478     	1.4213e-05 	46142.9    	8.33724	10 	1  	2.64152 
127	1.61513 	3933.02    	1.67462e+06	1.4213e-05 	80850.5    	8.14019	10 	1  	2.81169 
128	1.64536 	inf        	inf        	1.4213e-05 	nan        	8.49184	10 	1  	2.44531 
129	1.64704 	3857.58    	1.65814e+06	1.4213e-05 	79869.3    	8.53488	10 	1  	2.50626 
130	1.64972 	inf        	inf        	1.4213e-05 	nan        	8.42691	10 	1  	2.49242 
131	1.6633  	inf        	inf        	1.4213e-05 	nan        	8.38889	10 	1  	2.57421 
