   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min        	std        	avg    	max	min	std     
0  	0.0626101	6.30731    	361.682    	0.169647   	30.7902    	1.59468	4  	1  	0.697769
1  	0.0617549	inf        	inf        	0.00709609 	nan        	1.52318	4  	1  	0.628616
2  	0.063637 	inf        	inf        	0.00709609 	nan        	1.58746	4  	1  	0.769536
3  	0.0625293	7.91218    	1235.81    	0.00709609 	76.3324    	1.52632	4  	1  	0.760431
4  	0.0635035	inf        	inf        	0.00709609 	nan        	1.59016	4  	1  	0.77199 
5  	0.0653095	inf        	inf        	0.00709609 	nan        	1.63072	5  	1  	0.842637
6  	0.0657575	inf        	inf        	0.00709609 	nan        	1.72964	5  	1  	0.903414
7  	0.0677602	inf        	inf        	0.00709609 	nan        	1.8474 	5  	1  	1.03796 
8  	0.0660925	inf        	inf        	0.00357067 	nan        	1.80906	5  	1  	1.03613 
9  	0.0671656	6.73623    	1235.81    	0.00357067 	71.2518    	1.87742	6  	1  	1.12643 
10 	0.0682847	inf        	inf        	0.00357067 	nan        	1.97428	6  	1  	1.11666 
11 	0.0701199	inf        	inf        	0.00333616 	nan        	2.10897	6  	1  	1.1634  
12 	0.0709977	inf        	inf        	0.00126476 	nan        	2.1853 	6  	1  	1.20337 
13 	0.0746429	inf        	inf        	0.00126476 	nan        	2.50637	8  	1  	1.28004 
14 	0.0777633	inf        	inf        	0.00126476 	nan        	2.8127 	8  	1  	1.29462 
15 	0.0786772	inf        	inf        	0.00126476 	nan        	3.05063	8  	1  	1.44431 
16 	0.0839548	inf        	inf        	0.00126476 	nan        	3.26183	10 	1  	1.54559 
17 	0.0850086	inf        	inf        	0.00122405 	nan        	3.61006	10 	1  	1.6518  
18 	0.0889025	14.1989    	2670.51    	0.00122405 	157.082    	3.75862	10 	1  	1.8741  
19 	0.0881922	5.25687    	363.543    	0.00122405 	31.7575    	3.88125	10 	1  	1.91008 
20 	0.0892408	inf        	inf        	0.00122405 	nan        	4.12461	12 	1  	2.02862 
21 	0.0928984	inf        	inf        	0.00120187 	nan        	4.53727	12 	1  	2.32329 
22 	0.0986164	inf        	inf        	0.00120187 	nan        	5.16099	13 	1  	2.67521 
