   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min        	std        	avg    	max	min	std     
0  	0.0611873	3.61396    	245.356    	0.0188216  	15.2487    	1.52492	4  	1  	0.654814
1  	0.0629895	20.9656    	5681.57    	0.0188216  	326.389    	1.63576	4  	1  	0.754531
2  	0.0639892	inf        	inf        	0.0188216  	nan        	1.67327	4  	1  	0.759219
3  	0.0643606	2.1844     	191.211    	0.0188216  	11.6791    	1.67105	4  	1  	0.80112 
4  	0.0640874	1.79591    	46.7982    	0.0188216  	6.06309    	1.63934	4  	1  	0.751671
5  	0.0640094	inf        	inf        	0.0188216  	nan        	1.62745	4  	1  	0.753054
6  	0.0649121	1.62662    	46.7982    	0.0188216  	4.22143    	1.6873 	5  	1  	0.790787
7  	0.0643277	6.58741    	546.884    	0.0188216  	47.3979    	1.66558	5  	1  	0.810954
8  	0.0657349	4.85245    	546.884    	0.0188216  	33.4503    	1.7055 	5  	1  	0.935113
9  	0.0663643	inf        	inf        	0.0188216  	nan        	1.69032	5  	1  	0.957603
10 	0.066273 	3.12667    	544.614    	0.0188216  	31.055     	1.62379	5  	1  	0.880266
11 	0.0646877	1.09708    	62.622     	0.0188216  	4.65153    	1.53205	5  	1  	0.803995
12 	0.0659864	2.9336     	476.918    	0.0188216  	27.2635    	1.61661	6  	1  	0.84972 
13 	0.0665507	26.9877    	6834.85    	0.0188216  	387.388    	1.66242	6  	1  	0.874655
14 	0.068043 	13.0142    	1653.67    	0.0188216  	129.555    	1.81587	6  	1  	1.09446 
15 	0.0697513	30.9492    	6593       	0.0188216  	390.005    	1.93671	7  	1  	1.12331 
16 	0.0693798	inf        	inf        	0.0188216  	nan        	1.92744	7  	1  	1.13911 
17 	0.070657 	4.15198    	534.552    	0.0188216  	32.4857    	1.95912	7  	1  	1.11376 
18 	0.0709701	2.55924    	178.389    	0.0127617  	12.2856    	1.8652 	6  	1  	1.01278 
19 	0.0726309	10.3199    	2127.02    	0.0127617  	122.285    	2.09687	8  	1  	1.10113 
20 	0.0732522	1.54279    	53.0895    	0.0127617  	4.56103    	2.14953	7  	1  	1.08634 
21 	0.0772583	5.48422    	1261.34    	0.0127617  	70.193     	2.37578	9  	1  	1.27022 
22 	0.0788856	inf        	inf        	0.00862474 	nan        	2.59133	6  	1  	1.27133 
23 	0.0814242	inf        	inf        	0.00346985 	nan        	2.73765	8  	1  	1.38187 
24 	0.0822322	inf        	inf        	0.00346985 	nan        	2.8    	7  	1  	1.35647 
25 	0.101404 	inf        	inf        	0.00346985 	nan        	2.91411	8  	1  	1.4691  
26 	0.0855312	inf        	inf        	0.00346985 	nan        	3.01223	9  	1  	1.57964 
27 	0.0913696	inf        	inf        	0.00346985 	nan        	3.40244	11 	1  	1.8926  
28 	0.0934629	inf        	inf        	0.00346985 	nan        	3.55623	11 	1  	2.06521 
29 	0.0958374	inf        	inf        	0.00346985 	nan        	3.89394	11 	1  	2.1973  
30 	0.0978632	inf        	inf        	0.00346985 	nan        	4.08761	14 	1  	2.41249 
31 	0.10117  	inf        	inf        	0.00346985 	nan        	4.35241	15 	1  	2.52563 
32 	0.105799 	inf        	inf        	0.00346985 	nan        	4.74474	16 	1  	2.7549  
33 	0.112518 	inf        	inf        	0.00346985 	nan        	5.29042	18 	1  	3.1092  
34 	0.118198 	inf        	inf        	0.00197771 	nan        	5.51642	18 	1  	3.09726 
35 	0.119786 	inf        	inf        	0.00197771 	nan        	5.77976	18 	1  	3.51769 
36 	0.128352 	inf        	inf        	0.00166123 	nan        	6.56083	18 	1  	3.61377 
37 	0.136234 	inf        	inf        	0.00166123 	nan        	7.47633	20 	1  	4.03766 
38 	0.151157 	inf        	inf        	0.00166123 	nan        	8.53687	27 	2  	4.54096 
39 	0.166798 	inf        	inf        	0.00166123 	nan        	9.99706	25 	1  	4.82304 
40 	0.179427 	inf        	inf        	0.00166123 	nan        	10.8886	27 	1  	5.42606 
41 	0.203669 	50.9169    	13871.1    	0.00166123 	760.035    	12.3596	27 	1  	5.94831 
42 	0.22588  	5.46921    	658.232    	0.000970161	48.4565    	13.828 	31 	1  	6.15752 
43 	0.2343   	18.8826    	3395.73    	0.000722422	219.277    	14.0872	32 	1  	6.30277 
44 	0.26123  	inf        	inf        	0.000132532	nan        	15.5449	32 	1  	6.52166 
45 	0.296197 	inf        	inf        	0.000132532	nan        	17.0867	34 	2  	6.79497 
46 	0.316809 	445.563    	151618     	0.000132532	8127.85    	18.2594	34 	2  	6.62078 
47 	0.352716 	302.995    	105360     	0.000132532	5639.75    	20.0661	34 	1  	7.05347 
48 	0.380503 	inf        	inf        	0.000132532	nan        	21.9656	34 	2  	6.52647 
49 	0.371073 	5.45444    	1014.32    	0.000132532	62.4486    	21.7629	34 	1  	7.22957 
50 	0.377397 	12.5448    	2125.83    	0.000132532	123.503    	22.2051	34 	1  	7.35065 
51 	0.383811 	112.677    	26338.5    	0.000132532	1469.96    	22.4659	34 	2  	8.07099 
