   	         	                      fitness                      	              size              
   	         	---------------------------------------------------	--------------------------------
gen	time     	avg        	max    	min       	std        	avg    	max	min	std     
0  	0.0645199	inf        	inf    	0.00200351	nan        	1.61794	5  	1  	0.731501
1  	0.0640342	1.07616e+58	1e+60  	0.00200351	9.37187e+58	1.56291	5  	1  	0.728567
2  	0.0648825	inf        	inf    	0.00200351	nan        	1.58746	5  	1  	0.756561
3  	0.0647812	inf        	inf    	0.00200351	nan        	1.52632	4  	1  	0.756093
4  	0.0646274	7.25995e+57	1e+60  	0.00200351	8.15795e+58	1.48852	4  	1  	0.71106 
5  	0.0647721	inf        	inf    	0.00200351	nan        	1.44118	5  	1  	0.717296
6  	0.0655441	3.37366e+57	1e+60  	0.00200351	5.70097e+58	1.49186	5  	1  	0.763008
7  	0.0654554	8.6274     	2271.86	0.00200351	129.322    	1.49675	4  	1  	0.787477
8  	0.065753 	7.28155e+57	1e+60  	0.00200351	8.13741e+58	1.49838	5  	1  	0.757378
9  	0.0681169	9.67742e+57	1e+60  	0.00200351	9.78967e+58	1.42903	4  	1  	0.718284
10 	0.0676684	4.01929e+57	1e+60  	0.00200351	5.83116e+58	1.57878	6  	1  	0.825284
11 	0.0655344	3.20513e+57	1e+60  	0.00200351	5.65231e+58	1.51923	4  	1  	0.767707
12 	0.0670094	7.1885e+57 	1e+60  	0.00200351	7.30732e+58	1.53355	5  	1  	0.732403
13 	0.0671744	inf        	inf    	0.00200351	nan        	1.49682	4  	1  	0.745468
14 	0.0685341	inf        	inf    	0.00200351	nan        	1.57143	4  	1  	0.749906
15 	0.0675421	inf        	inf    	0.00200351	nan        	1.58861	4  	1  	0.725919
16 	0.0682309	inf        	inf    	0.00200351	nan        	1.59621	4  	1  	0.72433 
17 	0.0682352	inf        	inf    	0.00200351	nan        	1.62579	5  	1  	0.757496
18 	0.0692313	1.17555e+58	1e+60  	0.00200351	1.05022e+59	1.65204	4  	1  	0.739347
19 	0.0680182	inf        	inf    	0.00200351	nan        	1.5875 	4  	1  	0.797555
20 	0.0686142	9.34579e+57	1e+60  	0.00200351	9.62208e+58	1.58567	5  	1  	0.796984
21 	0.0705838	inf        	inf    	0.00200351	nan        	1.68323	5  	1  	0.908363
22 	0.0709746	inf        	inf    	0.00200351	nan        	1.8483 	6  	1  	1.06676 
23 	0.0714376	inf        	inf    	0.00200351	nan        	1.84259	5  	1  	1.02886 
24 	0.073493 	inf        	inf    	0.00200351	nan        	1.92615	7  	1  	1.15323 
25 	0.071398 	5.3681e+57 	1e+60  	0.00200351	6.90227e+58	1.76687	6  	1  	1.04834 
26 	0.0719965	inf        	inf    	0.00200351	nan        	1.79511	5  	1  	1.08263 
27 	0.07108  	8.38415e+57	1e+60  	0.00200351	8.79898e+58	1.7622 	7  	1  	1.17059 
28 	0.0728233	inf        	inf    	0.00200351	nan        	1.84195	6  	1  	1.17183 
29 	0.0739672	inf        	inf    	0.00200351	nan        	1.86061	6  	1  	1.21054 
30 	0.0745633	inf        	inf    	0.00200351	nan        	2.03021	8  	1  	1.43088 
31 	0.0752001	inf        	inf    	0.00200351	nan        	2.10542	7  	1  	1.41986 
32 	0.0767529	inf        	inf    	0.00200351	nan        	2.17718	6  	1  	1.44004 
33 	0.0794964	1.72156e+58	1e+60  	0.00200351	1.27898e+59	2.38323	9  	1  	1.53692 
34 	0.0814748	inf        	inf    	0.00200351	nan        	2.64478	9  	1  	1.71449 
35 	0.0834982	inf        	inf    	0.00200351	nan        	2.79464	9  	1  	1.68752 
36 	0.0839298	inf        	inf    	0.00200351	nan        	2.92285	9  	1  	1.89015 
37 	0.0855658	inf        	inf    	0.00200351	nan        	3.00888	14 	1  	2.03735 
38 	0.0863075	inf        	inf    	0.00200351	nan        	3.03835	9  	1  	1.899   
39 	0.0889421	inf        	inf    	0.00200351	nan        	3.21765	10 	1  	1.91733 
40 	0.0875394	inf        	inf    	0.00200351	nan        	3.1437 	10 	1  	1.85703 
41 	0.0917234	inf        	inf    	0.00200351	nan        	3.54386	10 	1  	2.02675 
42 	0.0951262	inf        	inf    	0.00200351	nan        	3.77551	10 	1  	2.07983 
43 	0.0996327	inf        	inf    	0.00200351	nan        	4.18023	16 	1  	2.44047 
44 	0.104536 	inf        	inf    	0.00200351	nan        	4.43188	12 	1  	2.49907 
45 	0.108244 	inf        	inf    	0.00200351	nan        	4.93642	17 	1  	2.66133 
