   	       	                          fitness                          	              size              
   	       	-----------------------------------------------------------	--------------------------------
gen	time   	avg        	max        	min        	std        	avg    	max	min	std     
0  	1.07319	208.853    	55735.5    	0.164192   	3213.91    	1.62458	4  	1  	0.683401
1  	1.05163	inf        	inf        	0.0569321  	nan        	1.60927	4  	1  	0.736679
2  	1.07324	inf        	inf        	0.00140786 	nan        	1.61386	5  	1  	0.778892
3  	1.08803	20.9939    	3077.31    	0.00140786 	239.904    	1.58882	4  	1  	0.755685
4  	1.06478	inf        	inf        	0.00140786 	nan        	1.59016	5  	1  	0.792941
5  	1.10572	inf        	inf        	0.00140786 	nan        	1.66993	4  	1  	0.862553
6  	1.13376	inf        	inf        	0.00140786 	nan        	1.74919	5  	1  	0.961282
7  	1.14119	inf        	inf        	0.00140786 	nan        	1.7987 	5  	1  	1.03434 
8  	1.13451	1.3164     	70.4499    	0.00140786 	5.2671     	1.74434	5  	1  	0.980064
9  	1.15025	7.33627    	1766.94    	0.00140786 	100.539    	1.78387	4  	1  	0.991121
10 	1.18324	2.96079    	199.233    	0.00140786 	15.5968    	2.01286	5  	1  	1.08771 
11 	1.21423	2.88159    	192.803    	0.00140786 	15.3896    	2.11859	5  	1  	1.15277 
12 	1.26993	inf        	inf        	0.00140786 	nan        	2.33227	5  	1  	1.20096 
13 	1.39323	inf        	inf        	0.00140786 	nan        	2.74204	5  	1  	1.29932 
14 	1.43384	949.891    	240283     	0.0013484  	13700.9    	2.99365	5  	1  	1.35926 
15 	1.4992 	23.8234    	3481.58    	0.0013484  	271.188    	3.37658	5  	1  	1.28549 
16 	1.55541	inf        	inf        	0.0013484  	nan        	3.47634	5  	1  	1.18225 
17 	1.55476	inf        	inf        	0.0013484  	nan        	3.49371	5  	1  	1.18625 
18 	1.56549	inf        	inf        	0.0013484  	nan        	3.55486	5  	1  	1.18347 
19 	1.57771	24.2627    	5510.27    	0.00130765 	311.906    	3.63437	5  	1  	1.15139 
20 	1.55397	inf        	inf        	0.00130765 	nan        	3.57632	5  	1  	1.21822 
21 	1.55016	25.063     	3356.63    	0.00130765 	264.166    	3.53416	5  	1  	1.22109 
22 	1.55265	40.7848    	3488.14    	0.00130765 	339.858    	3.64706	5  	1  	1.13727 
23 	1.60413	inf        	inf        	0.00130765 	nan        	3.71605	5  	1  	1.11094 
24 	1.5896 	inf        	inf        	0.00130765 	nan        	3.72308	5  	1  	1.23423 
25 	1.62277	inf        	inf        	0.00130765 	nan        	3.88037	5  	1  	1.17793 
26 	1.60288	inf        	inf        	0.00130765 	nan        	3.85933	5  	1  	1.22852 
27 	1.60293	2.90091    	196.738    	0.00129056 	17.5829    	3.91463	5  	1  	1.20417 
28 	1.58799	inf        	inf        	0.00129056 	nan        	3.88754	5  	1  	1.15229 
29 	1.5959 	4.63482    	341.946    	0.00129056 	28.7749    	3.90303	5  	1  	1.25154 
30 	1.61473	inf        	inf        	0.00129056 	nan        	4.03323	5  	1  	1.17968 
31 	1.63559	25.1421    	3488.14    	0.00129056 	269.116    	4.06024	5  	1  	1.22326 
32 	1.66695	inf        	inf        	0.00129056 	nan        	3.99399	5  	1  	1.28047 
33 	1.64635	inf        	inf        	0.00129056 	nan        	3.94311	5  	1  	1.34021 
34 	1.62677	inf        	inf        	0.00129056 	nan        	3.92836	5  	1  	1.33638 
35 	1.66543	inf        	inf        	0.00129056 	nan        	4.05952	5  	1  	1.24739 
36 	1.6763 	52.2847    	17120.5    	0.00129056 	931.232    	4.1632 	5  	1  	1.16581 
37 	1.67214	13.9842    	3353.76    	0.00129056 	186.6      	4.08284	5  	1  	1.25656 
38 	1.6986 	inf        	inf        	0.00129056 	nan        	4.16224	5  	1  	1.17254 
39 	1.6919 	74.1957    	13976.1    	0.00129056 	813.757    	4.12059	5  	1  	1.23199 
40 	1.69389	2.20854    	207.787    	0.00129056 	15.9867    	4.09091	5  	1  	1.32667 
41 	1.76738	inf        	inf        	0.00129056 	nan        	4.15205	5  	1  	1.28883 
42 	1.70397	inf        	inf        	0.00129056 	nan        	4.1516 	5  	1  	1.27102 
43 	1.70298	12.445     	3374.95    	0.00129056 	182.568    	4.13081	5  	1  	1.22843 
44 	1.73744	inf        	inf        	0.00129056 	nan        	4.10145	5  	1  	1.32035 
45 	1.73111	inf        	inf        	0.00129056 	nan        	4.11272	5  	1  	1.27968 
46 	1.72686	14.8339    	3353.76    	0.00129056 	183.039    	4.17291	5  	1  	1.1534  
47 	1.6986 	inf        	inf        	0.00129056 	nan        	4.00287	5  	1  	1.2921  
48 	1.722  	inf        	inf        	0.00129056 	nan        	4.04871	5  	1  	1.28711 
49 	1.75943	inf        	inf        	0.00129056 	nan        	4.17714	5  	1  	1.16253 
50 	1.76028	inf        	inf        	0.00129056 	nan        	4.11396	5  	1  	1.31552 
51 	1.77782	41.9989    	13406.9    	0.00129056 	714.968    	4.27273	5  	1  	1.21989 
52 	1.79649	inf        	inf        	0.00129056 	nan        	4.33144	5  	1  	1.09625 
53 	1.77689	inf        	inf        	0.00129056 	nan        	4.23164	5  	1  	1.21316 
54 	1.79381	10.4392    	3374.95    	0.00129056 	178.925    	4.24507	5  	1  	1.24434 
55 	1.81128	inf        	inf        	0.00129056 	nan        	4.22753	5  	1  	1.2231  
56 	1.80263	10.8413    	3353.76    	0.00129056 	177.521    	4.27451	5  	1  	1.20352 
57 	1.81117	inf        	inf        	0.00129056 	nan        	4.16201	5  	1  	1.29309 
58 	1.81598	inf        	inf        	0.00129056 	nan        	4.29248	5  	1  	1.13967 
59 	1.81112	161.271    	40681.2    	0.00129056 	2175.62    	4.19722	5  	1  	1.24164 
60 	1.8142 	inf        	inf        	0.00129056 	nan        	4.15235	5  	1  	1.25062 
61 	1.79934	16.6859    	3365.35    	0.00129056 	188.451    	4.12431	5  	1  	1.30173 
62 	1.83445	8.35241    	872.248    	0.00129056 	78.6901    	4.2865 	5  	1  	1.14536 
63 	1.83987	inf        	inf        	0.00129056 	nan        	4.17582	5  	1  	1.22782 
64 	1.84668	inf        	inf        	0.00129056 	nan        	4.28767	5  	1  	1.10142 
65 	1.81953	inf        	inf        	0.00129056 	nan        	4.1612 	5  	1  	1.16821 
66 	1.84255	inf        	inf        	0.00129056 	nan        	4.07084	5  	1  	1.29783 
67 	1.841  	inf        	inf        	0.00129056 	nan        	4.08696	5  	1  	1.28877 
68 	1.8683 	inf        	inf        	0.00129056 	nan        	4.20325	5  	1  	1.17766 
69 	1.87218	4.25908    	871.658    	0.00129056 	49.3343    	4.25405	5  	1  	1.1224  
70 	1.85515	inf        	inf        	0.00129056 	nan        	4.09434	5  	1  	1.26502 
71 	1.86395	580.288    	214038     	0.00129056 	11082.3    	4.14785	5  	1  	1.2213  
72 	1.85517	inf        	inf        	0.00129056 	nan        	4.11796	5  	1  	1.28176 
73 	1.85401	inf        	inf        	0.00129056 	nan        	4.09091	5  	1  	1.30498 
74 	1.95088	13.1379    	3488.14    	0.00129056 	185.194    	4.19733	5  	1  	1.19264 
75 	1.90378	inf        	inf        	0.00129056 	nan        	4.33245	5  	1  	1.13625 
76 	1.87522	39.8024    	7261.75    	0.00129056 	448.063    	4.24934	5  	1  	1.22156 
77 	1.91327	inf        	inf        	0.00129056 	nan        	4.21429	5  	1  	1.22328 
78 	1.90904	inf        	inf        	0.00129056 	nan        	4.14248	5  	1  	1.2459  
79 	1.94447	inf        	inf        	0.00129056 	nan        	4.18684	5  	1  	1.25209 
80 	1.90849	381.518    	126605     	0.00129056 	6514.84    	4.17585	5  	1  	1.27691 
81 	1.94698	inf        	inf        	0.00129056 	nan        	4.24084	5  	1  	1.15754 
82 	1.94539	16.2829    	3490.32    	0.00129056 	196.247    	4.20366	5  	1  	1.24548 
83 	1.94499	194.562    	56597.2    	0.00129056 	2967.68    	4.22396	5  	1  	1.257   
84 	1.9614 	34.7816    	3490.32    	0.00129056 	302.608    	4.32208	5  	1  	1.13282 
85 	1.94108	inf        	inf        	0.00129056 	nan        	4.1658 	5  	1  	1.26674 
86 	1.95565	inf        	inf        	0.00129056 	nan        	4.30491	5  	1  	1.16364 
87 	1.98273	75.739     	13946.3    	0.00129056 	998.554    	4.28608	5  	1  	1.18544 
88 	1.98084	inf        	inf        	0.00129056 	nan        	4.2365 	5  	1  	1.22132 
89 	1.94422	inf        	inf        	0.00129056 	nan        	4.08974	5  	1  	1.32419 
90 	1.96437	inf        	inf        	0.00129056 	nan        	4.08696	5  	1  	1.27643 
91 	1.95195	inf        	inf        	0.00129056 	nan        	4.16071	5  	1  	1.29449 
92 	1.95246	19.4934    	3488.14    	0.00129056 	248.345    	4.16539	5  	1  	1.24611 
93 	1.96457	2600.43    	1.01704e+06	0.00129056 	51172.1    	4.19289	5  	1  	1.2436  
94 	1.98774	inf        	inf        	0.00129056 	nan        	4.23291	5  	1  	1.22482 
95 	1.98628	inf        	inf        	0.00129056 	nan        	4.20455	5  	1  	1.27171 
96 	2.00999	inf        	inf        	0.00129056 	nan        	4.24433	5  	1  	1.20379 
97 	2.01631	13.8503    	3490.32    	0.00129056 	185.486    	4.16834	5  	1  	1.23569 
98 	2.03685	49.2971    	13942.5    	0.00129056 	724.802    	4.29073	5  	1  	1.16149 
99 	2.00975	10.315     	3485.51    	0.00129056 	174.377    	4.245  	5  	1  	1.19163 
100	2.02025	218.501    	65602.5    	0.00129056 	3340.54    	4.28678	5  	1  	1.19435 
101	2.05919	inf        	inf        	0.00129056 	nan        	4.23632	5  	1  	1.29729 
102	2.04504	inf        	inf        	0.00129056 	nan        	4.25062	5  	1  	1.20965 
103	2.03066	32.626     	4504.19    	0.00129056 	330.569    	4.20792	5  	1  	1.23334 
104	2.02402	88.5073    	31446.4    	0.00129056 	1569.17    	4.19012	5  	1  	1.24955 
105	2.05913	inf        	inf        	0.00129056 	nan        	4.23645	5  	1  	1.18623 
106	2.03389	inf        	inf        	0.00129056 	nan        	4.12531	5  	1  	1.31202 
107	2.01972	inf        	inf        	0.00129056 	nan        	4.15686	5  	1  	1.28334 
108	2.0521 	inf        	inf        	0.00129056 	nan        	4.22005	5  	1  	1.24327 
109	2.11282	inf        	inf        	0.00129056 	nan        	4.27805	5  	1  	1.15008 
110	2.06192	37.6614    	3498.65    	0.00129056 	344.829    	4.26034	5  	1  	1.11082 
111	2.06671	inf        	inf        	0.00129056 	nan        	4.26456	5  	1  	1.19684 
112	2.0629 	99.7162    	31400.8    	0.00129056 	1562.69    	4.28329	5  	1  	1.20114 
113	2.0999 	inf        	inf        	0.00129056 	nan        	4.26087	5  	1  	1.1587  
114	2.09165	inf        	inf        	0.00129056 	nan        	4.18554	5  	1  	1.25795 
115	2.07853	inf        	inf        	0.00129056 	nan        	4.15385	5  	1  	1.27678 
116	2.06821	inf        	inf        	0.00129056 	nan        	4.15827	5  	1  	1.28032 
117	2.11118	inf        	inf        	0.00129056 	nan        	4.22967	5  	1  	1.2198  
118	2.10197	13.0787    	3488.14    	0.00129056 	174.835    	4.2506 	5  	1  	1.18733 
119	2.08196	inf        	inf        	0.00129056 	nan        	4.09524	5  	1  	1.32574 
120	2.11291	inf        	inf        	0.00129056 	nan        	4.15202	5  	1  	1.27303 
121	2.09713	inf        	inf        	0.00129056 	nan        	4.10427	5  	1  	1.3219  
122	2.1104 	inf        	inf        	0.00129056 	nan        	4.16312	5  	1  	1.19073 
123	2.12916	inf        	inf        	0.00129056 	nan        	4.21698	5  	1  	1.20145 
124	2.13298	inf        	inf        	0.00129056 	nan        	4.20471	5  	1  	1.18341 
125	2.12092	16.4487    	3490.32    	0.00129056 	197.255    	4.15258	5  	1  	1.24949 
126	2.13432	inf        	inf        	0.00129056 	nan        	4.17799	5  	1  	1.26609 
127	2.13948	2.33645e+27	1e+30      	0.00129056 	4.82803e+28	4.17991	5  	1  	1.20663 
128	2.14228	41.2323    	13467.3    	0.00129056 	670.475    	4.22844	5  	1  	1.20953 
129	2.20118	inf        	inf        	0.00129056 	nan        	4.3186 	5  	1  	1.17864 
130	2.1893 	inf        	inf        	0.00129056 	nan        	4.27378	5  	1  	1.22018 
131	2.17798	inf        	inf        	0.00129056 	nan        	4.18981	5  	1  	1.26604 
132	2.22895	inf        	inf        	0.00129056 	nan        	4.2679 	5  	1  	1.16623 
133	2.24152	11.0322    	4504.19    	0.00129056 	215.949    	4.29032	5  	1  	1.20427 
134	2.21803	inf        	inf        	0.00129056 	nan        	4.27586	5  	1  	1.17727 
135	2.18497	inf        	inf        	0.00129056 	nan        	4.16514	5  	1  	1.26718 
136	2.20035	inf        	inf        	0.00129056 	nan        	4.24714	5  	1  	1.20952 
137	2.22526	inf        	inf        	0.00129056 	nan        	4.25342	5  	1  	1.20014 
138	2.20392	inf        	inf        	0.00129056 	nan        	4.20501	5  	1  	1.26774 
139	2.19965	inf        	inf        	0.00129056 	nan        	4.10455	5  	1  	1.29614 
140	2.18691	inf        	inf        	0.00129056 	nan        	4.08844	5  	1  	1.27558 
141	2.19317	inf        	inf        	0.00129056 	nan        	4.13348	5  	1  	1.28789 
142	2.23296	inf        	inf        	0.00129056 	nan        	4.23476	5  	1  	1.18072 
143	2.23947	inf        	inf        	0.00129056 	nan        	4.1982 	5  	1  	1.23988 
144	2.2258 	inf        	inf        	0.00129056 	nan        	4.23371	5  	1  	1.19709 
145	2.24059	inf        	inf        	0.00129056 	nan        	4.22646	5  	1  	1.17153 
146	2.22883	inf        	inf        	0.00129056 	nan        	4.16107	5  	1  	1.28527 
147	2.24446	inf        	inf        	0.00129056 	nan        	4.17188	5  	1  	1.20986 
148	2.22891	13.1477    	3374.95    	0.00129056 	169.642    	4.1804 	5  	1  	1.22373 
149	2.25126	inf        	inf        	0.00129056 	nan        	4.13333	5  	1  	1.28062 
150	2.25322	inf        	inf        	0.00129056 	nan        	4.17295	5  	1  	1.24629 
151	2.26633	inf        	inf        	0.00129056 	nan        	4.0354 	5  	1  	1.35463 
152	2.27349	inf        	inf        	0.00129056 	nan        	4.22075	5  	1  	1.22332 
153	2.36738	inf        	inf        	0.00129056 	nan        	4.21366	5  	1  	1.23484 
154	2.25302	40.4104    	13406.9    	0.00129056 	648.064    	4.15385	5  	1  	1.29685 
155	2.30264	inf        	inf        	0.00129056 	nan        	4.26096	5  	1  	1.18279 
156	2.29557	inf        	inf        	0.00129056 	nan        	4.22757	5  	1  	1.24673 
157	2.29083	inf        	inf        	0.00129056 	nan        	4.19869	5  	1  	1.25113 
158	2.29257	inf        	inf        	0.00129056 	nan        	4.23094	5  	1  	1.22743 
159	2.31387	inf        	inf        	0.00129056 	nan        	4.18478	5  	1  	1.23649 
160	2.34666	inf        	inf        	0.00129056 	nan        	4.25813	5  	1  	1.20401 
161	2.32358	inf        	inf        	0.00129056 	nan        	4.16667	5  	1  	1.28946 
162	2.32547	inf        	inf        	0.00129056 	nan        	4.15335	5  	1  	1.31949 
163	2.33064	inf        	inf        	0.00129056 	nan        	4.23707	5  	1  	1.23519 
164	2.38343	inf        	inf        	0.00129056 	nan        	4.28387	5  	1  	1.19004 
165	2.34965	inf        	inf        	0.00129056 	nan        	4.1867 	5  	1  	1.24538 
166	2.32941	inf        	inf        	0.00129056 	nan        	4.15418	5  	1  	1.24932 
167	2.31961	34.1612    	7928.41    	0.00129056 	484.962    	4.14744	5  	1  	1.22197 
168	2.32561	inf        	inf        	0.00129056 	nan        	4.14286	5  	1  	1.30067 
169	2.37302	inf        	inf        	0.00129056 	nan        	4.25106	5  	1  	1.18893 
170	2.38501	inf        	inf        	0.00129056 	nan        	4.14437	5  	1  	1.29689 
171	2.37935	2.5322     	874.203    	0.00129056 	40.2974    	4.21398	5  	1  	1.23456 
172	2.37465	inf        	inf        	0.00129056 	nan        	4.10359	5  	1  	1.28902 
173	2.40441	inf        	inf        	0.00129056 	nan        	4.20464	5  	1  	1.23516 
174	2.41384	inf        	inf        	0.00129056 	nan        	4.18737	5  	1  	1.25012 
175	2.39442	inf        	inf        	0.00129056 	nan        	4.19538	5  	1  	1.24248 
176	2.43051	inf        	inf        	0.00129056 	nan        	4.25367	5  	1  	1.1422  
177	2.42457	inf        	inf        	0.00129056 	nan        	4.08368	5  	1  	1.3558  
178	2.3978 	inf        	inf        	0.00129056 	nan        	4.18789	5  	1  	1.25554 
179	2.41581	inf        	inf        	0.00129056 	nan        	4.1875 	5  	1  	1.23754 
180	2.40361	inf        	inf        	0.00129056 	nan        	4.158  	5  	1  	1.25202 
181	2.4142 	inf        	inf        	0.00129056 	nan        	4.16598	5  	1  	1.24967 
182	2.41769	57.7609    	13939.4    	0.00129056 	695.542    	4.15321	5  	1  	1.25329 
183	2.41449	inf        	inf        	0.00129056 	nan        	4.15702	5  	1  	1.25315 
184	2.44222	68.853     	13937.9    	0.000855254	892.211    	4.21649	5  	1  	1.22875 
185	2.45737	inf        	inf        	0.000855254	nan        	4.1358 	5  	1  	1.29659 
186	2.43886	inf        	inf        	0.000855254	nan        	4.23409	5  	1  	1.22375 
187	2.46523	inf        	inf        	0.000855254	nan        	4.20902	5  	1  	1.22865 
188	2.45797	inf        	inf        	0.000855254	nan        	4.21063	5  	1  	1.23787 
189	2.47493	inf        	inf        	0.000124139	nan        	4.20204	5  	1  	1.25275 
190	2.49258	inf        	inf        	0.000124139	nan        	4.30143	5  	1  	1.17457 
191	2.45715	inf        	inf        	0.000124139	nan        	4.26626	5  	1  	1.1963  
192	2.47149	inf        	inf        	0.000124139	nan        	4.30223	5  	1  	1.19156 
193	2.46462	inf        	inf        	0.000124139	nan        	4.26316	5  	1  	1.25155 
194	2.46304	inf        	inf        	0.000124139	nan        	4.29899	5  	1  	1.23071 
195	2.48998	inf        	inf        	0.000124139	nan        	4.36694	5  	1  	1.17021 
196	2.50922	inf        	inf        	0.000124139	nan        	4.43863	5  	1  	1.10639 
197	2.47644	inf        	inf        	0.000124139	nan        	4.39157	5  	1  	1.2096  
198	2.49147	inf        	inf        	0.000124139	nan        	4.43888	5  	1  	1.1456  
199	2.46772	8.88067    	2292.43    	0.000124139	109.044    	4.44   	5  	1  	1.1342  
200	2.51606	inf        	inf        	0.000124139	nan        	4.41717	5  	1  	1.1768  
201	2.55411	inf        	inf        	0.000124139	nan        	4.46813	5  	1  	1.10503 
202	2.53667	inf        	inf        	0.000124139	nan        	4.45328	5  	1  	1.13033 
203	2.5474 	inf        	inf        	0.000124139	nan        	4.34325	5  	1  	1.2309  
204	2.56055	86.2397    	13947      	0.000124139	945.218    	4.49703	5  	1  	1.08294 
205	2.55973	inf        	inf        	0.000124139	nan        	4.39328	5  	1  	1.20829 
206	2.55021	inf        	inf        	0.000124139	nan        	4.39842	5  	1  	1.18797 
207	2.56401	inf        	inf        	0.000124139	nan        	4.35827	5  	1  	1.24134 
208	2.57878	inf        	inf        	0.000124139	nan        	4.3222 	5  	1  	1.18865 
209	2.5875 	inf        	inf        	0.000124139	nan        	4.43137	5  	1  	1.12642 
210	2.57682	inf        	inf        	0.000124139	nan        	4.35225	5  	1  	1.20062 
211	2.59304	inf        	inf        	0.000124139	nan        	4.43164	5  	1  	1.11944 
212	2.56941	inf        	inf        	0.000124139	nan        	4.32554	5  	1  	1.24459 
213	2.58009	135.328    	62170.9    	0.000124139	2744.02    	4.37938	5  	1  	1.21519 
214	2.59562	inf        	inf        	0.000124139	nan        	4.32816	5  	1  	1.23189 
215	2.59978	inf        	inf        	0.000124139	nan        	4.34302	5  	1  	1.20262 
216	2.62396	inf        	inf        	0.000124139	nan        	4.40426	5  	1  	1.18052 
217	2.60454	inf        	inf        	0.000124139	nan        	4.42857	5  	1  	1.14141 
218	2.62575	37.1143    	13947      	0.000124139	631.182    	4.42004	5  	1  	1.11776 
219	2.64457	inf        	inf        	0.000124139	nan        	4.37885	5  	1  	1.21241 
220	2.64893	inf        	inf        	0.000124139	nan        	4.39347	5  	1  	1.15609 
221	2.61186	325.57     	139866     	0.000124139	6150.87    	4.34866	5  	1  	1.20547 
222	2.65166	inf        	inf        	0.000124139	nan        	4.38432	5  	1  	1.17637 
223	2.63262	inf        	inf        	0.000124139	nan        	4.3416 	5  	1  	1.19625 
224	2.6602 	inf        	inf        	0.000124139	nan        	4.40952	5  	1  	1.15549 
225	2.62294	89.897     	32958.5    	0.000124139	1455.07    	4.31369	5  	1  	1.22958 
226	2.64372	inf        	inf        	0.000124139	nan        	4.41556	5  	1  	1.17855 
227	2.66084	inf        	inf        	0.000124139	nan        	4.42992	5  	1  	1.15421 
228	2.6594 	163.594    	62146.3    	0.000124139	2772.88    	4.44612	5  	1  	1.10397 
229	2.63432	24.5167    	3490.32    	0.000124139	262.537    	4.3283 	5  	1  	1.23386 
230	2.67503	26.5971    	3592.16    	0.000124139	266.519    	4.46704	5  	1  	1.08071 
231	2.6994 	inf        	inf        	0.000124139	nan        	4.43421	5  	1  	1.16553 
232	2.67808	inf        	inf        	0.000124139	nan        	4.40713	5  	1  	1.16922 
233	2.70108	278.425    	105428     	0.000124139	4776.99    	4.44195	5  	1  	1.12654 
234	2.70421	inf        	inf        	0.000124139	nan        	4.41869	5  	1  	1.16508 
235	2.74016	64.7339    	15188.4    	0.000124139	722.24     	4.41791	5  	1  	1.17371 
236	2.70497	inf        	inf        	0.000124139	nan        	4.40968	5  	1  	1.15137 
