   	         	                      fitness                      	              size              
   	         	---------------------------------------------------	--------------------------------
gen	time     	avg    	max        	min        	std        	avg    	max	min	std     
0  	0.0633712	inf    	inf        	0.0273763  	nan        	1.56146	4  	1  	0.706197
1  	0.0642412	621.264	186392     	0.0273763  	10707.6    	1.5596 	4  	1  	0.71044 
2  	0.0643442	inf    	inf        	0.0273763  	nan        	1.55446	4  	1  	0.714885
3  	0.0663059	4.25486	438.226    	0.0273763  	27.5248    	1.65461	5  	1  	0.792094
4  	0.0658596	9741.28	2.96961e+06	0.0273763  	169760     	1.66557	4  	1  	0.821611
5  	0.0663726	inf    	inf        	0.0273763  	nan        	1.72222	5  	1  	0.869582
6  	0.0680978	inf    	inf        	0.0273763  	nan        	1.76547	4  	1  	0.837077
7  	0.0676363	154.898	46628.9    	0.0273763  	2652.46    	1.77922	4  	1  	0.85847 
8  	0.0703528	606.606	186208     	0.0273763  	10575.6    	1.86731	5  	1  	0.927047
9  	0.0706458	inf    	inf        	0.0273763  	nan        	1.92903	5  	1  	0.940896
10 	0.0782146	inf    	inf        	0.0273763  	nan        	1.96463	5  	1  	0.894087
11 	0.0702431	inf    	inf        	0.0273763  	nan        	1.98077	5  	1  	0.858376
12 	0.0730391	3.61288	152.791    	0.0273763  	15.4197    	2.07668	5  	1  	0.886822
13 	0.0747166	inf    	inf        	0.0130539  	nan        	2.20701	5  	1  	0.862422
14 	0.0765941	inf    	inf        	0.0130539  	nan        	2.3746 	5  	1  	0.935706
15 	0.0819728	inf    	inf        	0.00393501 	nan        	2.58228	5  	1  	1.08916 
16 	0.0799344	inf    	inf        	0.00393501 	nan        	2.62145	5  	1  	1.1491  
17 	0.0848701	inf    	inf        	0.00393501 	nan        	2.89308	5  	1  	1.21361 
18 	0.088181 	inf    	inf        	0.00393501 	nan        	3.15674	5  	1  	1.28185 
19 	0.0900083	344.182	84449.4    	0.00393501 	4833.59    	3.29062	5  	1  	1.31336 
20 	0.0930877	534.108	170636     	0.00393501 	9509.01    	3.5296 	5  	1  	1.27273 
21 	0.0966778	1303.37	418465     	0.00204074 	23283.7    	3.72981	5  	1  	1.24299 
22 	0.0973337	inf    	inf        	0.00204074 	nan        	3.85759	5  	1  	1.241   
23 	0.100496 	2579.49	742426     	0.00204074 	41326      	3.95679	5  	1  	1.22902 
24 	0.100877 	inf    	inf        	0.00204074 	nan        	4.02462	5  	1  	1.22763 
25 	0.104608 	inf    	inf        	0.00204074 	nan        	4.32822	5  	1  	1.0536  
26 	0.105155 	inf    	inf        	0.00204074 	nan        	4.29664	5  	1  	1.139   
27 	0.104094 	inf    	inf        	0.00204074 	nan        	4.42988	5  	1  	1.02765 
28 	0.10708  	inf    	inf        	0.00204074 	nan        	4.41945	5  	1  	1.09171 
29 	0.111662 	inf    	inf        	0.000968499	nan        	4.53333	5  	1  	0.931166
30 	0.111624 	inf    	inf        	0.000968499	nan        	4.49245	5  	1  	1.04105 
31 	0.11371  	560.451	185492     	0.000968499	10164.8    	4.48494	5  	1  	1.03976 
32 	0.113696 	inf    	inf        	0.000968499	nan        	4.54655	5  	1  	0.990235
33 	0.115659 	inf    	inf        	0.000968499	nan        	4.63473	5  	1  	0.874518
34 	0.119039 	inf    	inf        	0.000968499	nan        	4.66866	5  	1  	0.821758
35 	0.116039 	1.70205	151.217    	0.000145821	10.2387    	4.59821	5  	1  	0.930244
36 	0.115659 	2208.75	743139     	0.000145821	40421.1    	4.53116	5  	1  	0.965154
37 	0.115948 	inf    	inf        	0.000145821	nan        	4.65385	5  	1  	0.840013
38 	0.114166 	3.81855	514.498    	0.000145821	30.9561    	4.59587	5  	1  	0.955707
39 	0.114278 	inf    	inf        	0.000145821	nan        	4.58824	5  	1  	0.881765
40 	0.113621 	inf    	inf        	0.000145821	nan        	4.53666	5  	1  	0.932929
41 	0.113885 	10457.8	2.96819e+06	0.000145821	161282     	4.54386	5  	1  	0.971588
42 	0.11337  	8.71077	690.559    	0.000145821	62.7687    	4.5656 	5  	1  	0.944948
43 	0.112002 	inf    	inf        	0.000145821	nan        	4.56105	5  	1  	0.944257
44 	0.112782 	inf    	inf        	0.000145821	nan        	4.43478	5  	1  	1.10962 
45 	0.113207 	inf    	inf        	0.000145821	nan        	4.43353	5  	1  	1.08187 
46 	0.114892 	2903.2 	742426     	0.000145821	41183.4    	4.6196 	5  	1  	0.845034
47 	0.112845 	inf    	inf        	0.000145821	nan        	4.51149	5  	1  	0.984001
48 	0.113455 	inf    	inf        	0.000145821	nan        	4.55014	5  	1  	0.958109
49 	0.114615 	inf    	inf        	0.000145821	nan        	4.62857	5  	1  	0.837879
50 	0.112548 	inf    	inf        	0.000145821	nan        	4.4188 	5  	1  	1.06677 
51 	0.113519 	2743.23	931533     	0.000145821	49587.8    	4.47443	5  	1  	1.04415 
52 	0.115997 	inf    	inf        	0.000145821	nan        	4.54391	5  	1  	0.963306
53 	0.115353 	13.2247	3337.43    	0.000145821	180.622    	4.5904 	5  	1  	0.929138
54 	0.114803 	12.4466	606.417    	0.000145821	63.2453    	4.55493	5  	1  	0.966595
55 	0.116422 	5.05288	999.257    	0.000145821	56.3715    	4.60112	5  	1  	0.929177
56 	0.115958 	1924.11	682580     	0.000145821	36074.8    	4.57423	5  	1  	0.969107
57 	0.115973 	inf    	inf        	0.000145821	nan        	4.53352	5  	1  	0.984656
58 	0.115539 	3.64096	265.104    	0.000145821	25.068     	4.50696	5  	1  	1.01209 
59 	0.115679 	2.92901	265.104    	0.000145821	23.8484    	4.41944	5  	1  	1.11263 
60 	0.116888 	1037.04	186208     	0.000145821	13807.7    	4.5097 	5  	1  	1.0072  
61 	0.115685 	2062.06	743139     	0.000145821	39004.1    	4.50552	5  	1  	0.978341
62 	0.116534 	inf    	inf        	0.000145821	nan        	4.47934	5  	1  	0.974319
63 	0.116096 	5.02254	604.906    	0.000145821	39.2979    	4.47802	5  	1  	1.01746 
