   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min       	std        	avg    	max	min	std     
0  	0.0644143	inf        	inf        	0.114733  	nan        	1.61794	4  	1  	0.689415
1  	0.0634584	inf        	inf        	0.0916762 	nan        	1.5894 	5  	1  	0.734861
2  	0.0635722	inf        	inf        	0.0916762 	nan        	1.49835	5  	1  	0.748484
3  	0.0637045	11.9268    	2706.22    	0.0824123 	159.56     	1.36184	4  	1  	0.664409
4  	0.0638824	3.27869e+57	1e+60      	0.0824123 	5.71659e+58	1.4    	4  	1  	0.704086
5  	0.0650513	inf        	inf        	0.0824123 	nan        	1.45425	5  	1  	0.812202
6  	0.0642648	3.25733e+57	1e+60      	0.0151056 	5.698e+58  	1.45603	4  	1  	0.782871
7  	0.0673983	119.98     	35252.7    	0.0151056 	2005.86    	1.72727	4  	1  	0.927731
8  	0.0679362	9.70874e+57	1e+60      	0.0151056 	9.80534e+58	1.78317	5  	1  	0.956112
9  	0.0689147	2.45392e+58	1e+60      	0.0151056 	1.52209e+59	1.89677	5  	1  	0.98488 
10 	0.0723991	inf        	inf        	0.00537574	nan        	2.15756	5  	1  	1.02584 
11 	0.0725565	inf        	inf        	0.00537574	nan        	2.20833	5  	1  	1.09113 
12 	0.074266 	8.32953e+57	1e+60      	0.00537574	8.65916e+58	2.30351	5  	1  	1.12504 
13 	0.0750656	inf        	inf        	0.00537574	nan        	2.24841	5  	1  	1.07464 
14 	0.0752738	6.34921e+57	1e+60      	0.00537574	7.94285e+58	2.34603	5  	1  	1.0973  
15 	0.0765576	inf        	inf        	0.00537574	nan        	2.41139	5  	1  	1.08575 
16 	0.0789249	inf        	inf        	0.00537574	nan        	2.46688	5  	1  	1.05212 
17 	0.0774164	inf        	inf        	0.00537574	nan        	2.40566	5  	1  	1.07087 
18 	0.0763316	inf        	inf        	0.00537574	nan        	2.37618	5  	1  	1.07822 
19 	0.0780585	7.47768e+57	1e+60      	0.00537574	8.17092e+58	2.39688	5  	1  	1.12444 
20 	0.0766888	inf        	inf        	0.00537574	nan        	2.31464	5  	1  	1.19085 
21 	0.0763505	91.8352    	5644.21    	0.00537574	594.995    	2.27329	5  	1  	1.23604 
22 	0.0784669	1.23839e+58	1e+60      	0.00537574	1.10592e+59	2.44582	5  	1  	1.23645 
23 	0.077837 	24.895     	3928.2     	0.00537574	269.351    	2.42593	5  	1  	1.2288  
24 	0.0807657	3.07692e+57	1e+60      	0.00537574	5.53846e+58	2.6    	5  	1  	1.25514 
25 	0.0831811	6.13497e+57	1e+60      	0.00537574	7.80854e+58	2.82209	5  	1  	1.30323 
26 	0.0848048	inf        	inf        	0.00537574	nan        	2.91743	5  	1  	1.33955 
27 	0.0859087	inf        	inf        	0.00537574	nan        	3.05183	5  	1  	1.23974 
28 	0.0892274	561243     	1.84591e+08	0.00537574	1.01613e+07	3.07295	5  	1  	1.3326  
29 	0.0907276	inf        	inf        	0.00537574	nan        	3.26364	5  	1  	1.30042 
30 	0.0898936	1.08977e+58	1e+60      	0.00537574	1.00291e+59	3.22961	5  	1  	1.34473 
31 	0.0925183	inf        	inf        	0.00537574	nan        	3.4006 	5  	1  	1.37065 
32 	0.0911899	inf        	inf        	0.00537574	nan        	3.24324	5  	1  	1.35932 
33 	0.0919788	inf        	inf        	0.00537574	nan        	3.33533	5  	1  	1.32958 
34 	0.0900292	inf        	inf        	0.00537574	nan        	3.24776	5  	1  	1.32759 
35 	0.0921035	inf        	inf        	0.00537574	nan        	3.35714	5  	1  	1.3174  
36 	0.0917137	inf        	inf        	0.00537574	nan        	3.31454	5  	1  	1.40438 
37 	0.0914426	inf        	inf        	0.00537574	nan        	3.36391	5  	1  	1.40397 
38 	0.0931847	inf        	inf        	0.00537574	nan        	3.39528	5  	1  	1.45029 
39 	0.0915568	inf        	inf        	0.00537574	nan        	3.42353	5  	1  	1.43794 
40 	0.0947523	inf        	inf        	0.00168037	nan        	3.46628	5  	1  	1.358   
41 	0.0942287	inf        	inf        	0.00168037	nan        	3.57895	5  	1  	1.32604 
42 	0.0951009	inf        	inf        	0.00168037	nan        	3.51895	5  	1  	1.33971 
43 	0.0949602	inf        	inf        	0.00168037	nan        	3.43314	5  	1  	1.33214 
44 	0.101738 	inf        	inf        	0.00168037	nan        	3.38551	5  	1  	1.41393 
45 	0.094455 	inf        	inf        	0.00168037	nan        	3.33526	5  	1  	1.44965 
46 	0.0972693	inf        	inf        	0.00168037	nan        	3.42939	5  	1  	1.45144 
47 	0.0974128	inf        	inf        	0.00168037	nan        	3.5431 	5  	1  	1.41254 
48 	0.0973818	inf        	inf        	0.00168037	nan        	3.5702 	5  	1  	1.40152 
49 	0.0986605	inf        	inf        	0.00168037	nan        	3.47429	5  	1  	1.43355 
50 	0.102067 	inf        	inf        	0.00168037	nan        	3.51852	5  	1  	1.43385 
