   	         	                      fitness                      	              size              
   	         	---------------------------------------------------	--------------------------------
gen	time     	avg        	max    	min        	std        	avg    	max	min	std     
0  	0.0645647	inf        	inf    	0.0903284  	nan        	1.6113 	4  	1  	0.690519
1  	0.0631223	inf        	inf    	0.0748895  	nan        	1.59603	5  	1  	0.764951
2  	0.0642841	6.60066e+57	1e+60  	0.0748895  	8.09759e+58	1.63366	5  	1  	0.833175
3  	0.0646937	1.2415     	46.9244	0.0608755  	4.25539    	1.55592	4  	1  	0.784407
4  	0.0648353	3.27869e+57	1e+60  	0.0608755  	5.71659e+58	1.57049	4  	1  	0.82727 
5  	0.0673311	1.503      	117.482	0.014274   	7.91835    	1.72876	5  	1  	0.953985
6  	0.0708671	3.25733e+57	1e+60  	0.014274   	5.698e+58  	1.96417	6  	1  	1.11052 
7  	0.071502 	2.83611    	561.673	0.014274   	31.9708    	2.13636	7  	1  	1.25651 
8  	0.0712726	3.23625e+57	1e+60  	0.014274   	5.67959e+58	2.17476	6  	1  	1.13856 
9  	0.0727749	inf        	inf    	0.014274   	nan        	2.22258	6  	1  	1.13825 
10 	0.0737   	3.21543e+57	1e+60  	0.014274   	5.66136e+58	2.3119 	6  	1  	1.15759 
11 	0.0729103	3.20513e+57	1e+60  	0.00385784 	5.65231e+58	2.1859 	5  	1  	1.12549 
12 	0.0725949	inf        	inf    	0.00385784 	nan        	2.16294	6  	1  	1.17847 
13 	0.0742998	inf        	inf    	0.00385784 	nan        	2.25796	6  	1  	1.16764 
14 	0.0766168	inf        	inf    	0.00336753 	nan        	2.51111	8  	1  	1.24812 
15 	0.0770547	inf        	inf    	0.00148298 	nan        	2.64873	9  	1  	1.42537 
16 	0.0794647	inf        	inf    	0.00148298 	nan        	2.80126	7  	1  	1.43687 
17 	0.080121 	inf        	inf    	0.00148298 	nan        	3.01887	8  	1  	1.67096 
18 	0.0812118	inf        	inf    	0.00148298 	nan        	3.18809	9  	1  	1.7694  
19 	0.0831158	inf        	inf    	0.00148298 	nan        	3.3    	10 	1  	1.88182 
20 	0.0833633	inf        	inf    	0.00148298 	nan        	3.46106	12 	1  	2.14561 
