   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max       	min        	std        	avg    	max	min	std     
0  	0.0628772	4.39515    	307.833   	0.164246   	20.0154    	1.59468	4  	1  	0.707228
1  	0.0607452	inf        	inf       	0.164246   	nan        	1.48675	4  	1  	0.596477
2  	0.0619247	2.36988    	332.249   	0.0481858  	19.471     	1.49505	5  	1  	0.744047
3  	0.0623865	1.40482    	51.5466   	0.0188843  	4.1147     	1.5    	5  	1  	0.802955
4  	0.0626457	0.958123   	24.2881   	0.0230552  	2.34812    	1.50164	6  	1  	0.876373
5  	0.0651503	inf        	inf       	0.0117053  	nan        	1.69608	7  	1  	1.21904 
6  	0.06621  	inf        	inf       	0.00367833 	nan        	1.90879	7  	1  	1.44322 
7  	0.0703545	11.6053    	2892.56   	0.00367833 	165.493    	2.38636	8  	1  	1.79196 
8  	0.0739214	4.82775    	1034.03   	0.00367833 	59.5724    	2.97087	10 	1  	2.11845 
9  	0.0805368	inf        	inf       	0.00154298 	nan        	3.76452	12 	1  	2.31113 
10 	0.0895803	inf        	inf       	0.00154298 	nan        	4.73955	15 	1  	2.42037 
11 	0.0957332	inf        	inf       	0.00154298 	nan        	5.52244	15 	1  	2.62742 
12 	0.0993309	inf        	inf       	0.00130543 	nan        	6.01278	15 	1  	2.88211 
13 	0.102205 	inf        	inf       	0.00127113 	nan        	6.31847	16 	1  	3.01491 
14 	0.107433 	inf        	inf       	0.00127113 	nan        	6.96508	16 	1  	3.17861 
15 	0.113479 	1.84158    	296.837   	0.00127113 	16.9271    	7.63291	21 	1  	3.64284 
16 	0.123054 	inf        	inf       	0.00127113 	nan        	8.39748	24 	1  	4.32509 
17 	0.133    	inf        	inf       	0.00126893 	nan        	9.37736	24 	1  	4.29887 
18 	0.139771 	inf        	inf       	0.00126893 	nan        	10.116 	28 	1  	4.97729 
19 	0.152109 	inf        	inf       	0.000963915	nan        	11.4688	29 	1  	5.77432 
20 	0.162664 	9.38177    	2217.28   	0.000963915	125.592    	12.4393	33 	1  	6.36263 
21 	0.181058 	1.90626    	399.805   	0.000665901	22.6758    	14.1335	35 	1  	6.6653  
22 	0.223512 	inf        	inf       	0.000327208	nan        	15.4892	46 	1  	7.84105 
23 	0.23301  	inf        	inf       	0.000327208	nan        	17.8704	49 	1  	8.94057 
24 	0.248614 	3.07692e+27	1e+30     	0.000327208	5.53846e+28	19.24  	54 	1  	9.24492 
25 	0.269287 	3.10186    	570.898   	0.000324802	35.8091    	20.5215	54 	2  	9.55599 
26 	0.291252 	1.56407    	290.03    	0.000290682	16.5603    	21.2294	61 	1  	10.6236 
27 	0.322757 	inf        	inf       	0.000290682	nan        	22.4665	60 	1  	10.6993 
28 	0.353974 	7.12769    	2282.01   	0.000290325	125.615    	23.845 	54 	1  	9.90181 
29 	0.398157 	0.166102   	8.97165   	0.000284689	0.905862   	26.1879	64 	1  	11.805  
30 	0.468621 	0.282248   	23.9107   	0.000270233	1.95576    	29.7281	66 	1  	13.5193 
31 	0.553976 	0.314355   	42.2975   	0.000270151	2.57688    	34.2892	68 	1  	13.869  
32 	0.596246 	3.50452    	1072.78   	0.000270151	58.722     	36.5796	68 	1  	13.8131 
33 	0.628166 	0.47093    	142.742   	0.000263768	7.80056    	38.4581	68 	1  	13.0095 
34 	0.667555 	0.340979   	73.4911   	0.000241118	4.0859     	39.0925	68 	2  	14.8207 
35 	0.721048 	inf        	inf       	0.000241118	nan        	39.9613	68 	1  	15.1505 
36 	0.791896 	31.9978    	10432.2   	0.000240886	567.675    	42.5074	68 	1  	15.3536 
37 	0.821428 	2.95858e+27	1e+30     	0.000240321	5.43123e+28	41.8787	68 	2  	15.1157 
38 	0.784693 	0.8639     	178.506   	0.000236489	10.2808    	39.413 	68 	1  	15.3506 
39 	0.740183 	0.298586   	60.1805   	0.000205184	3.42877    	37.1265	68 	2  	15.2986 
40 	0.750203 	30.4329    	10308.5   	0.000196035	557.41     	37.7771	68 	3  	14.6747 
41 	0.722961 	1.13841    	327.627   	0.000196035	17.7223    	36.7368	68 	1  	13.868  
42 	0.767907 	0.100664   	12.9459   	0.000189088	0.808397   	37.6968	68 	1  	14.0396 
43 	0.810785 	inf        	inf       	0.000184772	nan        	38.6483	68 	1  	14.2717 
44 	0.955963 	0.259562   	78.5943   	0.000168461	4.22915    	42.3391	68 	2  	14.6128 
45 	1.02071  	0.366579   	70.5295   	0.000168461	4.08834    	42.8699	68 	1  	13.8283 
46 	1.01895  	0.473379   	86.672    	0.000156059	5.61077    	43.3285	68 	2  	13.8816 
47 	0.979257 	0.0130399  	1.18643   	0.000155459	0.096046   	43.2787	68 	4  	13.7849 
48 	0.913051 	0.0640362  	7.11971   	0.000142786	0.528368   	41.3181	68 	2  	13.7915 
49 	0.92844  	3.27849    	645.448   	0.000125158	38.5972    	41.0829	68 	2  	13.4297 
50 	0.948619 	0.153786   	31.3408   	0.000122779	1.75157    	41.8319	66 	2  	13.5541 
51 	0.945346 	0.574892   	143.965   	0.000122439	7.77816    	40.9943	68 	2  	14.1128 
52 	0.935408 	0.253015   	28.1385   	0.000120422	2.18405    	39.2861	68 	1  	14.6303 
53 	0.946534 	5.6179     	1522.67   	9.41694e-05	82.9671    	38.8927	68 	1  	15.0641 
54 	0.996424 	1.35435    	327.627   	9.41694e-05	18.1088    	39.6507	68 	2  	15.386  
55 	1.12049  	0.108802   	12.2177   	9.11316e-05	0.971878   	42.6854	68 	3  	15.7778 
56 	1.19306  	2.80112e+27	1e+30     	8.26011e-05	5.28514e+28	43.423 	68 	3  	16.6167 
57 	1.21157  	2.7933e+27 	1e+30     	8.26011e-05	5.27778e+28	43.8352	68 	10 	17.2346 
58 	1.2238   	1.85053    	637.116   	8.26011e-05	33.5808    	44.039 	68 	4  	17.4317 
59 	1.15605  	0.0606389  	5.86746   	7.15887e-05	0.464571   	42.6472	68 	1  	16.3133 
60 	1.08205  	0.050118   	9.09605   	5.4993e-05 	0.522152   	40.8199	68 	1  	14.7636 
61 	0.991041 	1.02306    	338.39    	4.66909e-05	17.7941    	38.6409	68 	2  	12.6521 
62 	0.960833 	1560.32    	566370    	3.77886e-05	29685.7    	37.4132	68 	1  	11.6079 
63 	0.997058 	4.194      	1462.86   	3.08053e-05	76.571     	38.0385	68 	1  	12.3    
64 	1.0126   	inf        	inf       	3.08053e-05	nan        	37.3096	68 	3  	11.7065 
65 	1.03718  	0.0557003  	4.90732   	1.66484e-05	0.386366   	37.0956	68 	2  	11.9191 
66 	1.02305  	0.306554   	28.3805   	1.66484e-05	2.23167    	36.2916	68 	1  	11.8291 
67 	1.04359  	1.26204    	297.465   	1.66484e-05	16.89      	37.2826	68 	3  	9.99138 
68 	1.03842  	0.0523397  	5.08746   	1.10549e-05	0.358497   	37.0298	66 	2  	10.1595 
69 	1.09142  	0.58736    	122.721   	1.10549e-05	6.54416    	38.5   	64 	2  	9.80768 
70 	1.1043   	3.89056    	1319.69   	1.08424e-05	68.559     	38.6092	67 	2  	10.3557 
71 	1.15553  	0.259155   	44.5056   	9.89599e-06	2.6529     	39.5941	67 	2  	11.6683 
72 	1.19088  	0.217796   	31.0061   	9.84169e-06	2.04879    	41.0107	67 	3  	11.2693 
73 	1.20901  	0.38444    	91.9608   	8.62182e-06	5.01693    	42.1872	67 	2  	11.5018 
74 	1.17403  	0.529713   	155       	8.15826e-06	8.0684     	44.168 	67 	1  	12.3161 
75 	1.07564  	0.111622   	18.8903   	7.61341e-06	1.04668    	44.8404	68 	1  	13.5839 
76 	1.02527  	0.562918   	167.14    	7.61341e-06	8.63711    	46.4032	68 	1  	14.4388 
77 	1.06826  	inf        	inf       	7.61341e-06	nan        	49.0265	68 	1  	13.5148 
78 	1.09006  	0.292436   	61.5029   	7.61341e-06	3.39909    	49.6174	68 	1  	14.0098 
79 	1.12313  	2.63158e+27	1e+30     	7.52983e-06	5.12314e+28	50.9684	68 	3  	11.7746 
80 	1.13816  	0.315682   	65.236    	6.16696e-06	3.54314    	49.9554	68 	1  	13.6546 
81 	1.1776   	inf        	inf       	6.16696e-06	nan        	50.1571	68 	1  	12.7156 
82 	1.1882   	0.24996    	81.9674   	6.16696e-06	4.20086    	49.5222	68 	5  	12.6253 
83 	1.2387   	2.60417e+27	1e+30     	6.11357e-06	5.09645e+28	50.5651	68 	3  	11.4722 
84 	1.28339  	2.5974e+27 	1e+30     	5.97181e-06	5.08985e+28	50.5481	68 	4  	11.5639 
85 	1.27246  	2.59067e+27	1e+30     	5.24334e-06	5.08327e+28	51.4793	68 	3  	11.3288 
86 	1.29825  	inf        	inf       	5.24334e-06	nan        	51.8992	68 	2  	12.0016 
87 	1.29624  	0.125565   	35.1816   	4.71306e-06	1.81856    	51.7861	68 	1  	12.2934 
88 	1.32225  	2.57069e+27	1e+30     	4.64968e-06	5.06368e+28	53.0051	68 	2  	11.5316 
89 	1.31433  	0.15693    	49.4075   	4.64757e-06	2.50755    	52.6333	68 	3  	12.4633 
90 	1.33854  	2.55754e+27	1e+30     	4.6475e-06 	5.05075e+28	53.1637	68 	1  	12.6369 
91 	1.37952  	0.0760284  	10.0549   	4.6475e-06 	0.680812   	54.2474	68 	2  	13.3965 
92 	1.40843  	0.13945    	27.3706   	4.35535e-06	1.60827    	54.9567	68 	4  	13.7015 
93 	1.47971  	0.36847    	105.166   	4.36418e-06	5.38561    	57.2081	68 	1  	12.4475 
94 	1.53692  	0.112193   	30.4982   	4.36418e-06	1.56662    	58.438 	68 	2  	13.6798 
95 	1.52778  	6.30261    	2389.69   	4.36418e-06	119.964    	58.3207	68 	1  	13.7288 
