   	         	                fitness                	              size              
   	         	---------------------------------------	--------------------------------
gen	time     	avg    	max    	min       	std    	avg    	max	min	std     
0  	0.0773394	inf    	inf    	0.547865  	nan    	1.70432	4  	1  	0.69331 
1  	0.0594387	inf    	inf    	0.547865  	nan    	1.67219	5  	1  	0.719976
2  	0.0569634	inf    	inf    	0.547865  	nan    	1.75578	5  	1  	0.80413 
3  	0.0569601	1127.86	250396 	0.547865  	15133.9	1.74342	6  	1  	0.862194
4  	0.0567555	309.95 	87260.2	0.547865  	4987.91	1.71803	4  	1  	0.844948
5  	0.0576096	inf    	inf    	0.547865  	nan    	1.69935	5  	1  	0.867609
6  	0.056778 	inf    	inf    	0.547865  	nan    	1.64495	5  	1  	0.881034
7  	0.0553036	330.799	95051.2	0.547865  	5407.1 	1.51299	5  	1  	0.819701
8  	0.0541494	567.859	85479.3	0.547865  	6784.61	1.46278	5  	1  	0.777562
9  	0.0576577	26.2164	765.992	0.547865  	90.4422	1.50968	5  	1  	0.867832
10 	0.0552342	891.27 	102213 	0.547865  	8905.83	1.45016	4  	1  	0.78363 
11 	0.0550942	22.1319	866.118	0.547865  	103.696	1.50962	5  	1  	0.835838
12 	0.0559978	inf    	inf    	0.547865  	nan    	1.52077	4  	1  	0.807542
13 	0.0579462	inf    	inf    	0.547865  	nan    	1.49363	4  	1  	0.782954
14 	0.0559428	inf    	inf    	0.547865  	nan    	1.39048	5  	1  	0.745295
15 	0.0535529	inf    	inf    	0.547865  	nan    	1.33544	4  	1  	0.642491
16 	0.0572028	inf    	inf    	0.547865  	nan    	1.40379	5  	1  	0.702217
17 	0.0559392	inf    	inf    	0.547865  	nan    	1.40252	4  	1  	0.687896
18 	0.0559857	526.582	85479.3	0.547865  	6415.66	1.40439	4  	1  	0.645296
19 	0.0551076	27.9201	2122.03	0.266501  	172.82 	1.40938	5  	1  	0.727521
20 	0.0561864	24.8601	3196.5 	0.266501  	200.009	1.45794	5  	1  	0.743994
21 	0.0576999	1336.09	343249 	0.266501  	19557.6	1.47205	4  	1  	0.71854 
22 	0.0584857	1028.64	206580 	0.266501  	12460  	1.63777	4  	1  	0.822703
23 	0.0579178	20.2435	1736.71	0.266501  	127.065	1.66049	6  	1  	0.890024
24 	0.0605669	inf    	inf    	0.266501  	nan    	1.73846	5  	1  	0.952356
25 	0.0605361	inf    	inf    	0.266501  	nan    	1.80061	5  	1  	1.01528 
26 	0.0604823	1065.24	343249 	0.266501  	18951.9	1.82569	5  	1  	1.04788 
27 	0.0622725	inf    	inf    	0.266501  	nan    	1.91159	6  	1  	1.06272 
28 	0.0648217	inf    	inf    	0.266501  	nan    	2.06383	5  	1  	1.09386 
29 	0.0684047	inf    	inf    	0.266501  	nan    	2.13333	6  	1  	1.18594 
30 	0.0684562	inf    	inf    	0.266501  	nan    	2.34139	8  	1  	1.25149 
31 	0.0711613	inf    	inf    	0.229733  	nan    	2.56928	7  	1  	1.3142  
32 	0.0731463	inf    	inf    	0.221814  	nan    	2.67267	7  	1  	1.41137 
33 	0.0758736	inf    	inf    	0.221814  	nan    	2.91018	7  	1  	1.44283 
34 	0.0807614	inf    	inf    	0.221814  	nan    	3.25075	8  	1  	1.69542 
35 	0.0847654	inf    	inf    	0.198801  	nan    	3.45238	9  	1  	1.87499 
36 	0.0894403	inf    	inf    	0.198801  	nan    	3.77151	10 	1  	2.0114  
37 	0.093549 	inf    	inf    	0.141244  	nan    	4.11834	10 	1  	2.06354 
38 	0.0992205	inf    	inf    	0.141244  	nan    	4.40708	10 	1  	2.12293 
39 	0.0993061	inf    	inf    	0.101111  	nan    	4.35588	10 	1  	2.0248  
40 	0.104288 	inf    	inf    	0.101111  	nan    	4.54252	10 	1  	2.01216 
41 	0.106816 	inf    	inf    	0.101111  	nan    	4.99415	10 	1  	2.16835 
42 	0.114025 	inf    	inf    	0.101111  	nan    	5.28571	10 	1  	2.16788 
43 	0.119534 	inf    	inf    	0.101111  	nan    	5.53779	10 	1  	2.33994 
44 	0.123186 	inf    	inf    	0.101111  	nan    	5.9913 	10 	1  	2.32502 
45 	0.125795 	inf    	inf    	0.101111  	nan    	6.00867	10 	1  	2.61442 
46 	0.130832 	inf    	inf    	0.101111  	nan    	6.36311	10 	1  	2.58696 
47 	0.133552 	inf    	inf    	0.101111  	nan    	6.58908	10 	1  	2.527   
48 	0.135208 	inf    	inf    	0.101111  	nan    	6.67335	10 	1  	2.56311 
49 	0.136081 	inf    	inf    	0.101111  	nan    	6.89429	10 	1  	2.44779 
50 	0.134661 	inf    	inf    	0.0925708 	nan    	6.90598	10 	1  	2.43309 
51 	0.135828 	inf    	inf    	0.0925708 	nan    	6.91477	10 	1  	2.4665  
52 	0.13603  	inf    	inf    	0.0925708 	nan    	6.93768	10 	1  	2.46369 
53 	0.139117 	inf    	inf    	0.0925708 	nan    	7.04237	10 	1  	2.38662 
54 	0.144777 	inf    	inf    	0.0925708 	nan    	7.28451	10 	1  	2.37372 
55 	0.149211 	inf    	inf    	0.0925708 	nan    	7.56742	10 	1  	2.12752 
56 	0.149431 	inf    	inf    	0.0841817 	nan    	7.44818	10 	1  	2.35878 
57 	0.150833 	inf    	inf    	0.0772123 	nan    	7.53352	10 	1  	2.4064  
58 	0.15689  	inf    	inf    	0.0772123 	nan    	7.89136	10 	1  	2.25082 
59 	0.161864 	inf    	inf    	0.0696918 	nan    	8.03056	10 	1  	2.00462 
60 	0.161079 	inf    	inf    	0.0696918 	nan    	7.88089	10 	1  	2.2637  
61 	0.169582 	inf    	inf    	0.0696918 	nan    	8.22099	10 	1  	2.15704 
62 	0.175829 	inf    	inf    	0.0696918 	nan    	8.57025	10 	1  	1.91626 
63 	0.18046  	inf    	inf    	0.0696918 	nan    	8.65659	10 	1  	1.90291 
64 	0.183232 	inf    	inf    	0.0696918 	nan    	8.63288	10 	1  	2.04256 
65 	0.188145 	inf    	inf    	0.0458246 	nan    	8.70765	10 	1  	1.99844 
66 	0.194701 	inf    	inf    	0.0549442 	nan    	8.79837	10 	1  	1.77868 
67 	0.192822 	inf    	inf    	0.0540607 	nan    	8.74457	10 	1  	1.88096 
68 	0.193974 	inf    	inf    	0.0540607 	nan    	8.77236	10 	1  	1.86603 
69 	0.197871 	inf    	inf    	0.0442282 	nan    	8.87297	10 	1  	1.91087 
70 	0.200611 	inf    	inf    	0.0442282 	nan    	8.99461	10 	1  	1.74522 
71 	0.208548 	inf    	inf    	0.0378466 	nan    	9.24194	10 	1  	1.48489 
72 	0.212937 	inf    	inf    	0.0355776 	nan    	9.23324	10 	1  	1.56427 
73 	0.208037 	inf    	inf    	0.0355776 	nan    	9.14706	10 	1  	1.68583 
74 	0.212223 	inf    	inf    	0.0355776 	nan    	9.11733	10 	1  	1.76547 
75 	0.214338 	inf    	inf    	0.0355776 	nan    	9.26064	10 	1  	1.47718 
76 	0.217668 	inf    	inf    	0.0355776 	nan    	9.29708	10 	1  	1.48443 
77 	0.223307 	inf    	inf    	0.0355776 	nan    	9.46825	10 	1  	1.17977 
78 	0.229802 	inf    	inf    	0.0355776 	nan    	9.40633	10 	1  	1.29279 
79 	0.227453 	inf    	inf    	0.0308381 	nan    	9.35263	10 	1  	1.39241 
80 	0.22489  	inf    	inf    	0.0307285 	nan    	9.32021	10 	1  	1.49797 
81 	0.225592 	inf    	inf    	0.0307285 	nan    	9.19634	10 	1  	1.8178  
82 	0.23206  	inf    	inf    	0.0307285 	nan    	9.27154	10 	1  	1.64131 
83 	0.23435  	inf    	inf    	0.0307285 	nan    	9.20573	10 	1  	1.61112 
84 	0.233734 	inf    	inf    	0.0307285 	nan    	9.18442	10 	1  	1.63557 
85 	0.231267 	inf    	inf    	0.0278067 	nan    	9.14249	10 	1  	1.53977 
86 	0.232515 	inf    	inf    	0.0278067 	nan    	9.23773	10 	1  	1.26382 
87 	0.231705 	inf    	inf    	0.0181295 	nan    	9.14433	10 	1  	1.51276 
88 	0.236012 	inf    	inf    	0.0181295 	nan    	8.99743	10 	1  	1.64371 
89 	0.240984 	inf    	inf    	0.0181295 	nan    	9.08974	10 	1  	1.52068 
90 	0.251009 	inf    	inf    	0.0181295 	nan    	9.1867 	10 	1  	1.45466 
91 	0.256449 	inf    	inf    	0.0181295 	nan    	9.27296	10 	1  	1.55166 
92 	0.25667  	inf    	inf    	0.0181295 	nan    	9.3715 	10 	1  	1.37754 
93 	0.262808 	inf    	inf    	0.0181295 	nan    	9.45939	10 	1  	1.20895 
94 	0.259478 	inf    	inf    	0.0181295 	nan    	9.29367	10 	1  	1.60216 
95 	0.259438 	inf    	inf    	0.0181295 	nan    	9.38636	10 	1  	1.45287 
