   	         	                      fitness                      	              size              
   	         	---------------------------------------------------	--------------------------------
gen	time     	avg        	max    	min       	std        	avg    	max	min	std     
0  	0.0774071	inf        	inf    	0.547865  	nan        	1.70432	4  	1  	0.69331 
1  	0.0593135	inf        	inf    	0.547865  	nan        	1.67219	5  	1  	0.719976
2  	0.0572307	inf        	inf    	0.547865  	nan        	1.75578	5  	1  	0.80413 
3  	0.0567327	1127.86    	250396 	0.547865  	15133.9    	1.74342	6  	1  	0.862194
4  	0.0568907	309.95     	87260.2	0.547865  	4987.91    	1.71803	4  	1  	0.844948
5  	0.0573497	inf        	inf    	0.547865  	nan        	1.69935	5  	1  	0.867609
6  	0.0566804	inf        	inf    	0.547865  	nan        	1.64495	5  	1  	0.881034
7  	0.0550611	330.799    	95051.2	0.547865  	5407.1     	1.51299	5  	1  	0.819701
8  	0.0540564	567.859    	85479.3	0.547865  	6784.61    	1.46278	5  	1  	0.777562
9  	0.0562992	26.2164    	765.992	0.547865  	90.4422    	1.50968	5  	1  	0.867832
10 	0.055181 	891.27     	102213 	0.547865  	8905.83    	1.45016	4  	1  	0.78363 
11 	0.0550001	22.1319    	866.118	0.547865  	103.696    	1.50962	5  	1  	0.835838
12 	0.056    	inf        	inf    	0.547865  	nan        	1.52077	4  	1  	0.807542
13 	0.0577374	inf        	inf    	0.547865  	nan        	1.49363	4  	1  	0.782954
14 	0.0559232	inf        	inf    	0.547865  	nan        	1.39048	5  	1  	0.745295
15 	0.053545 	inf        	inf    	0.547865  	nan        	1.33544	4  	1  	0.642491
16 	0.0572395	inf        	inf    	0.547865  	nan        	1.40379	5  	1  	0.702217
17 	0.0555964	inf        	inf    	0.547865  	nan        	1.40252	4  	1  	0.687896
18 	0.0557783	526.582    	85479.3	0.547865  	6415.66    	1.40439	4  	1  	0.645296
19 	0.054877 	27.9201    	2122.03	0.266501  	172.82     	1.40938	5  	1  	0.727521
20 	0.0571876	24.8601    	3196.5 	0.266501  	200.009    	1.45794	5  	1  	0.743994
21 	0.0580447	1336.09    	343249 	0.266501  	19557.6    	1.47205	4  	1  	0.71854 
22 	0.0583832	1028.64    	206580 	0.266501  	12460      	1.63777	4  	1  	0.822703
23 	0.0577173	20.2435    	1736.71	0.266501  	127.065    	1.66049	6  	1  	0.890024
24 	0.0603743	inf        	inf    	0.266501  	nan        	1.73846	5  	1  	0.952356
25 	0.0605628	inf        	inf    	0.266501  	nan        	1.80061	5  	1  	1.01528 
26 	0.0605059	1065.24    	343249 	0.266501  	18951.9    	1.82569	5  	1  	1.04788 
27 	0.0622869	inf        	inf    	0.266501  	nan        	1.91159	6  	1  	1.06272 
28 	0.0646851	inf        	inf    	0.266501  	nan        	2.06383	5  	1  	1.09386 
29 	0.0683208	inf        	inf    	0.266501  	nan        	2.13333	6  	1  	1.18594 
30 	0.0686004	inf        	inf    	0.266501  	nan        	2.34139	8  	1  	1.25149 
31 	0.0710392	inf        	inf    	0.229733  	nan        	2.56928	7  	1  	1.3142  
32 	0.0730882	inf        	inf    	0.221814  	nan        	2.67267	7  	1  	1.41137 
33 	0.0758529	inf        	inf    	0.221814  	nan        	2.91018	7  	1  	1.44283 
34 	0.0809274	inf        	inf    	0.221814  	nan        	3.25075	8  	1  	1.69542 
35 	0.0847468	inf        	inf    	0.198801  	nan        	3.45238	9  	1  	1.87499 
36 	0.0892496	inf        	inf    	0.198801  	nan        	3.75668	11 	1  	2.01482 
37 	0.0944061	inf        	inf    	0.198801  	nan        	4.13609	13 	1  	2.1288  
38 	0.0978022	inf        	inf    	0.101277  	nan        	4.40413	11 	1  	2.10466 
39 	0.102091 	inf        	inf    	0.169628  	nan        	4.61176	12 	1  	2.28727 
40 	0.102246 	inf        	inf    	0.169628  	nan        	4.6393 	12 	1  	2.25931 
41 	0.103362 	inf        	inf    	0.169628  	nan        	4.80409	15 	1  	2.49554 
42 	0.108985 	inf        	inf    	0.169628  	nan        	4.95335	15 	1  	2.66346 
43 	0.111008 	inf        	inf    	0.169628  	nan        	5.0814 	16 	1  	2.90435 
44 	0.118663 	inf        	inf    	0.169628  	nan        	5.64058	15 	1  	3.24883 
45 	0.134573 	inf        	inf    	0.121423  	nan        	6.43353	19 	1  	3.74743 
46 	0.148037 	inf        	inf    	0.121423  	nan        	7.26801	19 	1  	3.7716  
47 	0.170042 	inf        	inf    	0.121423  	nan        	8.25287	22 	1  	4.20787 
48 	0.187917 	inf        	inf    	0.11685   	nan        	9.16046	25 	1  	3.99965 
49 	0.204401 	inf        	inf    	0.105919  	nan        	9.64571	25 	1  	4.07503 
50 	0.231536 	inf        	inf    	0.103295  	nan        	10.3989	25 	1  	4.71893 
51 	0.264923 	inf        	inf    	0.091601  	nan        	11.7244	26 	1  	5.00008 
52 	0.308598 	inf        	inf    	0.091601  	nan        	13.3881	33 	1  	5.00986 
53 	0.344526 	inf        	inf    	0.0802688 	nan        	14.4859	32 	1  	5.38213 
54 	0.378981 	inf        	inf    	0.0729509 	nan        	15.1437	33 	1  	5.4756  
55 	0.415447 	inf        	inf    	0.0729509 	nan        	16.3539	34 	2  	5.55094 
56 	0.439219 	inf        	inf    	0.0718025 	nan        	16.958 	33 	1  	5.91924 
57 	0.476563 	inf        	inf    	0.0718025 	nan        	18.0307	33 	1  	6.66909 
58 	0.500047 	inf        	inf    	0.0716236 	nan        	18.6574	34 	1  	7.27013 
59 	0.549336 	inf        	inf    	0.0712897 	nan        	20.2417	34 	1  	7.40982 
60 	0.591585 	inf        	inf    	0.071011  	nan        	21.7507	34 	1  	8.06407 
61 	0.6319   	inf        	inf    	0.0598316 	nan        	22.8508	34 	2  	8.2943  
62 	0.659986 	inf        	inf    	0.0598316 	nan        	24.8815	34 	1  	8.03812 
