   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min        	std        	avg    	max	min	std     
0  	0.111279 	inf        	inf        	0.741879   	nan        	1.70764	4  	1  	0.687507
1  	0.0988035	inf        	inf        	0.741879   	nan        	1.68543	4  	1  	0.683572
2  	0.0965366	40673.4    	6.10223e+06	0.741879   	494105     	1.82508	4  	1  	0.823999
3  	0.0907967	86177.2    	2.6129e+07 	0.741879   	1.49612e+06	1.71711	6  	1  	0.902611
4  	0.091572 	21661.9    	6.5508e+06 	0.741879   	374473     	1.63934	6  	1  	0.830421
5  	0.0894103	inf        	inf        	0.741879   	nan        	1.51634	5  	1  	0.767856
6  	0.090946 	inf        	inf        	0.741879   	nan        	1.36808	5  	1  	0.659205
7  	0.0900061	22246.1    	6.75721e+06	0.741879   	384392     	1.37662	5  	1  	0.684503
8  	0.0860162	45389.3    	7.448e+06  	0.741879   	561700     	1.23301	4  	1  	0.531297
9  	0.0868168	257.526    	29277.1    	0.741879   	1997.01    	1.25161	5  	1  	0.591265
10 	0.0890691	10642.7    	3.24278e+06	0.741879   	183577     	1.32476	4  	1  	0.64703 
11 	0.0865982	20496.9    	6.31283e+06	0.741879   	356811     	1.21795	3  	1  	0.546491
12 	0.0902183	inf        	inf        	0.741879   	nan        	1.28115	4  	1  	0.632604
13 	0.0923717	inf        	inf        	0.741879   	nan        	1.27389	4  	1  	0.624464
14 	0.0927   	353189     	1.04616e+08	0.741879   	5.89532e+06	1.25397	5  	1  	0.600747
15 	0.0898404	inf        	inf        	0.741879   	nan        	1.27848	4  	1  	0.635186
16 	0.0896788	inf        	inf        	0.741879   	nan        	1.2082 	3  	1  	0.527654
17 	0.0889103	338.953    	67759.6    	0.741879   	3847.21    	1.1761 	3  	1  	0.502003
18 	0.0908933	60835.1    	6.53108e+06	0.741879   	622792     	1.2163 	3  	1  	0.52545 
19 	0.0891178	323.746    	30477.4    	0.741879   	2210.87    	1.1875 	3  	1  	0.520667
20 	0.0909288	inf        	inf        	0.741879   	nan        	1.19315	4  	1  	0.505499
21 	0.0902793	inf        	inf        	0.741879   	nan        	1.17081	3  	1  	0.458209
22 	0.0916014	29775.5    	6.33593e+06	0.741879   	394911     	1.2322 	3  	1  	0.549656
23 	0.093766 	236.349    	8662.02    	0.741879   	1081.84    	1.21605	3  	1  	0.529607
24 	0.0945723	7.94789e+07	2.58108e+10	0.741879   	1.42952e+09	1.25231	3  	1  	0.595653
25 	0.0917788	inf        	inf        	0.741879   	nan        	1.20859	3  	1  	0.530701
26 	0.0908606	5360.04    	1.68484e+06	0.741879   	93037.7    	1.21407	3  	1  	0.561277
27 	0.0919344	8.64039e+07	2.82994e+10	0.741879   	1.56018e+09	1.17378	3  	1  	0.497232
28 	0.094353 	139115     	2.61287e+07	0.741879   	1.56365e+06	1.18845	3  	1  	0.506241
29 	0.0952475	8.07732e+07	2.66289e+10	0.741879   	1.46364e+09	1.22424	5  	1  	0.565166
30 	0.0942707	inf        	inf        	0.741879   	nan        	1.1994 	3  	1  	0.535281
31 	0.0928743	inf        	inf        	0.741879   	nan        	1.19277	3  	1  	0.519681
32 	0.094234 	inf        	inf        	0.741879   	nan        	1.1982 	3  	1  	0.522523
33 	0.0953531	103132     	2.61287e+07	0.741879   	1.47314e+06	1.2006 	3  	1  	0.517826
