   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min     	std        	avg    	max	min	std     
0  	0.0882268	inf        	inf        	0.684985	nan        	1.58804	4  	1  	0.669499
1  	0.0768256	inf        	inf        	0.410779	nan        	1.68874	4  	1  	0.760667
2  	0.0746615	3.30033e+27	1e+30      	0.410779	5.73536e+28	1.72277	5  	1  	0.797506
3  	0.0754094	16549.4    	5.00395e+06	0.410779	286519     	1.67105	5  	1  	0.80112 
4  	0.077028 	211.998    	14569.4    	0.410779	1213.17    	1.64918	5  	1  	0.754141
5  	0.0746548	inf        	inf        	0.410779	nan        	1.63399	5  	1  	0.790066
6  	0.0770133	4668.04    	1.31364e+06	0.410779	74970.5    	1.65147	5  	1  	0.838229
7  	0.0803185	inf        	inf        	0.410779	nan        	1.8539 	5  	1  	0.950778
8  	0.0796444	inf        	inf        	0.410779	nan        	1.91262	5  	1  	0.992921
9  	0.0834506	inf        	inf        	0.235785	nan        	2.07419	5  	1  	1.02437 
10 	0.0927653	29546.5    	5.24585e+06	0.235785	321919     	2.37942	5  	1  	1.05664 
11 	0.0951128	inf        	inf        	0.235785	nan        	2.54487	5  	1  	1.02434 
12 	0.100809 	17886.9    	2.94939e+06	0.235785	195009     	2.80511	5  	1  	1.04394 
13 	0.101451 	inf        	inf        	0.235785	nan        	2.86943	5  	1  	1.05524 
14 	0.105302 	inf        	inf        	0.235785	nan        	3.00317	5  	1  	1.01261 
15 	0.108132 	inf        	inf        	0.235785	nan        	3.12342	5  	1  	0.997127
16 	0.110539 	inf        	inf        	0.235785	nan        	3.2082 	5  	1  	0.966732
17 	0.106654 	110.179    	4194.01    	0.235785	438.451    	3.20126	5  	1  	0.919939
18 	0.110807 	inf        	inf        	0.235785	nan        	3.17555	5  	1  	1.00807 
19 	0.113825 	inf        	inf        	0.232665	nan        	3.25625	5  	1  	0.992137
20 	0.11374  	inf        	inf        	0.232665	nan        	3.33333	5  	1  	0.991134
