   	         	                          fitness                          	               size              
   	         	-----------------------------------------------------------	---------------------------------
gen	time     	avg        	max        	min      	std        	avg    	max	min	std      
0  	0.108887 	inf        	inf        	0.741879 	nan        	1.70764	4  	1  	0.687507 
1  	0.098608 	inf        	inf        	0.741879 	nan        	1.68543	4  	1  	0.683572 
2  	0.096174 	40673.4    	6.10223e+06	0.741879 	494105     	1.82508	4  	1  	0.823999 
3  	0.0901251	21697.2    	6.52673e+06	0.741879 	373707     	1.71382	5  	1  	0.873781 
4  	0.0890317	21580.1    	6.54698e+06	0.741879 	374258     	1.67213	5  	1  	0.878175 
5  	0.0894976	inf        	inf        	0.741879 	nan        	1.51634	5  	1  	0.788849 
6  	0.0905333	inf        	inf        	0.741879 	nan        	1.40065	4  	1  	0.702995 
7  	0.0900371	22206      	6.75721e+06	0.741879 	384389     	1.38961	5  	1  	0.745651 
8  	0.0868127	inf        	inf        	0.741879 	nan        	1.29773	4  	1  	0.645142 
9  	0.0874741	235.304    	16224      	0.741879 	1335.93    	1.23871	5  	1  	0.612598 
10 	0.09006  	10650.7    	3.24278e+06	0.741879 	183576     	1.32797	4  	1  	0.662614 
11 	0.0879912	20526.3    	6.31283e+06	0.741879 	356809     	1.23077	3  	1  	0.541202 
12 	0.0905867	inf        	inf        	0.741879 	nan        	1.28754	3  	1  	0.609094 
13 	0.0920801	inf        	inf        	0.741879 	nan        	1.30255	3  	1  	0.623984 
14 	0.0935698	415392     	1.04616e+08	0.741879 	6.06148e+06	1.30476	5  	1  	0.639302 
15 	0.0892668	inf        	inf        	0.741879 	nan        	1.33861	5  	1  	0.681512 
16 	0.0902958	inf        	inf        	0.741879 	nan        	1.26814	4  	1  	0.600232 
17 	0.0894136	183.169    	16893.2    	0.741879 	1162.09    	1.22013	3  	1  	0.53374  
18 	0.0908029	60833.7    	6.53108e+06	0.741879 	622792     	1.25078	4  	1  	0.548401 
19 	0.0888143	400.586    	70885.5    	0.741879 	4084.25    	1.20312	3  	1  	0.535598 
20 	0.0912497	inf        	inf        	0.741879 	nan        	1.21807	4  	1  	0.537489 
21 	0.0905385	inf        	inf        	0.741879 	nan        	1.19255	4  	1  	0.504828 
22 	0.0910273	inf        	inf        	0.741879 	nan        	1.23839	4  	1  	0.569188 
23 	0.0933328	248.327    	8662.02    	0.741879 	1150.87    	1.24383	5  	1  	0.612971 
24 	0.0931571	7.94789e+07	2.58108e+10	0.741879 	1.42952e+09	1.25846	4  	1  	0.613412 
25 	0.0918384	inf        	inf        	0.741879 	nan        	1.20245	3  	1  	0.527286 
26 	0.0903428	20816.3    	6.74162e+06	0.741879 	372233     	1.19878	3  	1  	0.547665 
27 	0.0896635	360542     	1.11636e+08	0.741879 	6.16413e+06	1.12195	3  	1  	0.43168  
28 	0.0935812	79577.5    	6.5508e+06 	0.741879 	715944     	1.17325	3  	1  	0.496568 
29 	0.0958185	8.07138e+07	2.66289e+10	0.741879 	1.46365e+09	1.2303 	3  	1  	0.551848 
30 	0.0930517	inf        	inf        	0.741879 	nan        	1.18127	3  	1  	0.501128 
31 	0.0924289	inf        	inf        	0.741879 	nan        	1.18072	3  	1  	0.506454 
32 	0.0943422	inf        	inf        	0.741879 	nan        	1.1982 	3  	1  	0.516743 
33 	0.0936768	24900.7    	6.53108e+06	0.741879 	368941     	1.17665	3  	1  	0.491173 
34 	0.0942273	19668.4    	6.53108e+06	0.741879 	356290     	1.15821	3  	1  	0.45912  
35 	0.0971816	inf        	inf        	0.741879 	nan        	1.20536	3  	1  	0.514175 
36 	0.0941641	40312.2    	6.99999e+06	0.741879 	520236     	1.17804	3  	1  	0.472752 
37 	0.09375  	2.95858e+27	1e+30      	0.741879 	5.43123e+28	1.18343	3  	1  	0.506254 
38 	0.0946107	116.357    	7288.27    	0.741879 	656.593    	1.18584	3  	1  	0.495681 
39 	0.0967436	inf        	inf        	0.741879 	nan        	1.16765	3  	1  	0.471057 
40 	0.092242 	inf        	inf        	0.741879 	nan        	1.16716	3  	1  	0.476646 
41 	0.0978827	37973.7    	6.76169e+06	0.741879 	491872     	1.20468	3  	1  	0.528908 
42 	0.0962768	18074      	6.13225e+06	0.741879 	330619     	1.19825	3  	1  	0.51936  
43 	0.102428 	206746     	2.61287e+07	0.741879 	2.04352e+06	1.22965	3  	1  	0.541471 
44 	0.0983748	inf        	inf        	0.741879 	nan        	1.18841	3  	1  	0.477778 
45 	0.0979333	97241.7    	2.70423e+07	0.741879 	1.49244e+06	1.19075	3  	1  	0.496841 
46 	0.0988276	inf        	inf        	0.741879 	nan        	1.24784	4  	1  	0.569862 
47 	0.0994382	inf        	inf        	0.741879 	nan        	1.23851	4  	1  	0.555029 
48 	0.100689 	267.819    	8662.02    	0.741879 	1163.11    	1.23209	3  	1  	0.535824 
49 	0.100199 	75054.4    	2.6144e+07 	0.741879 	1.39544e+06	1.24857	3  	1  	0.574144 
50 	0.0991952	36744.2    	6.53108e+06	0.741879 	483022     	1.24786	5  	1  	0.588193 
51 	0.101246 	inf        	inf        	0.741879 	nan        	1.23011	3  	1  	0.579873 
52 	0.10106  	inf        	inf        	0.741879 	nan        	1.26629	4  	1  	0.599738 
53 	0.101461 	inf        	inf        	0.741879 	nan        	1.23729	3  	1  	0.557607 
54 	0.0968442	464.88     	119743     	0.741879 	6430.6     	1.1493 	3  	1  	0.45374  
55 	0.102184 	18873.1    	6.52344e+06	0.741879 	345253     	1.19944	4  	1  	0.526916 
56 	0.0985479	144.084    	8338.15    	0.741879 	867.989    	1.18768	4  	1  	0.535637 
57 	0.100179 	18391.5    	6.51963e+06	0.741879 	344083     	1.21508	3  	1  	0.550364 
58 	0.103406 	20989.6    	6.52344e+06	0.741879 	347223     	1.24791	4  	1  	0.594628 
59 	0.0997324	inf        	inf        	0.741879 	nan        	1.16944	4  	1  	0.501841 
60 	0.103457 	34130.9    	6.53108e+06	0.741879 	455073     	1.22992	4  	1  	0.581137 
61 	0.101061 	17905.7    	6.34344e+06	0.366993 	332943     	1.21823	4  	1  	0.550639 
62 	0.100399 	17841.7    	6.13225e+06	0.366993 	321698     	1.20937	4  	1  	0.579941 
63 	0.102826 	inf        	inf        	0.366993 	nan        	1.25   	4  	1  	0.679872 
64 	0.108546 	18103.3    	6.52344e+06	0.366993 	340977     	1.39178	5  	1  	0.864799 
65 	0.112182 	178624     	2.6144e+07 	0.366993 	1.98279e+06	1.52732	5  	1  	0.957037 
66 	0.114118 	19047.3    	6.53108e+06	0.3416   	341049     	1.703  	4  	1  	1.08824  
67 	0.123661 	286094     	1.046e+08  	0.3416   	5.44519e+06	2.07337	5  	1  	1.30532  
68 	0.12596  	inf        	inf        	0.3416   	nan        	2.33062	5  	1  	1.37305  
69 	0.143123 	695475     	1.04664e+08	0.337759 	7.86173e+06	2.75135	5  	1  	1.40378  
70 	0.145089 	inf        	inf        	0.3416   	nan        	2.90566	5  	1  	1.39086  
71 	0.148746 	inf        	inf        	0.3416   	nan        	3      	5  	1  	1.39315  
72 	0.157658 	2.68097e+27	1e+30      	0.337759 	5.17086e+28	3.28418	5  	1  	1.34611  
73 	0.164198 	inf        	inf        	0.337759 	nan        	3.41176	5  	1  	1.30874  
74 	0.17506  	17156.5    	6.12518e+06	0.337759 	315849     	3.57333	5  	1  	1.21077  
75 	0.176633 	85466.7    	2.53094e+07	0.337759 	1.34508e+06	3.72606	5  	1  	1.13314  
76 	0.183738 	2.65252e+27	1e+30      	0.337759 	5.14343e+28	3.91777	5  	1  	1.02547  
77 	0.184906 	inf        	inf        	0.337759 	nan        	3.92857	5  	1  	1.03007  
78 	0.184827 	inf        	inf        	0.337759 	nan        	3.99472	5  	1  	1.01439  
79 	0.192886 	inf        	inf        	0.337759 	nan        	4.06053	5  	1  	0.961917 
80 	0.194216 	inf        	inf        	0.337759 	nan        	4.13123	5  	1  	0.97399  
81 	0.20586  	105588     	2.61135e+07	0.337759 	1.40727e+06	4.24346	5  	1  	0.871838 
82 	0.203282 	133456     	2.61287e+07	0.337759 	1.82521e+06	4.29765	5  	1  	0.833483 
83 	0.209775 	2.60417e+27	1e+30      	0.337759 	5.09645e+28	4.39323	5  	1  	0.783326 
84 	0.209414 	312621     	9.45827e+07	0.270484 	4.98006e+06	4.48571	5  	1  	0.786529 
85 	0.2133   	inf        	inf        	0.270484 	nan        	4.5285 	5  	1  	0.737919 
86 	0.21268  	2.58398e+27	1e+30      	0.270484 	5.07671e+28	4.52196	5  	1  	0.781841 
87 	0.21955  	inf        	inf        	0.256241 	nan        	4.5    	5  	1  	0.829545 
