   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min        	std        	avg    	max	min	std     
0  	0.0891316	inf        	inf        	0.684985   	nan        	1.58804	4  	1  	0.669499
1  	0.0769947	inf        	inf        	0.410779   	nan        	1.68874	4  	1  	0.760667
2  	0.0755537	3.30033e+27	1e+30      	0.410779   	5.73536e+28	1.72277	5  	1  	0.797506
3  	0.0750964	16549.4    	5.00395e+06	0.410779   	286519     	1.67105	5  	1  	0.80112 
4  	0.0772576	211.998    	14569.4    	0.410779   	1213.17    	1.64918	5  	1  	0.754141
5  	0.0748291	inf        	inf        	0.410779   	nan        	1.63399	5  	1  	0.790066
6  	0.0772576	4668.04    	1.31364e+06	0.410779   	74970.5    	1.65147	5  	1  	0.838229
7  	0.0800531	inf        	inf        	0.410779   	nan        	1.8539 	5  	1  	0.950778
8  	0.0797894	inf        	inf        	0.410779   	nan        	1.91262	5  	1  	0.992921
9  	0.0837634	inf        	inf        	0.235785   	nan        	2.07419	5  	1  	1.02437 
10 	0.0925486	29546.5    	5.24585e+06	0.235785   	321919     	2.37942	5  	1  	1.05664 
11 	0.0957427	inf        	inf        	0.235785   	nan        	2.58974	7  	1  	1.09995 
12 	0.100219 	inf        	inf        	0.235785   	nan        	2.90415	8  	1  	1.23465 
13 	0.103143 	inf        	inf        	0.232665   	nan        	3.1242 	10 	1  	1.32367 
14 	0.108415 	inf        	inf        	0.232665   	nan        	3.33651	10 	1  	1.5122  
15 	0.115808 	inf        	inf        	0.232665   	nan        	3.61709	11 	1  	1.59773 
16 	0.122452 	inf        	inf        	0.232665   	nan        	3.86751	12 	1  	1.74966 
17 	0.124598 	inf        	inf        	0.232665   	nan        	3.87107	12 	1  	1.78544 
18 	0.127812 	inf        	inf        	0.232665   	nan        	4.08464	11 	1  	1.74262 
19 	0.130423 	inf        	inf        	0.186233   	nan        	4.14375	12 	1  	1.78832 
20 	0.136163 	inf        	inf        	0.186233   	nan        	4.58567	14 	1  	2.09129 
21 	0.143835 	inf        	inf        	0.166937   	nan        	4.87578	14 	2  	2.33195 
22 	0.144027 	inf        	inf        	0.146685   	nan        	5.18885	13 	1  	2.43522 
23 	0.156138 	inf        	inf        	0.146685   	nan        	5.84259	15 	1  	2.67647 
24 	0.171528 	inf        	inf        	0.146685   	nan        	6.61231	17 	1  	2.9898  
25 	0.185424 	inf        	inf        	0.146685   	nan        	7.21166	18 	1  	3.27399 
26 	0.197238 	inf        	inf        	0.146685   	nan        	7.87156	16 	1  	3.09513 
27 	0.208302 	inf        	inf        	0.146685   	nan        	8.5122 	20 	1  	3.52861 
28 	0.224303 	inf        	inf        	0.146685   	nan        	9.34043	24 	1  	3.9541  
29 	0.243856 	inf        	inf        	0.133956   	nan        	9.77879	26 	2  	4.44524 
30 	0.259015 	inf        	inf        	0.132195   	nan        	10.4743	24 	2  	4.68672 
31 	0.284558 	inf        	inf        	0.131822   	nan        	11.4518	27 	2  	4.87995 
32 	0.316598 	inf        	inf        	0.127284   	nan        	12.4895	32 	1  	5.19275 
33 	0.336902 	inf        	inf        	0.127284   	nan        	13.1886	32 	1  	5.35146 
34 	0.359734 	inf        	inf        	0.125825   	nan        	13.3522	38 	2  	5.47625 
35 	0.371898 	inf        	inf        	0.125434   	nan        	13.4435	34 	1  	5.56159 
36 	0.392519 	inf        	inf        	0.125365   	nan        	14.1543	34 	1  	5.69241 
37 	0.437996 	inf        	inf        	0.125365   	nan        	15.3314	34 	2  	5.65813 
38 	0.463759 	inf        	inf        	0.125323   	nan        	16.1298	47 	2  	5.49075 
39 	0.438412 	inf        	inf        	0.125124   	nan        	15.65  	33 	1  	5.09537 
40 	0.447116 	inf        	inf        	0.108825   	nan        	16.3343	31 	2  	5.15163 
41 	0.445367 	inf        	inf        	0.108825   	nan        	16.5936	37 	2  	5.78476 
42 	0.487043 	inf        	inf        	0.0996931  	nan        	17.7201	37 	1  	6.17508 
43 	0.526989 	inf        	inf        	0.0996931  	nan        	18.5959	40 	2  	6.58814 
44 	0.565343 	inf        	inf        	0.0996931  	nan        	19.3594	38 	3  	6.43348 
45 	0.568415 	inf        	inf        	0.0844754  	nan        	18.9104	46 	1  	6.81426 
46 	0.596986 	inf        	inf        	0.0844754  	nan        	19.3458	43 	2  	6.2435  
47 	0.636621 	inf        	inf        	0.0844754  	nan        	20.0345	45 	2  	7.11312 
