   	        	                  fitness                  	              size              
   	        	-------------------------------------------	--------------------------------
gen	time    	avg        	max  	min    	std        	avg    	max	min	std     
0  	0.264307	inf        	inf  	1.08404	nan        	1.50831	4  	1  	0.63463 
1  	0.260192	inf        	inf  	1.08404	nan        	1.66225	5  	1  	0.771061
2  	0.255082	inf        	inf  	1.08404	nan        	1.68977	4  	1  	0.719457
3  	0.226943	inf        	inf  	1.08404	nan        	1.53947	4  	1  	0.724402
4  	0.21449 	inf        	inf  	1.08404	nan        	1.4623 	4  	1  	0.710152
5  	0.204621	inf        	inf  	1.08404	nan        	1.39542	4  	1  	0.64967 
6  	0.211817	inf        	inf  	1.08404	nan        	1.44951	4  	1  	0.694247
7  	0.211693	inf        	inf  	1.08404	nan        	1.41883	4  	1  	0.70474 
8  	0.211464	inf        	inf  	1.08404	nan        	1.40129	5  	1  	0.692632
9  	0.206566	inf        	inf  	1.08404	nan        	1.3871 	4  	1  	0.656355
10 	0.211962	inf        	inf  	1.08404	nan        	1.44051	4  	1  	0.71872 
11 	0.209937	inf        	inf  	1.08404	nan        	1.42949	4  	1  	0.685118
12 	0.214243	inf        	inf  	1.08404	nan        	1.53994	5  	1  	0.802852
13 	0.227814	inf        	inf  	1.08404	nan        	1.55096	5  	1  	0.824939
14 	0.213346	inf        	inf  	1.08404	nan        	1.53968	6  	1  	0.828565
15 	0.224105	inf        	inf  	1.08404	nan        	1.62342	6  	1  	0.871828
16 	0.220906	inf        	inf  	1.08404	nan        	1.57729	5  	1  	0.800939
17 	0.223272	inf        	inf  	1.08404	nan        	1.54717	5  	1  	0.762305
18 	0.220911	inf        	inf  	1.08404	nan        	1.54859	5  	1  	0.81713 
19 	0.214549	inf        	inf  	1.08404	nan        	1.49687	5  	1  	0.749993
20 	0.221051	inf        	inf  	1.08404	nan        	1.51402	5  	1  	0.761591
21 	0.218981	inf        	inf  	1.08404	nan        	1.49379	5  	1  	0.765092
22 	0.226213	inf        	inf  	1.08404	nan        	1.54799	5  	1  	0.847517
23 	0.225467	inf        	inf  	1.08404	nan        	1.5216 	5  	1  	0.883401
24 	0.221766	inf        	inf  	1.08404	nan        	1.51692	6  	1  	0.910041
25 	0.220776	inf        	inf  	1.08404	nan        	1.46319	5  	1  	0.845519
26 	0.216484	inf        	inf  	1.08404	nan        	1.50765	6  	1  	0.94129 
27 	0.219755	inf        	inf  	1.08404	nan        	1.53354	6  	1  	0.946159
28 	0.228852	inf        	inf  	1.08404	nan        	1.54711	6  	1  	0.950955
29 	0.226466	inf        	inf  	1.08404	nan        	1.53333	7  	1  	0.984937
30 	0.222524	inf        	inf  	1.08404	nan        	1.44411	6  	1  	0.807286
31 	0.220039	inf        	inf  	1.08404	nan        	1.40663	6  	1  	0.810521
32 	0.218358	inf        	inf  	1.08404	nan        	1.38739	6  	1  	0.729118
33 	0.23212 	inf        	inf  	1.08404	nan        	1.50299	8  	1  	0.914777
34 	0.22739 	inf        	inf  	1.08404	nan        	1.52537	8  	1  	0.967431
35 	0.239942	inf        	inf  	1.08404	nan        	1.63095	8  	1  	1.07216 
36 	0.226724	inf        	inf  	1.08404	nan        	1.47774	6  	1  	0.793301
37 	0.229486	inf        	inf  	1.08404	nan        	1.49408	5  	1  	0.766318
38 	0.236801	inf        	inf  	1.08404	nan        	1.46313	5  	1  	0.708751
39 	0.242857	inf        	inf  	1.08404	nan        	1.51176	4  	1  	0.741527
