   	        	                  fitness                  	              size              
   	        	-------------------------------------------	--------------------------------
gen	time    	avg        	max  	min   	std        	avg    	max	min	std     
0  	0.705006	inf        	inf  	1.0924	nan        	1.49834	4  	1  	0.629426
1  	0.691834	inf        	inf  	1.0924	nan        	1.62583	4  	1  	0.777836
2  	0.583211	inf        	inf  	1.0924	nan        	1.44884	5  	1  	0.647302
3  	0.570651	inf        	inf  	1.0924	nan        	1.40461	5  	1  	0.700642
4  	0.561809	inf        	inf  	1.0924	nan        	1.41639	5  	1  	0.746836
5  	0.538918	inf        	inf  	1.0924	nan        	1.37255	5  	1  	0.684873
6  	0.583833	inf        	inf  	1.0924	nan        	1.51466	5  	1  	0.840126
7  	0.598573	inf        	inf  	1.0924	nan        	1.48377	5  	1  	0.799592
8  	0.591639	inf        	inf  	1.0924	nan        	1.5178 	5  	1  	0.838306
9  	0.578043	inf        	inf  	1.0924	nan        	1.45806	5  	1  	0.784846
10 	0.571273	inf        	inf  	1.0924	nan        	1.46302	5  	1  	0.808565
11 	0.558857	inf        	inf  	1.0924	nan        	1.34615	4  	1  	0.690168
12 	0.549021	inf        	inf  	1.0924	nan        	1.34185	4  	1  	0.68396 
13 	0.577636	inf        	inf  	1.0924	nan        	1.35032	4  	1  	0.661654
14 	0.518452	inf        	inf  	1.0924	nan        	1.26032	4  	1  	0.58731 
15 	0.539896	inf        	inf  	1.0924	nan        	1.25633	4  	1  	0.606498
16 	0.544802	inf        	inf  	1.0924	nan        	1.25868	3  	1  	0.574947
17 	0.533049	inf        	inf  	1.0924	nan        	1.22956	3  	1  	0.514696
18 	0.513656	inf        	inf  	1.0924	nan        	1.17241	5  	1  	0.517764
19 	0.525907	inf        	inf  	1.0924	nan        	1.19063	4  	1  	0.491719
20 	0.550441	inf        	inf  	1.0924	nan        	1.24611	3  	1  	0.578853
21 	0.532817	inf        	inf  	1.0924	nan        	1.20186	3  	1  	0.534171
22 	0.542811	3.09598e+27	1e+30	1.0924	5.55553e+28	1.24149	3  	1  	0.570601
23 	0.545026	inf        	inf  	1.0924	nan        	1.24074	5  	1  	0.616697
24 	0.544389	inf        	inf  	1.0924	nan        	1.21846	3  	1  	0.553282
25 	0.537704	inf        	inf  	1.0924	nan        	1.19325	5  	1  	0.539328
26 	0.535462	inf        	inf  	1.0924	nan        	1.18654	3  	1  	0.523517
27 	0.540707	inf        	inf  	1.0924	nan        	1.22561	3  	1  	0.544666
28 	0.559562	inf        	inf  	1.0924	nan        	1.22796	3  	1  	0.561973
29 	0.55638 	inf        	inf  	1.0924	nan        	1.23939	3  	1  	0.577581
30 	0.553564	inf        	inf  	1.0924	nan        	1.1994 	3  	1  	0.494196
31 	0.543655	inf        	inf  	1.0924	nan        	1.19578	4  	1  	0.544065
32 	0.534693	inf        	inf  	1.0924	nan        	1.18018	3  	1  	0.462365
33 	0.581368	inf        	inf  	1.0924	nan        	1.24551	3  	1  	0.583886
34 	0.562512	inf        	inf  	1.0924	nan        	1.22388	3  	1  	0.573569
35 	0.588835	inf        	inf  	1.0924	nan        	1.29464	5  	1  	0.667775
36 	0.564936	inf        	inf  	1.0924	nan        	1.24629	5  	1  	0.607954
37 	0.576141	inf        	inf  	1.0924	nan        	1.23373	5  	1  	0.566667
38 	0.586639	inf        	inf  	1.0924	nan        	1.24484	4  	1  	0.560969
39 	0.585185	inf        	inf  	1.0924	nan        	1.23824	3  	1  	0.568028
40 	0.553527	inf        	inf  	1.0924	nan        	1.20528	3  	1  	0.501115
41 	0.614503	inf        	inf  	1.0924	nan        	1.29532	4  	1  	0.642484
42 	0.590572	inf        	inf  	1.0924	nan        	1.23907	3  	1  	0.556951
43 	0.57301 	1.16279e+28	1e+30	1.0924	1.07204e+29	1.24128	5  	1  	0.61231 
44 	0.582311	inf        	inf  	1.0924	nan        	1.22899	4  	1  	0.551441
45 	0.581142	inf        	inf  	1.0924	nan        	1.22832	5  	1  	0.615227
46 	0.593435	inf        	inf  	1.0924	nan        	1.22767	4  	1  	0.555337
47 	0.595547	inf        	inf  	1.0924	nan        	1.27874	4  	1  	0.572258
48 	0.613757	inf        	inf  	1.0924	nan        	1.2894 	4  	1  	0.59552 
49 	0.58744 	inf        	inf  	1.0924	nan        	1.26571	4  	1  	0.561347
50 	0.624385	inf        	inf  	1.0924	nan        	1.37037	4  	1  	0.670612
51 	0.607162	inf        	inf  	1.0924	nan        	1.33807	4  	1  	0.658791
52 	0.628534	inf        	inf  	1.0924	nan        	1.35694	4  	1  	0.658407
53 	0.660908	inf        	inf  	1.0924	nan        	1.40395	4  	1  	0.711556
54 	0.625463	inf        	inf  	1.0924	nan        	1.37746	5  	1  	0.71092 
55 	0.637552	inf        	inf  	1.0924	nan        	1.39888	5  	1  	0.693792
56 	0.621483	inf        	inf  	1.0924	nan        	1.38375	4  	1  	0.644793
57 	0.631953	inf        	inf  	1.0924	nan        	1.41899	4  	1  	0.695458
58 	0.628274	inf        	inf  	1.0924	nan        	1.38162	5  	1  	0.705566
59 	0.629207	inf        	inf  	1.0924	nan        	1.4    	5  	1  	0.738617
60 	0.624053	inf        	inf  	1.0924	nan        	1.40166	5  	1  	0.683723
61 	0.66965 	inf        	inf  	1.0924	nan        	1.45856	5  	1  	0.743068
62 	0.662326	inf        	inf  	1.0924	nan        	1.4573 	5  	1  	0.771547
63 	0.663894	inf        	inf  	1.0924	nan        	1.47802	6  	1  	0.88147 
64 	0.645192	inf        	inf  	1.0924	nan        	1.38904	6  	1  	0.81888 
65 	0.659204	inf        	inf  	1.0924	nan        	1.4071 	5  	1  	0.830336
