   	        	          fitness          	              size              
   	        	---------------------------	--------------------------------
gen	time    	avg	max	min    	std	avg    	max	min	std     
0  	0.469994	inf	inf	1.13845	nan	1.52824	4  	1  	0.66973 
1  	0.470629	inf	inf	1.13845	nan	1.66556	4  	1  	0.766047
2  	0.456158	inf	inf	1.13845	nan	1.77558	5  	1  	0.845761
3  	0.444232	inf	inf	1.13845	nan	1.8125 	6  	1  	0.932442
4  	0.42282 	inf	inf	1.13845	nan	1.75738	6  	1  	0.951351
5  	0.421849	inf	inf	1.13845	nan	1.70915	6  	1  	0.934303
6  	0.43127 	inf	inf	1.13845	nan	1.77199	6  	1  	0.998434
7  	0.430175	inf	inf	1.13845	nan	1.68182	6  	1  	0.975043
8  	0.417416	inf	inf	1.13845	nan	1.7055 	6  	1  	0.948855
9  	0.39596 	inf	inf	1.13845	nan	1.55484	5  	1  	0.873568
10 	0.40274 	inf	inf	1.13845	nan	1.54341	5  	1  	0.84329 
11 	0.404843	inf	inf	1.13845	nan	1.51603	5  	1  	0.820256
12 	0.394786	inf	inf	1.13845	nan	1.52077	5  	1  	0.819325
13 	0.419166	inf	inf	1.13845	nan	1.53822	5  	1  	0.790149
14 	0.386491	inf	inf	1.13845	nan	1.46984	5  	1  	0.756902
15 	0.405373	inf	inf	1.13845	nan	1.4557 	6  	1  	0.780254
16 	0.38936 	inf	inf	1.13845	nan	1.37539	3  	1  	0.631277
17 	0.383734	inf	inf	1.13845	nan	1.35535	5  	1  	0.651186
18 	0.376721	inf	inf	1.13845	nan	1.37618	4  	1  	0.645357
19 	0.384   	inf	inf	1.13845	nan	1.39375	4  	1  	0.643204
20 	0.392276	inf	inf	1.13845	nan	1.40187	5  	1  	0.717296
21 	0.390538	inf	inf	1.13845	nan	1.38509	4  	1  	0.655243
22 	0.391824	inf	inf	1.13845	nan	1.35604	4  	1  	0.639407
23 	0.391946	inf	inf	1.13845	nan	1.35802	4  	1  	0.649   
24 	0.393175	inf	inf	1.13845	nan	1.37231	4  	1  	0.670134
25 	0.376401	inf	inf	1.13845	nan	1.31902	4  	1  	0.593477
26 	0.380985	inf	inf	1.13845	nan	1.31193	4  	1  	0.640583
27 	0.381115	inf	inf	1.13845	nan	1.31098	4  	1  	0.574564
28 	0.394948	inf	inf	1.13845	nan	1.33435	4  	1  	0.6411  
29 	0.391718	inf	inf	1.13845	nan	1.33333	4  	1  	0.626034
30 	0.389831	inf	inf	1.13845	nan	1.26284	4  	1  	0.555481
31 	0.385507	inf	inf	1.13845	nan	1.23795	3  	1  	0.549375
32 	0.380069	inf	inf	1.13845	nan	1.22523	4  	1  	0.50257 
33 	0.408662	inf	inf	1.13845	nan	1.2994 	4  	1  	0.614349
34 	0.387693	inf	inf	1.13845	nan	1.28657	4  	1  	0.599725
35 	0.409229	inf	inf	1.13845	nan	1.375  	5  	1  	0.729379
36 	0.384677	inf	inf	1.13845	nan	1.26113	4  	1  	0.573967
37 	0.397379	inf	inf	1.13845	nan	1.27219	4  	1  	0.546529
38 	0.403103	inf	inf	1.13845	nan	1.27729	4  	1  	0.564263
39 	0.411125	inf	inf	1.13845	nan	1.3    	4  	1  	0.607308
40 	0.390562	inf	inf	1.13845	nan	1.27859	3  	1  	0.55367 
41 	0.426063	inf	inf	1.13845	nan	1.3538 	4  	1  	0.653801
42 	0.418379	inf	inf	1.13845	nan	1.36152	4  	1  	0.623102
43 	0.418042	inf	inf	1.13845	nan	1.38081	4  	1  	0.667156
44 	0.41765 	inf	inf	1.13845	nan	1.36522	4  	1  	0.650491
45 	0.402902	inf	inf	1.13845	nan	1.28613	4  	1  	0.585651
46 	0.415941	inf	inf	1.13845	nan	1.31124	4  	1  	0.579143
47 	0.421119	inf	inf	1.13845	nan	1.32759	4  	1  	0.626648
48 	0.41498 	inf	inf	1.13845	nan	1.29226	4  	1  	0.576992
49 	0.404105	inf	inf	1.13845	nan	1.27429	3  	1  	0.574875
50 	0.41919 	inf	inf	1.13845	nan	1.31624	4  	1  	0.617636
51 	0.408522	inf	inf	1.13845	nan	1.26989	4  	1  	0.55227 
52 	0.421178	inf	inf	1.13845	nan	1.33144	4  	1  	0.698483
53 	0.425466	inf	inf	1.13845	nan	1.28531	4  	1  	0.562941
54 	0.408698	inf	inf	1.13845	nan	1.26761	4  	1  	0.575503
55 	0.417688	inf	inf	1.13845	nan	1.29775	4  	1  	0.595956
56 	0.418125	inf	inf	1.13845	nan	1.30252	4  	1  	0.601883
57 	0.417038	inf	inf	1.13845	nan	1.30447	4  	1  	0.56877 
58 	0.42567 	inf	inf	1.13845	nan	1.35097	5  	1  	0.662941
59 	0.433195	inf	inf	1.13845	nan	1.36111	4  	1  	0.660504
60 	0.421409	inf	inf	1.13845	nan	1.37673	4  	1  	0.691789
61 	0.441586	inf	inf	1.13845	nan	1.38122	4  	1  	0.680007
62 	0.435474	inf	inf	1.13845	nan	1.35537	4  	1  	0.636703
63 	0.430851	inf	inf	1.13845	nan	1.32692	4  	1  	0.637854
64 	0.421901	inf	inf	1.13845	nan	1.28219	4  	1  	0.568425
65 	0.442343	inf	inf	1.13845	nan	1.31967	4  	1  	0.635039
66 	0.431441	inf	inf	1.13845	nan	1.29428	4  	1  	0.586445
67 	0.436243	inf	inf	1.13845	nan	1.2962 	4  	1  	0.595989
68 	0.440582	inf	inf	1.13845	nan	1.29268	4  	1  	0.607965
69 	0.42876 	inf	inf	1.13845	nan	1.27568	4  	1  	0.564444
70 	0.4514  	inf	inf	1.13845	nan	1.32615	4  	1  	0.655757
71 	0.444606	inf	inf	1.13845	nan	1.30376	4  	1  	0.588132
72 	0.4384  	inf	inf	1.13845	nan	1.27078	3  	1  	0.585004
73 	0.44069 	inf	inf	1.13845	nan	1.27005	3  	1  	0.584388
74 	0.472332	inf	inf	1.13845	nan	1.352  	3  	1  	0.648148
75 	0.461907	inf	inf	1.13845	nan	1.30585	4  	1  	0.596593
76 	0.452666	inf	inf	1.13845	nan	1.30239	4  	1  	0.603983
77 	0.447158	inf	inf	1.13845	nan	1.2672 	4  	1  	0.568143
78 	0.446889	inf	inf	1.13845	nan	1.26913	4  	1  	0.573258
79 	0.449485	inf	inf	1.13845	nan	1.22105	4  	1  	0.560619
80 	0.440137	inf	inf	1.13845	nan	1.1916 	5  	1  	0.525   
81 	0.435618	inf	inf	1.13845	nan	1.19634	4  	1  	0.507212
82 	0.444853	inf	inf	1.13845	nan	1.21671	3  	1  	0.538378
83 	0.434929	inf	inf	1.13845	nan	1.1901 	3  	1  	0.508066
84 	0.450891	inf	inf	1.13845	nan	1.23377	4  	1  	0.555868
85 	0.442418	inf	inf	1.13845	nan	1.20984	3  	1  	0.49871 
86 	0.462566	inf	inf	1.13845	nan	1.26615	4  	1  	0.617544
87 	0.472397	inf	inf	1.13845	nan	1.24485	4  	1  	0.560145
88 	0.453585	inf	inf	1.13845	nan	1.22365	3  	1  	0.535482
89 	0.448171	inf	inf	1.13845	nan	1.25385	3  	1  	0.554398
90 	0.453449	inf	inf	1.13845	nan	1.24552	4  	1  	0.559571
91 	0.452187	inf	inf	1.13845	nan	1.21429	4  	1  	0.553283
92 	0.446752	inf	inf	1.13845	nan	1.20102	4  	1  	0.512241
93 	0.477728	inf	inf	1.13845	nan	1.27157	4  	1  	0.587392
94 	0.45596 	inf	inf	1.13845	nan	1.23544	4  	1  	0.558261
95 	0.482615	inf	inf	1.13845	nan	1.2803 	3  	1  	0.611106
96 	0.465535	inf	inf	1.13845	nan	1.23678	4  	1  	0.553767
97 	0.454979	inf	inf	1.13845	nan	1.19849	3  	1  	0.479004
98 	0.444417	inf	inf	1.13845	nan	1.18546	4  	1  	0.480903
99 	0.471549	inf	inf	1.13845	nan	1.2375 	4  	1  	0.553257
100	0.484922	inf	inf	1.13845	nan	1.27182	4  	1  	0.585297
101	0.475274	inf	inf	1.13845	nan	1.23134	4  	1  	0.549729
102	0.458646	inf	inf	1.13845	nan	1.21092	4  	1  	0.534358
103	0.453984	inf	inf	1.13845	nan	1.20297	5  	1  	0.548076
104	0.466061	inf	inf	1.13845	nan	1.19012	4  	1  	0.502734
105	0.497029	inf	inf	1.13845	nan	1.26601	4  	1  	0.585689
106	0.478188	inf	inf	1.13845	nan	1.22359	3  	1  	0.55342 
107	0.454036	inf	inf	1.13845	nan	1.19853	4  	1  	0.530721
108	0.457299	inf	inf	1.13845	nan	1.1956 	3  	1  	0.505113
109	0.482283	inf	inf	1.13845	nan	1.23171	4  	1  	0.552131
110	0.498265	inf	inf	1.13845	nan	1.24574	4  	1  	0.584013
111	0.48181 	inf	inf	1.13845	nan	1.22573	4  	1  	0.566044
112	0.475495	inf	inf	1.13845	nan	1.21065	3  	1  	0.522318
113	0.490874	inf	inf	1.13845	nan	1.21981	4  	1  	0.527041
114	0.469107	inf	inf	1.13845	nan	1.20482	3  	1  	0.518548
115	0.484167	inf	inf	1.13845	nan	1.19712	3  	1  	0.494772
116	0.478111	inf	inf	1.13845	nan	1.19424	3  	1  	0.507181
117	0.475613	inf	inf	1.13845	nan	1.16986	3  	1  	0.461276
118	0.491213	inf	inf	1.13845	nan	1.22673	3  	1  	0.555855
119	0.495248	inf	inf	1.13845	nan	1.23333	4  	1  	0.554491
120	0.486986	inf	inf	1.13845	nan	1.2019 	4  	1  	0.533528
121	0.496193	inf	inf	1.13845	nan	1.23223	3  	1  	0.553408
122	0.485182	inf	inf	1.13845	nan	1.2435 	3  	1  	0.541252
123	0.487055	inf	inf	1.13845	nan	1.23349	3  	1  	0.549194
124	0.486334	inf	inf	1.13845	nan	1.2    	3  	1  	0.522438
125	0.477677	inf	inf	1.13845	nan	1.19484	4  	1  	0.519183
126	0.49634 	inf	inf	1.13845	nan	1.25995	3  	1  	0.596919
127	0.506688	inf	inf	1.13845	nan	1.2757 	4  	1  	0.614215
128	0.490655	inf	inf	1.13845	nan	1.20513	3  	1  	0.537517
129	0.506621	inf	inf	1.13845	nan	1.26977	4  	1  	0.630074
130	0.50834 	inf	inf	1.13845	nan	1.28306	4  	1  	0.62334 
131	0.500901	inf	inf	1.13845	nan	1.25463	3  	1  	0.597043
132	0.518314	inf	inf	1.13845	nan	1.28637	4  	1  	0.634806
133	0.523767	inf	inf	1.13845	nan	1.29263	4  	1  	0.654366
134	0.511741	inf	inf	1.13845	nan	1.25747	4  	1  	0.597241
