   	       	                      fitness                      	              size              
   	       	---------------------------------------------------	--------------------------------
gen	time   	avg        	max        	min    	std        	avg    	max	min	std     
0  	1.81932	inf        	inf        	1.11132	nan        	1.60465	4  	1  	0.657069
1  	1.71716	inf        	inf        	1.11132	nan        	1.59934	4  	1  	0.677256
2  	1.78997	inf        	inf        	1.11132	nan        	1.68317	5  	1  	0.739244
3  	1.73844	inf        	inf        	1.11132	nan        	1.73684	5  	1  	0.829052
4  	1.75299	inf        	inf        	1.11132	nan        	1.73115	4  	1  	0.845342
5  	1.77191	inf        	inf        	1.11132	nan        	1.6732 	5  	1  	0.819134
6  	1.724  	inf        	inf        	1.11132	nan        	1.56026	5  	1  	0.794187
7  	1.6851 	inf        	inf        	1.11132	nan        	1.42857	5  	1  	0.72396 
8  	1.56337	inf        	inf        	1.11132	nan        	1.27508	3  	1  	0.573464
9  	1.50806	inf        	inf        	1.11132	nan        	1.23226	4  	1  	0.565906
10 	1.63399	inf        	inf        	1.11132	nan        	1.27974	4  	1  	0.607198
11 	1.59175	inf        	inf        	1.11132	nan        	1.26603	4  	1  	0.590849
12 	1.60264	inf        	inf        	1.11132	nan        	1.3099 	3  	1  	0.60069 
13 	1.60055	inf        	inf        	1.11132	nan        	1.2707 	3  	1  	0.586446
14 	1.60308	inf        	inf        	1.11132	nan        	1.28889	5  	1  	0.64908 
15 	1.57501	inf        	inf        	1.11132	nan        	1.25316	3  	1  	0.572986
16 	1.61506	inf        	inf        	1.11132	nan        	1.26183	4  	1  	0.57076 
17 	1.61186	inf        	inf        	1.11132	nan        	1.24214	3  	1  	0.550458
18 	1.62178	inf        	inf        	1.11132	nan        	1.22571	4  	1  	0.53042 
19 	1.60852	inf        	inf        	1.11132	nan        	1.2375 	3  	1  	0.541843
20 	1.59454	inf        	inf        	1.11132	nan        	1.25545	4  	1  	0.54986 
21 	1.78426	inf        	inf        	1.11132	nan        	1.35714	4  	1  	0.659212
22 	1.69532	inf        	inf        	1.11132	nan        	1.32817	4  	1  	0.612596
23 	1.70938	inf        	inf        	1.11132	nan        	1.33025	4  	1  	0.656552
24 	1.71838	inf        	inf        	1.11132	nan        	1.32   	4  	1  	0.604394
25 	1.67275	inf        	inf        	1.11132	nan        	1.30061	4  	1  	0.623024
26 	1.6778 	inf        	inf        	1.11132	nan        	1.30887	4  	1  	0.61032 
27 	1.71174	inf        	inf        	1.11132	nan        	1.31402	4  	1  	0.59637 
28 	1.6461 	inf        	inf        	1.11132	nan        	1.25532	3  	1  	0.541733
29 	1.68055	inf        	inf        	1.11132	nan        	1.30303	5  	1  	0.626914
30 	1.72062	inf        	inf        	1.11132	nan        	1.31722	4  	1  	0.635534
31 	1.72754	inf        	inf        	1.11132	nan        	1.31928	4  	1  	0.606582
32 	1.72799	inf        	inf        	1.11132	nan        	1.31832	4  	1  	0.605922
33 	1.6905 	inf        	inf        	1.11132	nan        	1.35629	5  	1  	0.66702 
34 	1.83221	inf        	inf        	1.11132	nan        	1.3791 	5  	1  	0.692936
35 	1.77349	inf        	inf        	1.11132	nan        	1.3869 	5  	1  	0.743428
36 	1.75638	inf        	inf        	1.11132	nan        	1.36202	5  	1  	0.688683
37 	1.81639	inf        	inf        	1.11132	nan        	1.41716	5  	1  	0.679759
38 	1.81017	inf        	inf        	1.11132	nan        	1.36283	4  	1  	0.624882
39 	1.84001	inf        	inf        	1.11132	nan        	1.36176	4  	1  	0.6474  
40 	1.70942	inf        	inf        	1.11132	nan        	1.31672	4  	1  	0.61218 
41 	1.71116	inf        	inf        	1.11132	nan        	1.28947	3  	1  	0.562841
42 	1.78454	inf        	inf        	1.11132	nan        	1.32653	4  	1  	0.642128
43 	1.81131	inf        	inf        	1.11132	nan        	1.34302	4  	1  	0.584498
44 	1.78459	inf        	inf        	1.11132	nan        	1.30435	3  	1  	0.567332
45 	1.80294	inf        	inf        	1.11132	nan        	1.30058	3  	1  	0.550197
46 	1.83286	inf        	inf        	1.11132	nan        	1.40058	4  	1  	0.664714
47 	1.82701	inf        	inf        	1.11132	nan        	1.38506	4  	1  	0.621461
48 	1.84821	inf        	inf        	1.11132	nan        	1.42693	5  	1  	0.671539
49 	1.86145	inf        	inf        	1.11132	nan        	1.40571	4  	1  	0.619651
50 	1.88705	inf        	inf        	1.11132	nan        	1.46154	4  	1  	0.656397
51 	1.92924	inf        	inf        	1.11132	nan        	1.47159	4  	1  	0.698448
52 	1.86732	inf        	inf        	1.11132	nan        	1.39943	4  	1  	0.608439
53 	1.89726	inf        	inf        	1.11132	nan        	1.43785	3  	1  	0.626921
54 	1.96098	inf        	inf        	1.11132	nan        	1.47324	4  	1  	0.701097
55 	1.88071	inf        	inf        	1.11132	nan        	1.41292	4  	1  	0.658353
56 	1.89036	inf        	inf        	1.11132	nan        	1.42857	4  	1  	0.646968
57 	1.86721	inf        	inf        	1.11132	nan        	1.42737	5  	1  	0.67603 
58 	1.95838	inf        	inf        	1.11132	nan        	1.45961	4  	1  	0.682377
59 	1.94631	inf        	inf        	1.11132	nan        	1.49444	4  	1  	0.722628
60 	1.96317	inf        	inf        	1.11132	nan        	1.47091	4  	1  	0.717692
61 	1.97654	inf        	inf        	1.11132	nan        	1.48895	4  	1  	0.713825
62 	1.93226	3.93546e+53	1.42857e+56	1.11132	7.48772e+54	1.44628	5  	1  	0.687757
63 	1.91616	2.74725e+27	1e+30      	1.11132	5.23422e+28	1.42033	3  	1  	0.656099
64 	1.96613	inf        	inf        	1.11132	nan        	1.45753	5  	1  	0.726394
65 	2.0162 	inf        	inf        	1.11132	nan        	1.50273	4  	1  	0.749312
66 	1.98092	inf        	inf        	1.11132	nan        	1.44687	5  	1  	0.735836
67 	1.97657	inf        	inf        	1.11132	nan        	1.4837 	5  	1  	0.722131
68 	2.08005	inf        	inf        	1.11132	nan        	1.5393 	4  	1  	0.750213
69 	2.00164	inf        	inf        	1.11132	nan        	1.48108	5  	1  	0.713514
70 	2.05912	inf        	inf        	1.11132	nan        	1.52291	4  	1  	0.701472
71 	2.08713	inf        	inf        	1.11132	nan        	1.55376	5  	1  	0.796371
