   	        	                fitness                	              size              
   	        	---------------------------------------	--------------------------------
gen	time    	avg    	max        	min    	std    	avg    	max	min	std     
0  	0.410935	inf    	inf        	1.11492	nan    	1.63123	4  	1  	0.672345
1  	0.389154	inf    	inf        	1.11492	nan    	1.73179	4  	1  	0.717046
2  	0.39484 	inf    	inf        	1.11492	nan    	1.77888	5  	1  	0.745027
3  	0.394408	inf    	inf        	1.11492	nan    	1.75658	5  	1  	0.83899 
4  	0.395975	inf    	inf        	1.11492	nan    	1.67541	5  	1  	0.782735
5  	0.405071	inf    	inf        	1.11492	nan    	1.71242	5  	1  	0.817882
6  	0.403555	inf    	inf        	1.11492	nan    	1.67752	5  	1  	0.821286
7  	0.384596	inf    	inf        	1.11492	nan    	1.61364	4  	1  	0.749508
8  	0.38254 	inf    	inf        	1.11492	nan    	1.53398	5  	1  	0.802289
9  	0.36674 	inf    	inf        	1.11492	nan    	1.45806	5  	1  	0.716071
10 	0.388616	inf    	inf        	1.11492	nan    	1.49839	5  	1  	0.743134
11 	0.366648	inf    	inf        	1.11492	nan    	1.44872	5  	1  	0.745025
12 	0.371089	inf    	inf        	1.11492	nan    	1.47923	5  	1  	0.787512
13 	0.381207	inf    	inf        	1.11492	nan    	1.44268	5  	1  	0.7303  
14 	0.3772  	inf    	inf        	1.11492	nan    	1.41587	4  	1  	0.691262
15 	0.372272	inf    	inf        	1.11492	nan    	1.4462 	4  	1  	0.684562
16 	0.37063 	inf    	inf        	1.11492	nan    	1.38801	4  	1  	0.643518
17 	0.382982	inf    	inf        	1.11492	nan    	1.41824	5  	1  	0.689942
18 	0.381562	inf    	inf        	1.11492	nan    	1.40752	4  	1  	0.683486
19 	0.371431	inf    	inf        	1.11492	nan    	1.45625	4  	1  	0.674044
20 	0.36987 	inf    	inf        	1.11492	nan    	1.38941	4  	1  	0.642047
21 	0.394701	inf    	inf        	1.11492	nan    	1.45652	4  	1  	0.717768
22 	0.379038	inf    	inf        	1.11492	nan    	1.42415	5  	1  	0.701373
23 	0.383064	inf    	inf        	1.11492	nan    	1.40741	4  	1  	0.707592
24 	0.38857 	inf    	inf        	1.11492	nan    	1.43385	4  	1  	0.655926
25 	0.392131	inf    	inf        	1.11492	nan    	1.43865	4  	1  	0.709863
26 	0.38951 	inf    	inf        	1.11492	nan    	1.44954	5  	1  	0.714458
27 	0.39542 	inf    	inf        	1.11492	nan    	1.45427	4  	1  	0.696931
28 	0.392477	inf    	inf        	1.11492	nan    	1.4772 	4  	1  	0.73157 
29 	0.400774	inf    	inf        	1.11492	nan    	1.49091	4  	1  	0.755731
30 	0.404289	inf    	inf        	1.11492	nan    	1.50755	3  	1  	0.709732
31 	0.414648	inf    	inf        	1.11492	nan    	1.5    	5  	1  	0.746478
32 	0.405427	inf    	inf        	1.11492	nan    	1.47147	4  	1  	0.749332
33 	0.392377	inf    	inf        	1.11492	nan    	1.41617	4  	1  	0.681564
34 	0.411738	inf    	inf        	1.11492	nan    	1.4209 	4  	1  	0.67725 
35 	0.401538	inf    	inf        	1.11492	nan    	1.37798	4  	1  	0.665916
36 	0.380285	inf    	inf        	1.11492	nan    	1.31157	4  	1  	0.597435
