   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std     
0  	0.400426	inf        	inf        	1.10811	nan        	1.60797	4  	1  	0.666575
1  	0.376567	inf        	inf        	1.10811	nan        	1.61921	4  	1  	0.698173
2  	0.394806	inf        	inf        	1.10811	nan        	1.73927	4  	1  	0.723036
3  	0.376673	inf        	inf        	1.10811	nan        	1.67105	4  	1  	0.718884
4  	0.386584	inf        	inf        	1.10811	nan        	1.66557	4  	1  	0.759397
5  	0.384091	inf        	inf        	1.10811	nan        	1.62418	4  	1  	0.757923
6  	0.376047	inf        	inf        	1.10811	nan        	1.5342 	4  	1  	0.699909
7  	0.381867	inf        	inf        	1.10811	nan        	1.5    	5  	1  	0.713961
8  	0.37392 	inf        	inf        	1.10811	nan        	1.45955	4  	1  	0.68913 
9  	0.358894	inf        	inf        	1.10811	nan        	1.43548	4  	1  	0.672525
10 	0.386223	inf        	inf        	1.10811	nan        	1.48875	4  	1  	0.751655
11 	0.36888 	inf        	inf        	1.10811	nan        	1.42628	4  	1  	0.707797
12 	0.377234	inf        	inf        	1.10811	nan        	1.46965	4  	1  	0.762461
13 	0.373588	inf        	inf        	1.10811	nan        	1.45223	4  	1  	0.739649
14 	0.378491	inf        	inf        	1.10811	nan        	1.46349	4  	1  	0.739648
15 	0.372551	inf        	inf        	1.10811	nan        	1.45886	4  	1  	0.759883
16 	0.381958	inf        	inf        	1.10811	nan        	1.44479	4  	1  	0.702146
17 	0.379915	inf        	inf        	1.10811	nan        	1.44025	3  	1  	0.696724
18 	0.382278	inf        	inf        	1.10811	nan        	1.44828	4  	1  	0.714596
19 	0.374752	inf        	inf        	1.10811	nan        	1.39688	4  	1  	0.667544
20 	0.367898	inf        	inf        	1.10811	nan        	1.37072	4  	1  	0.633648
21 	0.396555	inf        	inf        	1.10811	nan        	1.42857	3  	1  	0.693486
22 	0.373408	2.21141e+54	7.14286e+56	1.10811	3.96823e+55	1.39938	4  	1  	0.68482 
23 	0.383336	inf        	inf        	1.10811	nan        	1.39506	5  	1  	0.692625
24 	0.387437	inf        	inf        	1.10811	nan        	1.39692	5  	1  	0.701201
25 	0.384424	inf        	inf        	1.10811	nan        	1.42331	5  	1  	0.758556
26 	0.389332	inf        	inf        	1.10811	nan        	1.43731	4  	1  	0.704865
27 	0.401155	inf        	inf        	1.10811	nan        	1.42073	4  	1  	0.68951 
28 	0.383346	inf        	inf        	1.10811	nan        	1.37994	4  	1  	0.655831
29 	0.38709 	inf        	inf        	1.10811	nan        	1.39394	5  	1  	0.727778
30 	0.394287	19393.8    	2.16283e+06	1.10811	164049     	1.38973	4  	1  	0.683701
31 	0.390038	inf        	inf        	1.10811	nan        	1.38554	4  	1  	0.669136
32 	0.396747	inf        	inf        	1.10811	nan        	1.39339	4  	1  	0.669959
33 	0.388806	inf        	inf        	1.10811	nan        	1.43114	5  	1  	0.709044
34 	0.407892	inf        	inf        	1.10811	nan        	1.46269	5  	1  	0.710862
35 	0.403776	inf        	inf        	1.10811	nan        	1.4256 	4  	1  	0.686043
36 	0.391312	inf        	inf        	1.10811	nan        	1.37982	4  	1  	0.674642
37 	0.400113	inf        	inf        	1.10811	nan        	1.40237	5  	1  	0.673413
38 	0.39487 	inf        	inf        	1.10811	nan        	1.35988	3  	1  	0.614703
39 	0.418289	inf        	inf        	1.10811	nan        	1.44118	5  	1  	0.719116
40 	0.385144	inf        	inf        	1.10811	nan        	1.3783 	5  	1  	0.672456
41 	0.398231	inf        	inf        	1.10811	nan        	1.42105	4  	1  	0.674013
42 	0.421422	inf        	inf        	1.10811	nan        	1.47813	4  	1  	0.715481
43 	0.421378	inf        	inf        	1.10811	nan        	1.46512	4  	1  	0.702118
44 	0.420015	inf        	inf        	1.10811	nan        	1.46377	5  	1  	0.705665
45 	0.421179	inf        	inf        	1.10811	nan        	1.4104 	4  	1  	0.700377
46 	0.409317	inf        	inf        	1.10811	nan        	1.40922	5  	1  	0.720011
47 	0.394008	inf        	inf        	1.10811	nan        	1.35632	5  	1  	0.702655
48 	0.397009	inf        	inf        	1.10811	nan        	1.34097	4  	1  	0.638821
49 	0.407536	inf        	inf        	1.10811	nan        	1.34286	4  	1  	0.625316
