   	       	          fitness          	              size              
   	       	---------------------------	--------------------------------
gen	time   	avg	max	min    	std	avg    	max	min	std     
0  	2.26642	inf	inf	1.09101	nan	1.52159	4  	1  	0.629057
1  	2.12522	inf	inf	1.09101	nan	1.63245	4  	1  	0.746298
2  	2.02698	inf	inf	1.09101	nan	1.61716	4  	1  	0.734781
3  	1.85068	inf	inf	1.09101	nan	1.52632	4  	1  	0.756093
4  	1.81274	inf	inf	1.09101	nan	1.47869	5  	1  	0.751199
5  	1.77019	inf	inf	1.09101	nan	1.38235	6  	1  	0.686625
6  	1.80187	inf	inf	1.09101	nan	1.37134	7  	1  	0.765008
7  	1.83591	inf	inf	1.09101	nan	1.38636	7  	1  	0.803852
8  	1.82451	inf	inf	1.09101	nan	1.39159	11 	1  	0.944441
9  	1.77771	inf	inf	1.09101	nan	1.34194	6  	1  	0.717871
10 	1.73311	inf	inf	1.09101	nan	1.28939	4  	1  	0.631323
11 	1.72488	inf	inf	1.09101	nan	1.27564	4  	1  	0.578168
12 	1.64947	inf	inf	1.09101	nan	1.22045	3  	1  	0.511182
13 	1.82702	inf	inf	1.09101	nan	1.28344	4  	1  	0.585857
14 	1.64958	inf	inf	1.09101	nan	1.19048	4  	1  	0.493035
15 	1.7564 	inf	inf	1.09101	nan	1.26266	3  	1  	0.582442
16 	1.74792	inf	inf	1.09101	nan	1.25868	3  	1  	0.580407
17 	1.75777	inf	inf	1.09101	nan	1.23585	3  	1  	0.547468
18 	1.69761	inf	inf	1.09101	nan	1.21003	3  	1  	0.533892
19 	1.71124	inf	inf	1.09101	nan	1.22188	3  	1  	0.510046
20 	1.79655	inf	inf	1.09101	nan	1.2866 	5  	1  	0.645213
21 	1.74464	inf	inf	1.09101	nan	1.23913	3  	1  	0.586036
22 	1.75218	inf	inf	1.09101	nan	1.24458	4  	1  	0.593249
23 	1.80327	inf	inf	1.09101	nan	1.24691	4  	1  	0.598988
24 	1.7418 	inf	inf	1.09101	nan	1.19692	4  	1  	0.553025
25 	1.76025	inf	inf	1.09101	nan	1.20245	3  	1  	0.527286
26 	1.77891	inf	inf	1.09101	nan	1.18043	3  	1  	0.489507
27 	1.7217 	inf	inf	1.09101	nan	1.18293	3  	1  	0.490844
28 	1.84837	inf	inf	1.09101	nan	1.24316	3  	1  	0.563713
29 	1.78076	inf	inf	1.09101	nan	1.24242	3  	1  	0.552147
30 	1.80762	inf	inf	1.09101	nan	1.21752	3  	1  	0.510726
31 	1.79876	inf	inf	1.09101	nan	1.2259 	3  	1  	0.548978
32 	1.7778 	inf	inf	1.09101	nan	1.20721	3  	1  	0.473637
33 	1.87098	inf	inf	1.09101	nan	1.27246	4  	1  	0.604887
34 	1.85835	inf	inf	1.09101	nan	1.27761	4  	1  	0.601446
35 	1.92492	inf	inf	1.09101	nan	1.33631	4  	1  	0.683559
36 	1.76349	inf	inf	1.09101	nan	1.22552	5  	1  	0.583809
37 	1.85854	inf	inf	1.09101	nan	1.26036	3  	1  	0.541444
38 	1.88485	inf	inf	1.09101	nan	1.23599	3  	1  	0.524112
39 	1.90746	inf	inf	1.09101	nan	1.27941	3  	1  	0.580203
40 	1.86918	inf	inf	1.09101	nan	1.28152	4  	1  	0.565306
41 	1.99289	inf	inf	1.09101	nan	1.32456	4  	1  	0.618841
42 	1.97989	inf	inf	1.09101	nan	1.30612	5  	1  	0.612925
43 	1.91172	inf	inf	1.09101	nan	1.2907 	4  	1  	0.602635
44 	1.94585	inf	inf	1.09101	nan	1.27826	4  	1  	0.573034
45 	1.92463	inf	inf	1.09101	nan	1.26879	4  	1  	0.574011
46 	1.92053	inf	inf	1.09101	nan	1.24496	3  	1  	0.537308
47 	1.92287	inf	inf	1.09101	nan	1.26149	4  	1  	0.565289
48 	1.90787	inf	inf	1.09101	nan	1.24069	3  	1  	0.540037
49 	1.95822	inf	inf	1.09101	nan	1.28571	3  	1  	0.574279
50 	2.01622	inf	inf	1.09101	nan	1.2963 	4  	1  	0.60667 
51 	1.9909 	inf	inf	1.09101	nan	1.25852	3  	1  	0.567777
52 	1.91419	inf	inf	1.09101	nan	1.22946	3  	1  	0.511659
53 	1.99016	inf	inf	1.09101	nan	1.23729	4  	1  	0.557607
54 	1.85372	inf	inf	1.09101	nan	1.20845	3  	1  	0.482291
55 	1.98097	inf	inf	1.09101	nan	1.27809	3  	1  	0.559567
56 	1.95245	inf	inf	1.09101	nan	1.28291	4  	1  	0.556162
57 	1.96121	inf	inf	1.09101	nan	1.2905 	4  	1  	0.558799
58 	1.97128	inf	inf	1.09101	nan	1.27019	4  	1  	0.570371
59 	1.93332	inf	inf	1.09101	nan	1.25556	3  	1  	0.538746
60 	1.96745	inf	inf	1.09101	nan	1.25485	4  	1  	0.548365
61 	1.97147	inf	inf	1.09101	nan	1.27901	3  	1  	0.543216
62 	2.04256	inf	inf	1.09101	nan	1.31956	4  	1  	0.623089
63 	2.12653	inf	inf	1.09101	nan	1.33516	4  	1  	0.622627
64 	2.04069	inf	inf	1.09101	nan	1.29041	4  	1  	0.594994
65 	1.99595	inf	inf	1.09101	nan	1.27322	4  	1  	0.554853
66 	2.06112	inf	inf	1.09101	nan	1.3079 	4  	1  	0.622483
67 	2.03072	inf	inf	1.09101	nan	1.30707	4  	1  	0.599596
68 	2.1461 	inf	inf	1.09101	nan	1.34959	4  	1  	0.658286
69 	2.16094	inf	inf	1.09101	nan	1.34054	4  	1  	0.626211
70 	2.17191	inf	inf	1.09101	nan	1.38275	5  	1  	0.684148
71 	2.10789	inf	inf	1.09101	nan	1.3629 	5  	1  	0.626494
72 	2.0574 	inf	inf	1.09101	nan	1.31903	4  	1  	0.619251
73 	2.16362	inf	inf	1.09101	nan	1.37166	4  	1  	0.648609
74 	2.14777	inf	inf	1.09101	nan	1.36533	4  	1  	0.642805
75 	2.22221	inf	inf	1.09101	nan	1.36702	4  	1  	0.686788
76 	2.18353	inf	inf	1.09101	nan	1.38992	6  	1  	0.756373
77 	2.34762	inf	inf	1.09101	nan	1.50529	5  	1  	0.794307
78 	2.16239	inf	inf	1.09101	nan	1.41161	4  	1  	0.673252
79 	2.2442 	inf	inf	1.09101	nan	1.43158	5  	1  	0.713075
80 	2.22998	inf	inf	1.09101	nan	1.41995	5  	1  	0.711378
81 	2.14018	inf	inf	1.09101	nan	1.37958	4  	1  	0.678697
82 	2.17836	inf	inf	1.09101	nan	1.38381	4  	1  	0.671267
83 	2.31219	inf	inf	1.09101	nan	1.44531	4  	1  	0.719613
84 	2.10246	inf	inf	1.09101	nan	1.34286	4  	1  	0.638063
85 	2.20419	inf	inf	1.09101	nan	1.37565	4  	1  	0.64489 
86 	2.30628	inf	inf	1.09101	nan	1.39793	5  	1  	0.694605
87 	2.18958	inf	inf	1.09101	nan	1.35567	4  	1  	0.64799 
88 	2.19253	inf	inf	1.09101	nan	1.33419	5  	1  	0.662152
