   	       	               fitness                	              size              
   	       	--------------------------------------	--------------------------------
gen	time   	avg    	max        	min    	std   	avg    	max	min	std     
0  	1.99949	inf    	inf        	1.11709	nan   	1.62126	4  	1  	0.679124
1  	1.89116	inf    	inf        	1.11709	nan   	1.71854	6  	1  	0.787056
2  	1.99021	inf    	inf        	1.11709	nan   	1.86469	6  	1  	0.811331
3  	1.91717	inf    	inf        	1.11709	nan   	1.82895	6  	1  	0.81738 
4  	1.95289	inf    	inf        	1.11709	nan   	1.80984	5  	1  	0.843433
5  	1.98161	inf    	inf        	1.11709	nan   	1.87255	5  	1  	0.881972
6  	1.97605	inf    	inf        	1.11709	nan   	1.81433	5  	1  	0.835719
7  	1.91979	inf    	inf        	1.11709	nan   	1.76299	6  	1  	0.914703
8  	1.9247 	inf    	inf        	1.11709	nan   	1.7055 	5  	1  	0.931645
9  	1.82894	inf    	inf        	1.11709	nan   	1.54839	5  	1  	0.750858
10 	1.86745	inf    	inf        	1.11709	nan   	1.52733	5  	1  	0.804964
11 	1.69663	inf    	inf        	1.11709	nan   	1.34936	4  	1  	0.647777
12 	1.79317	inf    	inf        	1.11709	nan   	1.44409	6  	1  	0.731036
13 	1.81352	inf    	inf        	1.11709	nan   	1.44268	4  	1  	0.647061
14 	1.85918	inf    	inf        	1.11709	nan   	1.48254	4  	1  	0.677657
15 	1.82932	inf    	inf        	1.11709	nan   	1.48418	4  	1  	0.726795
16 	1.82755	inf    	inf        	1.11709	nan   	1.40694	4  	1  	0.651387
17 	1.87692	inf    	inf        	1.11709	nan   	1.45597	4  	1  	0.737333
18 	1.79369	inf    	inf        	1.11709	nan   	1.35423	4  	1  	0.630897
19 	1.775  	inf    	inf        	1.11709	nan   	1.375  	4  	1  	0.668487
20 	1.77437	inf    	inf        	1.11709	nan   	1.37383	4  	1  	0.634276
21 	1.90482	inf    	inf        	1.11709	nan   	1.44099	5  	1  	0.712312
22 	1.87427	inf    	inf        	1.11709	nan   	1.39938	4  	1  	0.657135
23 	1.84302	inf    	inf        	1.11709	nan   	1.39506	4  	1  	0.627143
24 	1.88656	inf    	inf        	1.11709	nan   	1.42769	4  	1  	0.645817
25 	1.8801 	inf    	inf        	1.11709	nan   	1.42025	4  	1  	0.649271
26 	1.91077	inf    	inf        	1.11709	nan   	1.44343	5  	1  	0.674352
27 	1.96377	inf    	inf        	1.11709	nan   	1.45122	5  	1  	0.696725
28 	1.89961	inf    	inf        	1.11709	nan   	1.46201	4  	1  	0.696878
29 	1.94745	inf    	inf        	1.11709	nan   	1.48485	4  	1  	0.731176
30 	1.94434	15020.3	1.95989e+06	1.11709	141153	1.48338	4  	1  	0.709578
31 	1.99654	inf    	inf        	1.11709	nan   	1.49398	4  	1  	0.692011
32 	1.96877	inf    	inf        	1.11709	nan   	1.47147	4  	1  	0.712351
33 	1.89927	inf    	inf        	1.11709	nan   	1.4491 	4  	1  	0.667094
34 	2.04253	inf    	inf        	1.11709	nan   	1.48657	4  	1  	0.715895
35 	2.03709	inf    	inf        	1.11709	nan   	1.53274	5  	1  	0.763061
36 	1.95005	inf    	inf        	1.11709	nan   	1.46588	5  	1  	0.750583
37 	2.02199	inf    	inf        	1.11709	nan   	1.51775	5  	1  	0.792706
38 	2.06045	inf    	inf        	1.11709	nan   	1.51327	5  	1  	0.792089
39 	2.10498	inf    	inf        	1.11709	nan   	1.52647	4  	1  	0.764587
40 	1.96761	inf    	inf        	1.11709	nan   	1.54545	5  	1  	0.80056 
41 	2.01511	inf    	inf        	1.11709	nan   	1.54094	6  	1  	0.828807
42 	2.05935	inf    	inf        	1.11709	nan   	1.5481 	5  	1  	0.813437
43 	2.09784	inf    	inf        	1.11709	nan   	1.54651	5  	1  	0.794706
44 	2.02759	inf    	inf        	1.11709	nan   	1.47826	4  	1  	0.70626 
45 	2.04411	inf    	inf        	1.11709	nan   	1.43642	4  	1  	0.686579
46 	2.05062	inf    	inf        	1.11709	nan   	1.4755 	4  	1  	0.7449  
47 	1.9532 	inf    	inf        	1.11709	nan   	1.38506	4  	1  	0.648611
48 	2.01014	inf    	inf        	1.11709	nan   	1.45272	4  	1  	0.711087
49 	2.04329	inf    	inf        	1.11709	nan   	1.40857	5  	1  	0.734019
50 	2.01959	inf    	inf        	1.11709	nan   	1.4245 	4  	1  	0.695425
51 	2.03244	inf    	inf        	1.11709	nan   	1.38352	4  	1  	0.668327
52 	1.98806	inf    	inf        	1.11709	nan   	1.34278	3  	1  	0.591546
53 	2.02095	inf    	inf        	1.11709	nan   	1.39548	4  	1  	0.652316
54 	2.11972	inf    	inf        	1.11709	nan   	1.46197	4  	1  	0.743491
55 	2.01398	inf    	inf        	1.11709	nan   	1.39888	4  	1  	0.664847
56 	1.94464	inf    	inf        	1.11709	nan   	1.35294	3  	1  	0.629636
57 	1.92635	inf    	inf        	1.11709	nan   	1.32682	5  	1  	0.618076
58 	2.1098 	inf    	inf        	1.11709	nan   	1.36769	4  	1  	0.640911
