   	        	          fitness          	              size              
   	        	---------------------------	--------------------------------
gen	time    	avg	max	min   	std	avg    	max	min	std     
0  	0.673054	inf	inf	1.1474	nan	1.51827	4  	1  	0.655033
1  	0.673125	inf	inf	1.1474	nan	1.68212	4  	1  	0.808652
2  	0.655667	inf	inf	1.1474	nan	1.72607	4  	1  	0.775585
3  	0.609077	inf	inf	1.1474	nan	1.63487	4  	1  	0.799816
4  	0.549742	inf	inf	1.1474	nan	1.5377 	5  	1  	0.829411
5  	0.545596	inf	inf	1.1474	nan	1.47386	5  	1  	0.714671
6  	0.553245	inf	inf	1.1474	nan	1.45928	5  	1  	0.735868
7  	0.561994	inf	inf	1.1474	nan	1.47078	4  	1  	0.708797
8  	0.547839	inf	inf	1.1474	nan	1.46602	4  	1  	0.68477 
9  	0.539894	inf	inf	1.1474	nan	1.36452	4  	1  	0.63197 
10 	0.539868	inf	inf	1.1474	nan	1.37942	5  	1  	0.683354
11 	0.54463 	inf	inf	1.1474	nan	1.33974	4  	1  	0.630393
12 	0.52051 	inf	inf	1.1474	nan	1.32588	5  	1  	0.641385
13 	0.582799	inf	inf	1.1474	nan	1.42675	5  	1  	0.715647
14 	0.527395	inf	inf	1.1474	nan	1.35873	4  	1  	0.658193
15 	0.56357 	inf	inf	1.1474	nan	1.37025	5  	1  	0.697374
16 	0.56849 	inf	inf	1.1474	nan	1.35331	3  	1  	0.63153 
17 	0.540039	inf	inf	1.1474	nan	1.30503	3  	1  	0.575747
18 	0.5319  	inf	inf	1.1474	nan	1.28527	4  	1  	0.615985
19 	0.526314	inf	inf	1.1474	nan	1.25625	5  	1  	0.567306
20 	0.555285	inf	inf	1.1474	nan	1.33956	4  	1  	0.660377
21 	0.54167 	inf	inf	1.1474	nan	1.32919	3  	1  	0.608188
22 	0.549785	inf	inf	1.1474	nan	1.31579	3  	1  	0.5883  
23 	0.561938	inf	inf	1.1474	nan	1.33642	4  	1  	0.64867 
24 	0.551088	inf	inf	1.1474	nan	1.30769	4  	1  	0.625683
25 	0.554368	inf	inf	1.1474	nan	1.31902	4  	1  	0.65256 
26 	0.551539	inf	inf	1.1474	nan	1.31804	4  	1  	0.656475
27 	0.550944	inf	inf	1.1474	nan	1.3811 	4  	1  	0.69265 
28 	0.584661	inf	inf	1.1474	nan	1.45289	6  	1  	0.770899
29 	0.574943	inf	inf	1.1474	nan	1.42424	4  	1  	0.714792
30 	0.586206	inf	inf	1.1474	nan	1.4139 	4  	1  	0.669346
31 	0.573968	inf	inf	1.1474	nan	1.41566	4  	1  	0.704201
32 	0.583015	inf	inf	1.1474	nan	1.3994 	4  	1  	0.684184
33 	0.61173 	inf	inf	1.1474	nan	1.42216	4  	1  	0.677871
34 	0.577056	inf	inf	1.1474	nan	1.38507	4  	1  	0.676526
35 	0.598775	inf	inf	1.1474	nan	1.42262	4  	1  	0.744   
36 	0.566285	inf	inf	1.1474	nan	1.33828	5  	1  	0.633946
37 	0.587591	inf	inf	1.1474	nan	1.39349	5  	1  	0.672067
38 	0.598759	inf	inf	1.1474	nan	1.37463	5  	1  	0.672735
39 	0.578228	inf	inf	1.1474	nan	1.34412	4  	1  	0.670246
40 	0.566138	inf	inf	1.1474	nan	1.34604	4  	1  	0.683203
41 	0.607014	inf	inf	1.1474	nan	1.36257	4  	1  	0.681933
42 	0.603485	inf	inf	1.1474	nan	1.35277	4  	1  	0.606848
43 	0.592655	inf	inf	1.1474	nan	1.36628	5  	1  	0.668756
44 	0.597738	inf	inf	1.1474	nan	1.34203	4  	1  	0.588884
45 	0.582844	inf	inf	1.1474	nan	1.29769	4  	1  	0.594625
46 	0.58423 	inf	inf	1.1474	nan	1.27954	4  	1  	0.552398
47 	0.589241	inf	inf	1.1474	nan	1.31609	4  	1  	0.59507 
48 	0.602168	inf	inf	1.1474	nan	1.34384	4  	1  	0.621347
49 	0.590297	inf	inf	1.1474	nan	1.33429	4  	1  	0.585268
50 	0.605914	inf	inf	1.1474	nan	1.37892	5  	1  	0.650671
51 	0.609399	inf	inf	1.1474	nan	1.39205	4  	1  	0.661218
52 	0.602406	inf	inf	1.1474	nan	1.3881 	4  	1  	0.668663
53 	0.637445	inf	inf	1.1474	nan	1.41808	3  	1  	0.629151
54 	0.616737	inf	inf	1.1474	nan	1.4507 	4  	1  	0.671109
55 	0.622997	inf	inf	1.1474	nan	1.44382	4  	1  	0.626826
56 	0.655714	inf	inf	1.1474	nan	1.5098 	4  	1  	0.712465
57 	0.64079 	inf	inf	1.1474	nan	1.49721	4  	1  	0.708088
58 	0.657468	inf	inf	1.1474	nan	1.50139	4  	1  	0.760716
59 	0.651566	inf	inf	1.1474	nan	1.475  	6  	1  	0.748656
60 	0.623355	inf	inf	1.1474	nan	1.4072 	4  	1  	0.692543
61 	0.659853	inf	inf	1.1474	nan	1.46961	5  	1  	0.765567
62 	0.653185	inf	inf	1.1474	nan	1.46556	4  	1  	0.753905
63 	0.649116	inf	inf	1.1474	nan	1.45055	5  	1  	0.759753
64 	0.629097	inf	inf	1.1474	nan	1.3863 	4  	1  	0.654869
65 	0.656484	inf	inf	1.1474	nan	1.43169	5  	1  	0.696973
66 	0.653379	inf	inf	1.1474	nan	1.42507	6  	1  	0.730215
67 	0.650532	inf	inf	1.1474	nan	1.40217	4  	1  	0.688568
68 	0.655096	inf	inf	1.1474	nan	1.44715	5  	1  	0.770773
69 	0.618936	inf	inf	1.1474	nan	1.35676	5  	1  	0.683607
70 	0.646645	inf	inf	1.1474	nan	1.38814	5  	1  	0.696754
71 	0.649683	inf	inf	1.1474	nan	1.34946	4  	1  	0.623401
72 	0.630748	inf	inf	1.1474	nan	1.30295	5  	1  	0.656514
73 	0.615294	inf	inf	1.1474	nan	1.25134	4  	1  	0.548148
74 	0.660853	inf	inf	1.1474	nan	1.36   	4  	1  	0.685857
75 	0.648447	inf	inf	1.1474	nan	1.32979	4  	1  	0.612603
76 	0.660317	inf	inf	1.1474	nan	1.37401	4  	1  	0.647921
77 	0.636268	inf	inf	1.1474	nan	1.33862	4  	1  	0.62288 
78 	0.610384	inf	inf	1.1474	nan	1.29815	4  	1  	0.588609
79 	0.634353	inf	inf	1.1474	nan	1.3    	4  	1  	0.588933
80 	0.661238	inf	inf	1.1474	nan	1.34121	4  	1  	0.651352
81 	0.664824	inf	inf	1.1474	nan	1.32199	4  	1  	0.629542
82 	0.668701	inf	inf	1.1474	nan	1.29243	4  	1  	0.585392
83 	0.646446	inf	inf	1.1474	nan	1.29427	4  	1  	0.57678 
84 	0.629786	inf	inf	1.1474	nan	1.24416	5  	1  	0.551384
85 	0.658752	inf	inf	1.1474	nan	1.3057 	4  	1  	0.593417
86 	0.660142	inf	inf	1.1474	nan	1.31783	4  	1  	0.61402 
87 	0.676064	inf	inf	1.1474	nan	1.35567	4  	1  	0.659814
88 	0.641083	inf	inf	1.1474	nan	1.30848	4  	1  	0.593413
89 	0.657661	inf	inf	1.1474	nan	1.29231	4  	1  	0.587644
90 	0.664623	inf	inf	1.1474	nan	1.30946	4  	1  	0.610134
91 	0.688188	inf	inf	1.1474	nan	1.375  	4  	1  	0.681151
92 	0.69112 	inf	inf	1.1474	nan	1.35878	4  	1  	0.673777
93 	0.698777	inf	inf	1.1474	nan	1.38832	4  	1  	0.732817
94 	0.6815  	inf	inf	1.1474	nan	1.38228	5  	1  	0.734805
95 	0.681615	inf	inf	1.1474	nan	1.34848	4  	1  	0.655029
96 	0.682014	inf	inf	1.1474	nan	1.40806	5  	1  	0.734014
97 	0.688232	inf	inf	1.1474	nan	1.38191	5  	1  	0.746768
98 	0.697732	inf	inf	1.1474	nan	1.42857	4  	1  	0.748791
99 	0.731064	inf	inf	1.1474	nan	1.4975 	4  	1  	0.790565
