   	        	                fitness                	               size              
   	        	---------------------------------------	---------------------------------
gen	time    	avg    	max    	min      	std    	avg    	max	min	std      
0  	0.148058	inf    	inf    	0.0430442	nan    	1.4485 	4  	1  	0.648156 
1  	0.147269	123.476	30375.7	0.0430442	1752.93	1.40728	5  	1  	0.653326 
2  	0.154642	inf    	inf    	0.0430442	nan    	1.50495	4  	1  	0.674237 
3  	0.152264	inf    	inf    	0.0430442	nan    	1.46711	5  	1  	0.72473  
4  	0.148555	inf    	inf    	0.0430442	nan    	1.47541	5  	1  	0.719894 
5  	0.145771	inf    	inf    	0.0430442	nan    	1.40523	4  	1  	0.713437 
6  	0.151106	inf    	inf    	0.0430442	nan    	1.47231	4  	1  	0.758265 
7  	0.148647	inf    	inf    	0.0430442	nan    	1.5    	5  	1  	0.839372 
8  	0.143142	29.2843	7174.08	0.0430442	408.956	1.34951	4  	1  	0.687974 
9  	0.141072	inf    	inf    	0.0430442	nan    	1.30968	5  	1  	0.622873 
10 	0.140793	inf    	inf    	0.0430442	nan    	1.28617	4  	1  	0.593455 
11 	0.142631	inf    	inf    	0.0430442	nan    	1.28846	5  	1  	0.593875 
12 	0.144752	inf    	inf    	0.0430442	nan    	1.29393	4  	1  	0.62165  
13 	0.144063	inf    	inf    	0.0430442	nan    	1.28981	4  	1  	0.598904 
14 	0.145727	inf    	inf    	0.0430442	nan    	1.30794	4  	1  	0.583177 
15 	0.145248	inf    	inf    	0.0430442	nan    	1.33228	5  	1  	0.675312 
16 	0.149572	inf    	inf    	0.0430442	nan    	1.35962	5  	1  	0.690182 
17 	0.146907	inf    	inf    	0.0430442	nan    	1.3522 	4  	1  	0.610581 
18 	0.148391	inf    	inf    	0.0430442	nan    	1.3511 	4  	1  	0.615059 
19 	0.15097 	inf    	inf    	0.0430442	nan    	1.39688	4  	1  	0.648549 
20 	0.149812	inf    	inf    	0.0430442	nan    	1.38629	4  	1  	0.67464  
21 	0.158486	inf    	inf    	0.0430442	nan    	1.44099	4  	1  	0.707938 
22 	0.152125	inf    	inf    	0.0430442	nan    	1.40557	4  	1  	0.699115 
23 	0.151086	inf    	inf    	0.0430442	nan    	1.36111	4  	1  	0.644899 
24 	0.15116 	inf    	inf    	0.0430442	nan    	1.38154	4  	1  	0.689904 
25 	0.152099	inf    	inf    	0.0430442	nan    	1.3681 	5  	1  	0.691376 
26 	0.155528	inf    	inf    	0.0430442	nan    	1.46789	4  	1  	0.74893  
27 	0.158797	inf    	inf    	0.0430442	nan    	1.5122 	4  	1  	0.756982 
28 	0.157215	inf    	inf    	0.0430442	nan    	1.53495	3  	1  	0.747535 
29 	0.16689 	inf    	inf    	0.0430442	nan    	1.69697	5  	1  	0.940176 
30 	0.164382	inf    	inf    	0.0430442	nan    	1.67372	7  	1  	0.950054 
31 	0.165735	inf    	inf    	0.0401292	nan    	1.66566	7  	1  	0.956727 
32 	0.164394	inf    	inf    	0.0401292	nan    	1.71171	6  	1  	0.97464  
33 	0.165308	inf    	inf    	0.0401292	nan    	1.70958	6  	1  	0.989207 
34 	0.166262	inf    	inf    	0.0401292	nan    	1.65075	6  	1  	0.986683 
35 	0.168664	inf    	inf    	0.0401292	nan    	1.64286	6  	1  	0.921216 
36 	0.166473	inf    	inf    	0.0401292	nan    	1.64095	6  	1  	1.00674  
37 	0.167077	inf    	inf    	0.0401292	nan    	1.6568 	6  	1  	1.06891  
38 	0.17499 	inf    	inf    	0.0401292	nan    	1.88791	8  	1  	1.29867  
39 	0.186129	inf    	inf    	0.0401292	nan    	2.13235	8  	1  	1.49612  
40 	0.189574	inf    	inf    	0.0401292	nan    	2.21701	8  	1  	1.52971  
41 	0.190002	inf    	inf    	0.0400672	nan    	2.25731	8  	1  	1.52882  
42 	0.195961	inf    	inf    	0.0400672	nan    	2.42274	8  	1  	1.61598  
43 	0.203058	inf    	inf    	0.0400672	nan    	2.59884	9  	1  	1.74263  
44 	0.215422	inf    	inf    	0.0400672	nan    	2.93913	10 	1  	2.13848  
45 	0.227063	365.734	125483 	0.0400672	6736.1 	3.24277	10 	1  	2.34435  
46 	0.240253	inf    	inf    	0.0400672	nan    	3.51873	10 	1  	2.532    
47 	0.246211	inf    	inf    	0.0400672	nan    	3.66954	10 	1  	2.62558  
48 	0.259291	inf    	inf    	0.0400672	nan    	4.18338	10 	1  	2.76608  
49 	0.288665	inf    	inf    	0.0400672	nan    	4.71429	10 	1  	2.74613  
50 	0.319114	inf    	inf    	0.0394513	nan    	5.39031	10 	1  	2.73081  
51 	0.339776	inf    	inf    	0.0394513	nan    	5.76136	10 	1  	2.75617  
52 	0.358636	inf    	inf    	0.0394513	nan    	6.30312	10 	1  	2.48427  
53 	0.384296	inf    	inf    	0.0394513	nan    	6.70056	10 	1  	2.40894  
54 	0.387736	inf    	inf    	0.0394513	nan    	6.84225	10 	1  	2.25124  
55 	0.402162	inf    	inf    	0.0393403	nan    	7.08989	10 	1  	2.23928  
56 	0.420076	inf    	inf    	0.0391678	nan    	7.19328	10 	1  	2.39845  
57 	0.447546	inf    	inf    	0.0391678	nan    	7.34916	10 	1  	2.33946  
58 	0.456749	inf    	inf    	0.0391678	nan    	7.38162	10 	1  	2.25079  
59 	0.450442	inf    	inf    	0.0384995	nan    	7.15556	10 	1  	2.3507   
60 	0.473689	inf    	inf    	0.0384995	nan    	7.34626	10 	1  	2.20156  
61 	0.476959	inf    	inf    	0.0382639	nan    	7.25691	10 	1  	2.38035  
62 	0.495647	inf    	inf    	0.0382639	nan    	7.29201	10 	1  	2.32311  
63 	0.531754	inf    	inf    	0.0375521	nan    	7.71154	10 	1  	1.98256  
64 	0.558057	inf    	inf    	0.0375521	nan    	7.70959	10 	1  	2.20908  
65 	0.603693	inf    	inf    	0.0375521	nan    	7.8306 	10 	1  	2.08527  
66 	0.64406 	inf    	inf    	0.0375521	nan    	8.13624	10 	1  	1.81965  
67 	0.675016	inf    	inf    	0.0375521	nan    	8.11413	10 	1  	1.9105   
68 	0.680794	inf    	inf    	0.0375521	nan    	8.27371	10 	1  	1.65881  
69 	0.710649	inf    	inf    	0.0368879	nan    	8.37027	10 	1  	1.59583  
70 	0.738921	inf    	inf    	0.0368879	nan    	8.50674	10 	2  	1.47095  
71 	0.773335	inf    	inf    	0.0368879	nan    	8.60215	10 	1  	1.32096  
72 	0.786574	inf    	inf    	0.0368879	nan    	8.52279	10 	1  	1.36703  
73 	0.800043	inf    	inf    	0.0368879	nan    	8.67112	10 	2  	1.335    
74 	0.829718	inf    	inf    	0.0368879	nan    	8.81067	10 	1  	1.23457  
75 	0.836058	inf    	inf    	0.0368879	nan    	8.8484 	10 	1  	1.35893  
76 	0.834569	inf    	inf    	0.0368879	nan    	8.7931 	10 	1  	1.31897  
77 	0.851047	inf    	inf    	0.0368879	nan    	8.78307	10 	1  	1.37072  
78 	0.896911	inf    	inf    	0.0368879	nan    	8.88127	10 	2  	1.22384  
79 	0.915684	inf    	inf    	0.0368879	nan    	8.88158	10 	1  	1.34914  
80 	0.922028	inf    	inf    	0.0368879	nan    	8.89501	10 	2  	1.38401  
81 	0.937262	inf    	inf    	0.036689 	nan    	9.04712	10 	1  	1.29755  
82 	0.942905	inf    	inf    	0.036689 	nan    	9.10444	10 	1  	1.19597  
83 	0.951712	inf    	inf    	0.0366763	nan    	9.03906	10 	1  	1.45632  
84 	0.983249	inf    	inf    	0.0354026	nan    	9.12468	10 	2  	1.22529  
85 	1.01383 	inf    	inf    	0.0354026	nan    	9.19689	10 	1  	1.11169  
86 	1.01625 	inf    	inf    	0.0354026	nan    	9.20155	10 	1  	1.19676  
87 	1.04042 	inf    	inf    	0.034988 	nan    	9.28866	10 	5  	1.01493  
88 	1.04542 	inf    	inf    	0.034988 	nan    	9.24679	10 	2  	1.19372  
89 	1.08476 	inf    	inf    	0.034988 	nan    	9.36923	10 	3  	0.906997 
90 	1.12421 	inf    	inf    	0.034988 	nan    	9.42199	10 	2  	0.892382 
91 	1.15849 	inf    	inf    	0.034988 	nan    	9.46173	10 	1  	0.994149 
92 	1.17624 	inf    	inf    	0.034988 	nan    	9.50382	10 	1  	1.03408  
93 	1.22114 	inf    	inf    	0.0349378	nan    	9.52538	10 	1  	1.03767  
94 	1.24948 	inf    	inf    	0.0348864	nan    	9.54684	10 	2  	0.933055 
