   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.153677	inf        	inf        	0.0582356	nan        	1.43522	4  	1  	0.631369
1  	0.1533  	106.234    	23758.4    	0.0582356	1376.8     	1.38742	5  	1  	0.63993 
2  	0.158037	inf        	inf        	0.0582356	nan        	1.48515	4  	1  	0.693399
3  	0.158777	inf        	inf        	0.0582356	nan        	1.46711	3  	1  	0.663104
4  	0.153524	5.54164e+25	1.6902e+28 	0.0582356	9.66218e+26	1.40984	4  	1  	0.676952
5  	0.150339	inf        	inf        	0.0582356	nan        	1.35621	4  	1  	0.667091
6  	0.153062	inf        	inf        	0.0582356	nan        	1.38762	4  	1  	0.667713
7  	0.148104	inf        	inf        	0.0582356	nan        	1.34416	4  	1  	0.638381
8  	0.144928	inf        	inf        	0.0582356	nan        	1.25566	4  	1  	0.530014
9  	0.147777	inf        	inf        	0.0582356	nan        	1.30645	3  	1  	0.584441
10 	0.147468	inf        	inf        	0.0582356	nan        	1.3119 	4  	1  	0.628237
11 	0.148338	inf        	inf        	0.0582356	nan        	1.32692	4  	1  	0.65695 
12 	0.15077 	inf        	inf        	0.0582356	nan        	1.33866	5  	1  	0.669037
13 	0.149682	inf        	inf        	0.0582356	nan        	1.30573	4  	1  	0.614707
14 	0.1528  	inf        	inf        	0.0582356	nan        	1.34603	3  	1  	0.610185
15 	0.152343	inf        	inf        	0.0582356	nan        	1.35759	4  	1  	0.667016
16 	0.157826	inf        	inf        	0.0582356	nan        	1.44795	5  	1  	0.733152
17 	0.151603	inf        	inf        	0.0582356	nan        	1.35535	3  	1  	0.611334
18 	0.15811 	inf        	inf        	0.0582356	nan        	1.43887	4  	1  	0.682421
19 	0.156433	inf        	inf        	0.0582356	nan        	1.41875	4  	1  	0.665882
20 	0.15539 	inf        	inf        	0.0582356	nan        	1.41433	5  	1  	0.641003
21 	0.16313 	inf        	inf        	0.0582356	nan        	1.44099	3  	1  	0.657916
22 	0.15772 	inf        	inf        	0.0582356	nan        	1.40557	4  	1  	0.67661 
23 	0.157164	inf        	inf        	0.0582356	nan        	1.34877	4  	1  	0.617616
24 	0.157327	inf        	inf        	0.0582356	nan        	1.35077	4  	1  	0.617719
25 	0.155048	inf        	inf        	0.0582356	nan        	1.30061	3  	1  	0.587549
26 	0.156821	inf        	inf        	0.0582356	nan        	1.32722	4  	1  	0.630489
27 	0.159305	inf        	inf        	0.0582356	nan        	1.31707	4  	1  	0.636838
28 	0.15689 	inf        	inf        	0.0582356	nan        	1.27356	3  	1  	0.565954
29 	0.158815	inf        	inf        	0.0582356	nan        	1.28788	4  	1  	0.602146
30 	0.158771	inf        	inf        	0.0582356	nan        	1.2719 	4  	1  	0.590787
31 	0.159395	inf        	inf        	0.0582356	nan        	1.3012 	5  	1  	0.635021
32 	0.160788	inf        	inf        	0.0582356	nan        	1.36637	5  	1  	0.70881 
33 	0.158715	inf        	inf        	0.0582356	nan        	1.32635	4  	1  	0.602957
34 	0.163685	inf        	inf        	0.0582356	nan        	1.35821	4  	1  	0.644182
35 	0.16143 	inf        	inf        	0.0582356	nan        	1.33631	4  	1  	0.65237 
36 	0.161012	inf        	inf        	0.0582356	nan        	1.30564	4  	1  	0.615139
37 	0.160642	inf        	inf        	0.0582356	nan        	1.29882	4  	1  	0.567407
38 	0.164631	inf        	inf        	0.0582356	nan        	1.38053	4  	1  	0.673807
39 	0.162611	inf        	inf        	0.0582356	nan        	1.32941	3  	1  	0.581848
40 	0.162194	inf        	inf        	0.0582356	nan        	1.34018	3  	1  	0.599461
41 	0.16294 	inf        	inf        	0.0582356	nan        	1.32456	3  	1  	0.599643
42 	0.163565	inf        	inf        	0.0582356	nan        	1.32362	4  	1  	0.603872
43 	0.163832	inf        	inf        	0.0582356	nan        	1.3343 	3  	1  	0.57707 
44 	0.165753	inf        	inf        	0.0582356	nan        	1.36812	4  	1  	0.623802
45 	0.166905	inf        	inf        	0.0582356	nan        	1.37572	4  	1  	0.620358
46 	0.17048 	inf        	inf        	0.0582356	nan        	1.42939	4  	1  	0.668389
47 	0.169221	inf        	inf        	0.0582356	nan        	1.47989	4  	1  	0.654031
48 	0.178324	inf        	inf        	0.0582356	nan        	1.56734	5  	1  	0.778779
49 	0.173357	inf        	inf        	0.0582356	nan        	1.51143	5  	1  	0.720028
50 	0.182297	inf        	inf        	0.0582356	nan        	1.56695	5  	1  	0.751403
51 	0.184044	inf        	inf        	0.0582356	nan        	1.66761	5  	1  	0.829346
52 	0.188726	inf        	inf        	0.0582356	nan        	1.68839	6  	1  	0.851132
53 	0.185648	inf        	inf        	0.0582356	nan        	1.74859	6  	1  	0.921532
54 	0.185595	inf        	inf        	0.0582356	nan        	1.71831	6  	1  	0.903563
55 	0.185893	inf        	inf        	0.0582356	nan        	1.70506	5  	1  	0.927166
56 	0.189276	inf        	inf        	0.0550187	nan        	1.73109	6  	1  	0.910851
57 	0.197743	inf        	inf        	0.0550187	nan        	1.86034	6  	1  	1.03974 
58 	0.196632	inf        	inf        	0.0550187	nan        	1.89694	7  	1  	1.07282 
59 	0.199184	inf        	inf        	0.0550187	nan        	1.95   	7  	1  	1.03963 
60 	0.200867	inf        	inf        	0.0550187	nan        	1.9723 	6  	1  	1.05227 
61 	0.206057	inf        	inf        	0.0550187	nan        	2.00829	6  	1  	1.0603  
62 	0.204621	inf        	inf        	0.053897 	nan        	2.0551 	6  	1  	1.05614 
63 	0.206532	inf        	inf        	0.053897 	nan        	2.11538	6  	1  	1.10587 
64 	0.212776	inf        	inf        	0.053897 	nan        	2.28493	6  	1  	1.1848  
65 	0.219124	inf        	inf        	0.053897 	nan        	2.43169	7  	1  	1.23672 
66 	0.221531	inf        	inf        	0.053897 	nan        	2.49046	7  	1  	1.30365 
67 	0.231339	inf        	inf        	0.053897 	nan        	2.62228	7  	1  	1.41277 
68 	0.235802	inf        	inf        	0.053897 	nan        	2.7832 	8  	1  	1.52899 
69 	0.252052	inf        	inf        	0.0529289	nan        	3.05135	10 	1  	1.67979 
70 	0.267004	inf        	inf        	0.0529289	nan        	3.39623	12 	1  	1.89819 
71 	0.286257	inf        	inf        	0.0529289	nan        	3.81452	12 	1  	1.98394 
72 	0.313741	inf        	inf        	0.0526588	nan        	4.19035	12 	1  	2.03685 
73 	0.35226 	inf        	inf        	0.0526588	nan        	4.73797	12 	1  	2.02809 
74 	0.356936	inf        	inf        	0.0523851	nan        	4.92   	14 	1  	2.4263  
75 	0.391944	inf        	inf        	0.0514342	nan        	5.46543	14 	1  	2.55449 
76 	0.42788 	inf        	inf        	0.0506617	nan        	5.92573	14 	1  	2.70863 
77 	0.497314	inf        	inf        	0.0506617	nan        	6.8836 	18 	1  	2.83071 
78 	0.564447	inf        	inf        	0.0499081	nan        	7.65963	19 	1  	3.42854 
79 	0.635542	1.11197e+23	4.2255e+25 	0.0495198	2.16478e+24	8.53684	20 	1  	3.76287 
80 	0.735393	inf        	inf        	0.0495198	nan        	9.35171	21 	1  	4.16865 
81 	0.829946	inf        	inf        	0.0495198	nan        	10.3927	25 	1  	4.3472  
82 	0.910192	inf        	inf        	0.0494855	nan        	10.9661	27 	1  	4.73875 
83 	0.994907	inf        	inf        	0.0494855	nan        	11.7396	27 	1  	5.12702 
84 	1.08794 	inf        	inf        	0.0485818	nan        	12.4338	32 	1  	5.51422 
85 	1.25936 	inf        	inf        	0.0485345	nan        	13.9819	33 	1  	6.19687 
86 	1.43229 	3.81836    	1058.16    	0.0485345	54.3588    	15.3178	33 	1  	6.70915 
87 	1.65059 	3.31853    	1021.84    	0.0485345	52.0267    	16.8995	33 	1  	6.31866 
88 	1.84914 	inf        	inf        	0.0485345	nan        	17.9897	33 	1  	6.97405 
89 	2.02213 	inf        	inf        	0.0480883	nan        	19.0359	34 	1  	7.0317  
90 	2.1064  	inf        	inf        	0.0476335	nan        	19.4578	34 	1  	7.40931 
91 	2.2885  	inf        	inf        	0.0476335	nan        	20.0255	34 	1  	7.1635  
92 	2.37006 	7.72493    	1232.69    	0.0476276	81.6588    	20.2952	34 	1  	6.82268 
93 	2.47944 	inf        	inf        	0.0475776	nan        	20.5051	34 	1  	7.43781 
94 	2.72965 	1.42702    	508.576    	0.0473786	25.5678    	21.7722	34 	1  	6.82095 
95 	2.87824 	inf        	inf        	0.0470525	nan        	22.3081	34 	1  	7.30546 
96 	2.92339 	inf        	inf        	0.0470525	nan        	22.8186	34 	1  	7.43722 
97 	3.01182 	inf        	inf        	0.0469808	nan        	22.7688	34 	1  	7.80747 
98 	3.4442  	inf        	inf        	0.0469808	nan        	23.5113	34 	1  	7.74754 
99 	3.80468 	4.63201    	940.351    	0.0469396	61.465     	24.5175	34 	2  	7.24187 
100	3.63916 	2.49377e+27	1e+30      	0.0462289	4.98753e+28	23.611 	34 	1  	7.9307  
101	3.11062 	2.48756e+27	1e+30      	0.0462289	4.98134e+28	22.0124	34 	1  	6.93985 
102	2.67974 	inf        	inf        	0.0462236	nan        	20.5806	34 	2  	6.11392 
103	2.62162 	inf        	inf        	0.0462119	nan        	20.1015	34 	1  	5.62984 
104	2.77165 	1.43388    	385.377    	0.0461506	19.5393    	20.6444	34 	1  	6.08069 
105	2.8059  	inf        	inf        	0.0461506	nan        	20.9828	34 	2  	6.47102 
106	2.68952 	inf        	inf        	0.0460136	nan        	20.8722	34 	1  	6.76008 
107	2.61775 	1.65706e+26	6.7608e+28 	0.0460136	3.34299e+27	20.9118	34 	1  	6.97735 
108	2.54832 	2.44499e+27	1e+30      	0.0460094	4.93863e+28	20.7628	34 	1  	6.98689 
109	2.89231 	76.2302    	13037.6    	0.0460067	937.458    	22.6732	34 	5  	6.96826 
110	3.27796 	1.11746    	222.369    	0.0460054	14.7037    	24.9294	34 	1  	6.5474  
111	3.44756 	1.30555    	265.462    	0.045994 	14.131     	25.7476	34 	1  	6.77477 
112	3.64549 	1.14716    	204.418    	0.045994 	11.8779    	26.9031	34 	1  	5.97212 
113	3.66038 	20.1271    	5644.53    	0.045994 	297.049    	27.0942	34 	2  	5.95176 
114	3.62754 	inf        	inf        	0.045947 	nan        	26.5976	34 	1  	6.53661 
115	3.70055 	11.9455    	4261.64    	0.045947 	209.25     	26.8341	34 	4  	6.13227 
116	3.79431 	2.72287    	795.502    	0.045947 	39.469     	26.8537	34 	1  	6.48556 
117	3.8478  	29.8803    	10428.9    	0.045947 	512.267    	26.878 	34 	1  	6.15408 
118	3.84788 	6.30296e+23	2.64094e+26	0.045947 	1.28864e+25	26.8783	34 	1  	6.43395 
119	3.95131 	inf        	inf        	0.045947 	nan        	27.069 	34 	1  	6.49634 
120	4.02396 	4.70369    	1222.9     	0.045947 	62.5072    	27.4513	34 	2  	6.73281 
121	4.15536 	1.92862    	751.462    	0.045947 	36.5459    	27.9431	34 	1  	6.38545 
122	4.18755 	inf        	inf        	0.045947 	nan        	28.2671	34 	1  	5.91085 
123	4.17916 	5.14563    	1066.11    	0.0453687	69.7567    	27.9175	34 	2  	6.53945 
124	4.10343 	2.27253    	407.682    	0.0453687	25.5996    	27.8282	34 	1  	6.21809 
125	4.14202 	4.32004    	1607.15    	0.0453623	78.0543    	27.8333	34 	1  	6.09763 
126	4.10499 	34.4922    	9301.46    	0.0449451	502.14     	27.2529	34 	1  	6.85013 
127	4.08259 	4.00025    	461.955    	0.0447695	37.5354    	27.1986	34 	1  	6.67435 
128	4.19828 	8.23424    	3379.14    	0.0447511	163.046    	27.5851	34 	3  	5.92497 
129	4.11083 	0.224086   	20.3644    	0.0447511	1.64821    	26.3023	34 	1  	6.69271 
130	4.10704 	2.32019e+27	1e+30      	0.0447511	4.81124e+28	25.5824	34 	1  	6.68357 
131	4.24299 	0.233013   	36.0243    	0.0447511	2.0877     	25.6505	34 	1  	6.4525  
132	4.27734 	0.544287   	47.6981    	0.0447511	3.65582    	25.0277	34 	1  	6.86923 
133	4.54008 	inf        	inf        	0.0447256	nan        	25.3779	34 	2  	6.34856 
134	4.79493 	2.60129    	997.459    	0.0447158	47.9178    	25.8575	34 	2  	6.66491 
135	5.01085 	34.9466    	14885.8    	0.0447158	712.113    	26.7936	34 	1  	6.52086 
136	5.32064 	2.28833e+27	1e+30      	0.0447158	4.77817e+28	27.7231	34 	1  	6.42213 
137	5.55114 	193.06     	68320      	0.0446869	3349.51    	28.4475	34 	4  	6.14926 
138	5.62959 	1.2398     	360.056    	0.0446085	17.8916    	28.9863	34 	3  	5.56345 
139	5.78261 	inf        	inf        	0.0442392	nan        	29.1955	34 	2  	6.33052 
140	5.8036  	2.26757e+27	1e+30      	0.0437775	4.7565e+28 	28.8549	34 	2  	6.34937 
141	5.75356 	1.02488    	358.19     	0.0419806	17.0795    	28.7534	34 	2  	5.98341 
142	5.69406 	inf        	inf        	0.0419806	nan        	28.5779	34 	2  	6.08704 
143	5.62664 	0.672286   	81.4911    	0.0419806	5.28827    	28.8694	34 	1  	5.72422 
144	5.52847 	2.24719e+27	1e+30      	0.0419806	4.73513e+28	28.7933	34 	2  	6.32011 
