   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.146871	inf        	inf        	0.0372019	nan        	1.53488	4  	1  	0.688982
1  	0.144845	inf        	inf        	0.0372019	nan        	1.59934	4  	1  	0.729056
2  	0.148237	7.68915    	1139.76    	0.0372019	67.6249    	1.70627	7  	1  	0.861456
3  	0.148692	4.38596e+55	1.33333e+58	0.0372019	7.6346e+56 	1.78289	6  	1  	0.853921
4  	0.15052 	inf        	inf        	0.0372019	nan        	1.9377 	6  	1  	0.856635
5  	0.152519	5.83541    	717.38     	0.0372019	47.9231    	2.11111	6  	1  	1.03883 
6  	0.161319	inf        	inf        	0.0360572	nan        	2.34528	6  	1  	1.12912 
7  	0.161578	inf        	inf        	0.0347012	nan        	2.48052	7  	1  	1.33738 
8  	0.166748	inf        	inf        	0.0347012	nan        	2.66667	8  	1  	1.53352 
9  	0.167615	inf        	inf        	0.0347012	nan        	2.91613	11 	1  	1.77965 
10 	0.172789	24.1949    	3813.91    	0.0347012	242.892    	3.27974	9  	1  	1.92016 
11 	0.179634	inf        	inf        	0.0347012	nan        	3.91026	11 	1  	2.16579 
12 	0.193386	inf        	inf        	0.0346865	nan        	4.71885	15 	1  	2.63865 
13 	0.202459	1643.43    	510802     	0.0346865	28780.5    	5.55414	16 	1  	2.88615 
14 	0.208756	3.18519e+57	1e+60      	0.0346865	5.62538e+58	6.02857	16 	1  	3.0492  
15 	0.215948	1.96958    	278.902    	0.0346865	18.0166    	6.66139	21 	1  	3.58741 
16 	0.226199	3.15457e+57	1e+60      	0.0346865	5.60769e+58	7.17666	28 	1  	4.30102 
17 	0.229049	774.461    	245202     	0.0346865	13728.5    	7.3239 	29 	1  	4.58039 
18 	0.254913	3.15569e+57	1e+60      	0.0346865	5.59009e+58	8.67712	33 	1  	5.29853 
19 	0.27357 	1.04167e+55	3.33333e+57	0.0346864	1.86048e+56	9.57188	33 	1  	5.73758 
20 	0.310304	0.628327   	89.0416    	0.0346864	5.81344    	11.2461	33 	1  	6.67201 
21 	0.344513	6.22153e+57	1e+60      	0.0346863	7.85653e+58	13.0031	34 	1  	7.6688  
22 	0.382263	2.06398e+55	6.66667e+57	0.0346863	3.70369e+56	14.644 	34 	1  	7.91637 
23 	0.440526	3.08642e+55	3.33333e+57	0.0329573	3.19262e+56	17     	34 	1  	9.01645 
24 	0.488158	2.05128e+55	6.66667e+57	0.0329573	3.69231e+56	18.2154	34 	1  	9.51192 
25 	0.547825	inf        	inf        	0.0322889	nan        	20.3037	34 	1  	9.37902 
26 	0.604331	1.01937e+55	3.33333e+57	0.0322874	1.84052e+56	21.5199	34 	1  	9.22926 
27 	0.646609	2.03252e+55	6.66667e+57	0.0314614	3.67544e+56	22.2774	34 	1  	9.04423 
28 	0.695184	0.269503   	36.2259    	0.0314127	2.50799    	23.3708	34 	1  	8.374   
29 	0.724756	2.0202e+55 	3.33333e+57	0.0314074	2.58712e+56	23.2758	34 	1  	8.74139 
30 	0.758421	1.00705e+55	3.33333e+57	0.0310827	1.8294e+56 	23.3595	34 	1  	8.52971 
31 	0.778886	3.01205e+55	3.33333e+57	0.031082 	3.15427e+56	23.0181	34 	1  	8.44505 
32 	0.789524	3.01301e+57	1e+60      	0.0309789	5.47171e+58	23.3333	34 	1  	8.23017 
33 	0.817879	3.99202e+55	6.66667e+57	0.0305892	5.14335e+56	23.8533	34 	1  	8.12142 
34 	0.860749	9.95025e+54	3.33333e+57	0.0305892	1.81847e+56	24.0776	34 	1  	8.30967 
35 	0.910261	9.92063e+54	3.33333e+57	0.0305892	1.81577e+56	24.5804	34 	1  	8.57457 
36 	0.969703	2.97725e+57	1e+60      	0.0305892	5.43924e+58	25.2908	34 	2  	7.52079 
37 	1.04287 	2.95858e+57	1e+60      	0.0305246	5.43123e+58	26.1361	34 	1  	7.00544 
38 	1.09999 	3.00885e+57	1e+60      	0.0301492	5.42352e+58	26.7817	34 	2  	6.82003 
39 	1.11064 	0.0911525  	1.25461    	0.029359 	0.156888   	26.2265	34 	2  	7.4734  
40 	1.14812 	5.87488e+57	1e+60      	0.029359 	7.63585e+58	26.6569	34 	1  	7.32225 
41 	1.17981 	1.94932e+55	3.33333e+57	0.0289958	2.5416e+56 	27.2865	34 	1  	6.7948  
42 	1.21776 	0.0816855  	1.01243    	0.028563 	0.144774   	27.4169	34 	2  	6.71176 
43 	1.23328 	9.68992e+54	3.33333e+57	0.028563 	1.7946e+56 	27.5029	34 	1  	7.54329 
44 	1.25748 	9.66184e+54	3.33333e+57	0.028563 	1.792e+56  	27.9536	34 	3  	6.78303 
45 	1.25417 	2.89017e+55	6.66667e+57	0.0285683	3.99662e+56	27.6416	34 	1  	7.36331 
46 	1.24272 	9.60615e+54	3.33333e+57	0.027968 	1.78685e+56	27.5965	34 	1  	7.71269 
47 	1.23808 	2.87356e+57	1e+60      	0.0284323	5.35286e+58	27.5316	34 	2  	7.57466 
48 	1.2306  	1.91022e+55	3.33333e+57	0.02815  	2.51613e+56	27.3553	34 	1  	7.9432  
49 	1.20122 	9.52381e+54	3.33333e+57	0.02815  	1.77919e+56	26.5714	34 	1  	8.19786 
50 	1.17336 	5.7075e+57 	1e+60      	0.0280984	7.52693e+58	26.2393	34 	1  	8.40463 
51 	1.18551 	2.84091e+55	6.66667e+57	0.0280984	3.96259e+56	26.6506	34 	1  	8.42076 
52 	1.21192 	9.44287e+54	3.33333e+57	0.0275549	1.77164e+56	26.4561	34 	1  	8.7239  
53 	1.27329 	2.82486e+55	3.33333e+57	0.0275529	3.05555e+56	27.404 	34 	1  	7.77713 
54 	1.27831 	7.51174e+55	1.33333e+58	0.0275529	7.87614e+56	27.6366	34 	1  	7.85397 
55 	1.20898 	2.85581e+57	1e+60      	0.0275489	5.2925e+58 	26.5787	34 	1  	8.9723  
56 	1.2402  	9.33707e+54	3.33333e+57	0.0275474	1.76171e+56	27.1148	34 	1  	8.88241 
57 	1.25768 	1.8622e+55 	3.33333e+57	0.0271187	2.48448e+56	28.0531	34 	1  	7.9471  
58 	1.1606  	9.28505e+54	3.33333e+57	0.0271187	1.75681e+56	27.2256	34 	1  	8.29114 
59 	1.10732 	9.25926e+54	3.33333e+57	0.0265604	1.75438e+56	26.5694	34 	1  	9.06125 
60 	1.08883 	5.56787e+57	1e+60      	0.0265604	7.42248e+58	26.8476	34 	2  	8.29855 
61 	1.04924 	2.76243e+55	6.66667e+57	0.0265604	3.90775e+56	26.011 	34 	1  	8.59171 
62 	1.05203 	9.18274e+54	3.33333e+57	0.0265604	1.74713e+56	25.9449	34 	1  	8.66946 
63 	1.0343  	0.0750454  	0.801216   	0.0270153	0.119711   	25.5879	34 	1  	8.7775  
64 	1.04597 	2.73973e+55	3.33333e+57	0.0270153	3.00954e+56	25.6055	34 	1  	8.73682 
65 	1.02469 	0.338573   	95.3848    	0.0270078	4.97692    	25.6038	34 	1  	8.39749 
66 	1.02509 	2.7248e+55 	3.33333e+57	0.0263969	3.0014e+56 	25.8147	34 	2  	8.26229 
67 	1.0076  	0.0805905  	1.50786    	0.0263969	0.164759   	25.3696	34 	1  	8.6464  
68 	1.03025 	4.51671e+55	6.66667e+57	0.026758 	4.56881e+56	25.8564	34 	1  	8.41591 
69 	1.04859 	5.40541e+55	6.66667e+57	0.0268012	4.87153e+56	26.2514	34 	1  	8.33158 
70 	1.04802 	2.69542e+55	3.33333e+57	0.0268012	2.98531e+56	25.7143	34 	2  	8.78981 
71 	1.02353 	3.58423e+55	3.33333e+57	0.0263088	3.43787e+56	25.4489	34 	1  	8.60077 
72 	1.00446 	2.68097e+55	3.33333e+57	0.0263088	2.97736e+56	24.9196	34 	1  	9.10198 
73 	1.01612 	2.69162e+57	1e+60      	0.0263088	5.16392e+58	24.7513	34 	1  	8.89118 
74 	1.02124 	0.0917443  	5.25307    	0.0263088	0.300936   	24.6693	34 	1  	8.93756 
75 	1.03971 	3.5461e+55 	3.33333e+57	0.0263088	3.41973e+56	24.7713	34 	1  	9.09119 
76 	1.03751 	7.99293e+57	1e+60      	0.0263088	8.88473e+58	24.7241	34 	1  	8.88436 
77 	1.04939 	4.40917e+55	6.66667e+57	0.0261004	4.51461e+56	25.0185	34 	1  	8.8913  
