   	        	                fitness                	              size              
   	        	---------------------------------------	--------------------------------
gen	time    	avg    	max    	min      	std    	avg    	max	min	std     
0  	0.148979	inf    	inf    	0.042058 	nan    	1.46512	4  	1  	0.664435
1  	0.150492	inf    	inf    	0.042058 	nan    	1.46026	4  	1  	0.658674
2  	0.152395	inf    	inf    	0.042058 	nan    	1.52475	4  	1  	0.730216
3  	0.158846	inf    	inf    	0.042058 	nan    	1.59211	4  	1  	0.746529
4  	0.158386	inf    	inf    	0.042058 	nan    	1.56721	4  	1  	0.721729
5  	0.158909	inf    	inf    	0.042058 	nan    	1.63072	5  	1  	0.815037
6  	0.154888	inf    	inf    	0.042058 	nan    	1.56678	5  	1  	0.789551
7  	0.154187	inf    	inf    	0.042058 	nan    	1.50974	5  	1  	0.819746
8  	0.149273	inf    	inf    	0.042058 	nan    	1.50162	4  	1  	0.782596
9  	0.147168	inf    	inf    	0.042058 	nan    	1.45484	5  	1  	0.755342
10 	0.143414	inf    	inf    	0.042058 	nan    	1.36656	4  	1  	0.671449
11 	0.144387	inf    	inf    	0.042058 	nan    	1.37179	4  	1  	0.64269 
12 	0.147441	inf    	inf    	0.042058 	nan    	1.41853	4  	1  	0.719808
13 	0.147032	inf    	inf    	0.042058 	nan    	1.38854	5  	1  	0.706203
14 	0.145764	inf    	inf    	0.042058 	nan    	1.34921	4  	1  	0.651219
15 	0.147521	inf    	inf    	0.042058 	nan    	1.35759	4  	1  	0.657459
16 	0.15122 	inf    	inf    	0.042058 	nan    	1.46057	5  	1  	0.763433
17 	0.150592	inf    	inf    	0.042058 	nan    	1.45597	5  	1  	0.750018
18 	0.155517	inf    	inf    	0.042058 	nan    	1.54859	5  	1  	0.813285
19 	0.155901	inf    	inf    	0.042058 	nan    	1.54688	5  	1  	0.816427
20 	0.155671	inf    	inf    	0.042058 	nan    	1.5109 	5  	1  	0.740909
21 	0.164865	inf    	inf    	0.042058 	nan    	1.64596	4  	1  	0.80688 
22 	0.165081	inf    	inf    	0.042058 	nan    	1.71827	5  	1  	0.878646
23 	0.16124 	inf    	inf    	0.042058 	nan    	1.64198	5  	1  	0.83605 
24 	0.159971	inf    	inf    	0.042058 	nan    	1.61846	5  	1  	0.849777
25 	0.155304	inf    	inf    	0.042058 	nan    	1.51534	4  	1  	0.774247
26 	0.156666	inf    	inf    	0.042058 	nan    	1.48624	4  	1  	0.765638
27 	0.159633	inf    	inf    	0.042058 	nan    	1.58537	4  	1  	0.795586
28 	0.163285	inf    	inf    	0.042058 	nan    	1.65653	4  	1  	0.865039
29 	0.162964	inf    	inf    	0.042058 	nan    	1.61515	4  	1  	0.835073
30 	0.162568	inf    	inf    	0.042058 	nan    	1.56193	5  	1  	0.847032
31 	0.16108 	inf    	inf    	0.042058 	nan    	1.52711	5  	1  	0.819117
32 	0.163495	inf    	inf    	0.042058 	nan    	1.62763	5  	1  	0.841538
33 	0.161341	inf    	inf    	0.042058 	nan    	1.61377	5  	1  	0.831953
34 	0.163332	inf    	inf    	0.042058 	nan    	1.56119	5  	1  	0.773624
35 	0.163352	inf    	inf    	0.042058 	nan    	1.53274	5  	1  	0.770822
36 	0.165929	inf    	inf    	0.042058 	nan    	1.57567	5  	1  	0.833854
37 	0.167494	inf    	inf    	0.042058 	nan    	1.58876	5  	1  	0.859746
38 	0.164336	inf    	inf    	0.042058 	nan    	1.55162	5  	1  	0.775447
39 	0.16403 	inf    	inf    	0.042058 	nan    	1.55294	5  	1  	0.782242
40 	0.16622 	inf    	inf    	0.042058 	nan    	1.55718	5  	1  	0.773716
41 	0.166495	inf    	inf    	0.042058 	nan    	1.56725	4  	1  	0.783517
42 	0.170583	inf    	inf    	0.042058 	nan    	1.6414 	4  	1  	0.791522
43 	0.170223	inf    	inf    	0.042058 	nan    	1.63663	4  	1  	0.784254
44 	0.171077	inf    	inf    	0.042058 	nan    	1.62609	5  	1  	0.799937
45 	0.168138	inf    	inf    	0.042058 	nan    	1.65318	5  	1  	0.815992
46 	0.177878	inf    	inf    	0.042058 	nan    	1.79827	5  	1  	0.885163
47 	0.174163	inf    	inf    	0.042058 	nan    	1.74713	5  	1  	0.857266
48 	0.176735	inf    	inf    	0.042058 	nan    	1.80229	5  	1  	0.871974
49 	0.180096	inf    	inf    	0.042058 	nan    	1.89143	5  	1  	0.949999
50 	0.18562 	inf    	inf    	0.042058 	nan    	1.92593	5  	1  	0.902788
51 	0.187649	inf    	inf    	0.042058 	nan    	1.97727	5  	1  	0.913625
52 	0.187695	inf    	inf    	0.042058 	nan    	2.03683	5  	1  	0.919603
53 	0.185074	inf    	inf    	0.042058 	nan    	2.01977	5  	1  	0.928004
54 	0.189098	inf    	inf    	0.042058 	nan    	2.0507 	5  	1  	0.968646
55 	0.185998	inf    	inf    	0.042058 	nan    	1.98596	5  	1  	0.934558
56 	0.186538	inf    	inf    	0.042058 	nan    	1.95798	5  	1  	0.867027
57 	0.194271	inf    	inf    	0.042058 	nan    	2.01117	5  	1  	0.939445
58 	0.187758	inf    	inf    	0.042058 	nan    	1.99164	4  	1  	0.868795
59 	0.192374	inf    	inf    	0.042058 	nan    	2.03056	5  	1  	0.922954
60 	0.189704	inf    	inf    	0.042058 	nan    	2      	5  	1  	0.947368
61 	0.198735	inf    	inf    	0.042058 	nan    	2.1547 	5  	1  	0.950918
62 	0.197545	inf    	inf    	0.042058 	nan    	2.11846	5  	1  	0.987395
63 	0.199991	inf    	inf    	0.042058 	nan    	2.18956	5  	1  	0.988839
64 	0.204269	inf    	inf    	0.042058 	nan    	2.29315	5  	1  	1.04898 
65 	0.209351	inf    	inf    	0.042058 	nan    	2.35792	5  	1  	1.01641 
66 	0.20511 	inf    	inf    	0.042058 	nan    	2.29155	5  	1  	0.888626
67 	0.204709	inf    	inf    	0.042058 	nan    	2.2663 	5  	1  	0.935272
68 	0.20217 	inf    	inf    	0.042058 	nan    	2.24119	5  	1  	0.930562
69 	0.201213	inf    	inf    	0.042058 	nan    	2.21081	5  	1  	0.899785
70 	0.201256	inf    	inf    	0.042058 	nan    	2.21024	5  	1  	0.874313
71 	0.203206	inf    	inf    	0.042058 	nan    	2.26613	5  	1  	0.901989
72 	0.206166	inf    	inf    	0.042058 	nan    	2.31903	5  	1  	0.930615
73 	0.209274	inf    	inf    	0.042058 	nan    	2.35294	5  	1  	0.980303
74 	0.215112	inf    	inf    	0.042058 	nan    	2.41867	5  	1  	1.00302 
75 	0.217002	inf    	inf    	0.042058 	nan    	2.35372	5  	1  	1.01052 
76 	0.216478	inf    	inf    	0.042058 	nan    	2.35279	5  	1  	0.977302
77 	0.211513	inf    	inf    	0.042058 	nan    	2.27778	5  	1  	0.945378
78 	0.213946	inf    	inf    	0.042058 	nan    	2.31398	5  	1  	0.974119
79 	0.214227	inf    	inf    	0.042058 	nan    	2.32895	5  	1  	0.978562
80 	0.214558	inf    	inf    	0.042058 	nan    	2.31234	5  	1  	0.958225
81 	0.206146	inf    	inf    	0.042058 	nan    	2.16492	5  	1  	0.819606
82 	0.213341	inf    	inf    	0.042058 	nan    	2.20104	5  	1  	0.838872
83 	0.20843 	inf    	inf    	0.042058 	nan    	2.17708	5  	1  	0.777212
84 	0.21031 	inf    	inf    	0.042058 	nan    	2.17662	5  	1  	0.809023
85 	0.21626 	inf    	inf    	0.042058 	nan    	2.2487 	5  	1  	0.814576
86 	0.213584	inf    	inf    	0.042058 	nan    	2.18346	5  	1  	0.825896
87 	0.205893	inf    	inf    	0.042058 	nan    	2.11856	5  	1  	0.733138
88 	0.217907	inf    	inf    	0.042058 	nan    	2.12082	5  	1  	0.712217
89 	0.213053	inf    	inf    	0.042058 	nan    	2.11282	5  	1  	0.735607
90 	0.213012	inf    	inf    	0.042058 	nan    	2.14834	5  	1  	0.755875
91 	0.213721	inf    	inf    	0.042058 	nan    	2.23214	5  	1  	0.801585
92 	0.214901	inf    	inf    	0.042058 	nan    	2.1883 	5  	1  	0.751701
93 	0.215152	inf    	inf    	0.042058 	nan    	2.15736	5  	1  	0.784112
94 	0.213186	inf    	inf    	0.042058 	nan    	2.15949	5  	1  	0.764649
95 	0.212381	inf    	inf    	0.042058 	nan    	2.15404	5  	1  	0.82205 
96 	0.222435	inf    	inf    	0.042058 	nan    	2.24937	5  	1  	0.819031
97 	0.220144	inf    	inf    	0.042058 	nan    	2.24623	5  	1  	0.859282
98 	0.223896	inf    	inf    	0.042058 	nan    	2.22807	5  	1  	0.873224
99 	0.21806 	inf    	inf    	0.042058 	nan    	2.2    	5  	1  	0.863134
100	0.219   	inf    	inf    	0.042058 	nan    	2.24439	5  	1  	0.901716
101	0.223564	inf    	inf    	0.042058 	nan    	2.26368	5  	1  	0.919725
102	0.221123	inf    	inf    	0.042058 	nan    	2.23821	5  	1  	0.887089
103	0.21916 	inf    	inf    	0.042058 	nan    	2.24505	5  	1  	0.871354
104	0.225395	inf    	inf    	0.042058 	nan    	2.22469	5  	1  	0.903427
105	0.228264	inf    	inf    	0.042058 	nan    	2.23892	5  	1  	0.909481
106	0.225564	inf    	inf    	0.042058 	nan    	2.26536	5  	1  	0.894072
107	0.228931	inf    	inf    	0.042058 	nan    	2.28431	5  	1  	0.956171
108	0.22415 	inf    	inf    	0.042058 	nan    	2.1956 	5  	1  	0.816025
109	0.226036	inf    	inf    	0.042058 	nan    	2.14878	5  	1  	0.77762 
110	0.231882	inf    	inf    	0.042058 	nan    	2.22628	5  	1  	0.770433
111	0.228106	inf    	inf    	0.042058 	nan    	2.22816	5  	1  	0.767282
112	0.223481	inf    	inf    	0.042058 	nan    	2.18644	5  	1  	0.809514
113	0.227429	inf    	inf    	0.042058 	nan    	2.22705	5  	1  	0.869028
114	0.23136 	inf    	inf    	0.042058 	nan    	2.24096	5  	1  	0.81832 
115	0.2276  	inf    	inf    	0.042058 	nan    	2.24038	5  	1  	0.88247 
116	0.229214	inf    	inf    	0.042058 	nan    	2.22782	5  	1  	0.875126
117	0.230669	inf    	inf    	0.042058 	nan    	2.22967	5  	1  	0.847106
118	0.23089 	inf    	inf    	0.042058 	nan    	2.2315 	5  	1  	0.885503
119	0.232148	inf    	inf    	0.042058 	nan    	2.2    	5  	1  	0.821149
120	0.226882	inf    	inf    	0.042058 	nan    	2.16865	5  	1  	0.769098
121	0.229268	inf    	inf    	0.042058 	nan    	2.1564 	5  	1  	0.76919 
