   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min       	std        	avg    	max	min	std     
0  	0.0823433	33.4377    	2181.6     	0.210375  	153.214    	1.51495	4  	1  	0.644895
1  	0.070879 	inf        	inf        	0.210375  	nan        	1.60927	4  	1  	0.699797
2  	0.071291 	inf        	inf        	0.210375  	nan        	1.66997	4  	1  	0.746823
3  	0.0710065	inf        	inf        	0.210375  	nan        	1.64803	5  	1  	0.805693
4  	0.0686464	inf        	inf        	0.210375  	nan        	1.55738	5  	1  	0.76661 
5  	0.0703466	10.1425    	729.885    	0.210375  	48.8925    	1.60458	4  	1  	0.752238
6  	0.0720332	inf        	inf        	0.210375  	nan        	1.70033	5  	1  	0.831838
7  	0.0750861	inf        	inf        	0.210375  	nan        	1.75974	5  	1  	0.879457
8  	0.0733011	inf        	inf        	0.210375  	nan        	1.83819	5  	1  	0.938065
9  	0.0753822	12.6362    	1555.46    	0.210375  	99.4438    	2      	5  	1  	0.960511
10 	0.078495 	8.70552    	941.334    	0.210375  	63.5315    	2.27653	7  	1  	1.11727 
11 	0.0809379	13.9135    	1006.27    	0.210375  	95.1025    	2.37179	8  	1  	1.14196 
12 	0.0829096	5.04558    	633.995    	0.210375  	38.5642    	2.58786	7  	1  	1.26874 
13 	0.0869656	inf        	inf        	0.210375  	nan        	2.77707	8  	1  	1.39653 
14 	0.0853567	128.572    	36147.9    	0.210375  	2039.73    	2.74603	8  	1  	1.28691 
15 	0.0869184	21.8481    	3686.61    	0.210375  	221.632    	2.84494	8  	1  	1.32336 
16 	0.0893736	inf        	inf        	0.210375  	nan        	2.88013	8  	1  	1.42249 
17 	0.0877414	inf        	inf        	0.210375  	nan        	2.88679	9  	1  	1.40521 
18 	0.0922565	inf        	inf        	0.210375  	nan        	2.96552	8  	1  	1.48411 
19 	0.0916355	inf        	inf        	0.210375  	nan        	2.89688	9  	1  	1.46586 
20 	0.0909755	inf        	inf        	0.210375  	nan        	2.86293	8  	1  	1.44469 
21 	0.0951638	inf        	inf        	0.210375  	nan        	2.92236	9  	1  	1.48393 
22 	0.095031 	18.6648    	3879.69    	0.210375  	216.896    	2.91022	8  	1  	1.45351 
23 	0.100122 	22.8756    	6230.27    	0.210375  	345.8      	3.15741	10 	1  	1.63202 
24 	0.107481 	inf        	inf        	0.210375  	nan        	3.43385	10 	1  	1.82447 
25 	0.109783 	8.40091    	626.383    	0.210375  	52.0633    	3.50613	10 	1  	1.93727 
26 	0.125064 	inf        	inf        	0.210375  	nan        	3.8685 	12 	1  	2.17811 
27 	0.137456 	inf        	inf        	0.210375  	nan        	4.19817	12 	1  	2.40687 
28 	0.146504 	inf        	inf        	0.210375  	nan        	4.4924 	13 	1  	2.55173 
29 	0.169781 	inf        	inf        	0.210375  	nan        	5.04242	13 	1  	2.80983 
30 	0.203349 	inf        	inf        	0.210375  	nan        	5.69486	13 	1  	3.04953 
31 	0.232092 	inf        	inf        	0.210375  	nan        	6.38554	14 	1  	3.15018 
32 	0.254566 	inf        	inf        	0.210375  	nan        	6.86186	17 	1  	3.34307 
33 	0.264071 	inf        	inf        	0.210375  	nan        	7.1976 	17 	1  	3.3761  
34 	0.285628 	inf        	inf        	0.210375  	nan        	7.52537	17 	1  	3.60329 
35 	0.297097 	inf        	inf        	0.210375  	nan        	7.70238	17 	1  	3.65972 
36 	0.324942 	inf        	inf        	0.160533  	nan        	8.14243	17 	1  	3.79253 
37 	0.328289 	inf        	inf        	0.160533  	nan        	8.32249	17 	1  	4.07396 
38 	0.353189 	inf        	inf        	0.160533  	nan        	8.80531	17 	1  	3.98491 
39 	0.396344 	inf        	inf        	0.160533  	nan        	9.44412	17 	1  	3.89039 
40 	0.431513 	inf        	inf        	0.160533  	nan        	10.0029	17 	1  	4.18453 
41 	0.467771 	inf        	inf        	0.160533  	nan        	10.5585	17 	1  	3.80071 
42 	0.478478 	inf        	inf        	0.160533  	nan        	10.6706	17 	1  	3.90476 
43 	0.498993 	inf        	inf        	0.160533  	nan        	11.0901	17 	1  	3.7942  
44 	0.523529 	inf        	inf        	0.160533  	nan        	11.7043	17 	1  	3.64666 
45 	0.490827 	inf        	inf        	0.160053  	nan        	11.1012	17 	1  	3.78751 
46 	0.464288 	inf        	inf        	0.14939   	nan        	10.7291	17 	1  	3.72024 
47 	0.440612 	inf        	inf        	0.14939   	nan        	10.3534	17 	1  	3.91781 
48 	0.428017 	inf        	inf        	0.14939   	nan        	10.3181	17 	1  	4.13861 
49 	0.412832 	inf        	inf        	0.14939   	nan        	10.1743	17 	1  	4.10657 
50 	0.396949 	inf        	inf        	0.146563  	nan        	9.86895	17 	1  	3.98    
51 	0.387451 	inf        	inf        	0.145163  	nan        	9.9233 	17 	1  	3.64743 
52 	0.395571 	inf        	inf        	0.140624  	nan        	10.153 	17 	1  	3.81504 
53 	0.409386 	inf        	inf        	0.140624  	nan        	10.3983	17 	1  	3.61136 
54 	0.465178 	inf        	inf        	0.1263    	nan        	11.1099	17 	1  	3.51124 
55 	0.499877 	inf        	inf        	0.1263    	nan        	11.441 	17 	1  	3.49388 
56 	0.547609 	inf        	inf        	0.1263    	nan        	12.0056	17 	1  	3.35232 
57 	0.574944 	inf        	inf        	0.125219  	nan        	12.419 	17 	1  	3.29005 
58 	0.588745 	inf        	inf        	0.111005  	nan        	12.6184	17 	1  	3.15466 
59 	0.55127  	inf        	inf        	0.0969105 	nan        	12.1611	17 	1  	3.1827  
60 	0.550059 	inf        	inf        	0.0969105 	nan        	12.2244	17 	1  	3.39171 
61 	0.557528 	inf        	inf        	0.0656652 	nan        	12.5138	17 	1  	3.22303 
62 	0.559917 	inf        	inf        	0.0596527 	nan        	12.5482	17 	1  	3.11572 
63 	0.588967 	inf        	inf        	0.0596527 	nan        	12.7363	17 	1  	3.21    
64 	0.603817 	inf        	inf        	0.045047  	nan        	12.9425	17 	1  	2.8582  
65 	0.600688 	inf        	inf        	0.0379329 	nan        	13.0519	17 	2  	2.82166 
66 	0.605531 	inf        	inf        	0.0344374 	nan        	13.248 	17 	2  	2.73559 
67 	0.605759 	inf        	inf        	0.0344374 	nan        	13.3886	17 	1  	2.85874 
68 	0.583038 	inf        	inf        	0.0344374 	nan        	13.1978	17 	1  	2.86298 
69 	0.569553 	inf        	inf        	0.0344374 	nan        	13.4946	17 	1  	2.55136 
70 	0.558903 	inf        	inf        	0.0328782 	nan        	13.558 	17 	1  	2.40815 
71 	0.55251  	inf        	inf        	0.0328782 	nan        	13.4839	17 	1  	2.37533 
72 	0.547022 	inf        	inf        	0.0273357 	nan        	13.252 	17 	1  	2.92457 
73 	0.537755 	inf        	inf        	0.0273357 	nan        	13.1738	17 	1  	3.03267 
74 	0.538222 	inf        	inf        	0.0237408 	nan        	13.2347	17 	1  	3.07391 
75 	0.550017 	inf        	inf        	0.0237408 	nan        	13.4229	17 	1  	3.07606 
76 	0.564352 	5.30504e+27	1e+30      	0.0237408 	7.26422e+28	13.6393	17 	1  	2.90108 
77 	0.584831 	5.29101e+27	1e+30      	0.0237408 	7.25466e+28	13.8228	17 	1  	2.77514 
78 	0.581636 	inf        	inf        	0.0206657 	nan        	13.8945	17 	1  	3.09642 
79 	0.594959 	inf        	inf        	0.0206657 	nan        	14.0421	17 	1  	2.66918 
80 	0.597255 	25943.7    	8.88943e+06	0.0206657 	456103     	14.0892	17 	1  	2.88674 
81 	0.582957 	inf        	inf        	0.0206657 	nan        	13.9293	17 	1  	3.25089 
82 	0.583516 	inf        	inf        	0.0206657 	nan        	14.0052	17 	1  	3.11988 
83 	0.588484 	2.60417e+27	1e+30      	0.0205206 	5.09645e+28	14.2578	17 	1  	2.76486 
84 	0.596144 	inf        	inf        	0.0205206 	nan        	14.4312	17 	1  	2.95526 
85 	0.614765 	inf        	inf        	0.0164154 	nan        	14.6321	17 	1  	2.84294 
86 	0.624383 	2.58398e+27	1e+30      	0.0164154 	5.07671e+28	14.6822	17 	1  	2.92274 
87 	0.635443 	35.4559    	7639.08    	0.0164154 	436.029    	14.799 	17 	1  	2.9041  
88 	0.645004 	53.5727    	11400.5    	0.0163062 	628.281    	14.8303	17 	1  	3.12417 
89 	0.656247 	inf        	inf        	0.0162734 	nan        	14.9513	17 	1  	2.84203 
90 	0.678503 	inf        	inf        	0.0158678 	nan        	15.1355	17 	1  	2.8732  
91 	0.71531  	1.53061e+28	1e+30      	0.0158678 	1.22767e+29	15.4056	17 	1  	2.40031 
92 	0.739063 	inf        	inf        	0.0158678 	nan        	15.3486	17 	1  	2.91929 
93 	0.753994 	2.53807e+27	1e+30      	0.0158678 	5.03153e+28	15.4924	17 	1  	2.91699 
94 	0.759077 	inf        	inf        	0.0158678 	nan        	15.5646	17 	1  	2.81906 
95 	0.773596 	inf        	inf        	0.0158678 	nan        	15.3939	17 	1  	3.11908 
96 	0.797879 	inf        	inf        	0.0158678 	nan        	15.7632	17 	1  	2.5083  
97 	0.797005 	inf        	inf        	0.0156741 	nan        	15.6709	17 	1  	2.83459 
98 	0.817357 	1.00251e+28	1e+30      	0.0156741 	9.96221e+28	15.8822	17 	2  	2.48174 
99 	0.814089 	7.5e+27    	1e+30      	0.0154067 	8.62772e+28	15.865 	17 	1  	2.68734 
100	0.827972 	inf        	inf        	0.0154067 	nan        	16.0623	17 	1  	2.27062 
101	0.813805 	1.24378e+28	1e+30      	0.0156741 	1.10829e+29	15.9129	17 	1  	2.60403 
102	0.833859 	7.44417e+27	1e+30      	0.01537   	8.59579e+28	16.0496	17 	1  	2.37282 
103	0.824661 	9.90099e+27	1e+30      	0.0153858 	9.90099e+28	16.1139	17 	1  	2.18499 
104	0.827683 	4.93827e+27	1e+30      	0.0153858 	7.00991e+28	16.0568	17 	1  	2.36732 
105	0.821773 	4.92611e+27	1e+30      	0.0153858 	7.00132e+28	15.9803	17 	1  	2.12413 
106	0.801822 	1.72401e+07	3.50832e+09	0.0153858 	2.45328e+08	15.6732	17 	1  	2.88414 
107	0.806376 	1.22549e+28	1e+30      	0.0147142 	1.10021e+29	15.6912	17 	1  	2.5768  
108	0.799499 	inf        	inf        	0.0147142 	nan        	15.5403	17 	1  	2.88643 
109	0.814717 	7.31707e+27	1e+30      	0.0147142 	8.52264e+28	15.6098	17 	1  	2.42022 
110	0.805074 	inf        	inf        	0.0147142 	nan        	15.5158	17 	1  	2.29813 
111	0.7981   	inf        	inf        	0.0147142 	nan        	15.3228	17 	1  	2.61533 
112	0.809275 	inf        	inf        	0.0126454 	nan        	15.339 	17 	2  	2.44679 
113	0.805889 	2.41546e+27	1e+30      	0.0126454 	4.90879e+28	15.2899	17 	1  	2.4412  
114	0.809563 	inf        	inf        	0.0126454 	nan        	15.2651	17 	1  	2.57553 
115	0.797034 	inf        	inf        	0.0126454 	nan        	15.0337	17 	1  	2.80861 
116	0.782553 	inf        	inf        	0.0126454 	nan        	15.0839	17 	1  	2.77453 
117	0.789025 	inf        	inf        	0.0126454 	nan        	15.0239	17 	1  	2.73195 
118	0.786293 	inf        	inf        	0.0126454 	nan        	15.0191	17 	1  	2.72785 
119	0.768257 	inf        	inf        	0.0126454 	nan        	14.85  	17 	1  	2.83328 
120	0.75927  	2.3753e+27 	1e+30      	0.0126454 	4.86791e+28	14.7791	17 	1  	3.07331 
121	0.75276  	inf        	inf        	0.0126454 	nan        	14.8081	17 	1  	3.01711 
122	0.73972  	2.20455e+27	9.32525e+29	0.0126454 	4.52873e+28	14.8203	17 	1  	2.99895 
123	0.714653 	inf        	inf        	0.0126454 	nan        	14.7854	17 	1  	2.86137 
124	0.701425 	inf        	inf        	0.0126454 	nan        	14.7106	17 	1  	3.1628  
125	0.693049 	inf        	inf        	0.0126454 	nan        	14.9272	17 	1  	2.7607  
126	0.675018 	inf        	inf        	0.0126454 	nan        	14.5574	17 	1  	3.31957 
127	0.663172 	inf        	inf        	0.0126454 	nan        	14.5607	17 	1  	3.34658 
128	0.669679 	inf        	inf        	0.0126454 	nan        	14.6643	17 	1  	3.28011 
129	0.655403 	inf        	inf        	0.0126454 	nan        	14.7651	17 	1  	2.9315  
130	0.637485 	inf        	inf        	0.0126454 	nan        	14.4432	17 	1  	3.21913 
131	0.623121 	inf        	inf        	0.0126454 	nan        	14.4398	17 	2  	3.1981  
132	0.636882 	inf        	inf        	0.0126454 	nan        	14.3256	17 	1  	3.45445 
133	0.628515 	inf        	inf        	0.0126454 	nan        	14.6267	17 	1  	3.27732 
134	0.638354 	inf        	inf        	0.0126454 	nan        	14.623 	17 	1  	3.2829  
135	0.641104 	inf        	inf        	0.0126454 	nan        	14.3899	17 	1  	3.40592 
136	0.636106 	inf        	inf        	0.0126454 	nan        	14.2151	17 	1  	3.44216 
137	0.619913 	inf        	inf        	0.0125769 	nan        	13.879 	17 	1  	3.86489 
138	0.644859 	inf        	inf        	0.0124976 	nan        	14.041 	17 	1  	3.55537 
139	0.676597 	inf        	inf        	0.0124976 	nan        	14.2   	17 	1  	3.42332 
140	0.697097 	2.26757e+27	1e+30      	0.0123672 	4.7565e+28 	14.4558	17 	1  	3.06742 
141	0.714624 	inf        	inf        	0.0123672 	nan        	14.6471	17 	1  	3.00412 
142	0.716339 	inf        	inf        	0.0123672 	nan        	14.7111	17 	1  	2.95757 
143	0.727255 	inf        	inf        	0.0123672 	nan        	15.0135	17 	1  	2.48868 
144	0.687856 	inf        	inf        	0.0123306 	nan        	14.4944	17 	1  	3.37181 
145	0.684236 	inf        	inf        	0.0123306 	nan        	14.5269	17 	1  	3.36734 
146	0.701179 	inf        	inf        	0.0123306 	nan        	14.7025	17 	1  	3.35099 
147	0.707613 	inf        	inf        	0.0123306 	nan        	14.6763	17 	1  	3.21897 
148	0.705911 	inf        	inf        	0.0123306 	nan        	14.6682	17 	1  	3.18458 
149	0.712284 	inf        	inf        	0.0123179 	nan        	14.5489	17 	1  	3.49012 
150	0.708056 	inf        	inf        	0.012242  	nan        	14.6253	17 	1  	3.45759 
151	0.727524 	inf        	inf        	0.012242  	nan        	14.6217	17 	1  	3.29531 
152	0.713008 	inf        	inf        	0.012242  	nan        	14.6998	17 	1  	3.2765  
153	0.725802 	inf        	inf        	0.012242  	nan        	14.7643	17 	1  	3.18718 
154	0.726917 	inf        	inf        	0.012242  	nan        	14.6154	17 	1  	3.25059 
155	0.742138 	inf        	inf        	0.012242  	nan        	14.614 	17 	1  	3.47171 
156	0.758253 	129.776    	54689.5    	0.0122413 	2558.26    	14.8796	17 	1  	3.0981  
157	0.74717  	1.72508e+09	7.86577e+11	0.0122413 	3.67142e+10	14.7817	17 	1  	3.16233 
158	0.775923 	inf        	inf        	0.0122413 	nan        	15.0784	17 	2  	2.70043 
159	0.786633 	inf        	inf        	0.0122413 	nan        	15.1196	17 	1  	2.83013 
160	0.768724 	inf        	inf        	0.0122413 	nan        	14.8482	17 	1  	3.13104 
161	0.788466 	inf        	inf        	0.0122413 	nan        	14.9329	17 	1  	3.25501 
162	0.794387 	inf        	inf        	0.0122087 	nan        	15.067 	17 	1  	3.17962 
163	0.810642 	141.948    	36233.9    	0.0122087 	1795.33    	15.3491	17 	1  	2.57869 
164	0.798548 	3.01816e+07	1.40322e+10	0.0122087 	6.50028e+08	15.3032	17 	1  	2.82776 
165	0.813284 	inf        	inf        	0.0115231 	nan        	15.4807	17 	1  	2.57102 
166	0.799142 	inf        	inf        	0.0115231 	nan        	15.2441	17 	1  	3.20003 
167	0.812147 	inf        	inf        	0.0115231 	nan        	15.5214	17 	1  	2.90033 
168	0.814361 	inf        	inf        	0.0115231 	nan        	15.6972	17 	2  	2.35587 
169	0.809354 	inf        	inf        	0.0115231 	nan        	15.6936	17 	1  	2.1918  
170	0.816569 	4.24628e+27	1e+30      	0.0115231 	6.5025e+28 	15.5732	17 	1  	2.50571 
171	0.808608 	3.24639e+11	1.53229e+14	0.0115231 	7.04548e+12	15.3347	17 	1  	2.87122 
172	0.803699 	inf        	inf        	0.0115231 	nan        	15.3827	17 	1  	2.70921 
173	0.828525 	inf        	inf        	0.0115231 	nan        	15.5759	17 	1  	2.57535 
174	0.827144 	2.10526e+27	1e+30      	0.0115231 	4.58348e+28	15.6611	17 	1  	2.35592 
175	0.836998 	inf        	inf        	0.0115231 	nan        	15.5903	17 	1  	2.82884 
176	0.853769 	inf        	inf        	0.0115231 	nan        	15.8658	17 	1  	2.1619  
177	0.879904 	inf        	inf        	0.0115231 	nan        	15.977 	17 	1  	2.41801 
178	0.877188 	inf        	inf        	0.0115231 	nan        	15.858 	17 	1  	2.58159 
179	0.878004 	inf        	inf        	0.0109928 	nan        	15.8187	17 	1  	2.66115 
180	0.88411  	inf        	inf        	0.0109928 	nan        	15.9085	17 	1  	2.64299 
181	0.895008 	inf        	inf        	0.0109928 	nan        	16.0415	17 	1  	2.36027 
182	0.893495 	inf        	inf        	0.0114394 	nan        	16.0311	17 	1  	2.57015 
183	0.922691 	inf        	inf        	0.0114394 	nan        	16.3182	17 	1  	1.93862 
