   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min       	std        	avg    	max	min	std     
0  	0.0681899	inf        	inf        	0.30679   	nan        	1.49834	4  	1  	0.613387
1  	0.0552669	inf        	inf        	0.224144  	nan        	1.51656	6  	1  	0.735606
2  	0.0491691	inf        	inf        	0.224144  	nan        	1.47195	5  	1  	0.692991
3  	0.0490167	inf        	inf        	0.216858  	nan        	1.42105	4  	1  	0.702686
4  	0.0472362	inf        	inf        	0.216858  	nan        	1.41311	5  	1  	0.677381
5  	0.0484993	inf        	inf        	0.198556  	nan        	1.53268	4  	1  	0.709813
6  	0.049509 	inf        	inf        	0.19176   	nan        	1.61564	6  	1  	0.767085
7  	0.0495086	inf        	inf        	0.191574  	nan        	1.68831	5  	1  	0.698044
8  	0.0531754	inf        	inf        	0.191263  	nan        	2.09385	5  	1  	0.792926
9  	0.0528264	9.21659e+55	2.85714e+58	0.191263  	1.62013e+57	2.31613	6  	1  	0.878083
10 	0.0564654	inf        	inf        	0.191263  	nan        	2.60129	7  	1  	1.04644 
11 	0.0564294	inf        	inf        	0.191243  	nan        	2.83654	8  	1  	1.13604 
12 	0.0573409	inf        	inf        	0.191243  	nan        	2.89776	7  	1  	1.07354 
13 	0.0593331	inf        	inf        	0.191243  	nan        	3.1051 	6  	1  	1.16959 
14 	0.0585978	inf        	inf        	0.191243  	nan        	3.39683	8  	1  	1.44023 
15 	0.0597439	inf        	inf        	0.191243  	nan        	3.57595	10 	1  	1.52736 
16 	0.0614767	4.50653e+56	2.85714e+58	0.191243  	3.55988e+57	3.78233	10 	1  	1.57862 
17 	0.0636363	inf        	inf        	0.191243  	nan        	4.23585	12 	1  	1.92902 
18 	0.0659518	inf        	inf        	0.191243  	nan        	4.38558	12 	1  	1.96168 
19 	0.0670552	inf        	inf        	0.191243  	nan        	4.94062	15 	1  	2.43533 
20 	0.0687425	inf        	inf        	0.191121  	nan        	5.10903	16 	1  	2.6376  
21 	0.0731039	inf        	inf        	0.191121  	nan        	5.96894	16 	1  	3.04811 
22 	0.0779855	inf        	inf        	0.12995   	nan        	6.64087	17 	1  	3.32098 
23 	0.0806088	3.52734e+56	2.85714e+58	0.12995   	3.15495e+57	7.20062	17 	1  	3.55033 
24 	0.0840557	6.15385e+27	1e+30      	0.12995   	7.82047e+28	7.90462	17 	1  	3.79313 
25 	0.0912662	0.834057   	134.824    	0.12995   	7.52803    	8.62577	17 	1  	3.98091 
26 	0.0950725	1.74749e+56	2.85714e+58	0.12835   	2.22762e+57	8.94495	17 	2  	3.80126 
27 	0.0989256	3.04878e+27	1e+30      	0.12835   	5.51315e+28	9.42683	17 	2  	3.86914 
28 	0.107962 	8.68432e+55	2.85714e+58	0.128339  	1.5728e+57 	9.67173	17 	1  	3.86967 
29 	0.117796 	3.37662e+57	1e+60      	0.10656   	5.50345e+58	10.2939	17 	1  	3.7556  
30 	0.124734 	1.72637e+56	2.85714e+58	0.103876  	2.2142e+57 	10.9245	17 	1  	3.85818 
31 	0.130959 	1.72117e+56	2.85714e+58	0.103876  	2.21088e+57	11.4217	17 	1  	3.57491 
32 	0.136583 	3.7752e+57 	1e+60      	0.0848312 	5.49155e+58	11.3423	17 	1  	3.76445 
33 	0.139806 	5.98802e+56	2.85714e+58	0.0831472 	4.09269e+57	11.3503	17 	1  	4.13109 
34 	0.146726 	2.55864e+56	2.85714e+58	0.0831472 	2.69164e+57	11.8687	17 	1  	3.87577 
35 	0.149211 	8.5034e+55 	2.85714e+58	0.0831472 	1.55638e+57	11.9048	17 	1  	3.75474 
36 	0.150318 	4.23908e+56	2.85714e+58	0.0831472 	3.45427e+57	12.0237	17 	1  	3.81618 
37 	0.15496  	inf        	inf        	0.0802799 	nan        	12.2337	17 	1  	3.60659 
38 	0.15787  	4.21408e+56	2.85714e+58	0.0656367 	3.44422e+57	12.351 	17 	1  	3.7665  
39 	0.161779 	3.36134e+56	2.85714e+58	0.0656367 	3.08072e+57	12.4412	17 	1  	3.94589 
40 	0.170133 	5.02723e+56	2.85714e+58	0.0570545 	3.75643e+57	12.9267	17 	1  	3.58686 
41 	0.17767  	inf        	inf        	0.0464316 	nan        	13.1287	17 	1  	3.44902 
42 	0.18454  	3.33195e+57	1e+60      	0.0464316 	5.40023e+58	13.2682	17 	1  	3.50232 
43 	0.199471 	3.32226e+56	2.85714e+58	0.0398127 	3.06297e+57	13.8721	17 	3  	2.99921 
44 	0.203227 	3.22981e+57	1e+60      	0.0353255 	5.38292e+58	13.2754	17 	1  	3.4878  
45 	0.201973 	2.47729e+56	2.85714e+58	0.0353255 	2.64889e+57	13.3179	17 	1  	3.73819 
46 	0.22246  	inf        	inf        	0.0352804 	nan        	13.951 	17 	2  	2.96967 
