   	         	                          fitness                          	              size              
   	         	-----------------------------------------------------------	--------------------------------
gen	time     	avg        	max        	min      	std        	avg    	max	min	std     
0  	0.0729353	29.7972    	5562.86    	0.309879 	323.04     	1.49834	4  	1  	0.624125
1  	0.0591669	70.6784    	16805.2    	0.213241 	974.332    	1.53974	5  	1  	0.725649
2  	0.0540698	12.6656    	2329.63    	0.213241 	134.688    	1.49505	4  	1  	0.698283
3  	0.0544794	inf        	inf        	0.203446 	nan        	1.48026	4  	1  	0.683166
4  	0.0540206	inf        	inf        	0.166866 	nan        	1.42623	4  	1  	0.683746
5  	0.0560427	inf        	inf        	0.166866 	nan        	1.5719 	5  	1  	0.756061
6  	0.0564072	35.6949    	7378.01    	0.166866 	440.208    	1.66775	5  	1  	0.757397
7  	0.0579145	10.2788    	2308.76    	0.163805 	131.384    	1.81169	6  	1  	0.924202
8  	0.05932  	6.22355e+55	1.92308e+58	0.163208 	1.09223e+57	2.03236	5  	1  	1.02347 
9  	0.0614672	6.56541    	834.24     	0.16259  	52.5358    	2.36129	5  	1  	1.01208 
10 	0.063462 	8.70363    	646.275    	0.162512 	53.5221    	2.46302	6  	1  	1.06286 
11 	0.0612187	72.5245    	22308.8    	0.162466 	1260.9     	2.69551	7  	1  	1.1768  
12 	0.066442 	inf        	inf        	0.162466 	nan        	2.95847	9  	1  	1.30917 
13 	0.0673554	3.18471e+57	1e+60      	0.162466 	5.63433e+58	3.29618	10 	1  	1.43373 
14 	0.0683362	2.63907    	138.817    	0.162379 	13.5157    	3.60317	10 	1  	1.60693 
15 	0.0704913	1.93089    	116.646    	0.162379 	9.35533    	3.84494	10 	1  	1.66251 
16 	0.0711069	1.25186    	147.954    	0.162379 	9.4942     	4.18297	11 	1  	1.87915 
17 	0.0722015	2.09668    	116.646    	0.162379 	10.0958    	4.33333	11 	1  	2.10321 
18 	0.0735116	1.6264     	140.817    	0.162379 	10.2092    	4.58621	13 	1  	2.24891 
19 	0.076467 	3.125e+57  	1e+60      	0.162379 	5.58143e+58	4.92812	15 	1  	2.49208 
20 	0.0751932	1.55169    	123.611    	0.162376 	10.2014    	5.14953	18 	1  	2.72568 
21 	0.0791852	2.13011    	310.409    	0.162376 	18.691     	5.28261	20 	1  	3.07428 
22 	0.0796914	5.95649    	1233.76    	0.162376 	69.5355    	5.5356 	21 	1  	2.97062 
23 	0.0815792	5.93542e+55	1.92308e+58	0.162376 	1.06673e+57	6.08333	19 	1  	3.13717 
24 	0.085386 	0.909352   	40.6259    	0.162376 	4.07146    	6.30154	22 	1  	3.21843 
25 	0.0896399	inf        	inf        	0.162376 	nan        	7.08589	25 	1  	3.92162 
26 	0.0920491	inf        	inf        	0.162376 	nan        	7.51682	25 	1  	4.38431 
27 	0.0964556	0.617919   	35.3777    	0.162376 	3.04781    	8.40549	25 	1  	4.76812 
28 	0.103652 	1.19984    	151.475    	0.162376 	9.58492    	9.66565	33 	1  	6.04673 
29 	0.109511 	3.0303e+57 	1e+60      	0.162376 	5.49647e+58	10.8061	34 	1  	7.01591 
30 	0.116122 	3.07925e+57	1e+60      	0.162376 	5.48888e+58	11.9849	34 	1  	7.23597 
31 	0.123232 	0.514414   	37.1121    	0.162376 	2.27605    	13.3464	34 	1  	6.99509 
32 	0.129495 	1.155e+56  	1.92308e+58	0.162376 	1.48587e+57	14.0571	34 	1  	7.50534 
33 	0.135075 	5.75772e+55	1.92308e+58	0.162376 	1.05068e+57	15.1707	34 	1  	8.06695 
34 	0.142222 	5.74053e+55	1.92308e+58	0.162376 	1.04912e+57	16.6716	34 	1  	8.43091 
