   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max  	min      	std        	avg    	max	min	std     
0  	0.106548	inf        	inf  	0.21772  	nan        	1.48837	4  	1  	0.607837
1  	0.112215	inf        	inf  	0.21772  	nan        	1.62583	5  	1  	0.773567
2  	0.110415	inf        	inf  	0.21772  	nan        	1.66337	5  	1  	0.782784
3  	0.108402	inf        	inf  	0.21772  	nan        	1.61842	4  	1  	0.790022
4  	0.108835	inf        	inf  	0.21772  	nan        	1.60328	5  	1  	0.761785
5  	0.106967	inf        	inf  	0.21772  	nan        	1.55556	4  	1  	0.694412
6  	0.106291	inf        	inf  	0.21772  	nan        	1.58958	4  	1  	0.753465
7  	0.10954 	inf        	inf  	0.21772  	nan        	1.71104	5  	1  	0.8628  
8  	0.111412	inf        	inf  	0.21772  	nan        	1.86408	5  	1  	0.900002
9  	0.113786	inf        	inf  	0.21772  	nan        	1.95806	5  	1  	0.895247
10 	0.120585	inf        	inf  	0.217237 	nan        	2.18328	7  	1  	1.02156 
11 	0.121895	inf        	inf  	0.217237 	nan        	2.33013	7  	1  	1.06668 
12 	0.125699	inf        	inf  	0.217237 	nan        	2.44089	6  	1  	1.0712  
13 	0.12942 	inf        	inf  	0.217237 	nan        	2.59873	6  	1  	1.14747 
14 	0.128268	inf        	inf  	0.217237 	nan        	2.73016	6  	1  	1.27    
15 	0.135887	inf        	inf  	0.213572 	nan        	2.91139	10 	1  	1.47931 
16 	0.138369	inf        	inf  	0.213572 	nan        	3.0694 	10 	1  	1.54682 
17 	0.139134	inf        	inf  	0.217237 	nan        	3.04717	11 	1  	1.59824 
18 	0.141642	inf        	inf  	0.213572 	nan        	3.15987	9  	1  	1.6002  
19 	0.142632	inf        	inf  	0.213572 	nan        	3.2625 	9  	1  	1.66391 
20 	0.143306	inf        	inf  	0.213572 	nan        	3.41433	8  	1  	1.6367  
21 	0.153733	inf        	inf  	0.213572 	nan        	3.76398	10 	1  	1.83654 
22 	0.158928	inf        	inf  	0.213572 	nan        	4.1517 	11 	1  	2.0905  
23 	0.171663	inf        	inf  	0.213572 	nan        	4.52469	11 	1  	2.18355 
24 	0.174435	inf        	inf  	0.213572 	nan        	4.87692	13 	1  	2.43252 
25 	0.182082	inf        	inf  	0.213572 	nan        	5.31288	13 	1  	2.57649 
26 	0.192583	inf        	inf  	0.213572 	nan        	5.737  	17 	1  	2.85286 
27 	0.215424	inf        	inf  	0.213572 	nan        	6.53963	17 	1  	3.24952 
28 	0.233201	inf        	inf  	0.213572 	nan        	7.17021	21 	1  	3.48879 
29 	0.25262 	inf        	inf  	0.213411 	nan        	8.06061	24 	1  	4.23291 
30 	0.262005	inf        	inf  	0.213145 	nan        	8.46828	28 	1  	4.64394 
31 	0.277382	inf        	inf  	0.213145 	nan        	9.13554	30 	1  	4.78417 
32 	0.297512	inf        	inf  	0.212338 	nan        	10.1111	38 	1  	5.48678 
33 	0.311543	inf        	inf  	0.206564 	nan        	10.4192	32 	1  	5.30148 
34 	0.352961	inf        	inf  	0.176239 	nan        	11.2239	53 	1  	6.50102 
35 	0.384188	inf        	inf  	0.176239 	nan        	11.9851	53 	1  	7.15827 
36 	0.430755	inf        	inf  	0.176239 	nan        	13.2166	58 	1  	7.31065 
37 	0.497736	inf        	inf  	0.176094 	nan        	14.8166	58 	1  	8.26138 
38 	0.534898	inf        	inf  	0.144257 	nan        	15.5044	52 	1  	7.86177 
39 	0.591843	inf        	inf  	0.130157 	nan        	16.3471	52 	1  	8.8887  
40 	0.685256	inf        	inf  	0.130157 	nan        	17.434 	52 	1  	9.54719 
41 	0.755028	inf        	inf  	0.130157 	nan        	18.5819	52 	1  	10.4871 
42 	0.83536 	inf        	inf  	0.127398 	nan        	19.8892	50 	1  	10.4814 
43 	1.0341  	inf        	inf  	0.12713  	nan        	22.4709	51 	1  	12.0239 
44 	1.20805 	inf        	inf  	0.12713  	nan        	24.5768	68 	1  	12.833  
45 	1.26236 	inf        	inf  	0.123199 	nan        	25.2514	68 	1  	12.9116 
46 	1.32292 	inf        	inf  	0.123199 	nan        	25.7262	68 	1  	12.2379 
47 	1.34378 	inf        	inf  	0.120467 	nan        	25.9253	65 	1  	12.0535 
48 	1.35409 	inf        	inf  	0.114335 	nan        	26.2951	65 	1  	12.6695 
49 	1.38456 	inf        	inf  	0.114335 	nan        	26.4914	65 	1  	13.3559 
50 	1.40417 	inf        	inf  	0.107703 	nan        	26.3276	65 	2  	13.3857 
51 	1.45108 	inf        	inf  	0.0999297	nan        	27.1222	65 	2  	13.1313 
52 	1.61371 	inf        	inf  	0.0999297	nan        	28.6686	64 	2  	12.822  
53 	1.70136 	inf        	inf  	0.0999297	nan        	29.548 	68 	2  	12.9553 
54 	1.8434  	inf        	inf  	0.0999297	nan        	30.9324	68 	1  	12.6801 
55 	2.01836 	inf        	inf  	0.0999297	nan        	32.9382	68 	1  	13.6139 
56 	2.05982 	inf        	inf  	0.0999297	nan        	33.5938	68 	3  	13.5626 
57 	2.1238  	inf        	inf  	0.0999297	nan        	34.0642	67 	2  	13.8311 
58 	2.30653 	inf        	inf  	0.0772921	nan        	35.9889	68 	1  	13.2703 
59 	2.3534  	inf        	inf  	0.0727987	nan        	36.7056	67 	2  	12.5192 
