   	         	                      fitness                      	              size              
   	         	---------------------------------------------------	--------------------------------
gen	time     	avg        	max  	min        	std        	avg    	max	min	std     
0  	0.0644186	inf        	inf  	0.0201878  	nan        	1.51495	4  	1  	0.644895
1  	0.0661323	inf        	inf  	0.0201878  	nan        	1.61589	4  	1  	0.712806
2  	0.0657387	inf        	inf  	0.0201878  	nan        	1.58416	5  	1  	0.786864
3  	0.0665026	inf        	inf  	0.0201878  	nan        	1.66447	6  	1  	0.842491
4  	0.0672543	inf        	inf  	0.0201878  	nan        	1.70492	7  	1  	0.915159
5  	0.067071 	inf        	inf  	0.0201878  	nan        	1.80719	7  	1  	0.972874
6  	0.0696704	inf        	inf  	0.0201878  	nan        	1.90228	7  	1  	0.996849
7  	0.069051 	inf        	inf  	0.0201878  	nan        	1.83766	6  	1  	0.904324
8  	0.0701756	inf        	inf  	0.0201878  	nan        	1.85437	5  	1  	0.921597
9  	0.07042  	inf        	inf  	0.0201878  	nan        	1.81613	6  	1  	1.01683 
10 	0.071475 	inf        	inf  	0.0201878  	nan        	1.88103	7  	1  	1.10042 
11 	0.0691931	inf        	inf  	0.0201878  	nan        	1.80449	8  	1  	1.11095 
12 	0.0726011	inf        	inf  	0.0201878  	nan        	1.8722 	8  	1  	1.14296 
13 	0.0710413	inf        	inf  	0.0201878  	nan        	1.84713	8  	1  	1.14917 
14 	0.0737391	inf        	inf  	0.0201878  	nan        	2.00635	8  	1  	1.302   
15 	0.0747142	inf        	inf  	0.00359596 	nan        	2.03481	6  	1  	1.21517 
16 	0.0753472	inf        	inf  	0.00359596 	nan        	2.16404	8  	1  	1.35203 
17 	0.0807369	inf        	inf  	0.00359596 	nan        	2.53774	7  	1  	1.55512 
18 	0.0821998	inf        	inf  	0.00359596 	nan        	2.54859	8  	1  	1.51585 
19 	0.0853431	inf        	inf  	0.00359596 	nan        	2.78125	9  	1  	1.69437 
20 	0.0892062	inf        	inf  	0.00359596 	nan        	3.13084	10 	1  	1.94672 
21 	0.0945346	inf        	inf  	0.00359596 	nan        	3.41925	10 	1  	2.01115 
22 	0.0961063	inf        	inf  	0.00359596 	nan        	3.64706	9  	1  	1.90629 
23 	0.100967 	inf        	inf  	0.00359596 	nan        	3.91358	8  	1  	1.75996 
24 	0.108363 	inf        	inf  	0.00359596 	nan        	4.40615	8  	1  	1.71364 
25 	0.116268 	inf        	inf  	0.00109979 	nan        	4.69325	10 	1  	1.74908 
26 	0.115141 	inf        	inf  	0.00109979 	nan        	4.82875	10 	1  	1.83277 
27 	0.117498 	inf        	inf  	0.00109979 	nan        	5.04573	10 	1  	1.96797 
28 	0.121909 	inf        	inf  	0.0010336  	nan        	5.23708	10 	1  	2.0932  
29 	0.127377 	inf        	inf  	0.0010336  	nan        	5.45758	10 	2  	2.03001 
30 	0.129866 	inf        	inf  	0.00103288 	nan        	5.72508	10 	1  	2.16117 
31 	0.134284 	inf        	inf  	0.00103288 	nan        	6.05422	10 	2  	2.12488 
32 	0.140439 	inf        	inf  	0.00103288 	nan        	6.22222	10 	1  	2.2135  
33 	0.141748 	inf        	inf  	0.00103288 	nan        	6.38024	10 	1  	2.23654 
34 	0.149433 	inf        	inf  	0.00103288 	nan        	6.77313	10 	1  	2.42669 
35 	0.158811 	inf        	inf  	0.00103288 	nan        	7.13095	10 	2  	2.3993  
36 	0.161438 	7.71513e+28	1e+30	0.00103288 	2.66831e+29	7.39763	10 	1  	2.30257 
37 	0.168587 	6.21302e+28	1e+30	0.00103288 	2.41392e+29	7.7929 	10 	2  	2.28677 
38 	0.167716 	inf        	inf  	0.00103288 	nan        	7.66667	10 	1  	2.40779 
39 	0.172063 	6.47059e+28	1e+30	0.00049589 	2.46006e+29	7.85882	10 	1  	2.42124 
40 	0.178319 	inf        	inf  	0.00049589 	nan        	8.1261 	10 	1  	2.39842 
41 	0.183671 	inf        	inf  	0.00049589 	nan        	8.38012	10 	2  	2.17413 
42 	0.187748 	inf        	inf  	0.00049589 	nan        	8.60933	10 	2  	2.02582 
43 	0.196017 	inf        	inf  	0.00049589 	nan        	8.75872	10 	2  	1.9477  
44 	0.195937 	inf        	inf  	0.00049589 	nan        	8.75072	10 	1  	1.95497 
45 	0.193153 	6.06936e+28	1e+30	0.00049589 	2.38768e+29	8.48266	10 	1  	2.09624 
46 	0.193765 	inf        	inf  	0.00049589 	nan        	8.59942	10 	1  	1.8622  
47 	0.195556 	inf        	inf  	0.00049589 	nan        	8.52011	10 	2  	1.80903 
48 	0.197234 	inf        	inf  	0.00049589 	nan        	8.48711	10 	2  	1.80511 
49 	0.197497 	inf        	inf  	0.000327986	nan        	8.36857	10 	2  	1.76753 
50 	0.197108 	inf        	inf  	0.000327986	nan        	8.35328	10 	1  	1.78646 
51 	0.195632 	inf        	inf  	0.000327986	nan        	8.32102	10 	1  	1.80019 
52 	0.187987 	inf        	inf  	0.000327986	nan        	8.31728	10 	2  	1.91643 
53 	0.191435 	inf        	inf  	0.000327986	nan        	8.24576	10 	1  	1.99124 
54 	0.192196 	inf        	inf  	8.49459e-05	nan        	8.49296	10 	2  	1.88898 
55 	0.192915 	3.65169e+28	1e+30	0.000327986	1.87572e+29	8.36798	10 	1  	2.1192  
56 	0.198146 	inf        	inf  	0.000327986	nan        	8.4986 	10 	2  	1.93106 
57 	0.200955 	inf        	inf  	0.00021034 	nan        	8.36034	10 	1  	2.03085 
58 	0.201143 	inf        	inf  	0.00021034 	nan        	8.38719	10 	1  	2.04489 
59 	0.201428 	inf        	inf  	0.000186769	nan        	8.42222	10 	1  	2.20216 
60 	0.201616 	inf        	inf  	0.000117357	nan        	8.59557	10 	1  	2.0499  
61 	0.205632 	inf        	inf  	0.000117357	nan        	8.90884	10 	1  	1.75423 
62 	0.21077  	inf        	inf  	0.000103702	nan        	9.04959	10 	1  	1.8386  
63 	0.205525 	inf        	inf  	7.46751e-05	nan        	8.85165	10 	1  	2.16363 
64 	0.20548  	inf        	inf  	7.46751e-05	nan        	9.03836	10 	1  	2.0336  
65 	0.208976 	inf        	inf  	7.46751e-05	nan        	9.24863	10 	1  	1.84833 
66 	0.208999 	inf        	inf  	7.46751e-05	nan        	9.06267	10 	2  	1.93319 
67 	0.212837 	inf        	inf  	7.46751e-05	nan        	8.94022	10 	1  	2.05143 
68 	0.218317 	inf        	inf  	7.46751e-05	nan        	9.13279	10 	2  	1.88166 
69 	0.221473 	inf        	inf  	7.46751e-05	nan        	9.15676	10 	1  	1.78046 
70 	0.223638 	inf        	inf  	7.01213e-05	nan        	9.04582	10 	1  	1.88355 
71 	0.234946 	inf        	inf  	3.21726e-05	nan        	9.23387	10 	1  	1.71697 
72 	0.238093 	inf        	inf  	3.21726e-05	nan        	9.20643	10 	2  	1.78248 
73 	0.239359 	inf        	inf  	3.21726e-05	nan        	9.11765	10 	1  	1.94223 
74 	0.245645 	inf        	inf  	3.21726e-05	nan        	9.296  	10 	1  	1.60179 
75 	0.255119 	inf        	inf  	3.21726e-05	nan        	9.49202	10 	1  	1.33486 
76 	0.254481 	inf        	inf  	3.21726e-05	nan        	9.55703	10 	2  	1.0365  
77 	0.254507 	inf        	inf  	3.21726e-05	nan        	9.45503	10 	2  	1.46542 
78 	0.251296 	inf        	inf  	2.81897e-05	nan        	9.37995	10 	1  	1.52316 
79 	0.258478 	inf        	inf  	2.93949e-05	nan        	9.48684	10 	2  	1.39825 
80 	0.265752 	inf        	inf  	2.93949e-05	nan        	9.5643 	10 	2  	1.20984 
81 	0.263608 	inf        	inf  	2.93949e-05	nan        	9.42147	10 	2  	1.48566 
82 	0.271721 	inf        	inf  	2.93949e-05	nan        	9.54308	10 	2  	1.32759 
83 	0.280416 	inf        	inf  	2.93949e-05	nan        	9.71094	10 	2  	0.879326
84 	0.275238 	inf        	inf  	2.93949e-05	nan        	9.57922	10 	2  	1.22933 
85 	0.278783 	inf        	inf  	2.62912e-05	nan        	9.53886	10 	1  	1.33498 
86 	0.280321 	inf        	inf  	2.62912e-05	nan        	9.5969 	10 	1  	1.05546 
87 	0.280367 	inf        	inf  	2.62912e-05	nan        	9.46134	10 	2  	1.40362 
88 	0.284446 	inf        	inf  	2.62912e-05	nan        	9.55784	10 	2  	1.16499 
89 	0.286178 	inf        	inf  	2.62912e-05	nan        	9.58205	10 	2  	1.04375 
90 	0.284855 	inf        	inf  	2.62912e-05	nan        	9.3734 	10 	1  	1.50658 
91 	0.290053 	inf        	inf  	1.80033e-05	nan        	9.52296	10 	2  	1.24724 
92 	0.291129 	inf        	inf  	1.80033e-05	nan        	9.52926	10 	2  	1.1786  
93 	0.288247 	inf        	inf  	1.80033e-05	nan        	9.46193	10 	2  	1.38697 
94 	0.290124 	inf        	inf  	1.80033e-05	nan        	9.48101	10 	1  	1.32226 
95 	0.293238 	inf        	inf  	1.80033e-05	nan        	9.52525	10 	1  	1.29173 
96 	0.29449  	inf        	inf  	1.80033e-05	nan        	9.6272 	10 	2  	1.15196 
97 	0.293121 	inf        	inf  	1.80033e-05	nan        	9.44472	10 	2  	1.60267 
98 	0.298953 	inf        	inf  	1.80033e-05	nan        	9.54637	10 	2  	1.287   
99 	0.299818 	inf        	inf  	1.80033e-05	nan        	9.64   	10 	2  	1.11373 
100	0.298626 	inf        	inf  	1.80033e-05	nan        	9.62594	10 	2  	1.21081 
101	0.301925 	inf        	inf  	1.80033e-05	nan        	9.60448	10 	1  	1.26581 
102	0.29878  	inf        	inf  	1.80033e-05	nan        	9.4938 	10 	1  	1.36305 
103	0.300826 	inf        	inf  	1.80033e-05	nan        	9.57426	10 	2  	1.11778 
104	0.297323 	inf        	inf  	1.80033e-05	nan        	9.48642	10 	1  	1.34731 
105	0.300341 	inf        	inf  	1.80033e-05	nan        	9.45074	10 	2  	1.34321 
106	0.301317 	inf        	inf  	1.80033e-05	nan        	9.5258 	10 	1  	1.3351  
107	0.3074   	inf        	inf  	1.80033e-05	nan        	9.54657	10 	1  	1.34776 
108	0.302578 	inf        	inf  	1.80033e-05	nan        	9.57213	10 	2  	1.19301 
109	0.313509 	inf        	inf  	1.80033e-05	nan        	9.60488	10 	2  	1.1455  
110	0.311285 	inf        	inf  	1.80033e-05	nan        	9.65207	10 	1  	1.04782 
111	0.31187  	inf        	inf  	1.80033e-05	nan        	9.62864	10 	2  	1.21897 
112	0.313262 	inf        	inf  	1.80033e-05	nan        	9.68765	10 	1  	1.10984 
113	0.315448 	inf        	inf  	1.80033e-05	nan        	9.67633	10 	2  	1.12999 
114	0.316105 	inf        	inf  	1.80033e-05	nan        	9.64096	10 	1  	1.16939 
115	0.319623 	inf        	inf  	1.80033e-05	nan        	9.73558	10 	1  	0.9569  
116	0.321844 	inf        	inf  	1.80033e-05	nan        	9.70264	10 	1  	0.92543 
117	0.323049 	inf        	inf  	1.80033e-05	nan        	9.69856	10 	1  	1.07385 
118	0.320905 	inf        	inf  	1.80033e-05	nan        	9.68496	10 	2  	1.14406 
119	0.323816 	inf        	inf  	1.80033e-05	nan        	9.66905	10 	2  	1.26773 
120	0.32461  	inf        	inf  	1.80033e-05	nan        	9.68646	10 	2  	1.20432 
121	0.320123 	inf        	inf  	1.80033e-05	nan        	9.51896	10 	2  	1.46794 
122	0.321072 	inf        	inf  	1.80033e-05	nan        	9.61466	10 	1  	1.35286 
123	0.32451  	inf        	inf  	1.80033e-05	nan        	9.56604	10 	1  	1.46512 
124	0.324488 	inf        	inf  	1.80033e-05	nan        	9.58353	10 	1  	1.45948 
125	0.323807 	inf        	inf  	1.80033e-05	nan        	9.72535	10 	2  	1.06465 
126	0.329829 	inf        	inf  	1.80033e-05	nan        	9.7541 	10 	2  	0.966876
127	0.327643 	inf        	inf  	1.80033e-05	nan        	9.70561	10 	1  	1.161   
128	0.324614 	inf        	inf  	1.80033e-05	nan        	9.72727	10 	2  	1.13134 
129	0.328475 	inf        	inf  	1.80033e-05	nan        	9.61163	10 	1  	1.36581 
130	0.324897 	inf        	inf  	1.80033e-05	nan        	9.67749	10 	2  	1.11743 
131	0.32442  	inf        	inf  	1.80033e-05	nan        	9.58796	10 	2  	1.28079 
132	0.326748 	inf        	inf  	1.80033e-05	nan        	9.72517	10 	2  	1.0288  
133	0.325767 	inf        	inf  	1.80033e-05	nan        	9.58525	10 	1  	1.47275 
134	0.327219 	inf        	inf  	1.80033e-05	nan        	9.58851	10 	1  	1.38742 
135	0.32618  	inf        	inf  	1.80033e-05	nan        	9.59633	10 	1  	1.43271 
136	0.333782 	inf        	inf  	1.80033e-05	nan        	9.67048	10 	1  	1.16838 
137	0.333031 	inf        	inf  	1.80033e-05	nan        	9.63699	10 	2  	1.19672 
138	0.320602 	inf        	inf  	1.80033e-05	nan        	9.46697	10 	2  	1.43601 
139	0.324553 	inf        	inf  	1.80033e-05	nan        	9.43182	10 	1  	1.59256 
140	0.330659 	inf        	inf  	1.80033e-05	nan        	9.56236	10 	2  	1.37728 
141	0.329532 	inf        	inf  	1.80033e-05	nan        	9.52262	10 	2  	1.50735 
142	0.361175 	inf        	inf  	1.80033e-05	nan        	9.5553 	10 	2  	1.52732 
143	0.338126 	inf        	inf  	1.80033e-05	nan        	9.6509 	10 	1  	1.32108 
