   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max  	min        	std        	avg    	max	min	std     
0  	0.279496	inf        	inf  	0.0214884  	nan        	1.50831	4  	1  	0.645015
1  	0.294588	inf        	inf  	0.0214884  	nan        	1.61258	4  	1  	0.717963
2  	0.295651	inf        	inf  	0.0214884  	nan        	1.59406	5  	1  	0.789931
3  	0.302806	inf        	inf  	0.0214884  	nan        	1.67105	5  	1  	0.856679
4  	0.307101	inf        	inf  	0.0214884  	nan        	1.65902	5  	1  	0.880644
5  	0.30756 	inf        	inf  	0.0214884  	nan        	1.65359	5  	1  	0.834863
6  	0.309365	inf        	inf  	0.0214884  	nan        	1.65472	5  	1  	0.890413
7  	0.310077	inf        	inf  	0.0214884  	nan        	1.67208	5  	1  	0.889841
8  	0.314884	inf        	inf  	0.0214884  	nan        	1.68932	5  	1  	0.888937
9  	0.319386	inf        	inf  	0.0214884  	nan        	1.75161	5  	1  	0.966994
10 	0.320609	inf        	inf  	0.0214884  	nan        	1.76206	5  	1  	0.928977
11 	0.32015 	inf        	inf  	0.0214884  	nan        	1.71474	5  	1  	0.936463
12 	0.32824 	inf        	inf  	0.0144308  	nan        	1.78594	5  	1  	1.0371  
13 	0.342152	inf        	inf  	0.0144308  	nan        	2.03822	8  	1  	1.28631 
14 	0.343711	inf        	inf  	0.00384487 	nan        	2.13333	8  	1  	1.32186 
15 	0.354722	inf        	inf  	0.00384487 	nan        	2.28481	8  	1  	1.49299 
16 	0.360238	inf        	inf  	0.00384487 	nan        	2.46057	9  	1  	1.69501 
17 	0.352295	inf        	inf  	0.00384487 	nan        	2.24528	9  	1  	1.39729 
18 	0.342686	inf        	inf  	0.00384487 	nan        	2.05956	6  	1  	1.27659 
19 	0.352404	inf        	inf  	0.00384487 	nan        	2.04688	6  	1  	1.21488 
20 	0.348292	inf        	inf  	0.00384487 	nan        	2.09034	7  	1  	1.30226 
21 	0.363593	inf        	inf  	0.00338266 	nan        	2.3882 	7  	1  	1.45157 
22 	0.390406	inf        	inf  	0.00338266 	nan        	2.71827	8  	1  	1.75192 
23 	0.415709	inf        	inf  	0.00338266 	nan        	3.14198	9  	1  	1.99959 
24 	0.427201	inf        	inf  	0.00338266 	nan        	3.35385	10 	1  	2.09931 
25 	0.467237	inf        	inf  	0.00204093 	nan        	3.90184	13 	1  	2.46998 
26 	0.491704	inf        	inf  	0.00133282 	nan        	4.47401	12 	1  	2.36017 
27 	0.544482	inf        	inf  	0.00133282 	nan        	5.37195	12 	1  	2.38684 
28 	0.573753	inf        	inf  	0.00133282 	nan        	5.8845 	13 	1  	2.4923  
29 	0.58451 	inf        	inf  	0.0011321  	nan        	6.08485	15 	1  	2.8293  
30 	0.603108	inf        	inf  	0.0011321  	nan        	6.1994 	16 	1  	2.9726  
31 	0.617351	inf        	inf  	0.0011321  	nan        	6.45783	17 	1  	3.0401  
32 	0.641819	inf        	inf  	0.0011321  	nan        	6.92492	17 	1  	3.20713 
