   	         	                      fitness                      	               size              
   	         	---------------------------------------------------	---------------------------------
gen	time     	avg        	max    	min        	std        	avg    	max	min	std      
0  	0.0604081	inf        	inf    	0.00139175 	nan        	1.62458	4  	1  	0.711972 
1  	0.0603755	inf        	inf    	0.00139175 	nan        	1.63576	4  	1  	0.73226  
2  	0.0613377	inf        	inf    	0.00139175 	nan        	1.73597	5  	1  	0.865316 
3  	0.0630176	inf        	inf    	0.00139175 	nan        	1.79276	5  	1  	0.903109 
4  	0.0623341	3.27869e+57	1e+60  	0.00139175 	5.71659e+58	1.73115	5  	1  	0.901645 
5  	0.0620103	inf        	inf    	0.00139175 	nan        	1.69608	5  	1  	0.908808 
6  	0.063308 	inf        	inf    	0.00139175 	nan        	1.73616	5  	1  	0.93716  
7  	0.063379 	3.24675e+57	5e+59  	0.00139175 	4.01601e+58	1.74351	5  	1  	0.954717 
8  	0.0631044	inf        	inf    	0.00139175 	nan        	1.74434	5  	1  	0.973438 
9  	0.0647621	inf        	inf    	0.00139175 	nan        	1.90323	5  	1  	1.1      
10 	0.0665717	inf        	inf    	0.00139175 	nan        	2.05145	5  	1  	1.11865  
11 	0.0667965	inf        	inf    	0.00139175 	nan        	2.1859 	5  	1  	1.29746  
12 	0.0702393	inf        	inf    	0.00139175 	nan        	2.50799	5  	1  	1.3917   
13 	0.0734723	inf        	inf    	0.00139175 	nan        	2.82166	5  	1  	1.39153  
14 	0.0781007	inf        	inf    	0.00139175 	nan        	3.20317	5  	1  	1.43538  
15 	0.079638 	inf        	inf    	0.00139175 	nan        	3.52848	5  	1  	1.33921  
16 	0.0825193	inf        	inf    	0.00139175 	nan        	3.63722	5  	1  	1.28235  
17 	0.0820124	1.25786e+58	1e+60  	0.00139175 	1.11447e+59	3.65409	5  	1  	1.31507  
18 	0.0844579	inf        	inf    	0.00139175 	nan        	3.76176	5  	1  	1.26923  
19 	0.0847142	4.6875e+57 	1e+60  	0.00139175 	6.2324e+58 	3.90313	5  	1  	1.22219  
20 	0.0869963	inf        	inf    	0.00139175 	nan        	3.89097	5  	1  	1.24703  
21 	0.087214 	inf        	inf    	0.00139175 	nan        	3.97516	5  	1  	1.22829  
22 	0.0881805	inf        	inf    	0.00139175 	nan        	3.95356	5  	1  	1.19636  
23 	0.0878284	inf        	inf    	0.00139175 	nan        	3.98765	5  	1  	1.21963  
24 	0.0932066	inf        	inf    	0.00139175 	nan        	4.02154	5  	1  	1.21636  
25 	0.0893013	7.77826e+57	1e+60  	0.00139175 	8.33955e+58	4.02147	5  	1  	1.2018   
26 	0.0911071	1.07034e+58	1e+60  	0.00139175 	9.91175e+58	4.10092	5  	1  	1.16218  
27 	0.0900326	inf        	inf    	0.00139175 	nan        	4.10671	5  	1  	1.1833   
28 	0.0911055	6.07903e+57	1e+60  	0.00139175 	7.77308e+58	4.05167	5  	1  	1.20299  
29 	0.0913556	inf        	inf    	0.00139175 	nan        	4.15455	5  	1  	1.13501  
30 	0.0933764	7.55287e+56	2.5e+59	0.00139175 	1.37205e+58	4.22054	5  	1  	1.09779  
31 	0.0931177	inf        	inf    	0.00139175 	nan        	4.21988	5  	1  	1.12869  
32 	0.0925975	inf        	inf    	0.00139175 	nan        	4.05405	5  	1  	1.19938  
33 	0.0922623	inf        	inf    	0.00139175 	nan        	4.18263	5  	1  	1.12386  
34 	0.0932162	inf        	inf    	0.00139175 	nan        	4.17612	5  	1  	1.11249  
35 	0.0937052	2.97619e+57	1e+60  	0.00139175 	5.44732e+58	4.14286	5  	1  	1.14842  
36 	0.094135 	inf        	inf    	0.00139175 	nan        	4.17804	5  	1  	1.13394  
37 	0.094456 	inf        	inf    	0.00139175 	nan        	4.22781	5  	1  	1.15827  
38 	0.0957775	inf        	inf    	0.00139175 	nan        	4.22714	5  	1  	1.15663  
39 	0.0964315	inf        	inf    	0.00139175 	nan        	4.26471	5  	1  	1.08218  
40 	0.0976567	inf        	inf    	0.00139175 	nan        	4.23167	5  	1  	1.09745  
41 	0.097302 	inf        	inf    	0.00139175 	nan        	4.30994	5  	1  	1.05291  
42 	0.0971322	1.52904    	31.0554	0.00139175 	4.30462    	4.30321	5  	1  	1.09394  
43 	0.0989232	inf        	inf    	0.00139175 	nan        	4.3343 	5  	1  	1.06279  
44 	0.0983639	inf        	inf    	0.00139175 	nan        	4.35652	5  	1  	1.0372   
45 	0.0974002	inf        	inf    	0.00139175 	nan        	4.30347	5  	1  	1.12401  
46 	0.0977664	inf        	inf    	0.00139175 	nan        	4.29107	5  	1  	1.12042  
47 	0.0976872	inf        	inf    	0.00139175 	nan        	4.26437	5  	1  	1.10339  
48 	0.0985451	inf        	inf    	0.00139175 	nan        	4.32092	5  	2  	1.06259  
49 	0.0992892	inf        	inf    	0.00139175 	nan        	4.32   	5  	2  	1.0878   
50 	0.0988894	inf        	inf    	0.00139175 	nan        	4.22507	5  	1  	1.15127  
51 	0.0992112	inf        	inf    	0.00139175 	nan        	4.1733 	5  	1  	1.20183  
52 	0.0998869	inf        	inf    	0.00139175 	nan        	4.24929	5  	1  	1.12663  
53 	0.101879 	inf        	inf    	0.00139175 	nan        	4.34746	5  	1  	1.06334  
54 	0.101437 	inf        	inf    	0.00139175 	nan        	4.33521	5  	1  	1.06296  
