   	        	              fitness              	               size              
   	        	-----------------------------------	---------------------------------
gen	time    	avg	max	min        	std	avg    	max	min	std      
0  	0.516088	inf	inf	0.0217026  	nan	1.50831	4  	1  	0.645015 
1  	0.543729	inf	inf	0.0217026  	nan	1.61258	4  	1  	0.717963 
2  	0.547429	inf	inf	0.0217026  	nan	1.59406	5  	1  	0.789931 
3  	0.562104	inf	inf	0.0217026  	nan	1.67105	5  	1  	0.856679 
4  	0.570521	inf	inf	0.0217026  	nan	1.65902	5  	1  	0.880644 
5  	0.570358	inf	inf	0.0217026  	nan	1.65359	5  	1  	0.834863 
6  	0.572832	inf	inf	0.0217026  	nan	1.65472	5  	1  	0.890413 
7  	0.577092	inf	inf	0.0217026  	nan	1.67208	5  	1  	0.889841 
8  	0.581137	inf	inf	0.0217026  	nan	1.68932	5  	1  	0.888937 
9  	0.597468	inf	inf	0.0217026  	nan	1.75161	5  	1  	0.966994 
10 	0.593794	inf	inf	0.0217026  	nan	1.76206	5  	1  	0.928977 
11 	0.593395	inf	inf	0.0217026  	nan	1.71474	5  	1  	0.936463 
12 	0.610735	inf	inf	0.0144356  	nan	1.78594	5  	1  	1.0371   
13 	0.634071	inf	inf	0.0144356  	nan	1.98089	5  	1  	1.13974  
14 	0.659927	inf	inf	0.0144356  	nan	2.17778	5  	1  	1.18462  
15 	0.674422	inf	inf	0.0144356  	nan	2.33228	5  	1  	1.23004  
16 	0.680515	inf	inf	0.0144356  	nan	2.39432	5  	1  	1.19899  
17 	0.706715	inf	inf	0.00377206 	nan	2.52201	5  	1  	1.36597  
18 	0.748076	inf	inf	0.00377206 	nan	2.66144	5  	1  	1.42023  
19 	0.749403	inf	inf	0.00377206 	nan	2.89375	5  	1  	1.45171  
20 	0.763065	inf	inf	0.00377206 	nan	3.02492	5  	1  	1.50368  
21 	0.808596	inf	inf	0.00377206 	nan	3.34161	5  	1  	1.41906  
22 	0.835697	inf	inf	0.00377206 	nan	3.60681	5  	1  	1.39777  
23 	0.864065	inf	inf	0.00377206 	nan	3.76235	5  	1  	1.38633  
24 	0.894441	inf	inf	0.00205918 	nan	4.06769	5  	1  	1.2484   
25 	0.902149	inf	inf	0.00140361 	nan	4.07055	5  	1  	1.28629  
26 	0.915742	inf	inf	0.00140361 	nan	4.11927	5  	1  	1.24437  
27 	0.940977	inf	inf	0.00140361 	nan	4.2561 	5  	1  	1.15094  
28 	0.89891 	inf	inf	0.00140361 	nan	4.12766	5  	1  	1.14409  
29 	0.91216 	inf	inf	0.00140361 	nan	4.18788	5  	1  	1.12862  
30 	0.917832	inf	inf	0.00131322 	nan	4.1994 	5  	1  	1.17224  
31 	0.894543	inf	inf	0.00131322 	nan	4.09639	5  	1  	1.21848  
32 	0.938989	inf	inf	0.00131322 	nan	4.14715	5  	1  	1.19532  
33 	0.930276	inf	inf	0.00131322 	nan	4.19461	5  	1  	1.11649  
34 	0.927009	inf	inf	0.00131322 	nan	4.2209 	5  	1  	1.17391  
35 	0.917236	inf	inf	0.00131322 	nan	4.22321	5  	1  	1.2104   
36 	0.913679	inf	inf	0.00131322 	nan	4.23145	5  	1  	1.20821  
37 	0.942928	inf	inf	0.00131322 	nan	4.24852	5  	1  	1.18562  
38 	0.964641	inf	inf	0.00131322 	nan	4.34218	5  	1  	1.13448  
39 	0.971428	inf	inf	0.00131322 	nan	4.31176	5  	1  	1.1127   
40 	0.978854	inf	inf	0.00131322 	nan	4.34311	5  	1  	1.13703  
41 	0.969949	inf	inf	0.00131322 	nan	4.29825	5  	1  	1.21585  
42 	0.977148	inf	inf	0.0013047  	nan	4.37318	5  	1  	1.11475  
