   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max  	min        	std        	avg    	max	min	std     
0  	0.542018	inf        	inf  	0.0071287  	nan        	1.59468	4  	1  	0.721183
1  	0.556351	inf        	inf  	0.0071287  	nan        	1.59603	4  	1  	0.692235
2  	0.555325	inf        	inf  	0.0071287  	nan        	1.58416	4  	1  	0.697955
3  	0.563493	inf        	inf  	0.0071287  	nan        	1.53618	4  	1  	0.70618 
4  	0.580444	5.2459e+28 	1e+30	0.0071287  	2.22951e+29	1.62295	4  	1  	0.676634
5  	0.610572	inf        	inf  	0.0071287  	nan        	1.69281	4  	1  	0.752174
6  	0.6094  	inf        	inf  	0.0071287  	nan        	1.84691	5  	1  	0.883811
7  	0.626517	inf        	inf  	0.0071287  	nan        	1.90584	5  	1  	0.88323 
8  	0.630013	inf        	inf  	0.0071287  	nan        	1.90939	5  	1  	0.876634
9  	0.625612	inf        	inf  	0.0071287  	nan        	1.88387	5  	1  	0.861018
10 	0.647408	inf        	inf  	0.0014643  	nan        	2.06109	5  	1  	1.02358 
11 	0.655472	inf        	inf  	0.0014643  	nan        	2.13141	5  	1  	1.07955 
12 	0.661526	inf        	inf  	0.0014643  	nan        	2.17891	5  	1  	1.08722 
13 	0.678904	inf        	inf  	0.0014643  	nan        	2.29618	5  	1  	1.11369 
14 	0.710287	inf        	inf  	0.0014643  	nan        	2.51429	5  	1  	1.1446  
15 	0.734728	inf        	inf  	0.00135984 	nan        	2.60759	5  	1  	1.09276 
16 	0.727305	inf        	inf  	0.00135984 	nan        	2.65615	5  	1  	1.04402 
17 	0.729449	inf        	inf  	0.00135984 	nan        	2.64151	5  	1  	1.05379 
18 	0.74567 	inf        	inf  	0.00135984 	nan        	2.75235	5  	1  	1.11899 
19 	0.777336	inf        	inf  	0.00135984 	nan        	2.9625 	5  	1  	1.13681 
20 	0.805813	inf        	inf  	0.00135984 	nan        	3.15576	5  	1  	1.22565 
21 	0.816653	inf        	inf  	0.00135984 	nan        	3.31366	5  	1  	1.14387 
22 	0.829234	inf        	inf  	0.00135984 	nan        	3.50155	5  	1  	1.18132 
23 	0.834036	inf        	inf  	0.00135984 	nan        	3.58025	5  	1  	1.19272 
24 	0.854784	inf        	inf  	0.00135984 	nan        	3.67692	5  	1  	1.19367 
25 	0.866327	inf        	inf  	0.00130293 	nan        	3.80368	5  	1  	1.17676 
26 	0.891298	inf        	inf  	0.00130293 	nan        	3.92355	5  	1  	1.10197 
27 	0.872422	inf        	inf  	0.00130293 	nan        	3.84451	5  	1  	1.15435 
28 	0.891632	inf        	inf  	0.00130293 	nan        	3.93921	5  	1  	1.1783  
29 	0.885547	inf        	inf  	0.00130293 	nan        	3.88485	5  	1  	1.18017 
30 	0.884477	inf        	inf  	0.00130293 	nan        	3.92145	5  	1  	1.23635 
31 	0.898666	inf        	inf  	0.00130293 	nan        	4.04217	5  	1  	1.23382 
32 	0.889119	inf        	inf  	0.00130293 	nan        	3.95495	5  	1  	1.21097 
33 	0.896215	inf        	inf  	0.00130293 	nan        	4.06287	5  	1  	1.15255 
34 	0.901689	inf        	inf  	0.00130293 	nan        	4.0209 	5  	1  	1.25169 
35 	0.886672	inf        	inf  	0.00130293 	nan        	3.98512	5  	1  	1.30124 
36 	0.902933	inf        	inf  	0.00130293 	nan        	4.1276 	5  	1  	1.19781 
37 	0.898541	inf        	inf  	0.00130293 	nan        	4.13314	5  	1  	1.22234 
38 	0.912052	inf        	inf  	0.00130293 	nan        	4.18584	5  	1  	1.18905 
39 	0.908539	inf        	inf  	0.00130293 	nan        	4.10294	5  	1  	1.23121 
40 	0.911454	inf        	inf  	0.00130293 	nan        	4.15543	5  	1  	1.1923  
41 	0.925254	inf        	inf  	0.00130293 	nan        	4.26901	5  	1  	1.11509 
42 	0.922412	inf        	inf  	0.00130293 	nan        	4.29446	5  	1  	1.10295 
43 	0.918738	inf        	inf  	0.00130293 	nan        	4.21512	5  	1  	1.17394 
44 	0.918486	inf        	inf  	0.00130293 	nan        	4.13623	5  	1  	1.27472 
45 	0.926313	4.04624e+28	1e+30	0.000953625	1.97041e+29	4.25145	5  	1  	1.1914  
46 	0.91701 	inf        	inf  	0.000953625	nan        	4.23055	5  	1  	1.18292 
47 	0.912263	inf        	inf  	0.000953625	nan        	4.18103	5  	1  	1.22427 
48 	0.919188	inf        	inf  	0.000953625	nan        	4.19484	5  	1  	1.21918 
49 	0.922543	inf        	inf  	0.000953625	nan        	4.21714	5  	1  	1.24154 
50 	0.939071	inf        	inf  	0.000953625	nan        	4.20513	5  	1  	1.2645  
51 	0.940188	inf        	inf  	0.000953625	nan        	4.15625	5  	1  	1.33826 
52 	0.960748	inf        	inf  	0.000898235	nan        	4.31728	5  	1  	1.19781 
53 	0.963345	inf        	inf  	0.000898235	nan        	4.26554	5  	1  	1.22709 
