Inputs,"f(x,y)","f*(x,y)"
2.60869,0.508035,0.294233
4.59356,-0.992948,-0.399621
2.6983,0.428912,0.262907
2.48192,0.612855,0.338548
4.92954,-0.976515,-0.517069
1.52811,0.999089,0.671972
3.53973,-0.387706,-0.0312328
4.20315,-0.873116,-0.263144
5.34789,-0.804774,-0.663313
5.37174,-0.790391,-0.671649
1.0633,0.873966,0.653618
1.80048,0.973738,0.57676
0.750532,0.682028,0.631332
3.36177,-0.218406,0.0309772
0.536215,0.510886,0.616062
2.25052,0.777748,0.419441
2.22649,0.792627,0.427841
0.265963,0.262838,0.596806
3.23509,-0.0933604,0.0752625
2.7198,0.409396,0.255393
1.16914,0.920414,0.661158
3.00323,0.137923,0.156314
1.05564,0.870216,0.653071
0.366661,0.358501,0.603981
5.31295,-0.825017,-0.651099
2.90956,0.229958,0.189059
3.82759,-0.633445,-0.131859
4.10464,-0.820934,-0.228707
5.54268,-0.674662,-0.731404
0.874612,0.767295,0.640173
0.857579,0.756261,0.638959
3.08037,0.0611824,0.129347
5.22025,-0.873788,-0.618692
1.50023,0.997511,0.68172
2.44085,0.644782,0.352904
0.813309,0.726564,0.635805
1.84815,0.961785,0.560098
1.56544,0.999986,0.658924
5.48409,-0.716723,-0.710925
5.62811,-0.609222,-0.761267
4.6777,-0.999398,-0.429033
3.45935,-0.31244,-0.00313359
3.24751,-0.105719,0.0709207
0.501558,0.480792,0.613593
4.43518,-0.961823,-0.344254
5.72181,-0.532355,-0.794022
5.69294,-0.556563,-0.783932
5.48939,-0.713017,-0.712778
5.89814,-0.375604,-0.855663
5.95623,-0.321164,-0.875969
3.38915,-0.245041,0.0214058
0.863405,0.76006,0.639374
2.5426,0.563808,0.317336
0.931104,0.802279,0.644198
1.72709,0.98781,0.602415
5.6825,-0.565211,-0.780281
0.213061,0.211453,0.593037
3.85496,-0.654387,-0.141428
0.477827,0.459851,0.611902
0.154826,0.154208,0.588888
4.71097,-0.999999,-0.440662
1.72253,0.988511,0.604011
1.30359,0.964512,0.670738
5.11439,-0.92028,-0.581687
6.05009,-0.23099,-0.908781
0.308524,0.303653,0.599839
5.43721,-0.74862,-0.694535
1.98592,0.915067,0.511937
2.25479,0.775053,0.417946
0.802727,0.719254,0.635051
0.53108,0.506465,0.615696
5.92354,-0.351939,-0.864544
5.51138,-0.697433,-0.720462
0.122179,0.121876,0.586562
2.44068,0.644917,0.352966
3.56412,-0.410069,-0.0397579
4.24155,-0.891187,-0.276567
3.62811,-0.467551,-0.0621266
3.22156,-0.0798819,0.079992
0.391283,0.381375,0.605735
5.60069,-0.630731,-0.751684
0.483853,0.465194,0.612331
1.2669,0.954179,0.668124
6.19886,-0.0842259,-0.960787
0.127991,0.127642,0.586976
3.84414,-0.646165,-0.137645
5.56653,-0.656869,-0.739741
3.5751,-0.420055,-0.043595
2.13736,0.843752,0.458998
1.87885,0.952925,0.549364
4.31772,-0.923124,-0.303194
5.02763,-0.950723,-0.551357
0.337492,0.331122,0.601903
5.41349,-0.764133,-0.686244
1.68024,0.994017,0.618793
1.8127,0.970885,0.572491
3.32805,-0.185378,0.0427665
1.00139,0.84222,0.649206
2.99787,0.143227,0.158187
0.121248,0.120951,0.586495
3.72298,-0.549185,-0.0952906
6.09488,-0.187199,-0.924437
2.90287,0.236466,0.191398
4.41984,-0.957512,-0.338893
5.84916,-0.420524,-0.838543
1.81291,0.970834,0.572417
0.903295,0.785371,0.642217
2.46275,0.62789,0.345249
6.11026,-0.172063,-0.929816
2.22508,0.793487,0.428334
5.81026,-0.455494,-0.824943
0.0112011,0.0112008,0.578654
4.50741,-0.979066,-0.369506
3.55482,-0.401571,-0.0365075
5.96781,-0.310177,-0.880017
5.43092,-0.752772,-0.692338
4.39442,-0.949872,-0.330006
2.28169,0.75778,0.408544
5.08889,-0.929957,-0.572773
4.90939,-0.980658,-0.510025
1.07522,0.879697,0.654467
1.69265,0.992585,0.614454
3.90249,-0.689568,-0.15804
0.544898,0.518331,0.616681
1.49107,0.996823,0.684096
0.150399,0.149832,0.588572
2.42478,0.656988,0.358525
0.847702,0.749762,0.638256
3.04726,0.0941918,0.140922
4.80268,-0.995927,-0.472721
4.31536,-0.922213,-0.302368
5.9584,-0.319107,-0.876728
1.00527,0.844305,0.649482
4.73419,-0.999762,-0.44878
1.06883,0.876638,0.654011
3.88835,-0.679261,-0.153098
2.54422,0.562469,0.316769
1.11387,0.897412,0.65722
5.90206,-0.371968,-0.857033
5.31092,-0.826167,-0.650387
2.99004,0.150976,0.160926
0.546184,0.51943,0.616772
3.87864,-0.672106,-0.149705
5.93696,-0.339345,-0.869236
1.04156,0.863193,0.652068
3.54743,-0.394787,-0.0339226
1.72228,0.988548,0.604096
3.15952,-0.0179259,0.10168
2.7326,0.397682,0.250917
2.32536,0.728571,0.393278
