Inputs,"f(x,y)","f*(x,y)"
2.30619,0.74157,0.365294
2.32575,0.728302,0.357863
5.7254,-0.529312,-0.933334
2.22568,0.793118,0.39587
2.27776,0.760337,0.37609
2.24537,0.780974,0.388393
5.25764,-0.854995,-0.75568
0.975619,0.828049,0.645234
2.9744,0.166416,0.111504
3.65497,-0.491119,-0.146977
1.76288,0.981608,0.571643
3.03524,0.106157,0.0883985
4.30227,-0.917075,-0.392827
2.33638,0.720977,0.353826
2.80178,0.333312,0.177066
2.16046,0.831126,0.42064
3.05207,0.0893997,0.0820032
5.60158,-0.630042,-0.886307
3.31789,-0.175387,-0.0189555
5.52489,-0.687684,-0.857181
2.78279,0.351154,0.184278
0.011412,0.0114118,0.645234
2.19313,0.812519,0.408232
3.24053,-0.0987753,0.0104272
0.70208,0.645808,0.645234
0.53601,0.51071,0.645234
5.36557,-0.794154,-0.796671
0.776699,0.700929,0.645234
3.88916,-0.679855,-0.235924
5.31739,-0.822502,-0.778372
5.88281,-0.389766,-0.99312
1.46203,0.99409,0.645234
1.81932,0.969276,0.550206
3.81872,-0.626559,-0.209173
4.24327,-0.891967,-0.370417
0.400515,0.389893,0.645234
3.50313,-0.353713,-0.0893095
4.17655,-0.859842,-0.345078
3.22073,-0.0790558,0.0179466
1.92002,0.93964,0.511963
1.25178,0.949546,0.645234
2.94523,0.195103,0.122583
3.08883,0.0527339,0.0680414
4.54095,-0.985339,-0.483475
2.63093,0.48876,0.241957
2.35962,0.704683,0.345001
2.48582,0.609771,0.297068
5.17892,-0.893133,-0.725781
2.07142,0.877282,0.454458
6.23952,-0.0436515,-1.1286
0.989651,0.835835,0.645234
2.96223,0.178406,0.116128
4.08995,-0.812457,-0.312185
3.66229,-0.497487,-0.14976
5.1876,-0.889198,-0.729075
5.75556,-0.503484,-0.94479
3.97533,-0.74045,-0.268654
1.0192,0.851692,0.645234
6.25612,-0.0270656,-1.1349
4.73667,-0.999705,-0.557814
1.42165,0.988898,0.645234
0.657633,0.611245,0.645234
0.752672,0.683591,0.645234
1.27228,0.955774,0.645234
2.25717,0.77355,0.383911
2.84688,0.290461,0.159935
5.10219,-0.924986,-0.696637
4.07375,-0.802908,-0.306033
3.70167,-0.531255,-0.164717
4.4358,-0.961993,-0.443542
1.8552,0.95983,0.536581
3.01891,0.12237,0.094597
2.87917,0.259425,0.147674
4.78316,-0.997497,-0.575471
4.83492,-0.992503,-0.595128
5.24506,-0.861454,-0.7509
4.11635,-0.827567,-0.322214
0.120071,0.119783,0.645234
5.17801,-0.893542,-0.725436
5.68437,-0.563667,-0.917751
1.77192,0.979842,0.568208
0.478662,0.460592,0.645234
2.96504,0.175637,0.115059
1.58236,0.999933,0.640206
3.64649,-0.483717,-0.143758
1.92656,0.937382,0.509478
3.06013,0.08137,0.0789425
4.16933,-0.85613,-0.342333
3.71549,-0.542906,-0.169963
3.5622,-0.408317,-0.111746
0.10257,0.10239,0.645234
3.32763,-0.184963,-0.0226529
0.45644,0.440756,0.645234
0.270216,0.266939,0.645234
6.18523,-0.0977979,-1.10798
3.25537,-0.113529,0.00479186
1.30494,0.964868,0.645234
3.01133,0.129894,0.0974777
1.14458,0.910536,0.645234
0.484757,0.465993,0.645234
6.18545,-0.0975749,-1.10807
3.82257,-0.629555,-0.210635
0.688311,0.635233,0.645234
3.49562,-0.346676,-0.0864562
1.56261,0.999966,0.645207
6.27925,-0.00393928,-1.14369
4.87641,-0.986579,-0.610885
0.181697,0.180699,0.645234
4.01793,-0.768399,-0.284832
5.4043,-0.770025,-0.811382
2.0016,0.908629,0.480975
3.11332,0.0282651,0.0587401
1.40483,0.98626,0.645234
0.973612,0.826922,0.645234
4.89681,-0.983042,-0.618636
0.945318,0.810683,0.645234
4.81374,-0.994869,-0.587083
4.05461,-0.791352,-0.298763
3.89827,-0.686508,-0.239385
0.589268,0.555752,0.645234
4.50787,-0.979158,-0.470912
3.80018,-0.611999,-0.202129
3.63487,-0.473511,-0.139343
1.59439,0.999722,0.635638
0.397101,0.386746,0.645234
5.64004,-0.599714,-0.900916
1.45974,0.99384,0.645234
5.43275,-0.751568,-0.822185
5.32093,-0.820484,-0.779716
4.57524,-0.990609,-0.496499
4.5096,-0.97951,-0.471572
4.4883,-0.974996,-0.463479
1.98727,0.91452,0.486419
5.42703,-0.755328,-0.820013
1.04758,0.866218,0.645234
1.80738,0.972145,0.554742
5.64493,-0.595792,-0.902774
3.91996,-0.70212,-0.247624
0.981465,0.831313,0.645234
4.16404,-0.853386,-0.340326
2.26954,0.765649,0.379211
2.82045,0.315653,0.169976
4.71873,-0.99998,-0.551
6.23671,-0.0464633,-1.12753
5.81776,-0.448805,-0.968413
0.219204,0.217452,0.645234
1.40989,0.987083,0.645234
5.5228,-0.689199,-0.856388
0.133121,0.132728,0.645234
4.78182,-0.997591,-0.57496
