Inputs,"f(x,y)","f*(x,y)"
5.29058,-1.1941,-4.05382
3.50267,-2.83057,-1.49699
0.936285,1.24168,1.87444
1.41046,1.01299,1.2738
0.566695,1.86273,2.29532
4.57932,-1.00892,-3.03666
4.46252,-1.03205,-2.86963
4.0361,-1.28221,-2.25983
4.43853,-1.03871,-2.83533
1.83203,1.03512,0.739784
5.42712,-1.32403,-4.24908
1.15843,1.0915,1.59305
4.95053,-1.02904,-3.56752
2.92368,4.6256,-0.670335
0.493473,2.1111,2.37737
1.56916,1.0,1.07277
3.51809,-2.71986,-1.51903
4.5195,-1.0189,-2.95112
4.42482,-1.04282,-2.81572
0.696263,1.5592,2.15012
1.17546,1.08358,1.57147
5.98337,-3.38587,-5.04455
2.84793,3.45473,-0.565665
1.12947,1.10597,1.62973
4.72533,-1.00008,-3.24547
6.25922,-41.7374,-5.43905
4.22522,-1.13166,-2.53027
3.27749,-7.38121,-1.17496
1.67583,1.00554,0.937644
0.787001,1.41195,2.04844
1.31223,1.03438,1.39822
1.05834,1.14739,1.71983
0.286529,3.53826,4.83416
3.40251,-3.87644,-1.35374
4.79403,-1.00334,-3.34371
0.561708,1.87747,2.3009
5.48903,-1.40199,-4.33762
1.12708,1.10722,1.63276
2.0779,1.14397,0.427537
0.778691,1.4238,2.05775
1.51142,1.00177,1.14591
4.39332,-1.05315,-2.77067
0.480794,2.16224,2.39158
5.5632,-1.51659,-4.44369
2.2718,1.30857,0.179907
2.02503,1.11284,0.495003
1.66147,1.00412,0.955843
1.55778,1.00008,1.08719
3.00547,7.3693,-0.785954
0.946014,1.23291,1.86211
1.97898,1.08951,0.553645
3.41926,-3.64818,-1.37769
4.35028,-1.06935,-2.70912
1.14213,1.09948,1.61369
5.02686,-1.05157,-3.67668
1.72358,1.01179,0.877164
2.15862,1.2017,0.324459
5.69206,-1.79438,-4.62796
2.28757,1.32638,0.159771
0.793372,1.40307,2.04132
2.99012,6.62696,-0.763989
5.10101,-1.08058,-3.78272
3.83438,-1.56572,-1.97135
5.92565,-2.85742,-4.96201
0.881172,1.2962,1.94351
0.775234,1.42881,2.06162
2.83496,3.31295,-0.547747
1.06443,1.14349,1.71211
3.30394,-6.18664,-1.21279
2.655,2.13852,-0.309482
6.16522,-8.49696,-5.30462
2.42103,1.5156,-0.0106733
2.46713,1.60133,-0.0695422
3.50161,-2.8386,-1.49546
4.70198,-1.00005,-3.21208
0.677239,1.5958,2.17144
3.09618,22.0294,-0.915673
2.82195,3.18239,-0.529761
2.37256,1.43794,0.0512321
5.55782,-1.50737,-4.43599
1.52348,1.00112,1.13063
2.16882,1.21,0.311424
1.65904,1.00391,0.95892
1.61613,1.00103,1.01327
2.90687,4.29967,-0.647098
2.33602,1.38652,0.0979
2.13609,1.18423,0.353224
4.61378,-1.00488,-3.08595
5.01132,-1.04641,-3.65445
0.338775,3.00904,2.86901
0.363028,2.81605,2.56058
5.06851,-1.06694,-3.73624
4.04254,-1.27565,-2.26903
2.60135,1.94422,-0.240959
0.31993,3.17965,3.57783
1.31064,1.03482,1.40024
6.19873,-11.854,-5.35253
5.96843,-3.23019,-5.0232
6.1337,-6.71466,-5.25954
2.70794,2.3799,-0.377089
3.43485,-3.4594,-1.39998
1.26663,1.04811,1.45598
6.14413,-7.21465,-5.27446
0.101605,9.859,24.5369
3.75817,-1.72937,-1.86236
3.86913,-1.50369,-2.02104
3.14719,-178.798,-0.988611
2.64265,2.08987,-0.293703
0.456709,2.26759,2.41857
4.00943,-1.31073,-2.22168
0.926033,1.25118,1.88742
4.93612,-1.02556,-3.54692
3.97984,-1.34504,-2.17936
2.99831,7.00307,-0.775706
1.27945,1.04399,1.43974
3.38399,-4.16619,-1.32725
0.591635,1.79302,2.26737
5.69956,-1.8147,-4.63868
0.534771,1.96215,2.33109
2.15682,1.20027,0.326758
0.402338,2.55382,2.4795
3.27672,-7.42274,-1.17386
0.284908,3.55785,4.89515
1.15152,1.09483,1.6018
1.90012,1.05679,0.653536
1.58442,1.00009,1.05344
3.43923,-3.4099,-1.40626
2.17181,1.21247,0.307609
4.21522,-1.13774,-2.51597
1.71415,1.01036,0.889113
2.76012,2.68606,-0.444324
4.87149,-1.01279,-3.45449
5.2596,-1.17099,-4.00952
5.23341,-1.15299,-3.97205
2.61272,1.98191,-0.255475
3.31633,-5.75196,-1.2305
2.06685,1.13705,0.441636
0.673497,1.60328,2.17563
3.59025,-2.30543,-1.62223
4.31243,-1.08569,-2.65499
2.92555,4.66482,-0.672907
2.28031,1.31808,0.169042
2.46545,1.59798,-0.0673984
0.020749,48.1986,45.8635
0.473369,2.19353,2.3999
3.93974,-1.39652,-2.12202
4.65291,-1.00177,-3.1419
5.10094,-1.08055,-3.78262
3.95338,-1.37832,-2.14153
2.27692,1.31426,0.173375
