Inputs,"f(x,y)","f*(x,y)"
4.68203,-32.9404,13.1684
5.63166,1.25761,14.9363
5.80036,1.12907,15.2407
0.782058,1.40951,0.625709
5.56865,1.3238,14.8227
1.85942,-3.51328,0.72962
3.46591,-1.055,6.82256
6.1319,1.01155,15.8388
2.45602,-1.2919,0.973498
0.0360054,1.00065,0.576508
0.0404427,1.00082,0.576491
2.7035,-1.10429,1.78378
3.95332,-1.45298,10.1283
1.68121,-9.07553,0.706483
4.50929,-4.9578,12.7003
5.34925,1.6816,14.4268
1.59216,-46.8136,0.692231
5.44461,1.49584,14.5989
2.98631,-1.01218,3.53367
3.44488,-1.04782,6.67829
5.24099,1.98286,14.2315
5.27931,1.86207,14.3007
2.37462,-1.38886,0.927897
2.91133,-1.02711,3.02092
6.26385,1.00019,16.0768
5.7089,1.19107,15.0757
2.72327,-1.09437,1.87226
0.686493,1.29287,0.614764
4.31481,-2.58271,12.1137
4.2916,-2.44809,12.0362
4.55775,-6.49257,12.8316
2.43364,-1.31631,0.960963
0.267666,1.03692,0.575595
6.02933,1.03311,15.6537
4.90856,5.13039,13.6318
4.55836,-6.51793,12.8333
0.0910615,1.00416,0.576291
5.73723,1.17009,15.1268
6.17257,1.00615,15.9121
0.702726,1.31047,0.616623
0.442307,1.10648,0.586057
3.5436,-1.08663,7.35535
5.70375,1.19507,15.0664
3.77876,-1.24411,8.96811
0.180687,1.01655,0.575938
6.06279,1.02479,15.7141
0.105536,1.00559,0.576234
2.79727,-1.06236,2.28011
2.60024,-1.16684,1.32162
5.05623,2.96641,13.8982
2.8224,-1.0532,2.42152
1.00573,1.86752,0.641712
0.803517,1.44055,0.628166
5.07658,2.80744,13.9349
4.5374,-5.74388,12.7765
2.5189,-1.23105,1.00872
1.87984,-3.28785,0.732479
1.72625,-6.45874,0.712492
5.08697,2.73315,13.9537
0.683778,1.29,0.614453
3.20579,-1.00206,5.03862
4.66003,-19.1069,13.1088
3.21847,-1.00296,5.12553
1.91166,-2.99128,0.736934
3.41337,-1.0381,6.4622
5.7657,1.15066,15.1781
1.0309,1.94536,0.643397
4.84957,7.31265,13.5254
4.90964,5.10282,13.6338
3.89156,-1.36666,9.72434
2.19369,-1.71412,0.826545
1.32774,4.155,0.663267
5.37944,1.61636,14.4813
2.54055,-1.2125,1.04882
2.02003,-2.3027,0.752105
3.10037,-1.00085,4.31573
4.80788,10.4886,13.4502
3.46791,-1.05571,6.83628
2.59364,-1.17152,1.29209
1.4932,12.9005,0.676393
4.24224,-2.2074,11.8481
3.02407,-1.00695,3.7926
2.1565,-1.80902,0.80571
4.38435,-3.10377,12.3458
2.3231,-1.46343,0.89904
4.61022,-9.80463,12.9738
2.25498,-1.58218,0.860877
3.09103,-1.00128,4.25166
2.11068,-1.94538,0.780045
4.49457,-4.62741,12.6604
3.29865,-1.01246,5.67541
0.833732,1.48784,0.630198
5.31656,1.76032,14.3679
1.34286,4.42546,0.66428
0.557534,1.17846,0.599799
1.12113,2.30062,0.649436
4.92762,4.68216,13.6662
1.83634,-3.81046,0.726388
5.17081,2.2597,14.1049
1.7671,-5.12714,0.716693
2.00009,-2.40255,0.749313
5.6446,1.24542,14.9597
0.952914,1.72619,0.638176
2.37062,-1.39425,0.925659
5.50643,1.40215,14.7104
0.350178,1.06461,0.575269
5.48441,1.43351,14.6707
2.58517,-1.17765,1.25417
4.43349,-3.63247,12.4949
1.51918,19.3831,0.680551
5.42034,1.53781,14.5551
1.7347,-6.12866,0.71322
2.71244,-1.09972,1.82379
0.292035,1.04421,0.575499
0.0988362,1.0049,0.57626
3.86824,-1.33796,9.57181
2.46244,-1.28517,0.977096
0.949549,1.71807,0.637951
0.138221,1.00963,0.576105
3.35229,-1.02262,6.04335
0.432474,1.1014,0.584885
0.9276,1.66735,0.636481
0.851972,1.5186,0.631419
0.32623,1.05568,0.575364
3.86099,-1.32943,9.52435
0.22878,1.02675,0.575748
1.66087,-11.1174,0.703227
5.57569,1.3158,14.8353
6.03479,1.03166,15.6636
3.54494,-1.08725,7.36453
1.84028,-3.75609,0.72694
5.44362,1.49749,14.5971
0.638339,1.2452,0.60925
1.1179,2.28535,0.64922
1.68247,-8.97319,0.706685
5.06688,2.8809,13.9174
5.36975,1.63658,14.4638
2.03203,-2.24693,0.753785
5.76112,1.15368,15.1699
3.74094,-1.21109,8.70877
5.74179,1.16687,15.135
0.321303,1.05394,0.575383
0.481005,1.12799,0.590672
6.20924,1.00274,15.9783
5.76348,1.15212,15.1741
5.07704,2.80406,13.9358
0.188447,1.01802,0.575907
2.92736,-1.0234,3.12996
5.53563,1.3636,14.7631
4.48219,-4.38265,12.6269
