Inputs,"f(x,y)","f*(x,y)"
3.28985,-0.737587,-0.0960848
0.850187,-0.445249,-0.234398
2.78354,0.21773,-0.107384
5.44545,-0.500083,-0.0444363
0.82705,-0.545627,-0.2369
1.83559,-0.969691,-0.147477
5.69575,-0.979175,-0.0366779
0.719276,-0.898355,-0.248538
5.05232,0.991708,-0.0566214
6.04624,0.376551,-0.0258145
0.325573,-0.0570389,-0.00217084
1.27572,0.99545,-0.192068
1.11141,0.747737,-0.206157
4.85262,0.645087,-0.0612088
0.410006,-0.4611,-0.274021
4.9998,0.991072,-0.0579241
3.32499,-0.608202,-0.0953006
2.9177,-0.436176,-0.10439
4.11291,-0.143687,-0.0777168
0.733488,-0.864899,-0.247011
5.90584,-0.310685,-0.0301661
4.50091,-0.871088,-0.0690579
0.464343,-0.68231,-0.274289
2.25599,0.280565,-0.119157
0.169453,0.662037,0.680789
2.42727,0.908951,-0.115335
2.93827,-0.526228,-0.103931
5.22315,0.554517,-0.0513264
5.70169,-0.972715,-0.0364938
0.912862,-0.147539,-0.227622
2.77436,0.26224,-0.107589
5.03142,0.999704,-0.0572185
0.0781435,0.924636,0.93215
3.89719,0.804256,-0.0825311
6.11476,0.665879,-0.0236907
5.37412,-0.166279,-0.0466472
5.60247,-0.965882,-0.0395693
4.25021,-0.738392,-0.0746527
3.40667,-0.242946,-0.0934778
4.83569,0.578202,-0.0615865
3.1773,-0.984104,-0.0985967
3.81035,0.979632,-0.0844691
1.21802,0.981415,-0.196664
1.50246,0.335066,-0.174009
5.29711,0.216265,-0.0490341
4.86366,0.68629,-0.0609623
1.41482,0.70318,-0.180989
0.0467141,0.972846,0.946198
5.31551,0.12564,-0.0484636
4.53619,-0.771374,-0.0682705
4.88697,0.766201,-0.0604421
2.09601,-0.492981,-0.126735
3.1112,-0.988477,-0.100072
4.1611,-0.375675,-0.0766414
1.65186,-0.3943,-0.16211
5.93327,-0.177815,-0.029316
1.32909,0.935098,-0.187818
5.97926,0.0511698,-0.0278904
0.16775,0.668395,0.687608
4.77772,0.32087,-0.0628803
1.58328,-0.0623957,-0.167572
3.77217,0.999936,-0.085321
4.27599,-0.81897,-0.0740773
5.58949,-0.947047,-0.0399716
3.08798,-0.964286,-0.10059
5.7122,-0.959193,-0.0361683
4.29714,-0.874969,-0.0736053
6.25743,0.991717,-0.0192687
4.14271,-0.289012,-0.0770517
5.00152,0.99218,-0.0578858
0.391648,-0.377824,-0.257348
5.48722,-0.668766,-0.0431416
1.93841,-0.964497,-0.139288
0.0154096,0.997033,0.95022
1.15694,0.878302,-0.201615
2.54942,0.983709,-0.112609
3.29352,-0.725075,-0.0960029
2.56944,0.960831,-0.112162
3.35672,-0.475178,-0.0945926
4.86012,0.673303,-0.0610414
6.02508,0.27662,-0.0264703
3.6764,0.892667,-0.0874584
5.37622,-0.176646,-0.0465819
5.55122,-0.86869,-0.0411579
4.58584,-0.591366,-0.0671625
0.146317,0.744118,0.77342
2.27211,0.356943,-0.118798
2.63584,0.818032,-0.11068
0.922927,-0.0975988,-0.226534
2.26421,0.319783,-0.118974
5.62545,-0.989204,-0.0388569
6.23569,0.971937,-0.0199424
1.91194,-0.990915,-0.141396
2.31865,0.562714,-0.117759
3.89,0.825095,-0.0826915
4.92031,0.8622,-0.0596982
2.49278,0.994755,-0.113873
4.6193,-0.44881,-0.0664157
6.13915,0.751696,-0.0229346
0.900908,-0.206358,-0.228915
3.5322,0.372991,-0.0906764
2.57079,0.958939,-0.112132
1.71794,-0.671104,-0.156848
5.39417,-0.264125,-0.0460257
4.65404,-0.287647,-0.0656405
5.31403,0.133006,-0.0485097
5.62524,-0.989047,-0.0388636
5.4486,-0.513678,-0.0443385
0.506683,-0.82069,-0.271381
4.5944,-0.556299,-0.0669713
4.83406,0.571534,-0.0616229
2.77409,0.263577,-0.107595
3.43064,-0.125226,-0.0929429
0.0346102,0.985064,0.947943
3.18743,-0.973856,-0.0983707
0.472336,-0.710975,-0.274246
4.69277,-0.0979177,-0.064776
5.52924,-0.809133,-0.041839
0.579103,-0.969875,-0.263599
0.411396,-0.467255,-0.274488
0.365999,-0.256308,-0.17879
3.97714,0.50954,-0.0807467
0.0476065,0.971804,0.946051
1.14836,0.856996,-0.202361
0.75124,-0.817001,-0.245096
5.78092,-0.807864,-0.0340381
1.94616,-0.953546,-0.13867
5.35057,-0.0493157,-0.0473769
2.85018,-0.113464,-0.105897
5.89699,-0.352452,-0.0304406
0.790831,-0.687641,-0.240815
5.3004,0.200153,-0.0489319
2.7083,0.561059,-0.109063
1.15377,0.870628,-0.201889
1.79279,-0.895689,-0.150885
4.02923,0.270766,-0.0795841
0.521982,-0.861956,-0.269737
4.09583,-0.0587801,-0.0780978
5.6968,-0.978103,-0.0366456
0.27764,0.181584,0.208595
5.57894,-0.928806,-0.0402986
5.64437,-0.998624,-0.0382705
6.12752,0.712095,-0.0232953
0.150537,0.729857,0.756523
5.93527,-0.167979,-0.0292541
4.11444,-0.151241,-0.0776827
4.87187,0.715557,-0.0607791
0.921083,-0.10677,-0.226733
5.50527,-0.73306,-0.0425821
2.33243,0.618314,-0.117451
