Inputs,"f(x,y)","f*(x,y)"
5.67578,0.821131,0.813076
1.96717,-0.386078,-0.356664
6.24113,0.999116,1.0264
3.59847,-0.897435,-0.913222
3.34095,-0.980194,-1.01013
2.97537,-0.986217,-0.960217
1.46744,0.103169,0.110132
1.69738,-0.126251,-0.108848
5.28925,0.545397,0.523885
5.51262,0.717514,0.712748
4.75031,0.0379135,0.0233287
4.15579,-0.528298,-0.528845
0.569977,0.841913,0.857194
0.575317,0.83902,0.853711
5.85182,0.908396,0.879793
0.562804,0.845762,0.861872
5.78529,0.878592,0.854698
1.00824,0.533349,0.548126
6.19565,0.996171,1.00927
4.99988,0.283551,0.255126
3.39136,-0.96897,-1.00627
2.42934,-0.756891,-0.764906
2.82112,-0.949087,-0.926212
1.02324,0.520598,0.534067
6.10933,0.984926,0.97677
3.3183,-0.984428,-1.00731
4.37542,-0.330628,-0.324863
1.57293,-0.00213693,0.00967063
0.0138568,0.999904,0.972658
1.0868,0.465321,0.474516
4.82462,0.111994,0.0923429
4.10976,-0.566807,-0.571598
1.56171,0.00908336,0.0203566
0.340029,0.942745,0.963473
5.39877,0.633741,0.625601
1.36724,0.202156,0.216598
3.09779,-0.999041,-0.977875
1.01487,0.527727,0.541911
4.62203,-0.0902399,-0.0958206
5.2379,0.501652,0.476187
3.26733,-0.992106,-1.00047
1.54539,0.0254059,0.0359034
1.02538,0.51877,0.532062
2.10392,-0.508224,-0.479503
0.805985,0.692401,0.708893
4.02912,-0.63133,-0.636497
4.8314,0.118729,0.0986408
0.728313,0.746298,0.763169
0.872339,0.643037,0.662526
2.81911,-0.948452,-0.925671
2.64997,-0.881567,-0.878089
0.607775,0.820921,0.832544
1.71725,-0.145926,-0.127762
0.65483,0.793151,0.805131
0.573809,0.839839,0.854695
5.44483,0.668686,0.665246
4.71637,0.00398534,-0.00819218
5.01618,0.299137,0.270258
0.447802,0.901401,0.921966
3.79648,-0.793119,-0.795848
0.936016,0.593001,0.615802
1.71675,-0.145439,-0.127293
3.60882,-0.892819,-0.907459
1.89088,-0.314648,-0.288133
3.82962,-0.772497,-0.773142
2.93341,-0.978409,-0.951377
1.12785,0.428599,0.436046
0.965801,0.568758,0.587892
5.01644,0.299391,0.270506
3.80311,-0.789063,-0.791306
2.06427,-0.473688,-0.443887
1.37949,0.190145,0.202969
0.966895,0.567859,0.586868
2.59792,-0.855814,-0.862619
3.44142,-0.955387,-0.991638
0.290489,0.958104,0.972658
1.0854,0.466556,0.475824
3.50748,-0.933806,-0.963846
1.21904,0.344545,0.359729
3.01822,-0.9924,-0.967055
2.85857,-0.960217,-0.93561
1.19253,0.36931,0.379543
2.05735,-0.467583,-0.437671
5.2546,0.51603,0.4917
5.7115,0.84099,0.826742
5.09825,0.376354,0.346484
1.22174,0.342011,0.357903
4.50635,-0.204579,-0.203253
5.17147,0.443127,0.414494
5.40175,0.636045,0.628372
4.73022,0.0178296,0.00466734
3.38795,-0.969808,-1.00713
6.13284,0.98872,0.985622
6.00664,0.962003,0.938095
5.12394,0.400027,0.370342
3.86795,-0.747596,-0.746889
2.80375,-0.943473,-0.921538
3.02126,-0.992768,-0.967474
3.10011,-0.99914,-0.97818
5.27878,0.53659,0.514158
0.606231,0.821802,0.833551
4.92758,0.213534,0.187972
3.16113,-0.999809,-0.986202
4.5002,-0.210596,-0.208966
4.42067,-0.287596,-0.282833
4.19603,-0.493718,-0.491477
1.1522,0.406475,0.413231
1.20415,0.358491,0.370438
4.20354,-0.487174,-0.484502
4.18342,-0.504648,-0.503192
4.23965,-0.455331,-0.450967
2.6067,-0.860321,-0.865228
5.26148,0.521913,0.498091
0.195827,0.980887,0.972658
3.6622,-0.867518,-0.877762
4.10111,-0.573917,-0.579638
2.51147,-0.807957,-0.82533
0.406758,0.918408,0.937774
1.76718,-0.195122,-0.175315
2.74604,-0.922784,-0.906004
5.67579,0.821136,0.813079
3.22985,-0.996108,-0.995432
5.63889,0.799522,0.796332
5.0612,0.341778,0.312072
3.81449,-0.782019,-0.783509
1.01132,0.530745,0.545244
4.69929,-0.0131017,-0.0240619
0.677397,0.779207,0.792471
2.16835,-0.562618,-0.537378
4.5138,-0.197289,-0.196341
6.27088,0.999924,1.03761
2.52853,-0.817888,-0.837899
0.841871,0.666068,0.683816
1.90697,-0.32988,-0.302588
1.72694,-0.155507,-0.136992
0.447465,0.901547,0.922096
4.68049,-0.0318959,-0.0415225
5.69964,0.834516,0.822206
4.94138,0.226991,0.200785
4.12389,-0.555112,-0.558477
3.30214,-0.98714,-1.00514
2.9023,-0.971506,-0.944822
2.45125,-0.771029,-0.781026
4.1275,-0.552109,-0.555127
0.786836,0.706089,0.722274
3.56201,-0.912918,-0.933506
5.15208,0.425663,0.396486
2.33438,-0.691517,-0.686529
1.26703,0.299118,0.332769
1.50051,0.0702251,0.0786388
