Inputs,"f(x,y)","f*(x,y)"
0.803188,1.19583,2.56909
3.52373,-2.82811,2.56909
2.52015,0.0343835,2.56909
0.0135557,0.0678827,2.56909
5.94088,7.05978,2.56909
5.1591,0.78053,2.56909
1.18246,-0.38886,2.56909
0.0414478,0.210257,2.56909
2.99579,-0.893149,2.56909
4.27843,-0.682678,2.56909
1.84823,-0.185731,2.56909
4.76417,-3.77595,2.56909
3.71429,-0.285479,2.56909
1.06609,-1.40649,2.56909
0.458842,-1.13234,2.56909
2.24746,-4.0563,2.56909
2.92654,-1.85006,2.56909
2.84212,-13.5911,2.56909
0.777995,0.928576,2.56909
4.68284,6.71996,2.56909
5.58522,-0.363015,2.56909
0.574202,-0.277384,2.56909
0.513394,-0.647513,2.56909
1.15638,-0.548005,2.56909
4.2595,-0.831498,2.56909
1.46447,1.70045,2.56909
4.39256,-0.0283665,2.56909
0.790033,1.04746,2.56909
3.21301,0.373102,2.56909
4.77384,-3.15163,2.56909
2.50643,-0.0342562,2.56909
2.55715,0.222949,2.56909
0.83936,1.76453,2.56909
5.09893,0.378598,2.56909
5.02517,-0.00691447,2.56909
5.68795,0.166917,2.56909
3.72308,-0.238514,2.56909
4.86398,-1.0565,2.56909
2.77925,4.06975,2.56909
4.29164,-0.589882,2.56909
3.13058,-0.0551317,2.56909
3.81764,0.243283,2.56909
4.00849,2.51916,2.56909
3.13867,-0.0146333,2.56909
1.55089,10.0129,2.56909
4.39851,0.00138193,2.56909
0.846437,1.91987,2.56909
5.27133,2.76636,2.56909
3.51446,-3.30848,2.56909
6.24385,-0.199252,2.56909
2.78111,4.24016,2.56909
4.35228,-0.233861,2.56909
0.757699,0.755328,2.56909
4.39656,-0.00832429,2.56909
4.36198,-0.183279,2.56909
3.51727,-3.14772,2.56909
4.64161,2.70654,2.56909
2.16721,6.21575,2.56909
5.44398,-1.7613,2.56909
3.18403,0.215436,2.56909
0.17694,1.22131,2.56909
4.86836,-1.01114,2.56909
0.817119,1.3808,2.56909
0.310345,52.4318,2.56909
3.60301,-1.10335,2.56909
4.6568,3.50474,2.56909
4.44266,0.225881,2.56909
0.0659609,0.342306,2.56909
6.05934,-2.06187,2.56909
2.5984,0.45335,2.56909
2.81981,26.237,2.56909
0.890545,3.76419,2.56909
3.05482,-0.463311,2.56909
4.09748,-14.895,2.56909
3.53578,-2.36413,2.56909
4.48835,0.483775,2.56909
5.23337,1.68091,2.56909
5.26228,2.41792,2.56909
0.488944,-0.836955,2.56909
3.7787,0.0439617,2.56909
2.95212,-1.39066,2.56909
0.683672,0.284057,2.56909
4.83376,-1.44037,2.56909
1.77549,-0.609415,2.56909
1.96981,0.451694,2.56909
5.02144,-0.0255304,2.56909
1.06099,-1.48522,2.56909
4.25082,-0.907661,2.56909
4.66847,4.48001,2.56909
1.57301,-90.2449,2.56909
5.37964,-5.07214,2.56909
3.01021,-0.771164,2.56909
3.7226,-0.241046,2.56909
0.478066,-0.933954,2.56909
1.25644,-0.000973382,2.56909
5.86958,1.84269,2.56909
5.09391,0.350148,2.56909
2.40033,-0.633519,2.56909
5.03578,0.046196,2.56909
2.44767,-0.340336,2.56909
0.119215,0.67839,2.56909
4.1777,-1.97761,2.56909
2.81062,11.8663,2.56909
2.56663,0.27327,2.56909
2.19698,93.6403,2.56909
1.25881,0.0108424,2.56909
0.535751,-0.498988,2.56909
2.05118,1.09591,2.56909
5.65333,-0.00770517,2.56909
1.54475,7.63583,2.56909
1.24789,-0.0437734,2.56909
2.34346,-1.13625,2.56909
3.69627,-0.385821,2.56909
4.46616,0.353368,2.56909
6.07291,-1.74898,2.56909
0.861546,2.33485,2.56909
4.72619,-14.4691,2.56909
3.10337,-0.193469,2.56909
3.41058,4.35168,2.56909
0.716101,0.469451,2.56909
0.902218,4.90042,2.56909
4.49337,0.515156,2.56909
6.13071,-0.954988,2.56909
2.85196,-8.11258,2.56909
1.51411,3.43306,2.56909
0.802419,1.18654,2.56909
0.761808,0.788107,2.56909
5.6618,0.0346856,2.56909
3.40639,3.96874,2.56909
0.0715424,0.373793,2.56909
1.2951,0.194699,2.56909
4.7958,-2.25717,2.56909
3.49262,-5.36351,2.56909
6.18711,-0.521066,2.56909
5.67125,0.0821065,2.56909
6.17203,-0.621099,2.56909
4.87892,-0.909665,2.56909
3.34871,1.68654,2.56909
1.28564,0.146028,2.56909
6.09703,-1.34309,2.56909
5.64012,-0.0738893,2.56909
5.30004,4.85048,2.56909
3.03378,-0.598151,2.56909
0.136993,0.816907,2.56909
0.823999,1.48581,2.56909
1.18469,-0.376082,2.56909
3.26984,0.746473,2.56909
1.8718,-0.0658933,2.56909
5.01814,-0.0420589,2.56909
5.36842,-7.16981,2.56909
