Inputs,"f(x,y)","f*(x,y)"
1.82461,0.601367,0.557979
8.00989,2.08068,2.07424
1.43514,0.361262,0.284269
9.63264,2.26516,2.33385
4.69485,1.54647,1.52255
9.65096,2.26706,2.33678
4.8971,1.58864,1.56516
7.85759,2.06148,2.04987
1.78238,0.577951,0.528302
3.53242,1.26198,1.27768
5.40477,1.68728,1.65717
8.81749,2.17674,2.20344
9.22641,2.22207,2.26886
6.22321,1.82829,1.7884
7.71391,2.04303,2.02689
4.17042,1.42802,1.41208
5.94918,1.78325,1.74456
0.73387,-0.309423,-0.306816
1.21695,0.196348,0.130931
0.501685,-0.689782,-0.853288
4.11047,1.41354,1.39945
0.0410505,-3.19295,-1.86946
6.78806,1.91517,1.87877
6.80922,1.91828,1.88215
1.23217,0.208781,0.141631
5.60488,1.72364,1.68948
4.33146,1.4659,1.446
6.72554,1.90591,1.86876
5.53591,1.71126,1.67844
7.8175,2.05637,2.04346
9.38759,2.23939,2.29464
5.1227,1.63368,1.60998
8.31328,2.11785,2.12277
1.33243,0.287006,0.212089
4.87979,1.5851,1.56151
3.30405,1.19515,1.22958
0.911452,-0.0927158,-0.0837646
8.20632,2.1049,2.10566
6.7293,1.90647,1.86937
7.35857,1.99587,1.97004
3.48794,1.24931,1.26831
3.19736,1.16233,1.2071
7.73439,2.04568,2.03016
3.8827,1.35653,1.35147
9.21761,2.22112,2.26745
0.866064,-0.143797,-0.115662
8.5204,2.14246,2.15591
8.14921,2.09792,2.09653
7.06748,1.9555,1.92347
7.10172,1.96034,1.92895
1.48567,0.395866,0.31978
6.51108,1.87351,1.83446
2.04748,0.716608,0.714602
3.15392,1.14865,1.19795
2.02337,0.704764,0.69766
2.59354,0.953022,1.07991
8.11968,2.09429,2.0918
3.31479,1.19839,1.23184
3.81241,1.33826,1.33666
8.51418,2.14173,2.15491
4.94349,1.59807,1.57493
9.21292,2.22061,2.2667
6.57632,1.88347,1.84489
6.94501,1.93802,1.90388
8.56795,2.14803,2.16352
0.405435,-0.902795,-1.07982
2.53706,0.931006,1.05867
8.59261,2.1509,2.16746
2.35361,0.855952,0.929748
8.69698,2.16298,2.18416
0.299706,-1.20495,-1.32867
6.21296,1.82664,1.78676
5.5573,1.71511,1.68187
8.71564,2.16512,2.18714
0.30422,-1.19001,-1.31805
6.94719,1.93834,1.90422
6.78363,1.91451,1.87806
3.52048,1.2586,1.27517
9.19498,2.21866,2.26383
5.76225,1.75133,1.71466
4.93317,1.59598,1.57275
7.35576,1.99548,1.96959
4.91316,1.59192,1.56854
6.23733,1.83055,1.79066
5.89218,1.77363,1.73544
2.03959,0.712747,0.709058
6.91533,1.93374,1.89913
7.92406,2.0699,2.0605
9.88323,2.29084,2.37394
7.22651,1.97776,1.94891
0.473285,-0.748057,-0.920131
7.31547,1.98999,1.96314
5.09419,1.6281,1.60521
7.18436,1.97191,1.94217
1.07281,0.0702774,0.0296302
1.79569,0.58539,0.537654
4.36816,1.47434,1.45373
1.12092,0.114149,0.0634427
8.6266,2.15485,2.1729
5.41088,1.68841,1.65819
3.75814,1.32392,1.32523
8.26807,2.1124,2.11554
1.65117,0.501483,0.436088
3.68219,1.30351,1.30923
3.58107,1.27566,1.28793
1.72338,0.544285,0.486833
6.31756,1.84333,1.80349
8.44206,2.13323,2.14338
2.94096,1.07874,1.15309
0.746456,-0.292419,-0.277194
9.2022,2.21944,2.26498
8.07122,2.0883,2.08405
4.4989,1.50383,1.48127
3.79565,1.33385,1.33313
1.01649,0.0163556,-0.00994703
1.61292,0.478047,0.409208
2.6126,0.960344,1.08392
3.10769,1.13388,1.18821
3.38622,1.21971,1.24689
1.53536,0.428768,0.354704
0.286372,-1.25046,-1.36005
4.38095,1.47727,1.45643
9.64905,2.26686,2.33647
3.5806,1.27553,1.28783
5.48456,1.70194,1.67023
7.6996,2.04117,2.0246
4.65132,1.53715,1.51338
4.59457,1.52487,1.50143
8.87977,2.18378,2.2134
6.51011,1.87336,1.8343
3.60356,1.28192,1.29267
5.99246,1.7905,1.75149
5.74019,1.74749,1.71113
0.46737,-0.760633,-0.934053
6.54887,1.87929,1.8405
4.85118,1.57922,1.55548
6.78437,1.91462,1.87818
3.48801,1.24933,1.26833
7.6032,2.02857,2.00917
9.57079,2.25872,2.32395
2.10386,0.743772,0.754225
0.694826,-0.364094,-0.398712
2.26827,0.819018,0.869772
2.29223,0.829524,0.886608
2.08645,0.735464,0.741992
2.50485,0.918227,1.03603
7.94489,2.07253,2.06384
1.86112,0.621179,0.583637
2.03717,0.711561,0.707358
0.915149,-0.0886686,-0.0811669
