Inputs,"f(x,y)","f*(x,y)"
3.61911,-7.44783e-14,-0.0334075
0.100531,-2.26622e-15,-0.0139608
4.51133,-1.0,-0.0331508
5.65487,3.82127e-14,-0.0331508
4.28513,1.0,-0.0331508
3.87044,-6.85976e-14,-0.0331508
4.0715,-4.11556e-14,-0.0331508
1.80956,-3.72392e-14,-0.0388663
1.5331,3.23393e-14,-0.0398679
5.98159,-1.78361e-13,-0.0331508
5.85593,1.07707e-14,-0.0331508
5.90619,1.46019e-13,-0.0331508
0.942478,-1.0,-0.0420078
1.43257,1.76386e-14,-0.0402322
3.84531,5.78169e-14,-0.0331508
5.25274,9.30967e-14,-0.0331508
5.95646,5.38931e-14,-0.0331508
1.4954,-1.0,-0.0400045
4.82549,-2.35132e-14,-0.0331508
1.42,1.0,-0.0402777
2.67664,1.0,-0.0359856
5.6423,1.0,-0.0331508
5.37841,-1.47e-13,-0.0331508
4.73752,1.0,-0.0331508
3.29239,4.80173e-14,-0.0343012
4.09664,5.19362e-14,-0.0331508
2.61381,-4.1158e-14,-0.0361574
6.05699,9.70155e-14,-0.0331508
6.01929,-1.0,-0.0331508
2.53841,6.56596e-14,-0.0363637
0.716283,1.0,-0.0427538
2.52584,1.0,-0.036398
4.66212,-1.0,-0.0331508
6.11982,-1.0,-0.0331508
5.11451,-1.0,-0.0331508
5.42867,-5.48741e-14,-0.0331508
0.628319,-4.91097e-16,-0.0430377
1.89752,-1.0,-0.0385476
0.263894,1.0,-0.0343603
0.289027,-1.0,-0.0374987
3.24212,2.64561e-14,-0.0344387
0.226195,4.6549e-15,-0.0296527
3.0285,1.0,-0.0350231
5.07681,-1.31319e-13,-0.0331508
5.50407,8.72159e-14,-0.0331508
1.65876,-2.9399e-14,-0.0394126
2.57611,1.0,-0.0362605
0.86708,1.0,-0.0422672
4.15947,-1.0,-0.0331508
6.10726,1.18577e-13,-0.0331508
2.04832,-1.0,-0.0380012
0.27646,4.89983e-15,-0.0359295
4.61186,-1.0,-0.0331508
1.54566,-1.0,-0.0398224
2.73947,3.82176e-14,-0.0358137
0.41469,1.0,-0.0437271
0.854513,-1.12692e-14,-0.0423077
3.04106,5.38981e-14,-0.0349887
0.439823,-1.0,-0.0436459
6.14496,1.0,-0.0331508
6.27062,-1.0,-0.0331508
0.640885,-1.0,-0.0429971
1.04301,-1.0,-0.0416436
5.74283,1.0,-0.0331508
0.967611,1.0,-0.0419168
4.63699,1.0,-0.0331508
5.61717,-1.0,-0.0331508
2.48814,4.40984e-14,-0.0365012
4.92602,-6.66356e-14,-0.0331508
3.76991,-8.23186e-14,-0.0331508
2.28708,1.4697e-14,-0.0371361
5.03911,1.0,-0.0331508
3.95841,-1.0,-0.0331508
4.19717,-1.86282e-14,-0.0331508
2.78973,5.97789e-14,-0.0356762
4.95115,7.74162e-14,-0.0331508
2.18655,2.8418e-14,-0.0375004
5.78053,-9.21157e-14,-0.0331508
5.10195,2.8413e-14,-0.0331508
0.251327,-4.77736e-15,-0.0327911
1.78442,2.64586e-14,-0.0389573
5.89363,1.0,-0.0331508
4.80035,1.27326e-14,-0.0331508
2.6892,7.34999e-14,-0.0359512
2.14885,-1.0,-0.037637
5.21504,-1.0,-0.0331508
3.93327,1.0,-0.0331508
2.33734,3.62582e-14,-0.036954
3.33009,1.0,-0.0341981
5.94389,1.0,-0.0331508
1.21894,1.0,-0.0410062
2.45044,-1.0,-0.0366043
4.2977,2.44942e-14,-0.0331508
3.09133,7.54593e-14,-0.0348512
1.62106,1.0,-0.0395492
0.666018,1.0,-0.042916
4.76265,-1.0,-0.0331508
0.0,0.0,-0.00335089
4.1469,7.34974e-14,-0.0331508
0.929911,1.51893e-14,-0.0420534
3.44319,5.58575e-14,-0.0338888
5.29044,1.0,-0.0331508
4.68726,1.0,-0.0331508
2.31221,-8.2321e-14,-0.0370451
3.40549,-1.0,-0.0339919
3.01593,-4.31175e-14,-0.0350575
5.73027,-7.05545e-14,-0.0331508
1.2692,1.0,-0.0408241
5.06425,-1.0,-0.0331508
2.07345,1.0,-0.0379101
2.8777,1.0,-0.0354356
4.1092,-1.0,-0.0331508
3.07876,1.0,-0.0348856
1.3446,-1.0,-0.0405509
5.5292,-9.79965e-14,-0.0331508
0.0376991,-1.0,-0.00618489
6.18265,-1.50919e-13,-0.0331508
3.78248,1.0,-0.0331508
0.766549,1.0,-0.0425916
1.87239,1.0,-0.0386386
5.54177,1.0,-0.0331508
3.90814,-1.0,-0.0331508
4.88832,1.0,-0.0331508
5.35327,1.36219e-13,-0.0331508
2.77717,1.0,-0.0357106
2.40018,-1.0,-0.0367418
0.464956,1.0,-0.0435648
6.08212,-1.07796e-13,-0.0331508
5.32814,-1.17517e-14,-0.0331508
4.69982,8.3297e-14,-0.0331508
3.65681,-1.0,-0.0333044
5.70513,5.97739e-14,-0.0331508
0.213628,1.0,-0.0280835
1.18124,2.35194e-14,-0.0411428
3.20442,-1.0,-0.0345419
3.73221,1.0,-0.0331508
0.314159,1.0,-0.0406371
0.904779,-1.86196e-14,-0.0421444
4.71239,-1.0,-0.0331508
5.17734,-6.07549e-14,-0.0331508
1.16867,1.0,-0.0411883
3.30496,-1.0,-0.0342669
1.82212,1.0,-0.0388207
1.97292,1.0,-0.0382744
4.1846,1.0,-0.0331508
5.4915,1.0,-0.0331508
2.08602,4.2139e-14,-0.0378646
5.4538,1.79342e-13,-0.0331508
1.31947,1.0,-0.0406419
1.63363,1.86183e-14,-0.0395037
