Inputs,"f(x,y)","f*(x,y)"
1.98549,-0.402906,-0.391901
1.25664,0.309017,0.339738
2.26195,-0.637424,-0.638662
1.73416,-0.162637,-0.167573
0.351858,0.938734,0.972021
0.929911,0.597905,0.590486
5.85593,0.910106,0.895094
4.85062,0.13779,0.112065
6.09469,0.982287,1.06206
0.0,1.0,0.958493
1.62106,-0.0502443,-0.0666254
1.64619,-0.0753268,-0.0890582
2.85257,-0.958522,-0.950615
5.57947,0.762443,0.70176
4.62442,-0.0878512,-0.0849817
4.57416,-0.13779,-0.128771
2.45044,-0.770513,-0.772722
2.97823,-0.986686,-0.9733
4.83805,0.125333,0.101119
1.2315,0.33282,0.362259
6.05699,0.974527,1.0357
5.81823,0.893841,0.86873
6.17009,0.993611,1.11479
4.42336,-0.285019,-0.260135
3.53115,-0.925077,-0.940003
1.43257,0.13779,0.142303
4.17204,-0.51444,-0.479078
4.27257,-0.425779,-0.391502
0.741416,0.737513,0.720559
4.96372,0.24869,0.210589
4.19717,-0.492727,-0.457184
0.0879646,0.996134,0.962214
2.81487,-0.947098,-0.94381
4.52389,-0.187381,-0.172559
5.55434,0.745941,0.684184
1.52053,0.0502443,0.0311723
1.33204,0.236499,0.255123
0.0376991,0.999289,0.959999
4.97628,0.260842,0.221536
3.36779,-0.974527,-0.981964
2.03575,-0.448383,-0.436767
4.98885,0.272952,0.232484
0.791681,0.70265,0.685873
0.527788,0.863923,0.88068
5.88106,0.920232,0.91267
2.90283,-0.971632,-0.959689
1.09327,0.45958,0.466654
2.22425,-0.60793,-0.605013
3.11646,-0.999684,-0.998254
5.54177,0.737513,0.675397
3.15416,-0.999921,-1.00506
2.34991,-0.70265,-0.717177
5.96903,0.951057,0.974185
2.40018,-0.737513,-0.747755
6.27062,0.999921,1.18509
4.04637,-0.61786,-0.588549
3.82018,-0.778462,-0.771937
4.95115,0.236499,0.199642
5.39097,0.627691,0.569942
5.21504,0.481754,0.429532
1.21894,0.344643,0.37175
1.93522,-0.356412,-0.347036
1.00531,0.535827,0.533636
3.24212,-0.994951,-1.01424
2.31221,-0.675333,-0.683528
1.55823,0.012566,-0.0155769
5.78053,0.876307,0.842366
4.26,-0.437116,-0.402448
0.703717,0.762443,0.746573
3.76991,-0.809017,-0.807253
2.75204,-0.925077,-0.922489
4.15947,-0.525175,-0.490025
6.06956,0.977268,1.04449
3.58142,-0.904827,-0.927091
0.615752,0.816339,0.813713
3.94584,-0.693653,-0.676126
2.55097,-0.830596,-0.823325
2.42531,-0.754251,-0.760238
4.28513,-0.414376,-0.380554
3.48088,-0.942991,-0.952914
6.01929,0.965382,1.00934
1.40743,0.162637,0.170508
1.84726,-0.272952,-0.268521
2.7646,-0.929776,-0.927141
2.28708,-0.656586,-0.661095
0.125664,0.992115,0.963876
2.32478,-0.684547,-0.694744
2.51327,-0.809017,-0.80393
6.14496,0.990461,1.09721
1.6085,-0.0376902,-0.055409
1.65876,-0.0878512,-0.100275
1.85982,-0.285019,-0.279737
0.779115,0.711536,0.694544
5.35327,0.597905,0.543578
5.40354,0.637424,0.57873
0.565487,0.844328,0.85198
2.82743,-0.951057,-0.946078
5.15221,0.425779,0.374796
5.07681,0.356412,0.309113
0.226195,0.974527,0.968307
0.753982,0.728969,0.711887
5.8308,0.899405,0.877518
5.26531,0.525175,0.473319
3.68195,-0.857527,-0.869059
3.78248,-0.801567,-0.798424
1.87239,-0.297042,-0.290953
4.47363,-0.236499,-0.216347
1.28177,0.285019,0.311533
3.95841,-0.684547,-0.665178
0.113097,0.993611,0.963322
2.06088,-0.470704,-0.4592
2.53841,-0.823533,-0.816847
2.77717,-0.934329,-0.931793
2.01062,-0.425779,-0.414334
0.376991,0.929776,0.970906
0.967611,0.567269,0.564471
3.27982,-0.990461,-1.00456
4.87575,0.162637,0.13396
3.71965,-0.837528,-0.842571
4.0715,-0.597905,-0.566655
2.70177,-0.904827,-0.901055
1.94779,-0.368125,-0.358252
5.41611,0.647056,0.587518
4.1469,-0.535827,-0.500972
0.892212,0.627691,0.6165
2.16142,-0.556876,-0.548931
5.68,0.823533,0.772063
2.96566,-0.984564,-0.971032
3.63168,-0.882291,-0.904375
3.92071,-0.711536,-0.697737
0.628319,0.809017,0.804147
5.90619,0.929776,0.930245
2.37504,-0.720309,-0.735272
0.326726,0.947098,0.972739
3.31752,-0.984564,-0.994875
1.39487,0.175023,0.184611
0.540354,0.857527,0.871113
4.69982,-0.012566,-0.0192995
4.3354,-0.368125,-0.336766
5.12708,0.402906,0.352902
3.65681,-0.870184,-0.886717
1.63363,-0.0627905,-0.0778417
4.05894,-0.60793,-0.577602
4.56159,-0.150226,-0.139718
0.0753982,0.997159,0.96166
0.55292,0.850994,0.861546
4.72496,0.012566,0.00259452
4.0338,-0.627691,-0.599496
1.2692,0.297042,0.325635
4.53646,-0.175023,-0.161612
