Inputs,"f(x,y)","f*(x,y)"
0.68,3.02785,2.89646
-1.072,1.38495,2.04964
-0.632,0.622602,0.90729
-0.888,0.711512,1.27652
1.568,99.1104,99.297
0.208,1.26263,0.514861
-1.64,32.8868,33.0706
-0.264,0.791144,0.587333
-1.016,1.06824,1.7067
1.024,9.91417,8.71214
1.664,145.797,145.92
0.08,1.08696,0.499605
-0.192,0.838926,0.549697
-1.72,48.8057,49.53
1.936,407.131,408.888
0.408,1.68866,0.836347
0.312,1.45345,0.604927
-0.752,0.614672,1.07982
-1.2,2.7999,3.61142
-1.536,19.1603,16.9695
1.168,18.1287,17.4693
-0.408,0.71045,0.64632
0.336,1.50594,0.636747
-1.488,14.7759,12.6057
-0.384,0.722675,0.629661
-0.168,0.856164,0.538264
-1.544,19.9955,17.8018
0.216,1.27551,0.519383
-0.72,0.611627,1.03381
0.848,5.08712,5.57222
-1.248,3.71173,4.31952
0.704,3.23487,3.30451
1.184,19.4164,18.7807
1.496,73.6502,71.4222
0.912,6.40376,6.62458
-0.032,0.968992,0.4918
0.944,7.22649,7.22103
-0.864,0.680419,1.2415
-1.712,46.9535,47.8699
-0.064,0.93985,0.495435
1.112,14.2841,12.4307
-0.52,0.659724,0.767887
0.816,4.56303,5.1071
-1.376,7.86339,6.32617
0.712,3.30894,3.44052
-0.336,0.748544,0.612799
0.464,1.86381,1.0527
1.648,136.826,135.352
1.592,109.271,109.939
1.688,160.266,161.831
1.52,81.3662,79.1461
-0.576,0.638946,0.833562
1.736,193.209,194.416
-1.08,1.44183,2.1301
-0.504,0.666289,0.749329
-0.68,0.613742,0.976301
-1.304,5.16571,5.19743
-0.672,0.6148,0.964799
-0.992,0.969007,1.60987
-1.56,21.7644,19.5008
1.696,165.374,167.135
-0.08,0.925926,0.501166
-0.304,0.766888,0.601558
-1.704,45.1638,46.2099
-0.968,0.887317,1.51896
-0.872,0.689907,1.25317
0.24,1.31579,0.534752
-1.288,4.70076,4.9466
0.32,1.47054,0.612983
0.512,2.04423,1.2536
0.752,3.72215,4.14188
-0.224,0.816995,0.56494
0.696,3.1634,3.16849
1.056,11.3028,9.30859
-0.696,0.61222,0.999303
-1.256,3.89127,4.44494
-0.448,0.69111,0.685023
1.24,24.7125,23.8435
0.4,1.66623,0.806122
0.424,1.73534,0.896794
-0.84,0.656639,1.20648
-1.384,8.23428,6.45158
-1.824,79.4873,79.5985
-0.424,0.702558,0.660257
-1.904,113.586,112.946
0.176,1.21359,0.506294
0.304,1.43675,0.596915
0.832,4.81528,5.33051
-0.832,0.650128,1.19484
-1.048,1.23288,1.84398
-1.936,130.475,128.781
-0.368,0.731085,0.624039
-1.816,76.635,77.1238
1.952,431.146,428.829
1.816,262.015,260.759
-1.584,24.6813,22.9832
0.592,2.42909,1.78303
-1.408,9.44694,7.73606
0.28,1.38887,0.572878
-1.84,85.4742,85.1276
0.456,1.83667,1.01922
0.624,2.62143,2.13477
-0.144,0.874126,0.526831
1.368,42.8786,45.9082
-0.112,0.899281,0.512629
1.712,176.036,177.743
-1.512,16.8398,14.3764
1.32,34.8953,35.7286
-1.944,135.028,132.943
0.248,1.32978,0.541575
1.28,29.3692,29.5955
-1.872,98.6515,97.1105
-0.608,0.628951,0.872783
0.384,1.62308,0.746047
1.464,64.426,61.8562
0.792,4.21822,4.77198
1.064,11.6833,9.4577
-0.072,0.932836,0.4983
0.344,1.52429,0.648631
-1.992,165.394,162.507
1.216,22.2825,21.1363
0.776,4.00877,4.54857
1.136,15.8139,14.7004
-1.208,2.93376,3.71493
-1.264,4.07957,4.57035
1.632,128.364,127.677
0.048,1.05042,0.497375
0.992,8.71731,8.11569
-1.96,144.554,142.551
1.416,52.6105,53.6208
0.496,1.98052,1.18664
1.896,352.26,359.037
0.096,1.10619,0.50072
1.48,68.8931,66.6392
1.84,286.603,289.245
-0.104,0.905797,0.509763
0.168,1.20192,0.505737
0.064,1.06838,0.49849
1.88,332.242,339.096
-0.584,0.636302,0.842943
-1.728,50.7223,51.1491
-1.592,25.7285,24.3087
-1.968,149.535,147.513
0.56,2.26042,1.48625
-1.44,11.321,9.45175
1.856,304.133,309.185
1.144,16.3618,15.3927
-1.496,15.4369,13.1959
-0.016,0.984252,0.492915
-1.36,7.16805,6.07534
