Inputs,"f(x,y)","f*(x,y)"
1.48143,0.173972,0.0888313
0.144685,-0.691775,0.141742
0.970042,0.954159,0.108281
5.87026,-0.975889,-0.00877317
4.70718,-0.79513,0.00539267
2.21632,0.54795,0.0635083
4.42735,0.477625,0.00987438
2.47736,0.975176,0.0553802
0.660363,0.760429,0.120613
1.4783,0.5366,0.0889464
1.3442,-0.998754,0.0939211
1.48131,0.189083,0.0888359
1.54606,-0.998799,0.0864708
1.46418,0.724628,0.0894655
4.77892,0.44603,0.00431638
4.12363,0.230003,0.0152731
2.97731,0.993378,0.0411703
3.80552,-0.96594,0.0215588
3.15127,-0.935378,0.0366484
0.935881,-0.678893,0.109624
0.338703,-0.997288,0.13373
2.93414,0.716361,0.0423261
0.239923,-0.989476,0.137803
4.53532,0.989888,0.00809057
1.81918,0.933024,0.0767674
1.5193,0.988171,0.0874453
0.210579,0.928219,0.139015
0.890819,-0.984878,0.111402
4.82505,-0.0550376,0.00363961
3.6469,-0.325355,0.0249445
0.567346,0.973122,0.124379
0.167539,0.866799,0.140796
3.31748,-0.00543731,0.0325305
2.431,0.75725,0.0567886
1.41043,0.36578,0.0914521
5.43224,0.431191,-0.00421732
6.18869,0.684629,-0.011564
4.38971,0.875,0.0105126
1.27238,0.921985,0.0966249
0.186573,-0.971275,0.140008
4.65859,-0.904245,0.00613802
4.73318,0.856086,0.00499925
3.68496,0.929854,0.0241164
2.3714,0.89789,0.0586219
0.695186,-0.875459,0.119209
2.52405,0.975,0.0539772
3.09952,-0.854125,0.0379709
0.0287391,-0.435685,0.146551
2.08345,0.31578,0.0678272
3.25635,-0.978546,0.0340221
2.01701,0.716796,0.0700314
3.80559,-0.968206,0.0215573
2.00444,-0.698236,0.070452
4.81847,-0.769147,0.00373538
0.983534,-0.407451,0.107753
0.703743,0.00333759,0.118865
1.11165,0.66434,0.102769
3.14513,-0.427342,0.0368044
0.146259,-0.537276,0.141677
2.0586,-0.281551,0.0686481
3.55634,-0.999971,0.0269546
4.90243,-0.191395,0.00253065
0.641741,-0.994275,0.121365
1.55016,-0.846125,0.0863216
3.50822,-0.962245,0.0280458
0.169951,0.679682,0.140696
2.08048,0.638686,0.0679252
2.18314,0.413448,0.0645756
4.48826,0.966735,0.00885946
5.74795,0.801971,-0.00758773
2.28646,0.0774915,0.0612775
5.90525,0.117546,-0.00910036
0.0572042,0.76261,0.145369
5.8474,0.875079,-0.00855662
3.32106,0.427482,0.032444
5.20806,-0.642737,-0.00153663
4.71074,-0.978934,0.00533843
5.0,0.176411,0.00117873
0.152802,0.24809,0.141406
4.06783,-0.44327,0.016328
0.761312,0.793274,0.116555
4.92956,0.427969,0.00214968
0.285454,-0.901926,0.135924
5.5391,0.9449,-0.00540977
5.11152,-0.930859,-0.000304636
4.35725,-0.91696,0.0110699
3.20491,-0.998195,0.035298
5.12174,-0.619423,-0.000437241
4.29948,-0.220558,0.0120776
2.6653,0.153461,0.0498273
0.20676,0.653577,0.139173
1.06249,0.760869,0.104673
2.90804,-0.795599,0.0430316
0.784197,-0.593379,0.11564
1.69877,-0.95851,0.0809892
2.11325,0.259153,0.0668481
0.0248667,0.0332482,0.146712
4.26739,-0.603289,0.0126464
4.85253,-0.23656,0.00324199
4.09789,-0.15639,0.0157572
5.91874,-0.999996,-0.00922511
5.90952,-0.404354,-0.00913998
3.5534,-0.935594,0.0270209
5.95015,0.709288,-0.00951272
1.40341,-0.48198,0.0917127
4.41207,-0.987415,0.0101323
0.844486,-0.950059,0.113239
6.09075,0.881023,-0.0107497
6.2474,0.971659,-0.012034
3.11747,0.126388,0.0375099
1.44308,-0.967354,0.0902434
4.31729,-0.638753,0.0117648
5.92625,-0.592911,-0.00929427
2.87849,0.995093,0.0438361
1.32407,0.838807,0.0946762
0.656215,0.338586,0.12078
6.2589,-0.105217,-0.0121244
5.17708,-0.0329676,-0.00114646
3.97881,0.8306,0.0180524
1.30342,-0.422263,0.0954534
2.83499,0.58621,0.045032
4.20265,-0.6329,0.0138132
4.65,-0.055065,0.00627138
0.931131,-0.15191,0.109811
2.41478,0.252364,0.057285
1.98534,0.0184264,0.0710926
2.42843,0.924914,0.0568673
0.930921,-0.125845,0.109819
2.66378,-0.0364443,0.0498714
1.35898,0.224144,0.0933682
4.57515,0.123283,0.00745012
2.85469,-0.964978,0.0444887
0.10674,0.700485,0.143315
4.50218,-0.414307,0.00863071
4.19772,-0.0689593,0.0139031
3.20031,-0.870805,0.0354128
3.79295,0.259257,0.0218209
1.83672,-0.25074,0.0761599
5.41346,-0.945818,-0.00400221
4.59119,0.848003,0.00719464
0.229568,-0.409313,0.13823
1.42093,0.993242,0.0910627
0.988349,-0.852931,0.107564
1.78929,-0.570913,0.0778071
5.8302,-0.0744975,-0.00839202
3.63011,0.980683,0.025313
5.80223,0.416173,-0.0081218
5.45126,0.312381,-0.00443354
1.24061,-0.907708,0.0978297
2.27773,0.920268,0.0615533
