Inputs,"f(x,y)","f*(x,y)"
0.931322,-0.275283,-0.0231203
0.20848,0.47908,-0.0292743
3.24505,0.849822,-0.00707665
5.0415,0.930916,-0.000126686
1.67323,-0.548635,-0.0171712
4.76367,0.958577,-0.000925282
2.49632,0.911485,-0.0114005
2.42976,-0.494429,-0.0118286
1.44118,-0.098673,-0.0189689
1.88981,-0.992635,-0.0155564
5.63586,-0.889199,0.00130625
0.481281,0.860603,-0.0269358
2.88599,-0.994304,-0.00903699
0.319399,-0.130624,-0.0283233
2.65711,-0.898605,-0.0103955
4.5931,-0.15858,-0.00146037
5.60177,-0.241044,0.00123347
2.26017,0.999012,-0.0129513
3.90605,-0.965883,-0.00399622
5.58979,0.0560249,0.00120763
6.04785,0.921151,0.00210631
1.39919,-0.912225,-0.019301
0.38409,-0.984294,-0.0277685
0.260108,0.976005,-0.0288317
0.0319483,0.697633,-0.0307842
3.0965,-0.428979,-0.00786258
4.35509,-0.472596,-0.00226755
0.330492,-0.397078,-0.0282281
3.2645,0.997628,-0.00697629
4.18783,-0.520696,-0.00287912
5.45515,-0.276851,0.000907587
1.99905,0.958481,-0.0147668
1.02809,0.842102,-0.0223146
4.65736,-0.981033,-0.0012547
0.0758307,-0.319282,-0.0304096
4.98052,0.407874,-0.000294436
4.63973,-0.96998,-0.00131057
3.90187,-0.98763,-0.00401372
4.77501,0.999986,-0.000890909
0.913789,-0.657287,-0.0232668
1.10568,-0.806694,-0.0216741
2.82978,-0.0586009,-0.00936275
5.32983,0.268611,0.000612745
4.1229,-0.825303,-0.00312672
6.03255,0.999851,0.00207907
4.61066,-0.56323,-0.00140366
2.12879,-0.982503,-0.0138518
3.03604,0.876302,-0.00819262
1.59535,-0.576001,-0.0177672
4.00806,0.946207,-0.00357894
1.34166,-0.526756,-0.0197593
0.559141,0.157973,-0.02627
5.16043,-0.978974,0.000188917
1.18672,-0.176323,-0.0210105
5.60566,-0.334184,0.00124181
0.900047,-0.87273,-0.023382
2.59653,-0.488622,-0.0107691
0.14481,-0.88761,-0.0298197
0.748602,0.990969,-0.0246581
3.04097,0.810311,-0.00816533
2.13061,-0.989953,-0.0138391
2.40342,-0.922859,-0.0119999
3.14642,-0.992719,-0.00759439
1.51424,0.987711,-0.0183959
4.66696,-0.906886,-0.00122438
2.04647,0.624505,-0.0144294
4.74384,0.707681,-0.000985684
4.98295,0.462555,-0.00028774
3.09089,-0.298639,-0.00789292
4.10909,-0.585562,-0.00318008
5.3756,-0.765884,0.000722224
0.0420295,0.496931,-0.0306982
0.437881,-0.0485371,-0.0273075
5.82867,0.359013,0.00169877
1.72005,0.556246,-0.0168167
4.79028,0.929979,-0.000844939
2.09319,-0.473699,-0.0141004
0.443552,0.0931013,-0.0272589
5.8523,-0.221552,0.00174454
0.468063,0.648791,-0.0270489
4.89789,-0.997203,-0.000528499
3.28153,0.937019,-0.00688904
0.314083,0.00191799,-0.0283689
4.10478,-0.494993,-0.00319684
0.799904,0.410273,-0.0242243
6.00027,0.704052,0.0020212
3.8838,-0.957013,-0.00408926
2.99833,0.904734,-0.00840134
1.1804,-0.328781,-0.021062
1.90249,-0.905479,-0.0154639
2.6702,-0.709753,-0.0103154
3.371,-0.853576,-0.00643785
3.26237,0.992559,-0.00698737
4.58211,0.115047,-0.00149611
3.50085,0.903357,-0.00580528
6.0171,0.932742,0.00205143
5.34365,-0.0734276,0.000645934
1.84226,-0.482412,-0.0159054
5.78885,0.978444,0.00162039
5.83822,0.128163,0.00171735
3.77405,0.994651,-0.00455871
5.42088,-0.907488,0.000828488
4.44577,-0.373005,-0.00195155
5.41301,-0.972102,0.000810238
4.50772,0.919319,-0.00174161
5.03945,0.948467,-0.000132333
4.12671,-0.875235,-0.00311207
0.883182,-0.996096,-0.0235234
1.98133,0.743605,-0.0148937
3.08649,-0.192068,-0.0079167
5.66677,-0.956043,0.00137136
2.95754,0.110875,-0.00862971
2.68768,-0.345086,-0.0102091
3.45607,0.0079673,-0.00602047
5.22747,0.305686,0.000360243
0.525812,0.837048,-0.0265548
2.11049,-0.799159,-0.0139794
0.372323,-0.993197,-0.0278694
4.4967,0.777714,-0.00177868
0.352352,-0.816209,-0.0280406
1.08564,-0.423753,-0.021839
0.132313,-0.986214,-0.0299267
2.38355,-0.994853,-0.0121299
5.53374,0.993577,0.00108477
0.774058,0.876668,-0.0244426
5.64883,-0.988641,0.0013337
4.36155,-0.60822,-0.00224479
2.01405,0.996323,-0.0146597
0.647304,-0.88946,-0.0255182
4.25156,0.865247,-0.0026417
4.44737,-0.33557,-0.001946
2.42752,-0.542123,-0.0118431
4.42314,-0.812276,-0.00202939
4.06727,0.407714,-0.00334343
2.58828,-0.299618,-0.0108206
1.95326,0.136324,-0.0150957
0.313742,0.0104269,-0.0283718
5.44303,-0.550879,0.000879807
2.68221,-0.469628,-0.0102423
1.83574,-0.333919,-0.0159535
4.55745,0.668322,-0.00157677
1.53543,0.773417,-0.0182309
3.14254,-0.999718,-0.00761523
2.08711,-0.33485,-0.014143
4.20832,-0.0352376,-0.00280222
3.41481,-0.854023,-0.00622147
2.70114,-0.0157007,-0.0101275
5.19496,-0.481271,0.000277715
2.63514,-0.995492,-0.0105303
3.25128,0.921283,-0.00704445
