Inputs,"f(x,y)","f*(x,y)"
1.21894,0.982287,-0.0120231
2.97823,-0.684547,0.0159504
1.39487,0.770513,-0.0103094
3.61911,0.728969,0.0299073
2.34991,0.684547,0.00357535
1.35717,0.876307,-0.0107004
1.19381,0.951057,-0.0122447
4.46106,-0.951057,0.0485192
0.753982,-0.809017,-0.0151943
3.56885,0.535827,0.0287903
5.44124,-0.481754,0.0685929
3.87044,0.876307,0.0355066
4.1469,-0.309017,0.0416453
3.83274,0.951057,0.0346665
3.40549,-0.24869,0.0251761
2.21168,0.0627905,0.00113948
1.87239,-0.998027,-0.004272
4.00867,0.368125,0.0385826
0.326726,-0.0627905,-0.0164759
5.54177,-0.844328,0.0705013
0.942478,-1.07188e-15,-0.0141436
1.72159,-0.684547,-0.00638968
4.59929,-0.535827,0.0514909
1.62106,-0.24869,-0.00769551
6.18265,0.876307,0.0819293
5.66743,-0.998027,0.0728431
0.628319,-1.0,-0.0157237
0.640885,-0.998027,-0.0156768
3.43062,-0.125333,0.0257299
3.66938,0.876307,0.031026
5.7177,-0.951057,0.0737661
2.17398,-0.125333,0.000497088
1.15611,0.876307,-0.0125665
4.62442,-0.425779,0.052027
1.5708,1.19434e-15,-0.00831541
0.917345,-0.125333,-0.0143018
2.73947,0.425779,0.0110335
4.4108,-0.998027,0.0474296
2.53841,0.992115,0.00708395
3.45575,-2.44991e-15,0.0262848
1.33204,0.929776,-0.0109539
1.59593,-0.125333,-0.00800818
1.28177,0.992115,-0.0114436
3.33009,-0.587785,0.0235196
5.25274,0.425779,0.0649332
4.87575,0.728969,0.0573106
2.31221,0.535827,0.00289886
0.527788,-0.876307,-0.0160531
2.33734,0.637424,0.00334901
2.12372,-0.368125,-0.000344217
1.03044,0.425779,-0.0135445
1.14354,0.844328,-0.0126708
5.88106,-0.425779,0.0767113
0.703717,-0.929776,-0.0154222
4.63699,-0.368125,0.0522946
5.90619,-0.309017,0.0771571
3.73221,0.982287,0.0324257
3.49345,0.187381,0.0271185
5.15221,0.809017,0.0629389
0.289027,0.125333,-0.0165224
1.04301,0.481754,-0.0134532
4.78779,0.368125,0.0554783
5.6046,-0.968583,0.0716783
5.89363,-0.368125,0.0769345
2.6515,0.770513,0.00928165
2.41274,0.876307,0.00472212
2.66407,0.728969,0.00952975
0.125664,0.809017,-0.0166135
4.53646,-0.770513,0.0501447
4.09664,-0.0627905,0.0405335
4.0715,0.0627905,0.0399768
2.02319,-0.770513,-0.00197242
6.14496,0.770513,0.0812926
2.24938,0.24869,0.00179158
0.0125664,0.998027,-0.0165809
1.3823,0.809017,-0.0104412
5.47894,-0.637424,0.0693122
4.49876,-0.876307,0.0493333
6.03186,0.309017,0.079356
5.65487,-1.0,0.0726112
0.0879646,0.904827,-0.0166109
5.96903,-6.49249e-15,0.0782627
1.01788,0.368125,-0.0136344
3.22956,-0.904827,0.0213269
3.07876,-0.951057,0.0180801
4.75009,0.187381,0.0546871
0.879646,-0.309017,-0.0145289
2.03575,-0.728969,-0.00177293
5.57947,-0.929776,0.0712089
5.7554,-0.876307,0.0744531
2.38761,0.809017,0.00426063
5.78053,-0.809017,0.0749088
3.21699,-0.929776,0.0210543
2.08602,-0.535827,-0.00096339
5.03911,0.998027,0.0606612
4.2977,-0.876307,0.0449628
2.18655,-0.0627905,0.000710219
5.08938,0.951057,0.0616779
6.24549,0.982287,0.0829805
0.69115,-0.951057,-0.0154757
0.13823,0.770513,-0.0166126
1.65876,-0.425779,-0.00721596
0.0,1.0,-0.0165728
3.97097,0.535827,0.0377446
2.51327,1.0,0.00660464
5.73027,-0.929776,0.0739956
4.51133,-0.844328,0.0496041
4.1846,-0.481754,0.0424774
4.73752,0.125333,0.0544228
0.766549,-0.770513,-0.015134
0.502655,-0.809017,-0.0161228
3.12903,-0.998027,0.0191559
2.42531,0.904827,0.00495435
1.25664,1.0,-0.0116798
6.22035,0.951057,0.0825615
4.13434,-0.24869,0.0413675
1.80956,-0.929776,-0.0051771
3.98354,0.481754,0.038024
6.17009,0.844328,0.0817175
0.565487,-0.951057,-0.0159392
3.51858,0.309017,0.0276752
2.62637,0.844328,0.00878774
3.80761,0.982287,0.0341064
4.26,-0.770513,0.0441362
2.27451,0.368125,0.00223148
6.00673,0.187381,0.0789201
3.05363,-0.904827,0.0175449
5.13965,0.844328,0.0626875
2.70177,0.587785,0.0102784
5.95646,-0.0627905,0.0780426
0.816814,-0.587785,-0.0148788
2.16142,-0.187381,0.000285149
5.32814,0.0627905,0.0664098
1.85982,-0.992115,-0.00445561
5.24018,0.481754,0.0646855
0.0502655,0.968583,-0.0165999
4.71239,-2.69484e-15,0.053893
4.47363,-0.929776,0.0487908
4.52389,-0.809017,0.0498746
5.80566,-0.728969,0.0753624
2.19911,-4.28626e-16,0.000924394
3.48088,0.125333,0.0268404
0.314159,6.12323e-17,-0.0164925
1.82212,-0.951057,-0.00499861
2.56354,0.968583,0.00756681
4.17204,-0.425779,0.0422002
4.24743,-0.728969,0.0438602
4.23487,-0.684547,0.043584
3.17929,-0.982287,0.0202384
2.8777,-0.24869,0.0138537
