Inputs,"f(x,y)","f*(x,y)"
4.53646,0.309017,-0.0737749
5.37841,0.587785,-0.0738464
2.12372,0.309017,-0.0732463
0.703717,-0.951057,-0.072568
2.84,0.951057,-0.0734732
4.09664,0.951057,-0.0737209
3.17929,-0.809017,-0.0735567
1.43257,-0.951057,-0.072954
4.05894,0.809017,-0.0737157
1.50796,-1.46958e-15,-0.0729895
3.80761,0.809017,-0.0736777
4.87575,0.587785,-0.073808
3.66938,-0.587785,-0.0736545
4.1469,1.46995e-14,-0.0737278
1.15611,-0.587785,-0.0728163
5.07681,0.951057,-0.0738247
6.17009,-0.309017,-0.0738875
0.452389,-0.951057,-0.0724195
1.31947,1.0,-0.072899
0.0879646,0.809017,-0.0721948
4.2977,0.587785,-0.0737473
5.02655,-4.89859e-15,-0.0738208
3.53115,0.309017,-0.0736293
2.9908,-0.587785,-0.073512
1.68389,-0.951057,-0.073069
0.339292,0.809017,-0.0723507
5.93133,-0.587785,-0.0738772
0.301593,0.951057,-0.0723276
1.42,-0.809017,-0.0729479
5.90619,2.35194e-14,-0.0738759
6.06956,0.809017,-0.0738833
6.09469,1.0,-0.0738843
2.8023,0.809017,-0.073463
1.67133,-0.809017,-0.0730635
1.74673,-0.309017,-0.0730961
2.11115,0.587785,-0.0732417
0.804248,0.951057,-0.0726255
4.12177,0.587785,-0.0737244
0.640885,-0.309017,-0.0725314
0.527788,0.587785,-0.0724647
5.81823,0.809017,-0.0738717
5.16478,-0.309017,-0.0738315
2.60124,0.809017,-0.0734055
2.55097,0.809017,-0.0733904
3.79504,0.587785,-0.0736756
1.59593,0.809017,-0.0730298
3.15416,-0.309017,-0.073551
5.13965,0.309017,-0.0738295
0.213628,-0.809017,-0.0722732
3.88301,0.309017,-0.0736896
1.63363,5.14475e-15,-0.0730467
4.0715,0.951057,-0.0737175
4.24743,-0.587785,-0.073741
0.779115,0.587785,-0.0726113
4.64956,1.51893e-14,-0.0737866
3.16673,-0.587785,-0.0735538
2.85257,0.809017,-0.0734765
3.25469,-0.309017,-0.0735734
2.09858,0.809017,-0.073237
1.06814,1.0,-0.0727702
6.08212,0.951057,-0.0738838
2.16142,-0.587785,-0.0732602
3.75734,-0.309017,-0.0736694
3.55628,0.809017,-0.073634
1.04301,0.809017,-0.0727569
0.0125664,0.309017,-0.0721473
5.6423,0.309017,-0.0738624
1.19381,-1.0,-0.0728358
1.92265,-0.809017,-0.0731689
1.75929,-8.81993e-15,-0.0731015
3.04106,0.587785,-0.0735243
1.88496,5.38968e-15,-0.0731538
2.77717,0.309017,-0.0734561
1.96035,-0.951057,-0.0731839
5.42867,-0.587785,-0.0738496
0.628319,6.12323e-16,-0.0725241
5.59203,1.0,-0.0738595
5.06425,0.809017,-0.0738237
5.35327,0.951057,-0.0738447
0.904779,-0.587785,-0.0726817
5.94389,-0.809017,-0.0738777
3.71965,-0.951057,-0.0736631
0.201062,-0.951057,-0.0722654
4.73752,-0.809017,-0.0737953
0.0,0.0,-0.0721393
3.11646,0.587785,-0.0735422
3.43062,-0.809017,-0.0736099
2.78973,0.587785,-0.0734596
2.43788,-0.951057,-0.0733549
5.01398,-0.309017,-0.0738197
5.5669,0.809017,-0.073858
4.69982,-0.951057,-0.0737917
2.70177,-1.0,-0.0734351
3.01593,-2.93915e-15,-0.0735183
0.326726,0.951057,-0.0723431
3.51858,-1.76399e-14,-0.073627
5.26531,-0.309017,-0.0738388
4.1092,0.809017,-0.0737227
5.70513,-0.951057,-0.0738658
0.502655,-2.26622e-15,-0.0724496
3.92071,-0.587785,-0.0736954
3.84531,0.951057,-0.0736837
5.96903,-1.0,-0.0738788
3.87044,0.587785,-0.0736878
5.7931,0.309017,-0.0738704
2.29965,0.809017,-0.0733089
4.88832,0.309017,-0.0738092
3.38035,0.309017,-0.0735998
2.97823,-0.809017,-0.0735089
1.44513,-1.0,-0.07296
4.3731,0.587785,-0.0737564
3.0285,0.309017,-0.0735212
1.79699,0.809017,-0.0731175
4.82549,0.951057,-0.0738035
0.942478,-1.0,-0.0727024
5.15221,1.56792e-14,-0.0738306
2.22425,-0.809017,-0.0732827
4.31027,0.809017,-0.0737488
1.99805,-0.309017,-0.0731988
0.816814,1.0,-0.0726325
0.917345,-0.809017,-0.0726885
4.43593,-0.809017,-0.0737638
3.64425,1.42096e-14,-0.07365
0.590619,0.809017,-0.072502
1.82212,1.0,-0.073128
2.75204,-0.309017,-0.0734491
0.125664,5.66554e-16,-0.0722184
0.967611,-0.809017,-0.0727162
0.402124,-0.587785,-0.072389
1.98549,-0.587785,-0.0731938
6.10726,0.951057,-0.0738849
2.07345,1.0,-0.0732275
2.02319,0.309017,-0.0732084
4.85062,0.951057,-0.0738058
3.10389,0.809017,-0.0735393
0.565487,1.0,-0.0724872
3.56885,0.951057,-0.0736363
4.3354,1.0,-0.0737519
1.72159,-0.809017,-0.0730853
0.892212,-0.309017,-0.0726747
6.24549,-0.809017,-0.0738905
5.51664,-0.309017,-0.0738551
3.06619,0.951057,-0.0735303
0.0502655,0.951057,-0.072171
3.35522,0.809017,-0.0735946
0.841947,0.809017,-0.0726467
5.62973,0.587785,-0.0738617
4.48619,-0.809017,-0.0737694
2.51327,-2.44929e-15,-0.0733787
4.08407,1.0,-0.0737192
