Inputs,"f(x,y)","f*(x,y)"
1.55446,0.397056,-0.0219068
3.52094,0.998266,-0.0464468
3.18076,-0.557724,-0.0415817
0.761786,0.98103,-0.0219068
4.30337,0.71792,-0.057614
4.91303,-0.954235,-0.0662988
2.09076,-0.419373,-0.0266171
5.64017,-0.933233,-0.0766569
4.30264,0.730418,-0.0576037
3.99462,0.786614,-0.0532159
4.7252,0.314859,-0.0636231
0.35887,-0.899123,-0.0219068
2.91067,-0.872711,-0.037719
0.221789,0.739508,-0.0219068
3.55937,0.523667,-0.0469964
2.481,0.691853,-0.0318817
3.41335,-0.872359,-0.0449081
6.1793,-0.855402,-0.084337
3.39531,-0.998214,-0.0446501
0.445773,0.148191,-0.0219068
5.95788,-0.274957,-0.0811829
2.1329,-0.996418,-0.0271855
4.70471,-0.19081,-0.0633312
5.72124,0.0884741,-0.0778119
1.59109,-0.485897,-0.0219068
3.90001,-0.993854,-0.0518681
2.17072,-0.651815,-0.0276957
4.57954,0.178691,-0.0615482
1.74362,0.924184,-0.0224954
5.996,0.624428,-0.0817259
5.08891,0.0116734,-0.0688042
6.14691,-0.965034,-0.0838756
1.6767,-0.47425,-0.0220365
1.85182,-0.676034,-0.0233935
4.6486,-0.999712,-0.0625319
5.96728,-0.0435769,-0.0813167
6.02819,0.995809,-0.0821844
4.65744,-0.980661,-0.0626578
1.9902,0.872457,-0.0252603
4.72287,0.258944,-0.0635899
5.26595,0.955868,-0.0713261
5.91919,-0.947679,-0.0806317
1.85218,-0.682642,-0.0233984
4.43948,-0.513715,-0.059553
5.01127,0.92794,-0.0676982
3.4636,0.195009,-0.0456268
0.79464,0.526383,-0.0219068
4.10804,-0.564024,-0.0548316
3.19806,-0.158326,-0.0418292
0.7632,0.973563,-0.0219068
5.63277,-0.8512,-0.0765515
5.01243,0.938359,-0.0677148
1.31326,0.154548,-0.0219068
1.70868,0.300731,-0.0222543
1.70077,0.107432,-0.0222004
0.415578,-0.569689,-0.0219068
1.23046,0.793412,-0.0219068
1.38434,-0.998706,-0.0219068
2.25783,0.994699,-0.0288709
4.87705,-0.827733,-0.0657863
1.09909,-0.698804,-0.0219068
4.89652,-0.994042,-0.0660635
3.88089,-0.933361,-0.0515946
5.79805,0.905641,-0.078906
3.22551,0.502964,-0.0422217
2.7784,0.941126,-0.0358938
3.81392,0.453295,-0.0506369
2.71816,0.398477,-0.0350812
0.133916,-0.978796,-0.0219068
1.54588,0.583437,-0.0219068
3.86217,-0.671029,-0.0513268
2.33617,-0.281026,-0.0299278
2.02388,0.945548,-0.0257148
5.90743,-0.999523,-0.0804641
2.20988,0.265996,-0.0282241
0.116576,-0.974302,-0.0219068
5.84083,0.0633511,-0.0795154
2.06906,0.109497,-0.0263243
1.47709,0.716595,-0.0219068
2.46509,0.358021,-0.031667
0.988029,0.90812,-0.0219068
3.67093,-0.785592,-0.0485919
3.68122,-0.602383,-0.048739
1.61137,-0.849082,-0.0219068
5.24649,0.707673,-0.071049
5.7023,-0.375464,-0.0775421
0.911523,-0.698907,-0.0219068
2.62997,-0.974984,-0.0338914
2.37597,-0.957937,-0.0304647
4.11478,-0.694494,-0.0549276
0.0828023,-0.478778,-0.0219068
5.54064,0.959373,-0.0752392
4.33634,-0.0235703,-0.0580838
5.73412,0.399196,-0.0779954
5.48471,0.442513,-0.0744424
0.116384,-0.973212,-0.0219068
3.81429,0.445217,-0.0506421
5.61216,-0.482249,-0.076258
3.83967,-0.172358,-0.0510051
3.38643,-0.986855,-0.0445231
1.37107,-0.960875,-0.0219068
2.1604,-0.823712,-0.0275565
6.06134,0.740453,-0.0826566
1.76305,0.9956,-0.0226323
0.473796,0.750836,-0.0219068
3.59983,-0.444282,-0.047575
1.78692,0.770793,-0.0228005
4.23363,0.562432,-0.0566206
3.56105,0.487394,-0.0470205
3.75668,0.945814,-0.0498183
5.91094,-0.992979,-0.0805141
3.89628,-0.999845,-0.0518147
4.41698,-0.892166,-0.0592324
3.0589,0.476295,-0.039839
5.64459,-0.967152,-0.0767199
4.08272,0.033808,-0.0544709
6.05092,0.888593,-0.0825082
1.30636,0.32195,-0.0219068
1.96783,0.480359,-0.0249586
1.96108,0.326129,-0.0248675
0.168829,-0.472098,-0.0219068
3.15197,-0.96654,-0.04117
6.26078,0.847231,-0.0854977
4.31485,0.491469,-0.0577776
6.15239,-0.991786,-0.0839536
2.44063,-0.242766,-0.0313371
3.06484,0.341155,-0.0399238
0.910084,-0.724174,-0.0219068
3.81594,0.40777,-0.0506658
5.28972,0.956484,-0.0716648
0.267592,0.918468,-0.0219068
3.24157,0.800766,-0.0424514
5.15971,-0.98248,-0.0698128
2.22108,0.521837,-0.0283751
4.85239,-0.350829,-0.065435
2.55981,0.396318,-0.0329448
0.00127462,0.999492,-0.0219068
4.68187,-0.691002,-0.0630059
4.7876,0.952514,-0.064512
1.95566,0.195447,-0.0247944
2.85828,-0.696919,-0.0369714
4.66385,-0.936813,-0.0627492
4.97352,0.242633,-0.0671605
4.67431,-0.814582,-0.0628982
1.76961,0.966929,-0.0226785
5.37408,-0.740891,-0.0728665
0.462972,0.546964,-0.0219068
3.69241,-0.358554,-0.0488991
0.115048,-0.964988,-0.0219068
1.99064,0.87778,-0.0252663
