Inputs,"f(x,y)","f*(x,y)"
0.0654694,0.321532,0.435685
3.68061,-0.431814,-0.00145625
2.35654,-0.70587,-0.0601202
1.67328,0.871564,-0.0976168
2.00727,-0.574155,-0.0768216
1.47618,0.890159,-0.108655
2.64189,0.599673,-0.0474775
5.01193,-0.073051,0.0475935
6.22003,-0.310565,0.0654902
1.66558,0.889791,-0.0980481
5.17191,0.664497,0.0516721
2.72269,0.865963,-0.0438979
5.62335,0.156934,0.0631811
1.94564,-0.298766,-0.0806081
0.699225,-0.347153,0.0569037
3.62377,-0.66741,-0.00397487
3.0713,0.344293,-0.0284526
5.33723,0.999849,0.0558867
3.62614,-0.658541,-0.00386982
1.66716,0.886159,-0.0979596
0.854906,-0.905662,-0.102351
4.94084,-0.415564,0.0457811
5.46826,0.803433,0.0592272
3.77659,0.0334128,0.00279634
2.82307,0.999762,-0.0394503
2.37121,-0.65209,-0.0594706
3.41982,-0.9839,-0.0130111
3.74266,-0.135814,0.00129299
5.0134,-0.0656906,0.0476311
2.24617,-0.972449,-0.0650104
0.0213172,0.106384,0.435534
1.9682,-0.404306,-0.0792219
0.288915,0.992044,0.43852
5.39264,0.966475,0.0572995
3.4066,-0.969948,-0.0135968
5.19116,0.733246,0.052163
6.254,-0.145405,0.0632089
2.46511,-0.238508,-0.0553103
4.33934,0.290234,0.0277292
3.40676,-0.970147,-0.0135895
3.43498,-0.99461,-0.0123393
3.35007,-0.863615,-0.0161011
3.14092,0.00336999,-0.0253678
0.678134,-0.246509,0.0823205
2.77703,0.968415,-0.0414901
4.88315,-0.657133,0.0443105
1.64479,0.932344,-0.0992124
4.88116,-0.664586,0.0442599
2.68437,0.754886,-0.0455956
4.30945,0.429484,0.0264048
5.27756,0.950561,0.0543654
4.08756,0.999847,0.0165741
3.95939,0.811885,0.0108951
2.76563,0.952632,-0.0419953
0.198017,0.836074,0.438497
3.06088,0.392685,-0.0289139
1.24959,-0.0352139,-0.120861
2.8542,0.991057,-0.0380711
0.519918,0.515851,0.284938
1.94708,-0.305642,-0.0805194
2.70027,0.804576,-0.0448913
2.56283,0.245255,-0.0509805
0.125281,0.586237,0.437948
5.02773,0.00588516,0.0479963
3.67279,-0.466751,-0.00180285
5.03304,0.0324581,0.0481318
4.67953,-0.986535,0.0391196
5.57447,0.391243,0.0619349
6.13356,-0.680275,0.0705591
3.43894,-0.996469,-0.0121637
5.0946,0.333732,0.0497013
3.18184,-0.199894,-0.0235547
3.12139,0.100843,-0.0262331
3.67681,-0.448875,-0.00162466
3.10038,0.204618,-0.027164
4.24118,0.707011,0.0233801
4.88246,-0.659728,0.0442929
3.78015,0.0511932,0.00295408
5.16851,0.651687,0.0515855
5.89267,-0.928,0.070047
5.70902,-0.267483,0.0653651
6.04861,-0.921871,0.0712554
4.48298,-0.411177,0.0340934
0.425865,0.848034,0.40163
5.33031,0.998649,0.0557104
5.7498,-0.45705,0.0664049
5.44615,0.864215,0.0586635
3.65832,-0.529448,-0.00244381
4.85236,-0.764927,0.0435257
4.50562,-0.51152,0.0346859
4.65751,-0.962592,0.0385582
2.34472,-0.746496,-0.0606442
0.808326,-0.783351,-0.0727185
3.69023,-0.38796,-0.00103016
3.05019,0.441283,-0.0293877
2.59017,0.375091,-0.0497691
3.38217,-0.933089,-0.0146788
3.64478,-0.585641,-0.00304402
4.72252,-0.998718,0.0402154
5.57655,0.381674,0.0619878
3.11883,0.113592,-0.0263468
4.82061,-0.857142,0.0427162
1.47472,0.886822,-0.108736
5.88115,-0.905024,0.0697535
2.66438,0.68566,-0.0464815
5.08095,0.268672,0.0493532
2.5673,0.266838,-0.0507827
6.10698,-0.771384,0.0707768
5.11143,0.411795,0.0501304
3.72115,-0.241403,0.000339821
4.98848,-0.189169,0.046996
4.70173,-0.99858,0.0396854
2.07941,-0.826177,-0.0723987
1.63697,0.945754,-0.0996499
0.0247632,0.1235,0.435551
1.9117,-0.1333,-0.0826931
2.47943,-0.168404,-0.0546756
3.22745,-0.41622,-0.021534
2.6944,0.786824,-0.0451511
6.23782,-0.224909,0.0642958
1.77245,0.533312,-0.0914287
4.81782,-0.864245,0.042645
1.75447,0.607121,-0.0926332
0.745096,-0.55127,0.00162683
0.249245,0.947787,0.438534
2.31463,-0.837799,-0.0619775
3.9444,0.76589,0.010231
2.8863,0.956996,-0.0366489
3.55995,-0.867334,-0.00680239
3.68023,-0.433517,-0.00147299
2.25155,-0.96583,-0.0647722
0.391554,0.926055,0.424071
3.94446,0.766106,0.0102339
3.19338,-0.256057,-0.0230434
4.55637,-0.710829,0.0359795
0.446256,0.789697,0.379175
5.17449,0.674058,0.0517378
2.29106,-0.896173,-0.0630216
2.13172,-0.943759,-0.0700813
0.417198,0.870198,0.409122
0.687343,-0.290857,0.0712228
2.96749,0.76466,-0.0330517
5.63146,0.116761,0.0633878
1.53753,0.986203,-0.105219
4.32693,0.349013,0.0271793
5.90447,-0.948356,0.0703479
4.07632,0.99925,0.0160762
2.15344,-0.974038,-0.0691189
1.29532,0.19219,-0.118783
1.08951,-0.741737,-0.122145
