Inputs,"f(x,y)","f*(x,y)"
1.17162,18.4121,47.3372
0.799292,4.31894,-0.500978
-1.59287,25.8443,45.3212
1.72089,182.23,207.397
0.607608,2.51971,-0.500978
-1.97164,151.847,110.461
0.351243,1.54128,-0.500978
1.54684,90.8865,156.678
-0.30895,0.763991,-0.500978
-1.51296,16.9277,31.5795
1.80768,253.949,232.688
-0.753373,0.614917,-0.500978
1.16921,18.2226,46.6337
0.878834,5.67219,-0.500978
-0.374976,0.727392,-0.500978
-1.31495,5.50937,5.07325
-0.743859,0.613427,-0.500978
0.3207,1.47205,-0.500978
-0.800081,0.630161,-0.500978
-1.60025,26.8499,46.5911
-0.806227,0.633319,-0.500978
1.82418,270.177,237.496
0.713801,3.32599,-0.500978
-1.43165,10.8018,17.7182
0.175038,1.21218,-0.500978
-1.83478,83.4801,86.9252
-0.663726,0.616086,-0.500978
-0.588175,0.634958,-0.500978
0.295306,1.41903,-0.500978
0.954828,7.53412,-0.213452
0.39906,1.66363,-0.500978
-0.321342,0.756834,-0.500978
1.9401,413.172,271.275
1.1468,16.558,40.1034
-1.96162,145.552,108.739
0.769238,3.92478,-0.500978
-1.38396,8.23221,11.354
1.42676,55.0662,121.687
-1.23387,3.41498,-0.500978
1.68525,158.544,197.01
-1.91137,117.293,100.096
0.676392,2.99859,-0.500978
1.58063,104.344,166.525
0.993058,8.7541,5.65321
1.19977,20.7784,55.5405
1.54452,90.0234,156.001
1.70986,174.572,204.181
0.408781,1.69088,-0.500978
-1.99191,165.331,113.947
-1.69709,43.6667,63.245
-0.289095,0.775749,-0.500978
1.65223,139.148,187.389
-0.645934,0.61945,-0.500978
1.82842,274.487,238.729
-0.29661,0.771256,-0.500978
-0.818295,0.64044,-0.500978
-1.95666,142.518,107.885
1.2951,31.3456,83.3192
1.07574,12.2674,20.6194
1.64686,136.208,185.824
0.44858,1.81217,-0.500978
-1.28557,4.63385,2.67285
0.765029,3.87382,-0.500978
0.944269,7.23394,-0.500978
0.834091,4.84966,-0.500978
-0.511256,0.66328,-0.500978
0.917081,6.52628,-0.500978
-1.67672,39.5071,59.7425
0.333914,1.50123,-0.500978
-1.7743,63.1788,76.5231
1.61321,119.044,176.019
0.667305,2.92689,-0.500978
-1.50725,16.4116,30.5968
-0.520912,0.659357,-0.500978
1.61759,121.158,177.294
1.67238,150.706,193.259
-1.1668,2.31137,-0.500978
1.35296,40.2038,100.181
-0.870228,0.687733,-0.500978
-0.30679,0.765252,-0.500978
1.4641,64.4542,132.568
-1.36398,7.33528,9.53557
0.31365,1.45694,-0.500978
1.11279,14.3316,30.1928
1.73921,195.617,212.734
-0.745019,0.613583,-0.500978
1.14534,16.4556,39.6797
-0.955661,0.851306,-0.500978
1.8767,328.246,252.8
0.244229,1.32315,-0.500978
1.91465,376.962,263.859
1.32599,35.8067,92.3217
-0.26536,0.790294,-0.500978
0.715379,3.34103,-0.500978
0.070188,1.07549,-0.500978
-0.246843,0.802028,-0.500978
-0.11501,0.896853,-0.500978
1.1715,18.4027,47.3025
-0.0543892,0.948416,-0.500978
0.607542,2.51931,-0.500978
-0.446008,0.692042,-0.500978
0.288986,1.40642,-0.500978
-1.28045,4.49576,2.29918
0.529895,2.12018,-0.500978
1.57373,101.452,164.512
-1.02801,1.12535,-0.500978
-1.92024,121.899,101.621
0.0623402,1.06648,-0.500978
-1.76062,59.2445,74.1709
-1.27917,4.46208,2.2063
-0.761659,0.616616,-0.500978
-0.336412,0.748314,-0.500978
1.39501,48.1191,112.433
-0.615156,0.626945,-0.500978
-1.00907,1.03761,-0.500978
1.511,78.3875,146.233
0.362806,1.56921,-0.500978
-0.69144,0.612569,-0.500978
-1.90582,114.493,99.1422
-0.332164,0.750695,-0.500978
-1.26533,4.11169,1.19673
1.80249,249.032,231.176
1.40793,50.8389,116.199
-0.565075,0.6427,-0.500978
-0.297964,0.770452,-0.500978
-0.97477,0.908736,-0.500978
1.69079,162.029,198.624
1.48218,69.5237,137.835
-1.60783,27.9181,47.8943
0.293121,1.41465,-0.500978
-1.21019,2.97165,-0.500978
1.37152,43.5298,105.59
0.210615,1.26681,-0.500978
1.03586,10.405,12.3191
-0.237424,0.808133,-0.500978
0.201573,1.25246,-0.500978
0.624595,2.62525,-0.500978
1.15974,17.4994,43.8767
-0.299293,0.769664,-0.500978
-1.68775,41.7139,61.6393
-0.371557,0.729197,-0.500978
-1.52292,17.8619,33.2914
1.22546,23.2097,63.0253
-0.433054,0.698184,-0.500978
0.92823,6.80558,-0.500978
-0.192925,0.838276,-0.500978
1.49146,72.2703,140.54
-0.800312,0.630274,-0.500978
1.99066,494.5,286.008
0.86728,5.44297,-0.500978
